L F D' L' F R
F2 L D F' L' F' R
F' L F2 L' D R F'
F' L F2 R D' L' F
F' L F2 D L' R F'
F' L F2 D R L' F'
F' L F2 D' L' R F
F' L F2 D' R L' F
L2 R' F L' D' F2 R
F L' U2 D' L B' U2
F L' D' U2 L B' U2
R' L2 F L' D' F2 R
F2 L2 F' L' D F2 R
U R U2 D R' B U'
U R D U2 R' B U'
U R F U2 R' U' L'
R' U' F R2 B U L'
U' R' F R2 B U L'
B' R2 F' R U R2 U
B' R2 F' R U2 D' F2
B' R2 F' R D B2 U2
B' R2 F' R D' U2 F2
F2 U L' B' U2 B U
U' D R F' U2 F U'
B2 U R F U L' B2
B2 U R F U B2 L'
B U R U D2 B' L
B U R D2 U B' L
B U R F U B' L'
D U R F' U2 R' U'
U D R F' U2 R' U'
B2 U D L2 R F' U
B2 U D R L2 F' U
B2 U D R F' L2 U
B U D R F' U B'
B U D2 R U B' L
F2 U' L' U2 L F U
D U' R F' U2 F U'
L2 F L' D F2 R F'
B' U2 F D' L' F B
B' U2 F D' L' B F
B' U2 F D' B L' F
B' U2 F B D' L' F
B2 U2 F B2 D' L' F
L F L' D F R F'
B U2 F D' B' L' F
B U2 F B' D' L' F
L F R D' L' F R
B' U2 B F D' L' F
L F R' D' L' F R
L F R2 D' L' F R
B U2 B' F D' L' F
B2 U2 B2 F D' L' F
R' F D B2 U2 L' B2
R' F D B2 U2 B2 L'
F D L F2 L2 R F'
F D L F2 R L2 F'
F D L F2 R F' L2
R' F D' L F2 L2 R
R' F D' L F2 R L2
L' F D' L' D2 R2 F
L' F D' L' D2 F R2
L' F D' L' F D2 R2
L2 F D' L' D' R2 F
L2 F D' L' D' F R2
U2 F D' L' F D2 B2
L2 F D' L' F D' R2
L F D L' F R F'
L F D F R F' L'
L F D' L' R F R
L F D' L' R' F R
L F D' L' R2 F R
L F D' L' D F R
L F D' L' D' F R
L F D' L' D2 F R
L F D' L' F R D
L F D' L' F R D'
L F D' L' F R D2
L F D' L' F D R
L F D' L' F D' R
L F D' L' F D2 R
L F D' R L' F R
L2 F D2 R2 D L' F
L F D' R' L' F R
L F D' R2 L' F R
B2 D U L2 R F' U
F D R' B U2 B' L'
B2 D U R L2 F' U
B2 D U R F' L2 U
R' F' L D' F2 L' R
R' F' L D' F2 R L'
B D U R F' U B'
R2 F' R D B2 U2 B2
U F' U R U2 R' F'
U F' U' R B U2 B'
R' F' D R B2 U2 B2
R' F' D B2 R U2 B2
F D' L F L2 F R
R' F' D' L F2 L' R
R' F' D' L F2 R L'
F D' L F2 L2 R F
F D' L F2 R L2 F
F D' L' F U2 L U2
F D' L' F B2 R' B2
F D' L' B2 R' F B2
F D' L' B2 R' B2 F
F D' L' B2 F R' B2
F D' L2 D2 L R2 F
F D' L2 D2 L F R2
F D' L2 D2 R2 L F
L F2 R U L' B' U'
L F2 R F' D' L' F
F D' B U2 B' L' F
F D' B' U2 L' F B
F D' B' U2 L' B F
F D' B' U2 B L' F
L F2 U L' B' U' R
F D' B2 L' F B2 R'
F D' B2 L' B2 R' F
F D' B2 L' B2 F R'
F D' B2 U2 L' F B2
F D' B2 U2 L' B2 F
F D' B2 U2 B2 L' F
B D2 U R U B' L
D2 B R' U R2 U B'
D2 B R' U2 D' F2 B'
D2 B R' U2 D' B' F2
D2 B R' U2 B' D' F2
D2 B R' D B2 U2 B
D2 B R' D' U2 F2 B'
D2 B R' D' U2 B' F2
D B U R F' U B'
B' F U2 D' L' F B
B' F U2 D' L' B F
B' F U2 D' B L' F
B' F U2 B D' L' F
B2 F U2 B2 D' L' F
B F U2 D' B' L' F
B F U2 B' D' L' F
B' F D' U2 L' F B
B' F D' U2 L' B F
B' F D' U2 B L' F
F B U2 D' B' L' F
F B U2 B' D' L' F
B F D' U2 B' L' F
F B D' U2 B' L' F
F2 B' U' L' U' B L
F2 B' U2 B L D F2
F B' U2 D' L' F B
F B' U2 D' L' B F
F B' U2 D' B L' F
F B' U2 B D' L' F
F B' D' U2 L' F B
F B' D' U2 L' B F
F B' D' U2 B L' F
D B2 U R F' U B2
B' F2 U' L' U' B L
B' F2 U2 B L D F2
F B2 U2 B2 D' L' F
