U' F D2 L' R2 B'
U' F D2 L' B' R2
U' F D2 R2 L' B'
U' L F L U2 L2 F
U' L F L B' U2 L2
F L B2 L2 D' R' B
F' L' U F2 L' R B
F' L' U F2 R L' B
F' L' U F2 R B L'
F' L' U' F2 L' R B'
F' L' U' F2 L' B' R
F' L' U' F2 R L' B'
U L2 R' F' R B' U2
U L2 R' F' B' R U2
U L2 R' B' F' R U2
U' L2 U2 L2 F L' B'
U L2 F B' U2 L' B'
U L2 F' R B' U2 B2
U L2 F' B' R U2 B
U L2 B' R' F' R U2
U L2 B' F U2 L' B'
U L2 B' F' R U2 B
L U' L F B' U2 L'
L U' L B' F U2 L'
U' R F D2 L' R2 B'
U' R F D2 L' B' R2
U' R F D2 R2 L' B'
U R F D2 L' B R2
U R F D2 B L' R2
U R F D2 B R2 L'
U R F B D2 L' R2
U R F B D2 R2 L'
U R B F D2 L' R2
U R B F D2 R2 L'
R' U' F D2 L' R2 B'
R' U' F D2 L' B' R2
R' U' F D2 R2 L' B'
R2 U' F D2 L' R2 B'
R2 U' F D2 L' B' R2
R2 U' F D2 R2 L' B'
R U' F D2 L' R2 B'
R U' F D2 L' B' R2
R U' F D2 R2 L' B'
U R' L2 F' R B' U2
U R' L2 F' B' R U2
U R' L2 B' F' R U2
B' R' U' F D2 L' R2
B' R' U' F D2 R2 L'
U' R' F D2 L' R2 B'
U' R' F D2 L' B' R2
U' R' F D2 R2 L' B'
U R' F D2 L' R2 B2
U R' F D2 L' B2 R2
U R' F D2 R2 L' B2
U R' F D2 R2 B2 L'
U R' F D2 B2 L' R2
U R' F D2 B2 R2 L'
U R' F' L2 R U2 F2
U R' F' L2 U2 F2 L'
U R' F' R L2 U2 F2
U' R2 F D2 L' R2 B'
U' R2 F D2 L' B' R2
U' R2 F D2 R2 L' B'
F' U L' F2 L' R B
F' U L' F2 R L' B
F' U L' F2 R B L'
F' U L2 R U2 F2 B
F' U L2 R U2 B F2
F' U L2 U2 F2 L' B'
F' U R L2 U2 F2 B
F' U R L2 U2 B F2
L2 D B' U' R' B U'
D2 U' L' R2 B' L F
D2 U' L' B' L R2 F
D2 U' L' B' L F R2
D2 U' L' B' R2 L F
F' U' L' F2 R B' L'
