U2 L2 B L U F
U2 D' B L R' U
U2 D' B R' L U
F' U2 L' B U F
D' U2 B L R' U
D' U2 B R' L U
F' U2 B L' U F
R2 F' U2 L' U F
U2 B L U' B' U2
F' L U2 L2 B U F
D' L U2 B L R' U
D' L U2 B R' L U
L' R F R F' U' F
U L F B' U B2 U
U L F B' U2 D' R2
U L F B' D L2 U2
U L F B' D' U2 R2
U2 L B L U D2 F2
U2 L B L U' B2 U2
U2 L B L D' R2 U
U2 L B L D2 U F2
U2 L B D' L R2 U
U2 L B D' R2 L U
U2 L B D2 L U F2
U L B' D L2 U2 B'
U L B' D F L2 U2
U L B' D' F U2 R2
U L B' F U B2 U
U L B' F U2 D' R2
U L B' F D L2 U2
U L B' F D' U2 R2
U2 L' R' U F R B
F2 L' R2 F' R U' F2
F L' R2 F' R' U' F2
B L' U D F L' B'
U L' U B U F B2
U L' U B U B2 F
R2 L' F R F2 U' F2
R L' F R F' U' F
R2 L' F' U2 L' U F2
D' L' U2 B L R' U
D' L' U2 B R' L U
U L' U2 F B' D' R2
U L' U2 B' D' R2 F
U L' U2 B' D' F R2
U L' U2 B' F D' R2
B L' D U F L' B'
B L' F' L' F U F
F' L' B U2 B' U' F
L' R2 F R F2 U' F2
L' R2 F' U2 L' U F2
D' L2 U2 B L R' U
D' L2 U2 B R' L U
U2 L2 D B L U F
R' U L F B' U2 R
U2 L2 D' B L U F
R' U L B' F U2 R
R' U L' U2 F B' R'
R' U L' U2 B' R' F
R' U L' U2 B' F R'
U2 L2 D2 B L U F
U2 L2 B L R U F
U2 L2 B L R' U F
U2 L2 B L R2 U F
U2 L2 B L U D F
U2 L2 B L U D' F
U2 L2 B L U D2 F
U2 L2 B L U F D
U2 L2 B L U F D'
U2 L2 B L U F D2
U2 L2 B L D U F
U2 L2 B L D' U F
U2 L2 B L D2 U F
U2 L2 B R L U F
U2 L2 B R' L U F
U2 L2 B R2 L U F
U2 L2 B D L U F
U2 L2 B D' L U F
U2 L2 B D2 L U F
R' U F' L' U2 F B'
R' U F' L' U2 B' F
D2 R U' D' F' R B
D2 R D' U' F' R B
D2 R F R F' U' F'
D R F L' R F' U'
D R F R L' F' U'
L' U' R D F B R'
L' U' R D B R' F
L' U' R D B F R'
L' U' R F D B R'
L' U' F R D B R'
U2 R' L' U F R B
L' U' F U' B L U
F' R' U2 L' B' U F
L U2 L B L U F
L' U2 L' B L U F
L' U2 R' U F R B
F2 R2 L' F' R U' F2
F R2 L' F' R' U' F2
L2 U2 B L R' U F'
L2 U2 B R' L U F'
L U2 B L U D2 F2
L U2 B L U' B2 U2
L U2 B L D' R2 U
L U2 B L D2 U F2
L U2 B D' L R2 U
L U2 B D' R2 L U
L U2 B D2 L U F2
D R2 F L' R F2 U'
D R2 F R L' F2 U'
B' R2 F' L' B2 U F
F2 R2 F' L' R U' F
F2 R2 F' R L' U' F
B' R2 F' B2 L' U F
F2 R2 F' D2 R U' F'
F R2 F' L' R' U' F
D R2 F' U2 L' R U
D R2 F' U2 R L' U
F R2 F' R' L' U' F
B' R2 B2 F' L' U F
R2 D F L' R F2 U'
R2 D F R L' F2 U'
B U L' D F B' L'
B U L' D B' F L'
B U L' D' F B' L
B U L' D' B' F L
B U L' F D' B' L
B U L' B' D F L'
R2 D F' U2 L' R U
R2 D F' U2 R L' U
U2 D' L B L R' U
U2 D' L B R' L U
U2 D' L' B L R' U
U2 D' L' B R' L U
U2 D' L2 B L R' U
U2 D' L2 B R' L U
D2 U' R D F' B R'
D2 U' R D B F' R'
D2 U' R D' F' B R
D2 U' R D' B F' R
D2 U' R F' D B R'
D2 U' R B D' F' R
U2 D' B L R' U D
U2 D' B L R' U D'
U2 D' B L R' U D2
U2 D' B L R' D U
U2 D' B L R' D' U
U2 D' B L R' D2 U
U2 D' B L D R' U
U2 D' B L D' R' U
U2 D' B L D2 R' U
U2 D' B R' L U D
U2 D' B R' L U D'
U2 D' B R' L U D2
U2 D' B R' L D U
U2 D' B R' L D' U
U2 D' B R' L D2 U
U2 D' B R' D L U
U2 D' B R' D' L U
U2 D' B R' D2 L U
U2 D' B D L R' U
U2 D' B D R' L U
U2 D' B D' L R' U
U2 D' B D' R' L U
U2 D' B D2 L R' U
U2 D' B D2 R' L U
D' U2 L B L R' U
D' U2 L B R' L U
R D2 L' F R U' F'
D' U2 L' B L R' U
D' U2 L' B R' L U
F' U' B L' U F L
D' U2 L2 B L R' U
D' U2 L2 B R' L U
U' D2 R D F' B R'
U' D2 R D B F' R'
U' D2 R D' F' B R
U' D2 R D' B F' R
U' D2 R F' D B R'
U' D2 R B D' F' R
F' U2 L' R' U F R
F' U2 L' D B U F
F' U2 L' D' B U F
F' U2 L' D2 B U F
F' U2 L' B R U F
F' U2 L' B R' U F
F' U2 L' B R2 U F
F' U2 L' B U D F
F' U2 L' B U D' F
F' U2 L' B U D2 F
F' U2 L' B U F D
F' U2 L' B U F D'
F' U2 L' B U F D2
F' U2 L' B D U F
F' U2 L' B D' U F
F' U2 L' B D2 U F
R2 D2 F R F2 U' F
D' U2 B L R' U D
D' U2 B L R' U D'
D' U2 B L R' U D2
D' U2 B L R' D U
D' U2 B L R' D' U
D' U2 B L R' D2 U
D' U2 B L D R' U
D' U2 B L D' R' U
D' U2 B L D2 R' U
D2 U2 B L R U F'
D' U2 B R' L U D
D' U2 B R' L U D'
D' U2 B R' L U D2
D' U2 B R' L D U
D' U2 B R' L D' U
D' U2 B R' L D2 U
D' U2 B R' D L U
D' U2 B R' D' L U
D' U2 B R' D2 L U
D2 U2 B R L U F'
F' U2 R' L' U F R
D' U2 B D L R' U
D' U2 B D R' L U
D' U2 B D' L R' U
D' U2 B D' R' L U
D' U2 B D2 L R' U
U2 D2 B L R U F'
D' U2 B D2 R' L U
U2 D2 B R L U F'
F' U2 D' L' B R' U
F' U2 D' B L' R' U
F' U2 D' B R' L' U
B U2 D' B' L R' U'
B U2 D' B' R' L U'
R2 F L' R F2 U' F'
D F L' R2 F' R' U'
R F L' R F' U' F2
D2 F R U' D' F' R
D2 F R D' U' F' R
R2 F R L' F2 U' F'
R2 F R F2 L' U' F
D F R D2 L' F U'
F' U2 B L' R U F
F' U2 B L' R' U F
F' U2 B L' R2 U F
F' U2 B L' U D F
F' U2 B L' U D' F
F' U2 B L' U D2 F
F' U2 B L' U F D
F' U2 B L' U F D'
F' U2 B L' U F D2
F' U2 B L' D U F
F' U2 B L' D' U F
F' U2 B L' D2 U F
F' U2 B R L' U F
F' U2 B R' L' U F
R F R L' F' U' F2
F' U2 B R2 L' U F
R F R F' L' U' F
D2 F R2 F' R' U' F'
L' F R2 F' R' U' F
F' U2 B' L' B2 U F
D F R2 L' F' R' U'
B U2 B' L' R' U' F
B U2 B' R' L' U' F
R2 F' L U2 L2 U F
R2 F' R U2 L' U F
R2 F' R' U2 L' U F
R2 F' R2 U2 L' U F
R' F' U2 L' B' U F
D' F' U2 L' B R' U
L' F' U2 L' B U F2
D' F' U2 B L' R' U
D' F' U2 B R' L' U
L' F' U2 B L' U F2
R2 F' U2 L' R U F
R2 F' U2 L' R' U F
R2 F' U2 L' R2 U F
R2 F' U2 L' U D F
R2 F' U2 L' U D' F
R2 F' U2 L' U D2 F
R2 F' U2 L' U F D
R2 F' U2 L' U F D'
R2 F' U2 L' U F D2
R2 F' U2 L' D U F
R2 F' U2 L' D' U F
R2 F' U2 L' D2 U F
R2 F' U2 R L' U F
R2 F' U2 R' L' U F
R2 F' U2 R2 L' U F
D F' U2 L' B R U
D F' U2 B L' R U
D F' U2 B R L' U
F' D' U2 L' B R' U
F' D' U2 B L' R' U
F' D' U2 B R' L' U
B D' U2 B' L R' U'
B D' U2 B' R' L U'
D F2 R2 F' L' R U'
D F2 R2 F' R L' U'
F D2 R U' D' F' R
F D2 R D' U' F' R
F D2 R2 F' R' U' F'
U2 B L R U' B' U2
U2 B L R' U' B' U2
U2 B L R2 U' B' U2
U2 B L U L2 F L2
U2 B L U' D B' U2
U2 B L U' D' B' U2
U2 B L U' D2 B' U2
U2 B L U' B' U2 D
U2 B L U' B' U2 D'
U2 B L U' B' U2 D2
U2 B L U' B' D U2
U2 B L U' B' D' U2
U2 B L U' B' D2 U2
U2 B L U2 L2 U' F
U2 B L D U' B' U2
U2 B L D' U' B' U2
U2 B L D2 U' B' U2
U2 B L' U D' F B2
U2 B L' U D' B2 F
U2 B L' U F D' B2
U2 B L' D' U F B2
U2 B L' D' U B2 F
U2 B R L U' B' U2
D' B R' U2 B' R' U'
U2 B R' L U' B' U2
U2 B R2 L U' B' U2
F' B L' U D F L'
L' B U2 B' R' U' F
F' B L' D U F L'
L2 B U2 B' R' U' F'
F' B L2 F L U F
U2 B D2 L R U F'
U2 B D2 R L U F'
U2 B' L2 B2 L U F
B F' L' U D F L'
B F' L' D U F L'
B F' L2 F L U F
