F' L U F' R' U
F2 R' U' F L U2
R D' L2 F2 R B
L F' U F' R' U
R' F2 U B2 R' B
R' F2 B2 U R' B
R' B2 F2 U R' B
F' L U D F' R' U
F' L U D' F' R' U
F' L U D2 F' R' U
F' L U F R' F2 U
F' L U F' R' U D
F' L U F' R' U D'
F' L U F' R' U D2
F' L U F' R' D U
F' L U F' R' D' U
F' L U F' R' D2 U
F' L U F' D R' U
F' L U F' D' R' U
F' L U F' D2 R' U
F' L U F2 R' F U
L2 R D' F2 L2 R B
L2 R D' F2 R L2 B
L2 R D' F2 R B L2
F' L D U F' R' U
F' L D' U F' R' U
F' L D2 U F' R' U
L2 R F2 R2 U R' B
D' L F' U R' U L
D L F' R2 U R U
D2 L F' U' B2 L U'
U2 L F' U F' R' U
U' L F' U F' R' U
U L F' U F' R' U
L2 R' F2 U R' B R2
R L2 D' F2 L2 R B
R L2 D' F2 R L2 B
R L2 D' F2 R B L2
D' L2 R D' F2 R B
R' L2 F2 U R' B R2
R L2 F2 R2 U R' B
D' R L2 D' F2 R B
L U F2 L2 R' U B'
L U F2 R' L2 U B'
L U F2 R' U' F U2
R' U B2 R' D' L2 B
R' U B2 R' D' B L2
R' U B2 R' B D' L2
U' R D' L2 F2 R B
U2 R D' L2 F2 R B
U R D' L2 F2 R B
D' R' U B2 L2 R' B
D' R' U B2 R' L2 B
D' R' U B2 R' B L2
D R' U B2 L R' B
D R' U B2 R' L B
D R' U' L R' U2 B
F2 R' U' D F L U2
F2 R' U' D' F L U2
D R' U' R' L U2 B
F2 R' U' D2 F L U2
F2 R' U' F L U2 D
F2 R' U' F L U2 D'
F2 R' U' F L U2 D2
F2 R' U' F L D U2
F2 R' U' F L D' U2
F2 R' U' F L D2 U2
F2 R' U' F D L U2
F2 R' U' F D' L U2
F2 R' U' F D2 L U2
F2 R' U' F' L F2 U2
F2 R' U' F2 L F' U2
D2 R' U2 B2 U' R' B
F2 R' D U' F L U2
F2 R' D' U' F L U2
F2 R' D2 U' F L U2
F R' D2 F U B2 R'
F R' F U' F L U2
U' R' F2 U B2 R' B
U2 R' F2 U B2 R' B
U' R' F2 B2 U R' B
U2 R' F2 B2 U R' B
U R' F2 U B2 R' B
U R' F2 B2 U R' B
D' R' B2 U L2 R' B
D' R' B2 U R' L2 B
D' R' B2 U R' B L2
F2 R' B2 L2 U R' B'
F2 R' B2 U' F U2 R'
U' R' B2 F2 U R' B
D R' B2 U L R' B
D R' B2 U R' L B
U2 R' B2 F2 U R' B
U R' B2 F2 U R' B
B R2 F2 U B R' F'
B2 R2 B D' L2 R F'
B2 R2 B D' R L2 F'
B2 R2 B D' R F' L2
R D R2 B2 U2 R' B
L D F' R2 U R U
F' U F' R' U' L U2
F' U F' R' B2 U R'
R D' L2 R F2 B R
R D' L2 R B F2 R
R D' L2 F2 R D B
R D' L2 F2 R D' B
R D' L2 F2 R D2 B
R D' L2 F2 R B D
R D' L2 F2 R B D'
R D' L2 F2 R B D2
R D' L2 F2 D R B
R D' L2 F2 D' R B
R D' L2 F2 D2 R B
R D' L2 F2 B R B
R D' L2 F2 B' R B
R D' L2 F2 B2 R B
R D' L2 B F2 R B
R D' L2 B' F2 R B
R D' L2 B2 F2 R B
R D' R L2 F2 B R
R D' R L2 B F2 R
L D' F' U R' U L2
R D' B2 R' F2 L2 B'
F2 U' F L U R' U
L D2 F' U' B2 L U'
L' D2 B2 L U' R2 B
F' D L U F' R' U
F2 D R' U' F L U2
U' F' L U F' R' U
D' F' L U R' U L
D2 F' L U' B2 L U'
U2 F' L U F' R' U
D F' L R2 U R U
U F' L U F' R' U
L' F' L2 U F' R' U
D F' R2 L U R U
L2 F' U F' R' U R2
D2 F' U' B2 L U' R'
F' D' L U F' R' U
L F' U D F' R' U
L F' U D' F' R' U
L F' U D2 F' R' U
L F' U F R' F2 U
L F' U F' R' U D
L F' U F' R' U D'
L F' U F' R' U D2
L F' U F' R' D U
L F' U F' R' D' U
L F' U F' R' D2 U
L F' U F' D R' U
