B' L U2 L U L'
D' R U' F' B2 L
D' R U' B2 L F'
D' R U' B2 F' L
B U2 L2 R' U L2
B U2 R' L2 U L2
D' L R U' F' B2 L
D' L R U' B2 L F'
D' L R U' B2 F' L
B' L R B2 R' U' L
B' L R2 D B2 R' U'
B' L U2 L U L' D
B' L U2 L U L' D'
B' L U2 L U L' D2
B' L U2 L U D L'
B' L U2 L U D' L'
B' L U2 L U D2 L'
B' L U2 L D U L'
B' L U2 L D' U L'
B' L U2 L D2 U L'
B L U2 L R' U L'
B' L U2 D L U L'
B L U2 R' L U L'
B' L U2 D' L U L'
B' L U2 D2 L U L'
B' L U2 F L U L'
B' L U2 F' L U L'
B' L U2 F2 L U L'
U2 L D L U L2 F
B' L D U2 L U L'
B' L D' U2 L U L'
B' L D2 U2 L U L'
D L F2 D B' U2 R2
D L F2 D' L2 U2 F
D L F2 D' B' L2 U2
L R B2 R' U' L F
R L B2 R' U' L F
D L F2 B' U' F2 U'
D L F2 B' U2 D R2
D L F2 B' D U2 R2
D L F2 B' D' L2 U2
D L B' F2 U' F2 U'
D L B' F2 U2 D R2
D L B' F2 D U2 R2
D L B' F2 D' L2 U2
B' L B2 R' U R U2
D' L' R U' F' B2 L
D' L' R U' B2 L F'
D' L' R U' B2 F' L
B2 L' U2 L' U L F
B L' U2 L' R' U L
B L' U2 R' L' U L
U2 L' D L' U F L2
D L' F2 U' F2 U' F
D L' F2 U2 D F' R2
D L' F2 D U2 F' R2
D L' F2 D' L2 U2 F'
U L' B2 L' U R' F'
D' L2 R U' F' B2 L
D' L2 R U' B2 L F'
D' L2 R U' B2 F' L
B L2 R' U' R U2 R'
U2 L2 U L' D L' F
U2 L2 U2 B' L U' L
U L2 D' R B2 U F'
U L2 D' B2 R U F'
L' U L' B2 U R' F'
U2 L2 B R' B' U L2
U L2 B R' U D2 R2
U L2 B R' U' L2 U2
U L2 B R' D' B2 U
U L2 B R' D2 U R2
U L2 B D' R' B2 U
U L2 B D2 R' U R'
F' L2 B' U2 L U' L'
R' U D F2 U2 L' F
R' U D' R U2 F' B2
R' U D' R U2 B2 F'
U L2 B' D' B2 R' U
D' R L U' F' B2 L
D' R L U' B2 L F'
D' R L U' B2 F' L
R U D' R' B U2 B
B' R L B2 R' U' L
D' R L' U' F' B2 L
D' R L' U' B2 L F'
D' R L' U' B2 F' L
D' R L2 U' F' B2 L
D' R L2 U' B2 L F'
D' R L2 U' B2 F' L
D' R U' L F' B2 L
D' R U' L B2 L F'
D' R U' L B2 F' L
D' R U' L' F' B2 L
D' R U' L' B2 L F'
D' R U' L' B2 F' L
D' R U' L2 F' B2 L
D' R U' L2 B2 L F'
D' R U' L2 B2 F' L
D' R U' F B2 L F2
D' R U' F' L B2 L
D' R U' F' L' B2 L
D' R U' F' L2 B2 L
D' R U' F' B2 L D
D' R U' F' B2 L D'
D' R U' F' B2 L D2
D' R U' F' B2 D L
D' R U' F' B2 D' L
D' R U' F' B2 D2 L
B2 R U' D' B2 L F
D' R U' B2 L D F'
D' R U' B2 L D' F'
D' R U' B2 L D2 F'
D' R U' B2 L F' D
D' R U' B2 L F' D'
D' R U' B2 L F' D2
D' R U' B2 L' F' L2
D' R U' B2 D L F'
D' R U' B2 D F' L
D' R U' B2 D' L F'
D' R U' B2 D' F' L
D' R U' B2 D2 L F'
D' R U' B2 D2 F' L
D' R U' B2 F L F2
D' R U' B2 F' L D
D' R U' B2 F' L D'
D' R U' B2 F' L D2
D' R U' B2 F' D L
D' R U' B2 F' D' L
D' R U' B2 F' D2 L
B R U' D' F2 B2 L
B R U' D' B2 L F2
B R U' D' B2 F2 L
B' R D' L U' B2 L
B2 R D' U' B2 L F
B R D' U' F2 B2 L
B R D' U' B2 L F2
B R D' U' B2 F2 L
D' R B' U' F' B' L
D' R B' U' B' L F'
D' R B' U' B' F' L
B R' L2 U' R U2 R'
D R' U F2 U2 L' F
U' R' U' D' R F' B2
U' R' U' D' R B2 F'
U' R' U' D' B2 R F'
U' R' D' U' R F' B2
U' R' D' U' R B2 F'
U' R' D' U' B2 R F'
L U2 L U D L' F
L U2 L D U L' F
L' U2 D L' U F L
B' R2 L D B2 R' U'
B' R2 D2 L R2 U' L
B' R2 D2 R2 L U' L
D2 R2 D2 B' L U' L
R' D U F2 U2 L' F
L' D U2 L' U F L
F' U L2 B R' B2 U
B U L2 R' U D2 R2
B U L2 R' U' L2 U2
F' U L2 B' U2 L U'
B U L2 R' D' B2 U
B U L2 R' D2 U R2
F U L2 R2 B R' U
B U L2 D' R' B2 U
B U L2 D2 R' U R'
B U R' L2 U D2 R2
B U R' L2 U' L2 U2
B U R' L2 D' B2 U
B U R' L2 D2 U R2
F U R2 L2 B R' U
F U R2 B L2 R' U
F U R2 B R' L2 U
F' U B L2 R' B' U
F' U B R' L2 B' U
R' D' U R U2 F' B2
R' D' U R U2 B2 F'
F' U B2 L2 B' R' U
R D' U R' B U2 B
U' D' R U' F' R' B2
D' U' R U' F' R' B2
U2 D' R F' B2 D' R2
U2 D' R B2 D' F' R2
U2 D' R B2 F' D' R2
D2 U' R2 F L' U' R2
D2 U' F L' R2 U' R2
D2 U' F R2 L' U' R2
B' U' D2 L R2 U' R2
B' U' D2 R2 L U' R2
F' U' D2 R2 F L' U'
F' U' D2 F L' R2 U'
F' U' D2 F R2 L' U'
U2 D' B2 R D' F' R2
U2 D' B2 R F' D' R2
U2 D' B2 R' D' R2 F'
D' U2 R F' B2 D' R2
D' U2 R B2 D' F' R2
D' U2 R B2 F' D' R2
U' D2 R2 F L' U' R2
U' D2 F L' R2 U' R2
U' D2 F R2 L' U' R2
B' U2 L2 U2 L' U' L'
B' U2 L2 D F2 R U
B2 U2 L2 U L F L
B' U2 L2 F2 R U L2
B2 U2 L2 F R U L2
B U2 L2 R' U L2 D
B U2 L2 R' U L2 D'
B U2 L2 R' U L2 D2
B U2 L2 R' D F2 U
B U2 L2 R' F U L2
B U2 L2 R' F' U L2
B U2 L2 R' F2 U L2
B U2 L2 D R' F2 U
B U2 L2 D F2 R' U
B U2 L2 F R' U L2
B U2 L2 F' R' U L2
B U2 L2 F2 R' U L2
B U2 R' L2 U L2 D
B U2 R' L2 U L2 D'
B U2 R' L2 U L2 D2
B U2 R' L2 D F2 U
B U2 R' L2 F U L2
B U2 R' L2 F' U L2
B U2 R' L2 F2 U L2
B U2 R' F L2 U L2
B U2 R' F' L2 U L2
B U2 R' F2 L2 U L2
D' U2 B2 R D' F' R2
D' U2 B2 R F' D' R2
D' U2 B2 R' D' R2 F'
B2 U2 F L2 R U L2
B2 U2 F R L2 U L2
B U2 F L2 R' U L2
B U2 F R' L2 U L2
B U2 F' L2 R' U L2
B U2 F' R' L2 U L2
B U2 F2 L2 R' U L2
B U2 F2 R' L2 U L2
D2 F U' L' F' R2 U'
F2 D L F2 B' U2 R2
F2 D L B' F2 U2 R2
