B L B2 R' F' U R
L2 R' U2 F' L' U R
R' L2 U2 F' L' U R
B' L2 R' U2 F' U R
L2 U R' F' U2 L' R
L2 U R' F' U2 R L'
L2 U F L' R U2 B
L2 U F R L' U2 B
L2 U F' U2 L' R B'
L2 U F' U2 L' B' R
L2 U F' U2 R L' B'
B' R' L2 U2 F' U R
D R' F' B L U F'
D R' B L F' U F'
D R' B F' L U F'
U F D F2 L' R B
U F D F2 R L' B
U F D F2 R B L'
U F' R D L' F2 B
U F' R D L' B F2
U F' R D B L' F2
U F' R B D L' F2
R' F' U R D F2 B
R' F' U R D B F2
R' F' U R B D F2
R' F' U D R F2 B
R' F' U D R B F2
R' F' U2 L2 U' R B
R' F' D U R F2 B
R' F' D U R B F2
U F' D L' R F2 B
U F' D L' R B F2
U F' D R L' F2 B
U F' D R L' B F2
U F' D R B L' F2
L2 B' R' U2 F' U R
