L B R2 F' U R
D' L R B' U F2 L'
F' L R2 U R' D L2
F' L R2 U D L2 R'
F' L R2 U D R' L2
F' L R2 D U L2 R'
F' L R2 D U R' L2
F' L R2 D2 F2 U R'
F L R2 D2 F2 U R2
R2 L U2 F' B2 U' R
F' L U D' R F2 L'
R2 L U2 B2 F' U' R
R' L D R' B U L2
R2 L D2 F2 B U R'
R2 L D2 B F2 U R'
R2 L F D2 F2 U R
F' L D' U R F2 L'
R2 L F' U R D L2
R2 L F' U D L2 R
R2 L F' U D R L2
R2 L F' U2 B2 U' R
R2 L F' D U L2 R
R2 L F' D U R L2
D' L D2 B' U L2 F
F' L B R2 F' U R'
U' L B R2 F' U R
U2 L B R2 F' U R
U L B R2 F' U R
D' L B' R U F2 L'
D' L B' U F2 D2 L2
D' L B' U' R2 U2 F2
L R' D R' B U L2
F L' D F2 B2 U2 L2
F' L' D' R F2 L' B2
F' L' D' R F2 B2 L'
F' L' D' R B2 F2 L'
F L' D B2 F2 U2 L2
F L' D' R2 U2 F2 B2
F L' D' R2 U2 B2 F2
F' L' D' B2 R F2 L'
L R2 U2 F' B2 U' R
L R2 U2 B2 F' U' R
L R2 D2 F2 B U R'
L R2 D2 B F2 U R'
L R2 F D2 F2 U R
L R2 F' U R D L2
L R2 F' U D L2 R
L R2 F' U D R L2
L R2 F' U2 B2 U' R
L R2 F' D U L2 R
L R2 F' D U R L2
D' R L B' U F2 L'
L U F' D' R F2 L'
B2 R F' R2 U' R' F'
B2 R' U' F' R D' F2
B2 R' U2 D R' B U
B2 R' D U2 R' B U
B2 R' F' U' R D' F2
B2 R' F' U2 R' U R2
F' R' B2 L R' U' R'
F' R' B2 R' L U' R'
F' R2 L U R' D L2
F' R2 L U D L2 R'
F' R2 L U D R' L2
F' R2 L D U L2 R'
F' R2 L D U R' L2
F' R2 L D2 F2 U R'
F R2 L D2 F2 U R2
D' R2 U L B' U F2
R2 U2 F' B2 R' U' R2
F' R2 D L U L R'
F' R2 D L U R' L
R2 U2 B2 R' F' U' R
R2 U2 B2 F' R' U' R2
F' R2 D2 L F2 U R'
F' R2 D2 F2 L U R'
F R2 D2 F2 L U R
B R2 F' B' L U R
B R2 F' B2 U R B
B R2 B' L F' U R
B R2 B' F' L U R
B R2 B2 F' U R B
R2 D' L D' F2 B' U
R2 D' L D' B' F2 U
R2 D' L D2 B' U L2
R2 D' L B' U D2 L2
R2 D' L B' U' R2 U2
R2 D' L B' D' F2 U
R2 D' L B' D2 U L2
R2 D2 L F2 B U R'
R2 D2 L B F2 U R'
R2 D2 F2 L B U R'
R2 D2 F2 D L B' U
R2 F L D2 F2 U R2
L F R2 D2 F2 U R
R2 F D2 F2 L U R
R2 F' L U R D L2
R2 F' L U D L2 R
R2 F' L U D R L2
R2 F' L U2 B2 U' R
R2 F' L D U L2 R
R2 F' L D U R L2
L F' R2 U R' D L2
L F' R2 U D L2 R'
L F' R2 U D R' L2
L F' R2 D U L2 R'
L F' R2 D U R' L2
L F' R2 D2 F2 U R'
F' D' L U R F2 L'
L F' U D' R F2 L'
B2 D' L' R' F U' F
B2 D' L' F R' U' F
R2 F' U2 B2 R' U' R2
R2 F' D L U L R
R2 F' D L U R L
L' F' D' R F2 L' B2
L' F' D' R F2 B2 L'
L' F' D' R B2 F2 L'
L' F' D' B2 R F2 L'
F' D' R F2 L' D' B2
B2 D' R' L' F U' F
L F' D' U R F2 L'
R' F' B2 L R' U' R2
R' F' B2 R' L U' R2
L F' B R2 F' U R'
D2 F2 D L B' U F2
L2 B L' R2 F' U R
L' B L2 R2 F' U R
L' B R2 L2 F' U R
L' B R2 F' L2 U R
L2 B R2 L' F' U R
L B R2 F' U R D
L B R2 F' U R D'
L B R2 F' U R D2
L B R2 F' U D R
L B R2 F' U D' R
L B R2 F' U D2 R
L B R2 F' D U R
L B R2 F' D' U R
L B R2 F' D2 U R
L B R2 F' B U R
L B R2 F' B' U R
L B R2 F' B2 U R
L B R2 B F' U R
L B R2 B' F' U R
L B R2 B2 F' U R
L B F' R2 F' U R'
B2 F D' R' U' F2 R
B2 F' R' U2 R' U R'
R' B2 L R' F' U' R
R' B2 L F' R' U' R2
B2 F' D' R' U' R2 F2
B2 F' D' R' U' F2 R2
B2 F' D2 L2 R' U' R2
B2 F' D2 R' L2 U' R2
R' B2 R' L F' U' R
R' B2 R' F' L U' R
F' B2 R' U2 R' U R'
R' B2 F' L R' U' R2
R' B2 F' R' L U' R2
F' B2 D' R' U' R2 F2
F' B2 D' R' U' F2 R2
F' B2 D2 L2 R' U' R2
F' B2 D2 R' L2 U' R2
F B2 D' R' U' F2 R
