R' U B L U' B
R' L U B U' F B
R' L U B U' B F
D' L R2 U' R F L'
R' L F U B U' B
L R F R2 B2 D' L2
R L F R2 B2 D' L2
R' L F B' D B' L2
R' L F B2 U B' U'
L R F B2 R2 D' L2
R L F B2 R2 D' L2
L' R F' U B2 R2 F'
L R F' U R2 F2 B2
L R F' U R2 B2 F2
L R F' U F2 R2 B2
L R F' U F2 B2 R2
L R F' U B2 R2 F2
L R F' U B2 F2 R2
R L F' U R2 F2 B2
R L F' U R2 B2 F2
R L F' U F2 R2 B2
R L F' U F2 B2 R2
R L F' U B2 R2 F2
R L F' U B2 F2 R2
D' L F L' D R' B2
D' L F D L' R' B2
D' L F D R' L' B2
D' L F D R' B2 L'
R' L B' D F B' L2
R' L B' D B' F L2
R' L B' F D B' L2
R' L B2 U B' U' F
R' L B2 F U B' U'
L R B2 F R2 D' L2
R L B2 F R2 D' L2
L R' U B U' F B
L R' U B U' B F
L R' F U B U' B
L R' F B' D B' L2
L R' F B2 U B' U'
R L' F' U B2 R2 F'
L R' B' D F B' L2
L R' B' D B' F L2
L R' B' F D B' L2
L2 R' B2 L' D F L'
L R' B2 U B' U' F
L R' B2 F U B' U'
R' L2 B2 L' D F L'
R' U L B L U' B
R' U L' B L U' B
R' U L2 B L U' B
R' U D' B L R2 U'
R' U D' B R2 L U'
R' U B L U' D B
R' U B L U' D' B
R' U B L U' D2 B
R' U B L U' B D
R' U B L U' B D'
R' U B L U' B D2
R' U B L D U' B
R' U B L D' U' B
R' U B L D2 U' B
R' U B D L U' B
R' U B D' L U' B
R' U B D2 L U' B
R2 U B2 D' R F' L'
U2 R F' U R2 F' B2
U2 R F' U R2 B2 F'
F' R' U B L U' B
F2 R' U B L U' B
U2 R' U B U' F' B
U2 R' U B U' B F'
F R' U B L U' B
U2 R' F' U B U' B
U2 R' F' B' D B' L2
U2 R' F' B2 U B' U'
D R' B D' B2 L F
U2 R' B' D F' B' L2
U2 R' B' D B' L2 F'
U2 R' B' D B' F' L2
D R' B' D' L F B2
D R' B' D' L B2 F
U2 R' B' F' D B' L2
U2 R' B2 L2 F' D' L2
U2 R' B2 U B' U' F'
D' R2 L U' R F L'
U2 R' B2 F' U B' U'
U R' B2 U B' L U'
U2 R2 U R F' L' B2
U2 R2 U R F' B2 L'
U2 R2 U R B2 F' L'
U2 R2 U B2 R F' L'
R' D' U B L R2 U'
R' D' U B R2 L U'
L D' R2 U' R F L'
L D' F L' D R' B2
L D' F D L' R' B2
L D' F D R' L' B2
L D' F D R' B2 L'
U' F R F' U R2 B2
U' F R F' U B2 R2
L F R' U B U' B
R' F U B L U' B
L F R' B' D B' L2
L F R' B2 U B' U'
R F' L U R2 F B2
R F' L U R2 B2 F
R F' L U F R2 B2
R F' L U F B2 R2
R F' L U B2 R2 F
R F' L U B2 F R2
R F' L' U B2 R2 F'
R' F' U B L U' B
B D B' L R' F B2
B D B' L R' B2 F
B D B' L F R' B2
B D B' R' L F B2
B D B' R' L B2 F
B2 D' L2 F L' F R
R' F2 U B L U' B
R' B' D B' L F L
R' B2 L' D L2 F L'
R B2 L F R2 D' L2
R2 B2 R U B L U'
R' B2 U B L B2 U'
R' B2 U B' U2 R' U
R B2 R2 U B L U'
L B2 D' F L' D2 R2
