L U B U F B2
L U B U B2 F
L U2 F B' D' R2
L U2 B' D' R2 F
L U2 B' D' F R2
L U2 B' F D' R2
L' F B' U B2 U
L' F B' U2 D' R2
L' F B' D L2 U2
L' F B' D' U2 R2
U B U2 L U' B'
L' B' D L2 U2 B'
L' B' D F L2 U2
L' B' D' F U2 R2
L' B' F U B2 U
L' B' F U2 D' R2
L' B' F D L2 U2
L' B' F D' U2 R2
U' L R' U' B' R' F'
F' L U B U F B2
F' L U B U B2 F
F2 L U B U F B2
F2 L U B U B2 F
B' L U B2 U F B
B' L U B2 U B F
F L U B U F B2
F L U B U B2 F
B' L U2 D' R2 F B'
B' L U2 D' R2 B' F
B' L U2 D' F R2 B'
B' L U2 D' F B' R2
B' L U2 D' B' R2 F
B' L U2 D' B' F R2
B' L U2 F D' R2 B'
B' L U2 F D' B' R2
F' L U2 F B' D' R2
F2 L U2 F B' D' R2
F L U2 F B' D' R2
F' L U2 B' D' R2 F
F' L U2 B' D' F R2
F' L U2 B' F D' R2
F2 L U2 B' D' R2 F
F2 L U2 B' D' F R2
F2 L U2 B' F D' R2
F L U2 B' D' R2 F
F L U2 B' D' F R2
F L U2 B' F D' R2
B' L D L2 F B' U2
B' L D L2 B' F U2
B' L D' U2 R2 F B'
B' L D' U2 R2 B' F
B' L D' U2 F R2 B'
B' L D' U2 F B' R2
B' L D' U2 B' R2 F
B' L D' U2 B' F R2
U L B U2 L U' B2
U L B' R' B2 U B2
B' L' D L2 U2 F B'
B' L' D L2 U2 B' F
B' L' D F L2 U2 F
B' L' D F B' L2 U2
B2 L' D F B' L' U2
B' L' D B' L2 U2 B'
B' L' D B' F L2 U2
B2 L' D B' F L' U2
B' L' D' F B' U2 R2
B2 L' D' F B' L U2
B' L' D' B' F U2 R2
B2 L' D' B' F L U2
B' L' F D L2 U2 F
B' L' F D B' L2 U2
B' L' F D' B' U2 R2
F' L' F B' U B2 U
F' L' F B' U2 D' R2
F' L' F B' D L2 U2
F' L' F B' D' U2 R2
B2 L' F D' B' L U2
B' L' F B' U B' U
F2 L' F B' U B2 U
F2 L' F B' U2 D' R2
F2 L' F B' D L2 U2
F2 L' F B' D' U2 R2
B L' F B' U B U
F L' F B' U B2 U
F L' F B' U2 D' R2
F L' F B' D L2 U2
F L' F B' D' U2 R2
D' L' B' U L B2 U
F' L' B' D L2 U2 B'
F' L' B' D F L2 U2
F' L' B' D' F U2 R2
F2 L' B' D L2 U2 B'
F2 L' B' D F L2 U2
F' L' B' F U B2 U
B2 L' B' D F L' U2
F' L' B' F U2 D' R2
F' L' B' F D L2 U2
F2 L' B' D' F U2 R2
F' L' B' F D' U2 R2
B' L' B' F U B' U
F2 L' B' F U B2 U
F2 L' B' F U2 D' R2
F2 L' B' F D L2 U2
F2 L' B' F D' U2 R2
F L' B' D L2 U2 B'
F L' B' D F L2 U2
F L' B' D' F U2 R2
B L' B' F U B U
F L' B' F U B2 U
F L' B' F U2 D' R2
F L' B' F D L2 U2
F L' B' F D' U2 R2
U' L2 R2 F' L' U' B'
L' U L2 B U F B2
L' U L2 B U B2 F
L2 U L2 B L U F
L U R' U F R B'
L U R' U F B' R
L U R' U B' F R
L U D B U F B2
L U D B U B2 F
L2 U D' B L R' U
L2 U D' B R' L U
L U D' B U F B2
L U D' B U B2 F
L U D2 B U F B2
L U D2 B U B2 F
L2 U B L U' B' U2
L' U B U' F B2 U2
L' U B U' B2 F U2
L U B R U F B2
L U B R U B2 F
L U B R' U F B2
L U B R' U B2 F
L U B R2 U F B2
L U B R2 U B2 F
L U B U F B2 D
L U B U F B2 D'
L U B U F B2 D2
L U B U B2 D F
L U B U B2 D' F
L U B U B2 D2 F
L U B U B2 F D
L U B U B2 F D'
L U B U B2 F D2
L U' R' U' F B' R'
L U' R' U' B' R' F
L U' R' U' B' F R'
L U' R2 F' U' F2 B'
L U' R2 F' U' B' F2
U' R' L U' B' R' F'
L U2 R2 F D R2 B'
L U2 R2 F D B' R2
L U2 R2 F B' D R2
L U2 R2 B' F D R2
L U2 D F B' D' R2
L U2 D B' D' R2 F
L U2 D B' D' F R2
L U2 D B' F D' R2
L U2 D' F B' D' R2
L U2 D' B' D' R2 F
L U2 D' B' D' F R2
L U2 D' B' F D' R2
L U2 D2 F B' D' R2
L U2 D2 B' D' R2 F
L U2 D2 B' D' F R2
L U2 D2 B' F D' R2
U' R2 L2 F' L' U' B'
L U2 F U' B U B2
L U2 F D B' D' R2
L U2 F D' B' D' R2
L U2 F D2 B' D' R2
L U2 F B' R D' R2
L U2 F B' R' D' R2
L U2 F B' R2 D' R2
L U2 F B' U' B2 U
L U2 F B' D' R2 D
L U2 F B' D' R2 D'
L U2 F B' D' R2 D2
