F2 L' F' R' B' U
B2 L R D F U' L'
B2 L D R F U' L'
F2 L' R' D B' U L
F L' R' D2 B' L U
F L' D R' B' U B2
F2 L' D F' R' B' U
F2 L' D' F' R' B' U
F L' D2 R' B' L U
F2 L' D2 F' R' B' U
F2 L' F R' F2 B' U
F2 L' F R' B' F2 U
F2 L' F' R B' R2 U
F2 L' F' R' D B' U
F2 L' F' R' D' B' U
F2 L' F' R' D2 B' U
F2 L' F' R' B' U D
F2 L' F' R' B' U D'
F2 L' F' R' B' U D2
F2 L' F' R' B' D U
F2 L' F' R' B' D' U
F2 L' F' R' B' D2 U
F2 L' F' R2 B' R U
F2 L' F' D R' B' U
F2 L' F' D' R' B' U
F2 L' F' D2 R' B' U
F2 L' F2 R' F B' U
F2 L' F2 R' B' F U
F2 L' B' D2 F' R U
B2 L2 R B' L' F U'
F2 L2 F' L R' B' U
F2 L2 F' R' L B' U
B2 L2 B' L' R F U'
B2 L2 B' R L' F U'
B2 R L D F U' L'
B2 R L2 B' L' F U'
U2 R U2 F B R2 U
B R U2 F R B U
U2 R U2 B R2 F U
U2 R U2 B F R2 U
U R U2 R2 F U R
U R U2 F R2 U R'
U R D2 L2 B' U' R'
F2 R' L' D B' U L
F R' L' D2 B' L U
R U' F' D' F2 L2 R
R U' F' D' F2 R L2
F R' U D B' R' B
F R' U B' D R' B
F R' U2 R' F' R U'
F2 R' D L' B' U L
U' R' D F U R B2
U' R' D F U B2 R
F R' D U B' R' B
F2 R' D2 L' F B' U
F2 R' D2 L' B' F U
U' R' D2 F L2 U R
F R' D2 L' B' L U
U' R' F U D R B2
U' R' F U D B2 R
U' R' F U2 R2 U' R'
U' R' F D U R B2
U' R' F D U B2 R
U' R' F D2 L2 U R
U2 R' F U D R2 B2
U2 R' F U D B2 R2
U2 R' F U2 R2 F2 U'
U2 R' F U2 F2 R2 U'
F R' F L' F' B' U
F R' F L' B' F' U
U2 R' F D U R2 B2
U2 R' F D U B2 R2
U2 R' F D2 L2 B2 U
F' R' F' L' F' B' U
F' R' F' L' B' F' U
U2 R' F D2 B2 L2 U
R U2 R B R F U
R U2 D' F U F R
R U2 F R B R U
R' D F L' B' U B'
R' D F U B' R' B'
R' D F B' U B' R'
R' D B' F U B' R'
R' D' F U' F U2 R
R D' U2 F U F R
R D2 L F L B' U'
R' D2 F L' B' L' U
R' F L U2 R2 F U'
R' F L U2 F R2 U'
R' F L D2 L2 B' U
R' F L' D B' U B'
R' F L' D2 B' L2 U
R' F L' B' U D B2
R' F L' B' U2 R2 U'
R' F L' B' D U B2
R' F L' B' D2 L2 U
U2 F R' U2 F' R U'
R' F U D B' R' B'
R' F U B D B2 R'
R' F U B' D R' B2
R' F U2 R' F' R' U'
R' F D L' B' U B'
U' F D R' U B R2
R' F D U B' R' B'
F2 D L' F' R' B' U
R' F D B' U B' R'
F D L' R' B' U B2
R' F D2 L' B' L' U
F D R' L' B' U B2
F D R' U B' R' B2
F D R' B2 U B' R'
F2 D' L' F' R' B' U
U' F2 L' F' R' U R2
D2 F2 L' F' R' B' U
D' F2 L' F' R' B' U
D F2 L' F' R' B' U
F2 D2 L' F' R' B' U
F D2 L' R' B' L U
F D2 R' L' B' L U
F' D2 B2 L F R U'
F2 B L' F' B' R' U
F2 B L' B' F' R' U
B F2 L' F' B' R' U
L B2 R F L B' U'
B F2 L' B' F' R' U
