U' L' U' R' B'
U' L' R U' R2 B'
U' L' R U' B' R2
U' L' R2 U' R B'
U' L' R2 U' B' R
U' L' U' R B' R2
U' L' U' R' D B'
U' L' U' R' D' B'
U' L' U' R' D2 B'
U' L' U' R' B' D
U' L' U' R' B' D'
U' L' U' R' B' D2
U' L' U' R2 B' R
U' L' U' D R' B'
U' L' U' D' R' B'
U' L' U' D2 R' B'
U' L' D U' R' B'
U' L' D' U' R' B'
U' L' D2 U' R' B'
U' L' F U' R' B'
U' L' F' U' R' B'
U' L' F2 U' R' B'
U' R L' U' R2 B'
U' R L' U' R2 B'
U' R L' U' B' R2
U2 R' U L' U' B'
U' R2 L' U' R B'
U' R2 L' U' B' R
U' D L' U' R' B'
F2 U R U B R2
U' D' L' U' R' B'
D2 U' L' U' R' B'
D' U' L' U' R' B'
D U' L' U' R' B'
U' D2 L' U' R' B'
L' R U R' F' U2 R'
F2 L U R U B R2
B2 L B U' L2 R' U'
B2 L B U' R' L2 U'
R2 L' U R2 U2 R' B
R L' U R' F' U2 R'
U' L' R U' R B' R
U' L' R U' R2 D B'
U' L' R U' R2 D' B'
U' L' R U' R2 D2 B'
U' L' R U' R2 B' D
U' L' R U' R2 B' D'
U' L' R U' R2 B' D2
U' L' R U' B R2 B2
U' L' R U' B' R2 D
U' L' R U' B' R2 D'
U' L' R U' B' R2 D2
U' L' R D' F2 U' B'
U' L' R F U' R2 B'
U' L' R F U' B' R2
U' L' R F' U' R2 B'
U' L' R F' U' B' R2
U' L' R F2 U' R2 B'
U' L' R F2 U' B' R2
U' L' R2 U' R D B'
U' L' R2 U' R D' B'
U' L' R2 U' R D2 B'
U' L' R2 U' R B' D
U' L' R2 U' R B' D'
U' L' R2 U' R B' D2
U' L' R2 U' R' B' R2
U' L' R2 U' D R B'
U' L' R2 U' D B' R
U' L' R2 U' D' R B'
U' L' R2 U' D' B' R
U' L' R2 U' D2 R B'
U' L' R2 U' D2 B' R
U' L' R2 U' B R B2
U' L' R2 U' B' R D
U' L' R2 U' B' R D'
U' L' R2 U' B' R D2
U' L' R2 U' B' D R
U' L' R2 U' B' D' R
U2 L' R2 U' L R B
U' L' R2 U' B' D2 R
U2 L' R2 U' R L B
U' L' R2 D U' R B'
U' L' R2 D U' B' R
U' L' R2 D' U' R B'
U' L' R2 D' U' B' R
U' L' R2 D2 U' R B'
U' L' R2 D2 U' B' R
U' L' U L2 F U2 R'
F2 L' U R U B R2
U' L' U F U2 R' B'
U' L' U F' U2 R' B'
U' L' U F2 U2 R' B'
U2 L' U' L R B R2
U' L' U' R B R2 B2
U' L' U' R B' R2 D
U' L' U' R B' R2 D'
U' L' U' R B' R2 D2
U2 L' U' R L B R2
U' L' U' R' D B' D
U' L' U' R' D B' D'
U' L' U' R' D B' D2
U' L' U' R' D' B' D
U' L' U' R' D' B' D'
U' L' U' R' D' B' D2
U' L' U' R' D2 B' D
U' L' U' R' D2 B' D'
U' L' U' R' D2 B' D2
U' L' U' R' B2 D B
U' L' U' R' B2 D' B
U' L' U' R' B2 D2 B
U' L' U' R2 D R B'
U' L' U' R2 D B' R
U' L' U' R2 D' R B'
U' L' U' R2 D' B' R
U' L' U' R2 D2 R B'
U' L' U' R2 D2 B' R
U' L' U' R2 B R B2
U' L' U' R2 B' R D
U' L' U' R2 B' R D'
U' L' U' R2 B' R D2
U' L' U' R2 B' D R
U' L' U' R2 B' D' R
U' L' U' R2 B' D2 R
U' L' U' D R B' R2
U' L' U' D R' D B'
U' L' U' D R' D' B'
U' L' U' D R' D2 B'
U' L' U' D R' B' D
U' L' U' D R' B' D'
U' L' U' D R' B' D2
U' L' U' D R2 B' R
U' L' U' D' R B' R2
U' L' U' D' R' D B'
U' L' U' D' R' D' B'
U' L' U' D' R' D2 B'
U' L' U' D' R' B' D
U' L' U' D' R' B' D'
U' L' U' D' R' B' D2
U' L' U' D' R2 B' R
U' L' U' D2 R B' R2
U' L' U' D2 R' D B'
U' L' U' D2 R' D' B'
U' L' U' D2 R' D2 B'
U' L' U' D2 R' B' D
U' L' U' D2 R' B' D'
U' L' U' D2 R' B' D2
U' L' U' D2 R2 B' R
U' L' U' F' R' F B'
U' L' U' F' R' B' F
U' L' U' F2 R' F2 B'
U' L' U' F2 R' B' F2
U' L' D R U' R2 B'
U' L' D R U' B' R2
U' L' D R2 U' R B'
U' L' D R2 U' B' R
U' L' D R2 U' B' R
U' L' D U' R B' R2
U' L' D U' R' D B'
U' L' D U' R' D' B'
U' L' D U' R' D2 B'
U' L' D U' R' B' D
U' L' D U' R' B' D'
U' L' D U' R' B' D2
U' L' D U' R2 B' R
U' L' D F U' R' B'
U' L' D F' U' R' B'
U' L' D F2 U' R' B'
U' L' D' R U' R2 B'
U' L' D' R U' B' R2
U' L' D' R2 U' R B'
U' L' D' R2 U' B' R
U' L' D' U' R B' R2
U' L' D' U' R' D B'
U' L' D' U' R' D' B'
U' L' D' U' R' D2 B'
U' L' D' U' R' B' D
U' L' D' U' R' B' D'
U' L' D' U' R' B' D2
U' L' D' U' R2 B' R
U' L' D' F U' R' B'
U' L' D' F' U' R' B'
U' L' D' F2 U' R' B'
U' L' D2 R U' R2 B'
U' L' D2 R U' B' R2
U' L' D2 R2 U' R B'
U' L' D2 R2 U' B' R
U' L' D2 U' R B' R2
U' L' D2 U' R' D B'
U' L' D2 U' R' D' B'
U' L' D2 U' R' D2 B'
U' L' D2 U' R' B' D
U' L' D2 U' R' B' D'
U' L' D2 U' R' B' D2
U' L' D2 U' R2 B' R
U' L' D2 F U' R' B'
U' L' D2 F' U' R' B'
U' L' D2 F2 U' R' B'
U' L' F R U' R2 B'
U' L' F R U' B' R2
U2 L' F R U' L R2
U2 L' F R U' R2 L
U' L' F R2 U' R B'
U' L' F R2 U' B' R
U' L' F U' R B' R2
U' L' F U' R' D B'
U' L' F U' R' D' B'
U' L' F U' R' D2 B'
U' L' F U' R' B' D
U' L' F U' R' B' D'
U' L' F U' R' B' D2
U' L' F U' R2 B' R
U' L' F U' D R' B'
U' L' F U' D' R' B'
U' L' F U' D2 R' B'
U' L' F D U' R' B'
U' L' F D' U' R' B'
U' L' F D2 U' R' B'
L' R2 U R2 U2 R' B
U' L' F' R U' R2 B'
U' L' F' R U' B' R2
U' L' F' R2 U' R B'
U' L' F' R2 U' B' R
U' L' F' U' R B' R2
U' L' F' U' R' D B'
U' L' F' U' R' D' B'
U' L' F' U' R' D2 B'
U' L' F' U' R' B' D
U' L' F' U' R' B' D'
U' L' F' U' R' B' D2
U' L' F' U' R2 B' R
U' L' F' U' D R' B'
U' L' F' U' D' R' B'
U' L' F' U' D2 R' B'
U' L' F' D U' R' B'
U' L' F' D' U' R' B'
U' L' F' D2 U' R' B'
U' L' F2 R U' R2 B'
U' L' F2 R U' B' R2
U' L' F2 R2 U' R B'
U' L' F2 R2 U' B' R
U' L' F2 U' R B' R2
U' L' F2 U' R' D B'
U' L' F2 U' R' D' B'
U' L' F2 U' R' D2 B'
U' L' F2 U' R' B' D
U' L' F2 U' R' B' D'
U' L' F2 U' R' B' D2
U' L' F2 U' R2 B' R
U' L' F2 U' D R' B'
U' L' F2 U' D' R' B'
U' L' F2 U' D2 R' B'
U' L' F2 D U' R' B'
U' L' F2 D' U' R' B'
U' L' F2 D2 U' R' B'
F2 L2 U R U B R2
U' L2 D2 L U' R' B
U' L2 F L U' R' B'
U' L2 F' L U' R' B'
U' L2 F2 L U' R' B'
U' R L' U' R B' R
U' R L' U' R2 D B'
U' R L' U' R2 D' B'
U' R L' U' R2 D2 B'
U' R L' U' R2 B' D
U' R L' U' R2 B' D'
U' R L' U' R2 B' D2
U' R L' U' B R2 B2
U' R L' U' B' R2 D
U' R L' U' B' R2 D'
U' R L' U' B' R2 D2
U' R L' D' F2 U' B'
U' R L' F U' R2 B'
U' R L' F U' B' R2
U' R L' F' U' R2 B'
U' R L' F' U' B' R2
U' R L' F2 U' R2 B'
U' R L' F2 U' B' R2
U2 R U L' U' R2 B'
U2 R U L' U' B' R2
U R U2 L' U' B R2
U' R D' L' F2 U' B'
L2 U' L U F U2 R'
L U' L2 U' D2 R' B
L U' L2 D2 U' R' B
U2 R' U L' R U' B'
U2 R' U L' R' U' B'
U2 R' U L' R2 U' B'
U2 R' U L' U' D B'
U2 R' U L' U' D' B'
U2 R' U L' U' D2 B'
U2 R' U L' U' B' D
U2 R' U L' U' B' D'
U2 R' U L' U' B' D2
U2 R' U L' D U' B'
U2 R' U L' D' U' B'
U2 R' U L' D2 U' B'
U2 R' U R L' U' B'
U2 R' U R' L' U' B'
U2 R' U R2 L' U' B'
U2 R' U D L' U' B'
U2 R' U D' L' U' B'
U2 R' U D2 L' U' B'
U2 R' D U L' U' B'
L' U2 L U L' R' B'
L' U2 L U R' L' B'
U2 R' D' U L' U' B'
U2 R' D2 U L' U' B'
L' U2 R' U' R U B
U2 R' B U L' U' B'
U2 R' B' U L' U' B'
U2 R' B2 U L' U' B'
L U2 D F2 D R' B
U' R2 L' U' R D B'
U' R2 L' U' R D' B'
U' R2 L' U' R D2 B'
U' R2 L' U' R B' D
U' R2 L' U' R B' D'
U' R2 L' U' R B' D2
U' R2 L' U' R' B' R2
U' R2 L' U' D R B'
U' R2 L' U' D B' R
U' R2 L' U' D' R B'
U' R2 L' U' D' B' R
U' R2 L' U' D2 R B'
U' R2 L' U' D2 B' R
U' R2 L' U' B R B2
U' R2 L' U' B' R D
U' R2 L' U' B' R D'
U' R2 L' U' B' R D2
U' R2 L' U' B' D R
U' R2 L' U' B' D' R
U' R2 L' U' B' D2 R
U' R2 L' D U' R B'
U' R2 L' D U' B' R
U' R2 L' D' U' R B'
U' R2 L' D' U' B' R
U' R2 L' D2 U' R B'
U' R2 L' D2 U' B' R
U2 R2 L' U' L R B
U2 R2 L' U' R L B
L' U2 F' L' U L R'
L' U2 F' L' U R' L
L U2 F R' D F2 B2
L U2 F R' D B2 F2
U2 R2 U L' U' R B'
U2 R2 U L' U' B' R
L U2 F2 D R' F2 B
L U2 F2 D R' B F2
L U2 F2 D F2 R' B
U' R2 D L' U' R B'
U' R2 D L' U' B' R
U' R2 D' L' U' R B'
U' R2 D' L' U' B' R
U' R2 D2 L' U' R B'
U' R2 D2 L' U' B' R
F2 U L R U B R2
U' D L' R U' R2 B'
U' D L' R U' B' R2
U' D L' R2 U' R B'
U' D L' R2 U' B' R
U' D L' U' R B' R2
U' D L' U' R' D B'
U' D L' U' R' D' B'
U' D L' U' R' D2 B'
U' D L' U' R' B' D
U' D L' U' R' B' D'
U' D L' U' R' B' D2
U' D L' U' R2 B' R
U' D L' U' D R' B'
U' D L' U' D' R' B'
U' D L' U' D2 R' B'
F2 U L' R U B R2
U' D L' D U' R' B'
U' D L' D' U' R' B'
U' D L' D2 U' R' B'
U' D L' F U' R' B'
U' D L' F' U' R' B'
U' D L' F2 U' R' B'
L D U2 F2 D R' B
F2 U L2 R U B R2
U' D R L' U' R2 B'
U' D R L' U' B' R2
F2 U R L U B R2
F2 U R L' U B R2
F2 U R L2 U B R2
F2 U R U B R2 D
F2 U R U B R2 D'
F2 U R U B R2 D2
F2 U R U B' R2 B2
F2 U R U B2 R2 B'
F2 U R D B2 U B'
F2 U R B' U R2 B2
F2 U R B' U B2 R2
F2 U R B2 U R2 B'
F2 U R B2 U B' R2
U2 D R' U L' U' B'
U' D R2 L' U' R B'
U' D R2 L' U' B' R
F2 U D R U B R2
F2 U D' R U B R2
F2 U D2 R U B R2
D' U' L' R U' R2 B'
D' U' L' R U' B' R2
U' D' L' R U' R2 B'
U' D' L' R U' B' R2
D2 U' L' R U' R2 B'
D2 U' L' R U' B' R2
U' D' L' R2 U' R B'
D' U' L' R2 U' R B'
U' D' L' R2 U' B' R
D' U' L' R2 U' B' R
D2 U' L' R2 U' R B'
D2 U' L' R2 U' B' R
F2 U B' R U B R'
U' D' L' U' R B' R2
U' D' L' U' R' D B'
D' U' L' U' R B' R2
U' D' L' U' R' D' B'
U' D' L' U' R' D2 B'
U' D' L' U' R' B' D
U' D' L' U' R' B' D'
U' D' L' U' R' B' D2
D' U' L' U' R' D B'
D' U' L' U' R' D' B'
D' U' L' U' R' D2 B'
D' U' L' U' R' B' D
D' U' L' U' R' B' D'
D' U' L' U' R' B' D2
U' D' L' U' R2 B' R
U' D' L' U' D R' B'
D' U' L' U' R2 B' R
U' D' L' U' D' R' B'
D' U' L' U' D R' B'
D' U' L' U' D' R' B'
U' D' L' U' D2 R' B'
D' U' L' U' D2 R' B'
D2 U' L' U' R B' R2
D2 U' L' U' R' D B'
D2 U' L' U' R' D' B'
D2 U' L' U' R' D2 B'
D2 U' L' U' R' B' D
D2 U' L' U' R' B' D'
D2 U' L' U' R' B' D2
D2 U' L' U' R2 B' R
D2 U' L' U' D R' B'
D2 U' L' U' D' R' B'
D2 U' L' U' D2 R' B'
U' D' L' D U' R' B'
D' U' L' D U' R' B'
U' D' L' D' U' R' B'
D' U' L' D' U' R' B'
D2 U' L' D U' R' B'
U' D' L' D2 U' R' B'
D' U' L' D2 U' R' B'
D2 U' L' D' U' R' B'
U' D' L' F U' R' B'
D' U' L' F U' R' B'
D2 U' L' D2 U' R' B'
D' U' L' F' U' R' B'
U' D' L' F' U' R' B'
D2 U' L' F U' R' B'
D' U' L' F2 U' R' B'
U' D' L' F2 U' R' B'
D2 U' L' F' U' R' B'
D2 U' L' F2 U' R' B'
D U' L' R U' R2 B'
D U' L' R U' B' R2
D U' L' R2 U' R B'
D U' L' R2 U' B' R
D U' L' U' R B' R2
D U' L' U' R' D B'
D U' L' U' R' D' B'
D U' L' U' R' D2 B'
D U' L' U' R' B' D
D U' L' U' R' B' D'
D U' L' U' R' B' D2
D U' L' U' R2 B' R
D U' L' U' D R' B'
D U' L' U' D' R' B'
D U' L' U' D2 R' B'
D U' L' D U' R' B'
D U' L' D' U' R' B'
D U' L' D2 U' R' B'
D U' L' F U' R' B'
D U' L' F' U' R' B'
D U' L' F2 U' R' B'
U' D' R L' U' R2 B'
U' D' R L' U' B' R2
D' U' R L' U' R2 B'
D' U' R L' U' B' R2
D2 U' R L' U' R2 B'
D2 U' R L' U' B' R2
D U' R L' U' R2 B'
D U' R L' U' B' R2
U2 D' R' U L' U' B'
U' D' R2 L' U' R B'
D' U' R2 L' U' R B'
U' D' R2 L' U' B' R
D' U' R2 L' U' B' R
B U' L' U2 B' L2 U
D2 U' R2 L' U' R B'
D2 U' R2 L' U' B' R
D U' R2 L' U' R B'
D U' R2 L' U' B' R
B' U' R' D L' F U'
B' U' D L' R' F U'
B' U' D L' F R' U'
B' U' D R' L' F U'
L D' B2 D L U2 B'
F' U' F L' U' R' B'
R2 D2 L' U' L' R B'
R2 D2 L' U' L' B' R
R2 D2 L' U' R L' B'
U' D2 L' R U' R2 B'
U' D2 L' R U' B' R2
U' D2 L' R2 U' R B'
U' D2 L' R2 U' B' R
U' D2 L' U' R B' R2
U' D2 L' U' R' D B'
U' D2 L' U' R' D' B'
