D' L' F2 R D B2
D' R' U' L' F2 R
F2 R' D B2 L U'
R' B2 L F2 U' L2
L' R U F2 L' R2 U'
L' R U F2 R2 L' U'
D' L R' U' L2 F2 R
F2 L R' D B2 L U'
B2 L R2 U L2 D R2
B2 L R2 U2 F2 U' L2
B2 L R2 D F2 U R2
R2 L U2 R F2 U' L2
R2 L D F2 L' U R2
L' R F2 L' R2 U' L
L R F2 L' R2 U' L'
L2 R F2 L' R2 U' L2
L' R F2 R2 L' U' L
R L F2 L' R2 U' L'
L R F2 R2 L' U' L'
L2 R F2 R2 L' U' L2
R' L F2 U2 R' U L2
R L F2 R2 L' U' L'
R' L F2 D' B2 L U'
R' L F2 B2 L U' L
B2 L F' R2 B U L2
R' L B2 L F2 U' L
R' L B2 F2 L U' L
R2 L' U R F2 U' F2
R L' U F2 L' R2 U'
R L' U F2 R2 L' U'
D2 L B2 L R' U L
D2 L B2 R' L U L
D' L' R F2 D R B2
D' L' R F2 D B2 R
F2 L' R' D B2 L U'
D' L' U R' U' F2 R
R L' F2 L' R2 U' L
B2 L' D R2 D2 F2 B2
B2 L' D R2 D2 B2 F2
R L' F2 R2 L' U' L
L2 R' F2 U2 R' U L
L R' F2 U2 R' U L2
R' L' F2 B2 L U' L'
L' R' F2 B2 L U' L'
L R' F2 D' B2 L U'
L R' F2 B2 L U' L
B2 L' D' F2 B2 D2 R2
B2 L' D' B2 F2 D2 R2
L R' B2 L F2 U' L
R' L' B2 F2 L U' L'
L' R' B2 F2 L U' L'
L' R2 U R F2 U' F2
L R' B2 F2 L U' L
D' L' F2 R U R2 U'
D' L' F2 R D B2 D
D' L' F2 R D B2 D'
D' L' F2 R D B2 D2
D' L' F2 R B D B2
D' L' F2 R B' D B2
D' L' F2 R B2 D B2
D' L' F2 U R' U' R2
D' L' F2 D R D B2
D' L' F2 D' R D B2
D' L' F2 D2 R D B2
L2 R2 U2 R F2 U' L
R2 L2 U2 R F2 U' L
L R2 U2 R F2 U' L2
L R2 D F2 L' U R2
D2 L2 R' U' L D' R2
D2 L2 R' U' D' L R2
D2 L2 R' U' D' R2 L
D2 L2 R' D' U' L R2
D2 L2 R' D' U' R2 L
D2 L2 R' D2 F2 U' L
F2 L2 R' D B2 L U'
R' L2 F2 U2 R' U L
R L2 F2 L' R2 U' L2
D' L2 U' R' U' L F2
D' L2 U' R' U' F2 L
R L2 F2 R2 L' U' L2
D2 L2 D' R' U' L R'
D2 L2 D' R' U' R' L
D2 L2 D2 R' F2 U' L
D2 L2 D2 F2 R' U' L
R2 U L' R' D R2 B2
R2 U L' R' D B2 R2
R2 U L' U R F2 U'
L' U R F2 L' R2 U'
L' U R F2 R2 L' U'
R2 U R F2 U' F2 L'
R2 U R' L' D R2 B2
R2 U R' L' D B2 R2
L' U R' F2 U2 R' U
R2 U R' D L' R2 B2
R2 U R' D L' B2 R2
R2 U R' D R2 L' B2
R2 U R' D R2 B2 L'
R2 U R' D B2 L' R2
R2 U R' D B2 R2 L'
D' R L' F2 D R B2
