B2 R D' F2 L'
B2 L R D' F2 L'
R' L U' B2 L R2
R' L U' B2 R2 L
L' R B2 D F2 L'
D L B2 R' U' R2
L R' U' B2 L R2
L R' U' B2 R2 L
B2 L' R D' F2 L'
R L' B2 D F2 L'
B2 L2 R D' F2 L'
L U R2 U2 R' B2
B2 R L D' F2 L'
B2 R L' D' F2 L'
B2 R L2 D' F2 L'
B2 R D' L F2 L'
B2 R D' L' F2 L'
B2 R D' L2 F2 L'
B2 R D' F2 L' D
B2 R D' F2 L' D'
B2 R D' F2 L' D2
R2 U' L U' R' B2
B2 R D' F2 D L'
B2 R D' F2 D' L'
B2 R D' F2 D2 L'
B2 R F2 L' D' F2
B2 R F2 D' L' F2
L U' R' B2 L R2
L U' R' B2 R2 L
L U' B2 D2 L2 R
L U' B2 D2 R L2
B2 D' R D' L2 F2
B2 D' R D' F2 L2
R F2 L' B2 D F2
B2 D2 L2 R D' F2
B2 D2 R L2 D' F2
L' B2 R D F2 L'
U' B2 R D' F2 L'
U2 B2 R D' F2 L'
U B2 R D' F2 L'
R' L U R' U2 R' B2
B2 L R D' L F2 L'
B2 L R D' L' F2 L'
B2 L R D' L2 F2 L'
B2 L R D' F2 L' D
B2 L R D' F2 L' D'
B2 L R D' F2 L' D2
B2 L R D' F2 D L'
B2 L R D' F2 D' L'
B2 L R D' F2 D2 L'
B2 L R F2 L' D' F2
B2 L R F2 D' L' F2
D L R B2 R' U' R
U' L R' U' B2 L R2
U' L R' U' B2 R2 L
U2 L R' U' B2 L R2
U2 L R' U' B2 R2 L
R' L U' L B2 L R2
R' L U' L B2 R2 L
R' L U' L' B2 L R2
R' L U' L' B2 R2 L
R' L U' L2 B2 L R2
R' L U' L2 B2 R2 L
U L R' U' B2 L R2
U L R' U' B2 R2 L
R2 L U' R' B2 D L2
D L R' B2 R' U' R'
D' L R2 U' R' D' L2
D' L R2 U' D' L2 R'
D' L R2 U' D' R' L2
R' L U' B' R2 B' L
D' L R2 U2 F2 U R'
R' L U' B2 L R2 D
R' L U' B2 L R2 D'
R' L U' B2 L R2 D2
R' L U' B2 R2 L D
R' L U' B2 R2 L D'
R' L U' B2 R2 L D2
R' L U' B2 R2 D L
R' L U' B2 R2 D' L
R' L U' B2 R2 D2 L
D' L R2 D' U' L2 R'
D' L R2 D' U' R' L2
F2 L U L2 R2 U2 B2
U' L U R2 U2 R' B2
U2 L U R2 U2 R' B2
F2 L U R2 L2 U2 B2
U L U R2 U2 R' B2
D2 L U F2 L' U2 L2
D2 L U' L R D2 B2
D2 L U' L D2 R B2
D2 L U' L D2 B2 R
L' R D F2 D' L' B2
L' R D F2 D' B2 L'
D2 L U' R L D2 B2
D2 L U' R D2 L B2
U' L U' R' B2 L R2
U' L U' R' B2 R2 L
U2 L U' R' B2 L R2
U2 L U' R' B2 R2 L
D2 L U' D2 L R B2
D2 L U' D2 L B2 R
D2 L U' D2 R L B2
U L U' R' B2 L R2
U L U' R' B2 R2 L
R' L D' R2 F2 U' L'
U' L U' B2 D2 L2 R
U' L U' B2 D2 R L2
F2 L U' B2 D2 L2 R2
U2 L U' B2 D2 L2 R
U2 L U' B2 D2 R L2
F2 L U' B2 D2 R2 L2
U L U' B2 D2 L2 R
U L U' B2 D2 R L2
D2 L D R2 U' L R'
D2 L D R2 U' R' L
R' L F U' B2 L R2
R' L F U' B2 R2 L
B2 L D' R D' L2 F2
B2 L D' R D' F2 L2
R' L F' U' B2 L R2
R' L F' U' B2 R2 L
B2 L D2 L2 R D' F2
B2 L D2 R L2 D' F2
D2 L D2 U' L R B2
D2 L D2 U' L B2 R
D2 L D2 U' R L B2
R' L F2 U' B2 L R2
R' L F2 U' B2 R2 L
L' R F2 B2 D L' F2
L' R B D F2 L' B
L' R B D F2 B L'
L' R B D B F2 L'
R' L B' U' R2 B' L
R' L B' U' B' L R2
R' L B' U' B' R2 L
L' R B' D F2 B' L'
L' R B' D B' F2 L'
L2 R B2 L D F2 L'
L R B2 L2 D F2 L'
R L B2 L2 D F2 L'
L' R B2 D L F2 L'
L' R B2 D L' F2 L'
L' R B2 D L2 F2 L'
L' R B2 D F2 L' D
L' R B2 D F2 L' D'
L' R B2 D F2 L' D2
L' R B2 D F2 D L'
L' R B2 D F2 D' L'
L' R B2 D F2 D2 L'
L' R B2 F2 D L' F2
B L B R D' F2 L'
L R' U R' U2 R' B2
L R' U' L B2 L R2
L R' U' L B2 R2 L
L R' U' L' B2 L R2
L R' U' L' B2 R2 L
R2 L' U' L2 U' R' B2
L R' U' L2 B2 L R2
L R' U' L2 B2 R2 L
D L B2 R' U' R2 D
D L B2 R' U' R2 D'
D L B2 R' U' R2 D2
D L B2 R' D' F2 U'
L R' U' B' R2 B' L
D L B2 R' F U' R2
D L B2 R' F' U' R2
D L B2 R' F2 U' R2
L R' U' B2 L R2 D
L R' U' B2 L R2 D'
L R' U' B2 L R2 D2
L R' U' B2 R2 L D
L R' U' B2 R2 L D'
L R' U' B2 R2 L D2
L R' U' B2 R2 D L
L R' U' B2 R2 D' L
L R' U' B2 R2 D2 L
D L B2 U' R D B2
D L B2 D R' U' R2
D L B2 D' R' U' R2
R2 L' U2 R' B2 D F2
D L B2 D2 R' U' R2
B2 L' R D' L F2 L'
B2 L' R D' L' F2 L'
B2 L' R D' L2 F2 L'
B2 L' R D' F2 L' D
B2 L' R D' F2 L' D'
B2 L' R D' F2 L' D2
B2 L' R D' F2 D L'
B2 L' R D' F2 D' L'
B2 L' R D' F2 D2 L'
B2 L' R F2 L' D' F2
B2 L' R F2 D' L' F2
U' L' R B2 D F2 L'
U2 L' R B2 D F2 L'
U L' R B2 D F2 L'
R L' D F2 D' L' B2
