L2 R D2 F' U R
L2 R F' B U R'
L2 R B F' U R'
R L2 D2 F' U R
B L2 R F' U R2
R L2 F' B U R'
R L2 B F' U R'
B R L2 F' U R2
B R F' L2 U R2
R F' L2 B U R'
R F' B L2 U R'
L2 B R F' U R2
R B L2 F' U R'
R B F' L2 U R'
B L R F' L U R2
B' L U L R F' U
B' L U R L F' U
B' L U R F' L U
L R D L F' B' U
L R D L B' F' U
R L D L F' B' U
R L D L B' F' U
L R D F' L B' U
R L D F' L B' U
L' R D2 L' F' U R
L R D2 L F' U R
R L D2 L F' U R
L R D2 F' L U R
L2 R D2 F' U R D
L2 R D2 F' U R D'
L2 R D2 F' U R D2
L2 R D2 F' U D R
L2 R D2 F' U D' R
L2 R D2 F' U D2 R
L2 R D2 F' D U R
L2 R D2 F' D' U R
L2 R D2 F' D2 U R
L2 R D2 F' B U R
L2 R D2 F' B' U R
L2 R D2 F' B2 U R
R L D2 F' L U R
L2 R D2 B F' U R
L2 R D2 B' F' U R
L2 R D2 B2 F' U R
L R F' L B U R'
R L F' L B U R'
L2 R F' U B R' B'
L R F' D L B' U
R L F' D L B' U
L2 R F' B U R' D
L2 R F' B U R' D'
L2 R F' B U R' D2
L2 R F' B U D R'
L2 R F' B U D' R'
L2 R F' B U D2 R'
L2 R F' B D U R'
L2 R F' B D' U R'
L2 R F' B D2 U R'
L2 R F' B' U' L U2
L' R B L' F' U R'
L2 R B D F' U R'
L2 R B D' F' U R'
L2 R B D2 F' U R'
L2 R B F' U R' D
L2 R B F' U R' D'
L2 R B F' U R' D2
L2 R B F' U D R'
L2 R B F' U D' R'
L2 R B F' U D2 R'
L2 R B F' D U R'
L2 R B F' D' U R'
L2 R B F' D2 U R'
L2 R B' F' U' L U2
R L' D2 L' F' U R
R L' B L' F' U R'
L2 R2 D' R' F' B U
L2 R2 D' R' B F' U
R2 L2 D' R' F' B U
R2 L2 D' R' B F' U
U' L2 R D2 F' U R
L2 R2 D2 R' F' U R
R2 L2 D2 R' F' U R
B L2 R D F' B2 U
B L2 R D B2 F' U
U2 L2 R D2 F' U R
U' L2 R F' B U R'
B2 L2 R F' B' U R'
U' L2 R B F' U R'
U2 L2 R F' B U R'
B L2 R F' U R2 D
B L2 R F' U R2 D'
B L2 R F' U R2 D2
B L2 R F' D B2 U
B L2 R F' B U R2
B L2 R F' B' U R2
B L2 R F' B2 U R2
U2 L2 R B F' U R'
U L2 R D2 F' U R
B2 L2 R B' F' U R'
B L2 R B F' U R2
B L2 R B' F' U R2
U L2 R F' B U R'
B L2 R B2 F' U R2
R L2 D2 F' U R D
R L2 D2 F' U R D'
R L2 D2 F' U R D2
R L2 D2 F' U D R
R L2 D2 F' U D' R
R L2 D2 F' U D2 R
R L2 D2 F' D U R
