D2 B R' U R B
B2 L R' U D R F'
B2 L R' D U R F'
U L R' U' D' L' F
U L R' D' U' L' F
B2 L D R U F' R'
U L D' R' U' L' F
B2 L D2 B R' U R
B2 L F' R F U R'
D2 L B R' U R B
F L' R2 B R U' R
D2 L' B R' U R B
D2 L2 B R' U R B
R U D R F' R2 B2
R U D R F' B2 R2
R U D R B2 F' R2
D R U D F' R' B2
D R U F' D R' B2
F' R D F U R' B2
D R D U F' R' B2
D R D2 L2 U F' R'
F' R D2 F L2 U R'
F' R F U D R' B2
F' R F U2 R2 U' R
F' R F D U R' B2
F' R F D2 L2 U R'
B2 R' L U D R F'
B2 R' L D U R F'
U R' L U' D' L' F
U R' L D' U' L' F
B R' U D R F' B
B R' U D R B F'
D R' U' B U2 R B'
D R' U' B U2 B' R
F' R' U2 R2 F U R'
B2 R' D L U R F'
B R' D U R F' B
B R' D U R B F'
U R' D' L' U' F L
F' R' D2 L2 B' U' R
U2 R' F L' U L U2
U R' D2 B' L U' L'
U R' F L' F' U' L
U2 R' F' U2 R U R'
R2 U2 R U' D R F'
R2 U2 R D U' R F'
R U2 R2 U' D R F'
R U2 R2 D U' R F'
R U2 F L' R2 U' R
R U2 F R2 L' U' R
F R2 L' B R U' R
U' R2 D' F2 L' U F
R D R U F' R2 B2
R D R U F' B2 R2
R D R U B2 F' R2
F R2 B L' R U' R
F R2 B R L' U' R
R D U R F' R2 B2
R D U R F' B2 R2
R D U R B2 F' R2
D' U L' R' U' F L
F U L' R2 B R U'
D' U R' L' U' F L
F' U R' U2 R2 F U
F' U R' U2 F R2 U
F' U R' D2 L2 B' U'
D2 U R' B' L U' L'
F U R2 L' B R U'
F U R2 B L' R U'
F U R2 B R L' U'
R2 D B2 U2 R U' F'
U D' L' R' U' F L
U D' R' L' U' F L
F' U' R D F U B2
F' U' R D2 F L2 U
F' U' R F U D B2
F' U' R F U2 R2 U'
F' U' R F D U B2
F' U' R F D2 L2 U
U D2 R' B' L U' L'
L' D2 B R' U R B
L2 D2 B R' U R B
L D2 B R' U R B
R' F L' U2 F' U R
U2 F L' R' U L U2
R F L' R2 B U' R
U F L' F' R' U' L
U2 F R' L' U L U2
R F R2 L' B U' R
U2 F U' L' R' U' L
R F R2 B L' U' R
B2 D L R U F' R'
U F U L' F' R' U'
U' F U2 L' R' U' L
U2 F U' R' L' U' L
U' F U2 R' L' U' L
B2 D R L U F' R'
U' F' R U D B2 L
U' F' R D U B2 L
U2 F' R' U2 R2 U R2
B2 D2 L B R' U R
D2 B L R' U R B
D2 B L' R' U R B
D2 B L2 R' U R B
D2 B R' L U R B
D2 B R' L' U R B
D2 B R' L2 U R B
D2 B R' U R D B
D2 B R' U R D' B
D2 B R' U R D2 B
D2 B R' U R B D
D2 B R' U R B D'
D2 B R' U R B D2
D2 B R' U D R B
D2 B R' U D' R B
D2 B R' U D2 R B
D2 B R' U B R B
D2 B R' U B' R B
D2 B R' U B2 R B
D2 B R' D U R B
D2 B R' D' U R B
D2 B R' D2 U R B
D2 B R' B L U R
B D2 B L R' U R
B D2 B R' L U R
D2 B D R' U R B
D2 B D' R' U R B
D2 B D2 R' U R B
B2 F' R F L U R'
B2 F' U' R F L U
D2 B2 L R U R' F'
D2 B2 L B' R' U R
D B2 L R U F' R'
D2 B2 R L U R' F'
D B2 R L U F' R'
F' B2 R F L U R'
F' B2 U' R F L U
