B U L B' U L2
B L U B' U L2 B
B L U B' U B L2
B2 L B' L U F L
B L B' R2 U L2 F'
B L B' R2 U F' L2
B L B' U' B U2 L2
U' L' R2 F' D R2 B'
U' L' R2 F' D B' R2
U' L' R2 F' B' D R2
U' L' R2 B' F' D R2
U' L' F' D R2 F' B'
U' L' F' D R2 B' F'
R2 U D L' F' R B
B R U L B' U L2
R2 U' L' F' D R2 B'
R2 U' L' F' D B' R2
R2 U' L' F' B' D R2
R2 U' L' B' F' D R2
R2 U' D L' F' R B'
R2 U' D L' F' B' R
R2 U' D L' B' F' R
B R' U L B' U L2
U' R2 L' F' D R2 B'
U' R2 L' F' D B' R2
U' R2 L' F' B' D R2
U' R2 L' B' F' D R2
B R2 U L B' U L2
D R2 U L' F' R B
D2 R2 U' L' F' B' R'
D2 R2 U' L' B' F' R'
D R2 U' L' F' R B'
D R2 U' L' F' B' R
D R2 U' L' B' F' R
U' R2 D L' F' R B'
U' R2 D L' F' B' R
U' R2 D L' B' F' R
R2 D U L' F' R B
R2 D U' L' F' R B'
R2 D U' L' F' B' R
R2 D U' L' B' F' R
U' D L' R2 F' R B'
U' D L' R2 F' B' R
U' D L' R2 B' F' R
B U L D F2 B' U
B U L D B' F2 U
B U L F B' U L2
B U L F' B' U L2
B U L F2 B' U L2
B U L B' U L2 D
B U L B' U L2 D'
B U L B' U L2 D2
B U L B' D F2 U
B U L B' F U L2
B U L B' F' U L2
B U L B' F2 U L2
U' D R2 L' F' R B'
U' D R2 L' F' B' R
U' D R2 L' B' F' R
D' U B U2 L' R' B'
D' U B U2 R' L' B'
D U' L' R2 F' R B'
D U' L' R2 F' B' R
D U' L' R2 B' F' R
D U' R2 L' F' R B'
D U' R2 L' F' B' R
D U' R2 L' B' F' R
U D' B U2 L' R' B'
U D' B U2 R' L' B'
B U2 L' U' L2 B' U
R2 B L B' U L2 F'
R2 B L B' U F' L2
D' B U L U L2 R'
D' B U L U R' L2
D' B U2 L' R' D' B2
D' B U2 L' D' R' B2
D' B U2 R' L' D' B2
F2 B R U L B' U
B F U L F B' U
B F U L B' F U
F B U L F B' U
F B U L B' F U
B F2 R U L B' U
