D' B R' U B R
L' R U D' R' F B
L' R U D' R' B F
L' R U D' F R' B
L' R U F D' R' B
B' L R' U' B' U2 R
B' L R2 U' B' U2 R2
B' L R2 B2 U R2 F'
L' R D' U R' F B
L' R D' U R' B F
L' R D' U F R' B
B' L U' B' U B U
F' L D L2 F L' B'
D' L B R' U B R
D' L B R' U B R
B' L B D' R2 U R2
R L' U D' R' F B
R L' U D' R' B F
R L' U D' F R' B
R L' U F D' R' B
U' L B' U L B U
B' L B2 R2 U F' R2
B2 L' R' U R F B
B2 L' R' U R B F
R L' D' U R' F B
R L' D' U R' B F
R L' D' U F R' B
U L' U' D F L B'
U L' U' F D L B'
U L' D U' F L B'
L2 R' B' L U R F
R' L' B2 U R F B
R' L' B2 U R B F
L' R' B2 U R F B
L' R' B2 U R B F
B' L' F U' L2 F' U
B' L' F U' F' L2 U
B' L' F2 D' L2 F' B2
B' L' F2 D' L2 B2 F'
B' L' F2 D' F' L2 B2
B' L' F2 D' F' B2 L2
B' L' F2 D' B2 L2 F'
B' L' F2 D' B2 F' L2
D' L' B R' U B R
R' L2 B' L U R F
L2 R2 B' L U R2 F
L2 R2 B' L U F R2
R2 L2 B' L U R2 F
R2 L2 B' L U F R2
D' L2 B R' U B R
D2 R U D F' R' B
D2 R U F' R' D B2
L2 U B L R' U' L'
L2 U B R' L U' L'
D2 R D U F' R' B
B' R' L U' B' U2 R
B2 R' L' U R F B
B2 R' L' U R B F
D' R' U D' B R F'
D' R' U B R D' F2
B2 R' U D2 R F' B
B2 R' U D2 R B F'
L U' B' U L B U
D' R' D' U B R F'
B' R' D2 L U R F'
B2 R' D2 U R F' B
B2 R' D2 U R B F'
B' R2 L U' B' U2 R2
B' R2 L B2 U R2 F'
B U L' R' U' F L
B U R' L' U' F L
L' D' R' U B R F
R' D' B R' U B R2
L' D2 F U' L' F' U
L' F U R2 B R' U'
L' F B' U' L F' U
L' F B' U' F' L U
B' D' L B R' U R
B2 D' B L R' U R
B2 D' B L R' U R
B2 D' B R' L U R
B D' B R' U R B
B' D2 L R U F' R'
B' D2 R L U F' R'
D' B L R' U B R
D' B L' R' U B R
D' B L2 R' U B R
U B L' R' U' F L
D' B R' L U B R
D' B R' L' U B R
D' B R' L2 U B R
D' B R' U D B R
D' B R' U D' B R
D' B R' U D2 B R
D' B R' U B R D
D' B R' U B R D'
D' B R' U B R D2
D' B R' U B D R
D' B R' U B D' R
D' B R' U B D2 R
D' B R' U B' R B2
D' B R' U B2 R B'
D' B R' D U B R
D' B R' D' U B R
D' B R' D2 U B R
D' B R' B' U R B2
D' B R' B' U B2 R
D' B R' B2 U R B'
D' B R' B2 U B' R
U B R' L' U' F L
B' F L' F D' L2 B2
B' F L' F D' B2 L2
R' B' L U' B' U2 R
L2 B' L R U R' F
L2 B' L R U F R'
L2 B' L R' U R F
L2 B' L R2 U R2 F
L2 B' L R2 U F R2
R2 B' L U' B' U2 R2
R2 B' L B2 U R2 F'
R B' L U' B' L U2
L2 B' R L U R' F
L2 B' R L U F R'
L2 B' R' L U R F
L2 B' R2 L U R2 F
L2 B' R2 L U F R2
F2 B' L' D' F L2 B2
F2 B' L' D' F B2 L2
F2 B' L' D' B2 F L2
F B' L' F D' L2 B2
F B' L' F D' B2 L2
R' B' D2 L U R F'
L' B' F U' L F' U
L' B' F U' F' L U
R' B2 L' U R F B
R' B2 L' U R B F
B' F2 L' D' F L2 B2
B' F2 L' D' F B2 L2
B' F2 L' D' B2 F L2
L' B2 R' U R F B
L' B2 R' U R B F
R' B2 U D2 R F' B
R' B2 U D2 R B F'
R B2 U' L F B' U2
R B2 U' L B' F U2
R' B2 D2 U R F' B
R' B2 D2 U R B F'
