U' B L U' R' B'
B L R U' R2 F' B'
B L R U' R2 B' F'
B L R2 U' R F' B'
B L R2 U' R B' F'
B L R2 U' B' R F'
U' L B L U' R' B2
U2 L B U' R' F B2
U2 L B U' R' B2 F
U2 L B U' F R' B2
U L B U' R' F' B2
U L B U' R' B2 F'
B R L U' R2 F' B'
B R L U' R2 B' F'
L U B U' R' F' B2
L U B U' R' B2 F'
R' U' F' B L R' B'
R' U' F' B R' L B'
D2 R' U F' L' B R
D2 R' U F' B L' R
D2 R' U F' B R L'
D2 R' U B F' L' R
D2 R' U B F' R L'
R' U' B L F' R' B'
D2 R' U' F' B L R
D2 R' U' F' B R L
D2 R' U' B L F' R
D2 R' U' B F' L R
D2 R' U' B F' R L
R' U' B F' L R' B'
R' U' B F' R' L B'
L U' B L U' R' B2
B R2 L U' R F' B'
B R2 L U' R B' F'
B R2 L U' B' R F'
F' U' B L U' R' B'
F2 U' B L U' R' B'
F U' B L U' R' B'
B U2 L U R' F B'
B U2 L U R' B' F
B U2 L U F R' B'
L' F U' B L U' R'
U' F B L U' R' B'
B D F' R U' R2 F'
U' F' B L U' R' B'
U' F2 B L U' R' B'
B D2 R U' R2 F' B
B D2 R U' R2 B F'
U' B L R U' R2 B'
U' B L R U' B' R2
U' B L R2 U' R B'
U' B L R2 U' B' R
U' B L U' R B' R2
U' B L U' R' D B'
U' B L U' R' D' B'
U' B L U' R' D2 B'
U' B L U' R' B' D
U' B L U' R' B' D'
U' B L U' R' B' D2
U' B L U' R2 B' R
U' B L U' D R' B'
U' B L U' D' R' B'
U' B L U' D2 R' B'
U' B L D U' R' B'
U' B L D' U' R' B'
U' B L D2 U' R' B'
U' B L F U' R' B'
U' B L F' U' R' B'
U' B L F2 U' R' B'
U2 B L U' R' F B'
U2 B L U' R' B' F
U2 B L U' F R' B'
U B L U' R' F' B'
U B L U' R' B' F'
U' B R L U' R2 B'
U' B R L U' B' R2
D' B R F' R2 U' F'
D2 B R' U' F' B R
D2 B R' U' B F' R
D' B R' U2 B U F'
U' B R2 L U' R B'
U' B R2 L U' B' R
L B R U' R2 F' B2
L B R U' R2 B2 F'
L B R' F' B2 D L2
L B R' B2 D L2 F'
L B R' B2 D F' L2
L B R' B2 F' D L2
L B R2 U' R F' B2
L B R2 U' R B2 F'
L B R2 U' B2 R F'
U B U' D2 R' F' B
U B U' D2 R' B F'
D' B D' R' U' F' R
U' B D2 L U' R' B
U' B F L U' R' B'
L B D' R2 U' R F'
U' B F' L U' R' B'
U' B F2 L U' R' B'
U B D2 U' R' F' B
U B D2 U' R' B F'
L B' U B2 U' R' F'
