L R U2 B U F
R L U2 B U F
R' L F' R2 U' F2
L R' F' R2 U' F2
R U2 B R' U F'
R' F' L R2 U' F
R' F' R2 L U' F
D2 L R U2 B U F
D' L R U2 B U F
D L R U2 B U F
L' R U B' U B2 U
L' R U B' U2 D' R2
L' R U B' D L2 U2
L' R U B' D' U2 R2
D' L R' F' R2 U' F2
D2 L R' F' R2 U' F2
L R U' R2 F D R2
D L R' F' R2 U' F2
F L R' F' R U' F2
R' L U' F D R2 B2
R' L U' F D B2 R2
R L U' R2 F D R2
L R U' F U' B U
R L U' F U' B U
L R U2 R' U F R
L R U2 D B U F
R L U2 R' U F R
L2 R U2 D' B R' U
L R U2 D' B U F
L' R U2 B U D2 F2
L' R U2 B U' B2 U2
L R U2 D2 B U F
L' R U2 B D' R2 U
L' R U2 B D2 U F2
R L U2 D B U F
R L U2 D' B U F
R L U2 D2 B U F
L R U2 B R U F
L R U2 B R' U F
L R U2 B R2 U F
L R U2 B U D F
L R U2 B U D' F
L R U2 B U D2 F
L R U2 B U F D
L R U2 B U F D'
L R U2 B U F D2
L R U2 B D U F
L R U2 B D' U F
L R U2 B D2 U F
R L U2 B R U F
R L U2 B R' U F
R L U2 B R2 U F
R L U2 B U D F
R L U2 B U D' F
R L U2 B U D2 F
R L U2 B U F D
R L U2 B U F D'
R L U2 B U F D2
R L U2 B D U F
R L U2 B D' U F
R L U2 B D2 U F
R' L D F' U' F2 B2
R' L D F' U' B2 F2
L R D U2 B U F
R L D U2 B U F
L2 R D' U2 B R' U
L R D' U2 B U F
R L D' U2 B U F
L R D2 U2 B U F
R L D2 U2 B U F
R' L F R2 F2 U' F2
R' L F' L R2 U' F2
R' L F' L' R2 U' F2
R' L F' L2 R2 U' F2
R' L F' R2 L U' F2
R' L F' R2 L' U' F2
R' L F' R2 L2 U' F2
R' L F' R2 U' F2 D
R' L F' R2 U' F2 D'
R' L F' R2 U' F2 D2
R' L F' R2 D' L2 U'
R' L F' U' F2 D B2
L R F' U2 B U F2
R L F' U2 B U F2
L R F2 U2 B U F'
R L F2 U2 B U F'
R L' U B' U B2 U
R L' U B' U2 D' R2
R L' U B' D L2 U2
R L' U B' D' U2 R2
L R' U' F D R2 B2
L R' U' F D B2 R2
R L' U2 B U D2 F2
R L' U2 B U' B2 U2
R L' U2 B D' R2 U
R L' U2 B D2 U F2
L R' D F' U' F2 B2
L R' D F' U' B2 F2
L R' F R2 F2 U' F2
R' L' F' L2 R2 U' F
L' R' F' L2 R2 U' F
L R' F' L R2 U' F2
R' L' F' R2 L2 U' F
R' L' F' R2 U B' U2
L2 R' F' L' R2 U' F
L R' F' L' R2 U' F2
L' R' F' R2 L2 U' F
L' R' F' R2 U B' U2
L R' F' L2 R2 U' F2
L2 R' F' R2 L' U' F
L R' F' R2 L U' F2
L R' F' R2 L' U' F2
L R' F' R2 L2 U' F2
L R' F' R2 U' F2 D
