D F2 R U' F'
F L' U L' U2 B'
D R F2 R U' F
R' D F2 R U' F'
R2 D F2 R U' F'
R D F2 R U' F'
U2 D' L' B2 U F
U2 D' B2 L' U F
D' U2 L' B2 U F
D' U2 B2 L' U F
D F2 L R U' F'
D F2 L' R U' F'
D F2 L2 R U' F'
D F2 R L U' F'
D F2 R L' U' F'
D F2 R L2 U' F'
D F2 R U' D F'
D F2 R U' D' F'
D F2 R U' D2 F'
D F2 R U' F' D
D F2 R U' F' D'
D F2 R U' F' D2
D F2 R D U' F'
D F2 R D' U' F'
D F2 R D2 U' F'
F2 L R U L U2 F
D' L U' D' B2 R2 F'
D' L U2 L2 B2 U F
U L D' L B' U2 B'
D' L D' U' B2 R2 F'
U' L D' B2 L' R' F
U' L D' B2 L' F R'
U' L D' B2 R' L' F
F2 L' R U L' B' U2
F L' R U L' U2 B'
F L' R' U L' U2 B'
F L' R2 U L' U2 B'
F L' U L F L2 U2
F L' U L' U2 D B'
F L' U L' U2 D' B'
F L' U L' U2 D2 B'
F L' U L' U2 B' D
F L' U L' U2 B' D'
F L' U L' U2 B' D2
F L' U L' D U2 B'
F L' U L' D' U2 B'
F L' U L' D2 U2 B'
F L' U L' F U2 B'
F L' U L' F' U2 B'
F L' U L' F2 U2 B'
U2 L' U D F2 R F'
F L' U D L' U2 B'
F L' U D' L' U2 B'
F L' U D2 L' U2 B'
F L' U F2 U2 R B
D' L' U' D' F R2 B
D' L' U' F D' R2 B
U2 L' U' D' L' U2 F
F L' U' F2 R F2 B
F L' U' F2 R B F2
U2 L' D U F2 R F'
F L' D U L' U2 B'
D' L' D' U' F R2 B
U2 L' D' U' L' U2 F
F L' D' U L' U2 B'
F L' D2 U L' U2 B'
F L' F R F U' R
F' L' F2 L' U' R B
U' L' F2 U L R F
U' L' F2 U R L F
D' L' B2 U D F L2
D' L' B2 U F D L2
D' L' B2 U2 B2 U' F
D' L' B2 D U F L2
D' L' B2 D2 F2 U F'
U L2 F' U L R U
U L2 F' U R L U
U L2 F2 U L U F
L U D' L B' U2 B'
F2 R L U L U2 F
F2 R L' U L' B' U2
F R L' U L' U2 B'
F2 R U L' B' L' U2
F2 R U' R D2 R2 F'
F2 R U' R' D2 F' R2
F2 R U' R' F' D2 R2
F2 R U' D2 R' F' R'
D' R U2 L' B2 U F
D' R U2 B2 L' U F
F2 R D F' L' F' U'
U2 R D' L' B2 U F
U2 R D' B2 L' U F
D' R D2 F2 R U' F'
F2 R D2 U' R' F' R'
F2 R D2 F' L' U' R2
F2 R F D F2 L' U'
F2 R F' L' U L' U2
F2 R F' L' F2 U' R
F2 R F' D L' F2 U'
F2 R F' D2 L' U' R2
D R F2 R U' D F
D R F2 R U' D' F
D R F2 R U' D2 F
D R F2 R U' F D
D R F2 R U' F D'
D R F2 R U' F D2
D R F2 R D U' F
D R F2 R D' U' F
D R F2 R D2 U' F
D R F2 D R U' F
D R F2 D' R U' F
D R F2 D2 R U' F
L' U' D' L' U2 F L
F R' L' U L' U2 B'
D' R' U2 L' B2 U F
D' R' U2 B2 L' U F
U2 R' D' L' B2 U F
U2 R' D' B2 L' U F
D' R' D2 F2 R U' F'
R' U2 D' L' B2 U F
R' U2 D' B2 L' U F
R2 U2 D' L' B2 U F
R U2 D' L' B2 U F
R2 U2 D' B2 L' U F
R U2 D' B2 L' U F
F R2 L' U L' U2 B'
D' R2 U2 L' B2 U F
D' R2 U2 B2 L' U F
U2 R2 D' L' B2 U F
U2 R2 D' B2 L' U F
F2 R2 D2 R' U' R' F'
D' R2 D2 F2 R U' F'
R' D R F2 R U' F
R2 D R F2 R U' F
D R2 F2 R U B U2
R D R F2 R U' F
R' D F2 L R U' F'
R' D F2 L' R U' F'
R' D F2 L2 R U' F'
R' D F2 R L U' F'
R' D F2 R L' U' F'
R' D F2 R L2 U' F'
R' D F2 R U' D F'
R' D F2 R U' D' F'
R' D F2 R U' D2 F'
R' D F2 R U' F' D
R' D F2 R U' F' D'
R' D F2 R U' F' D2
R' D F2 R D U' F'
R' D F2 R D' U' F'
R' D F2 R D2 U' F'
F U L2 U' L U' B'
R2 D F2 L R U' F'
R2 D F2 L' R U' F'
R2 D F2 L2 R U' F'
R2 D F2 R L U' F'
R2 D F2 R L' U' F'
R2 D F2 R L2 U' F'
R2 D F2 R U' D F'
R2 D F2 R U' D' F'
R2 D F2 R U' D2 F'
R2 D F2 R U' F' D
R2 D F2 R U' F' D'
R2 D F2 R U' F' D2
R2 D F2 R D U' F'
R2 D F2 R D' U' F'
R2 D F2 R D2 U' F'
R D F2 L R U' F'
R D F2 L' R U' F'
R D F2 L2 R U' F'
R D F2 R L U' F'
R D F2 R L' U' F'
R D F2 R L2 U' F'
R D F2 R U' D F'
R D F2 R U' D' F'
R D F2 R U' D2 F'
R D F2 R U' F' D
R D F2 R U' F' D'
R D F2 R U' F' D2
R D F2 R D U' F'
R D F2 R D' U' F'
R D F2 R D2 U' F'
U2 D' L' R B2 U F
U2 D' L' R' B2 U F
U2 D' L' R2 B2 U F
U2 D' L' U D' R2 F
U2 D' L' U D' F R2
U2 D' L' U F D' R2
L' D' U' L' U2 F L
U2 D' L' D' U R2 F
U2 D' L' D' U F R2
U2 D' L' B2 R U F
L D' U L B' U2 B'
U2 D' L' B2 R' U F
U2 D' L' B2 R2 U F
U2 D' L' B2 U D F
U2 D' L' B2 U D' F
U2 D' L' B2 U D2 F
U2 D' L' B2 U F D
U2 D' L' B2 U F D'
U2 D' L' B2 U F D2
U2 D' L' B2 D U F
U2 D' L' B2 D' U F
U2 D' L' B2 D2 U F
R' D' U2 L' B2 U F
R' D' U2 B2 L' U F
R2 D' U2 L' B2 U F
U2 D' R L' B2 U F
R2 D' U2 B2 L' U F
R D' U2 L' B2 U F
U2 D' R B2 L' U F
U2 D' R' L' B2 U F
R D' U2 B2 L' U F
U2 D' R' B2 L' U F
U2 D' R2 L' B2 U F
U2 D' R2 B2 L' U F
U2 D' B L' B U F
D' U' B2 L' U F L
U' D' B2 L' U F L
U2 D' B2 L' R U F
U2 D' B2 L' R' U F
U2 D' B2 L' R2 U F
U2 D' B2 L' U D F
U2 D' B2 L' U D' F
U2 D' B2 L' U D2 F
U2 D' B2 L' U F D
U2 D' B2 L' U F D'
U2 D' B2 L' U F D2
U2 D' B2 L' D U F
U2 D' B2 L' D' U F
U2 D' B2 L' D2 U F
