F' L R U2 B' U
D' L U' B R' B2
F L U2 B' L2 U
F' L' R F L2 U'
F2 L' F L2 R U'
F2 L' F R L2 U'
F' R L U2 B' U
F' R L' F L2 U'
L U2 D2 B' L U
L D2 U2 B' L U
L' F L2 U2 L U
L F U2 B' L' U
L' F' L2 R F2 U'
L' F' R L2 F2 U'
L' F' R F2 L2 U'
L F' R U2 B' U
F' D2 L R F' U'
F' D2 R L F' U'
F' D2 R F' L U'
F' L R U2 D B' U
F' L R U2 D' B' U
F' L R U2 D2 B' U
D' L R U' B R' B2
F' L R U2 B' U D
F' L R U2 B' U D'
F' L R U2 B' U D2
F' L R U2 B' D U
F' L R U2 B' D' U
F' L R U2 B' D2 U
D L R U F' U2 R
F' L R D U2 B' U
F' L R D' U2 B' U
F L R U2 B' L2 U
F' L R D2 U2 B' U
D2 L R D2 F' R U'
F' L R F U2 B' U
F' L R F' U2 B' U
F' L R F2 U2 B' U
D' L R' U' B R' B2
D L R' U' D2 B R'
F L R' U2 B' L2 U
D L R' D2 U' B R'
D L R' F' U' B R
D' L R2 U' B R' B2
F L R2 U2 B' L2 U
R' L U2 D2 B' L U
R2 L U2 D2 B' L U
L R U2 D2 B' L U
R L U2 D2 B' L U
D' L U' R B R' B2
D' L U' R' B R' B2
F2 L U' R B D' R2
D' L U' R2 B R' B2
D L U' R' D2 B R'
D' L U' B R B2 R2
D' L U' B R' B2 D
D' L U' B R' B2 D'
D' L U' B R' B2 D2
D' L U' B R2 B2 R
D' L U' B' U2 L U2
F L U' B D' R2 B2
F L U' B D' B2 R2
F L U2 L2 U2 F U'
F L U2 D' B' U B'
D' L U2 B U R' B2
F2 L U2 B L B2 U
F' L U2 B' U2 R U'
R' L D2 U2 B' L U
F2 L U2 B' U2 R' U'
F L U2 B L2 B2 U
F L U2 B' L2 U D
F L U2 B' L2 U D'
F L U2 B' L2 U D2
F L U2 B' L2 D U
F L U2 B' L2 D U
F L U2 B' L2 D' U
F L U2 B' L2 D2 U
F L U2 B' U D' B2
F L U2 B' D' U B2
F L U2 B2 L2 B U
R2 L D2 U2 B' L U
L R D2 U2 B' L U
F' L D R U2 B' U
R L D2 U2 B' L U
L' R F L2 U2 L U
R' L F U2 B' L' U
R2 L F U2 B' L' U
L R F U2 B' L' U
D' L D' R F' U' B'
F' L D' R U2 B' U
R L F U2 B' L' U
D' L D' R2 U' B' R'
L' R F' L2 R F2 U'
L' R F' R L2 F2 U'
R' L F' R U2 B' U
L' R F' R F2 L2 U'
F L D' U2 B' U B'
R2 L F' R U2 B' U
L R F' R U2 B' U
R L F' R U2 B' U
F' L D2 R U2 B' U
F L D2 R2 U2 B' U
D' L D2 F' U' R B'
D' L D2 F' U' B' R
F2 L F R U2 B' U
D' L F U' B R' B2
F L F U2 B' L2 U
D L F' R' U' B R2
D' L F' U' B R' B2
D L F' U' R' B R2
F2 L F' U2 B' L' U
F L F' U2 B' L2 U
D' L F2 U' B R' B2
F' L F2 U2 B' L' U
F L F2 U2 B' L2 U
L R' U2 D2 B' L U
F' L' R D F U' F
F' L' R F L2 U' D
F' L' R F L2 U' D'
F' L' R F L2 U' D2
F' L' R F L2 D U'
F' L' R F L2 D' U'
F' L' R F L2 D2 U'
F' L' R F U' D F2
F' L' R F D U' F2
F' L' R F' L2 F2 U'
F2 L' R F L2 R U'
F2 L' R F R L2 U'
F' L' R F2 L2 F' U'
F' L' R' F L2 R2 U'
F' L' R' F R2 L2 U'
F2 L' R' F L2 R U'
F2 L' R' F R L2 U'
F' L' R2 F L2 R' U'
F' L' R2 F R' L2 U'
F2 L' R2 F L2 R U'
F2 L' R2 F R L2 U'
L R' D2 U2 B' L U
R' L' F L2 U2 L U
L' R' F L2 U2 L U
R2 L' F L2 U2 L U
R L' F L2 U2 L U
L R' F U2 B' L' U
R' L' F' L2 R F2 U'
L' R' F' L2 R F2 U'
R' L' F' R L2 F2 U'
R' L' F' R F2 L2 U'
L' R' F' R L2 F2 U'
L' R' F' R F2 L2 U'
R2 L' F' L2 R F2 U'
