F' L R' U F'
F' R' L U F'
L F' R' U F'
F' L R U' B U2
F' L R' U D F'
F' L R' U D' F'
F' L R' U D2 F'
F' L R' U F' D
F' L R' U F' D'
F' L R' U F' D2
F' L R' D U F'
F' L R' D' U F'
F' L R' D2 U F'
F L R' F2 U F
L R U' B U2 L
R L U' B U2 L
F' L U2 L U' F
F' L D R' U F'
F' L D' R' U F'
F' L D2 R' U F'
D' L F' R' U F'
D L F' R' U F'
D2 L F' R' U F'
F L F2 R' U F'
F' R L U' B U2
F' R' L U D F'
F' R' L U D' F'
F' R' L U D2 F'
F' R' L U F' D
F' R' L U F' D'
F' R' L U F' D2
F' R' L D U F'
F' R' L D' U F'
F' R' L D2 U F'
F R' L F2 U F
F' R' D L U F'
F' R' D' L U F'
F' R' D2 L U F'
F2 R' F L U F2
L D F' R' U F'
L D' F' R' U F'
L D2 F' R' U F'
L F R' F2 U F
F' D L R' U F'
F' D R' L U F'
L' F' L2 R' U F'
D2 F' L R' U F'
D' F' L R' U F'
L' F' R' L2 U F'
D F' L R' U F'
D2 F' R' L U F'
D' F' R' L U F'
L F' R U' B U2
L F' R' U D F'
L F' R' U D' F'
L F' R' U D2 F'
L F' R' U F' D
L F' R' U F' D'
L F' R' U F' D2
L F' R' D U F'
L F' R' D' U F'
D F' R' L U F'
L F' R' D2 U F'
F' D' L R' U F'
L F' U2 L U' F
L F' D R' U F'
F' D' R' L U F'
L F' D' R' U F'
L F' D2 R' U F'
L F2 R' F U F2
F' D2 L R' U F'
F' D2 R' L U F'
F' L R U R2 F' R2
F' L R U' D B U2
F' L R U' D' B U2
F' L R U' D2 B U2
F' L R U' B U2 D
F' L R U' B U2 D'
F' L R U' B U2 D2
F' L R U' B D U2
F' L R U' B D' U2
F' L R U' B D2 U2
D2 L R U' B U2 L
D' L R U' B U2 L
F' L R D R2 U F'
F' L R D U' B U2
D L R U' B U2 L
F' L R D' R2 U F'
F' L R D' U' B U2
F' L R D2 R2 U F'
F' L R D2 U' B U2
R' L U D' F L' F2
L R U R2 F' L' R2
L R U R2 F' R2 L'
R L U R2 F' L' R2
R L U R2 F' R2 L'
R' L U F2 D' F L'
F L R F2 R2 U F'
F L R F2 U' B U2
F' L R' U L' F' L
F' L R' U L2 F' L2
F' L R' U D F' D
F' L R' U D F' D'
F' L R' U D F' D2
F' L R' U D' F' D
F' L R' U D' F' D'
F' L R' U D' F' D2
F' L R' U D2 F' D
F' L R' U D2 F' D'
F' L R' U D2 F' D2
F' L R' U F2 D F
F' L R' U F2 D' F
F' L R' U F2 D2 F
F' L R' U' B U2 F'
F' L R' U' B' U2 F'
F' L R' U' B2 U2 F'
F' L R' U2 L U' F'
F' L R' U2 L' U' F'
F' L R' U2 L2 U' F'
F L R' U D' L2 F'
F L R' U D' F' L2
F' L R' D U F' D
F' L R' D U F' D'
F' L R' D U F' D2
F' L R' D' U F' D
F' L R' D' U F' D'
F' L R' D' U F' D2
F' L R' D2 U F' D
F' L R' D2 U F' D'
F' L R' D2 U F' D2
F L R' D' U L2 F'
F L R' D' U F' L2
L R U' R2 U2 F' L'
L R U' D B U2 L
F L R' F2 R U F
F L R' F2 R' U F
F L R' F2 R2 U F
F L R' F2 U D F
F L R' F2 U D' F
F L R' F2 U D2 F
F L R' F2 U F D
F L R' F2 U F D'
F L R' F2 U F D2
F L R' F2 D U F
F L R' F2 D' U F
F L R' F2 D2 U F
L R U' D' B U2 L
F' L R2 U R F' R'
R L U' R2 U2 F' L'
L R U' D2 B U2 L
R L U' D B U2 L
R L U' D' B U2 L
R L U' D2 B U2 L
L R U' B R U2 L
L R U' B R' U2 L
L R U' B R2 U2 L
L R U' B U2 L D
L R U' B U2 L D'
L R U' B U2 L D2
L R U' B U2 D L
L R U' B U2 D' L
L R U' B U2 D2 L
L R U' B D U2 L
L R U' B D' U2 L
L R U' B D2 U2 L
L R U' B' R' B2 U2
R L U' B R U2 L
R L U' B R' U2 L
R L U' B R2 U2 L
R L U' B U2 L D
R L U' B U2 L D'
R L U' B U2 L D2
R L U' B U2 D L
R L U' B U2 D' L
R L U' B U2 D2 L
R L U' B D U2 L
R L U' B D' U2 L
R L U' B D2 U2 L
R L U' B' R' B2 U2
F L R2 F2 R U F'
F' L U F U' R U
F' L U F' U L' U'
L R D U' B U2 L
R L D U' B U2 L
F' L U' B U' L U'
F' L U' B' U R' U
R' L D' U F L' F2
R2 L D' R2 F' R U
F' L U2 L U' D F
F' L U2 L U' D' F
F' L U2 L U' D2 F
F' L U2 L U' F D
F' L U2 L U' F D'
F' L U2 L U' F D2
F' L U2 L D U' F
F' L U2 L D' U' F
F' L U2 L D2 U' F
R' L D' F U L' F2
F' L U2 L' U B' U2
L R D' U' B U2 L
F2 L U2 L B' U' F
R L D' U' B U2 L
F' L U2 D L U' F
F' L U2 D' L U' F
F' L U2 D2 L U' F
L R D2 U' B U2 L
F' L D R U' B U2
R L D2 U' B U2 L
F' L D R' U D F'
F' L D R' U D' F'
F' L D R' U D2 F'
F' L D R' U F' D
F' L D R' U F' D'
F' L D R' U F' D2
F' L D R' D U F'
F' L D R' D' U F'
F' L D R' D2 U F'
F' L D U2 L U' F
R' L F R F' U F'
D2 L D F' R' U F'
D' L D F' R' U F'
D L D F' R' U F'
L R F U' B U2 L
F' L D' R U' B U2
R L F U' B U2 L
F' L D' R' U D F'
F' L D' R' U D' F'
F' L D' R' U D2 F'
F' L D' R' U F' D
F' L D' R' U F' D'
F' L D' R' U F' D2
F' L D' R' D U F'
F' L D' R' D' U F'
F' L D' R' D2 U F'
F L D' R' U L2 F'
F L D' R' U F' L2
F' L D' U2 L U' F
R' L F' R F' U F
D' L D' F' R' U F'
D2 L D' F' R' U F'
D L D' F' R' U F'
L R F' U' B U2 L
R L F' U' B U2 L
F' L D2 R U' B U2
F' L D2 R' U D F'
F' L D2 R' U D' F'
F' L D2 R' U D2 F'
F' L D2 R' U F' D
F' L D2 R' U F' D'
F' L D2 R' U F' D2
F' L D2 R' D U F'
F' L D2 R' D' U F'
F' L D2 R' D2 U F'
F' L D2 U2 L U' F
D' L D2 F' R' U F'
R' L F2 R F' U F2
D2 L D2 F' R' U F'
D L D2 F' R' U F'
R' L F2 U D' F L'
R' L F2 D' U F L'
L R F2 U' B U2 L
R L F2 U' B U2 L
D' L F R' F2 U F
D2 L F R' F2 U F
D L F R' F2 U F
F L F R' F U F2
U L F R F2 U R'
D2 L F' R U' B U2
D' L F' R U' B U2
D2 L F' R' U D F'
D2 L F' R' U D' F'
D2 L F' R' U D2 F'
D2 L F' R' U F' D
D2 L F' R' U F' D'
D2 L F' R' U F' D2
D2 L F' R' D U F'
D2 L F' R' D' U F'
D2 L F' R' D2 U F'
D' L F' R' U D F'
D' L F' R' U D' F'
D' L F' R' U D2 F'
D' L F' R' U F' D
D' L F' R' U F' D'
D' L F' R' U F' D2
D' L F' R' D U F'
D' L F' R' D' U F'
D' L F' R' D2 U F'
D L F' R U' B U2
F' L F' R' F U F2
D L F' R' U D F'
D L F' R' U D' F'
D L F' R' U D2 F'
D L F' R' U F' D
D L F' R' U F' D'
D L F' R' U F' D2
D L F' R' D U F'
D L F' R' D' U F'
D L F' R' D2 U F'
D2 L F' U2 L U' F
U' L F' U R' F' R
D' L F' U2 L U' F
D2 L F' D R' U F'
D' L F' D R' U F'
D L F' U2 L U' F
D2 L F' D' R' U F'
U2 L F' U2 F U' F
D' L F' D' R' U F'
D2 L F' D2 R' U F'
D L F' D R' U F'
D' L F' D2 R' U F'
D L F' D' R' U F'
D L F' D2 R' U F'
D2 L F2 R' F U F2
D' L F2 R' F U F2
F' L F2 R' F2 U F
F L F2 R U' B U2
D L F2 R' F U F2
F L F2 R' U D F'
F L F2 R' U D' F'
F L F2 R' U D2 F'
F L F2 R' U F' D
F L F2 R' U F' D'
F L F2 R' U F' D2
F L F2 R' D U F'
F L F2 R' D' U F'
F L F2 R' D2 U F'
F L F2 U2 L U' F
F L F2 D R' U F'
F L F2 D' R' U F'
F L F2 D2 R' U F'
F' L B R' B' U F'
L R' U D' F L' F2
L R' U F2 D' F L'
F' L B2 R' B2 U F'
F' L' R' U D' F' B2
F' L' R' U D' B2 F'
F' L' R' U F' D' B2
F' L' R' D' U F' B2
F' L' R' D' U B2 F'
L R' D' U F L' F2
L R' D' F U L' F2
L2 R' D2 L' F U F2
L R' F R F' U F'
U2 L' U2 L2 F' U F2
L R' F' R F' U F
U2 L' U2 F' L2 U F
L R' F2 R F' U F2
L R' F2 U D' F L'
L R' F2 D' U F L'
F' L' D' R' U F' B2
F' L' D' R' U B2 F'
D' L' F' L2 R' U F'
D2 L' F' L2 R' U F'
D' L' F' R' L2 U F'
D2 L' F' R' L2 U F'
U2 L' F' L2 B' U F
D L' F' L2 R' U F'
D L' F' R' L2 U F'
F L' F2 L2 R' U F'
F L' F2 R' L2 U F'
L R2 D' R2 F' R U
R' L2 D2 L' F U F2
F' L2 R' D L' U F'
F' L2 R' D' L' U F'
F' L2 R' D2 L' U F'
F' L2 R2 D2 L' U F
U2 L2 U2 L' F' U F2
F' L2 D L' R' U F'
F' L2 D R' L' U F'
F' L2 D' L' R' U F'
F' L2 D' R' L' U F'
F' L2 D2 L' R' U F'
F' L2 D2 R' L' U F'
F' R L U R2 F' R2
D2 R L U' B U2 L
F' R L U' D B U2
F' R L U' D' B U2
F' R L U' D2 B U2
D' R L U' B U2 L
F' R L U' B U2 D
F' R L U' B U2 D'
F' R L U' B U2 D2
F' R L U' B D U2
F' R L U' B D' U2
F' R L U' B D2 U2
F' R L D R2 U F'
F' R L D U' B U2
F' R L D' R2 U F'
F' R L D' U' B U2
F' R L D2 R2 U F'
F' R L D2 U' B U2
D R L U' B U2 L
F R L F2 R2 U F'
F R L F2 U' B U2
L U F U' R F2 U
L U F' U L' U' L
F' R D L R2 U F'
F' R D L U' B U2
F' R D R2 L U F'
F' R D' L R2 U F'
F' R D' L U' B U2
F' R D' R2 L U F'
F' R D2 L R2 U F'
F' R D2 L U' B U2
F' R D2 R2 L U F'
F2 R F L R2 U F'
F2 R F L U' B U2
F2 R F R2 L U F'
F R F2 L R2 U F'
F R F2 L U' B U2
F R F2 R2 L U F'
F' R' L U L' F' L
F' R' L U L2 F' L2
F' R' L U D F' D
F' R' L U D F' D'
F' R' L U D F' D2
F' R' L U D' F' D
F' R' L U D' F' D'
F' R' L U D' F' D2
F' R' L U D2 F' D
F' R' L U D2 F' D'
F' R' L U D2 F' D2
F' R' L U F2 D F
F' R' L U F2 D' F
F' R' L U F2 D2 F
F' R' L U' B U2 F'
F' R' L U' B' U2 F'
F' R' L U' B2 U2 F'
F' R' L U2 L U' F'
F' R' L U2 L' U' F'
F' R' L U2 L2 U' F'
F' R' L D U F' D
F' R' L D U F' D'
F' R' L D U F' D2
F' R' L D' U F' D
F' R' L D' U F' D'
F' R' L D' U F' D2
F' R' L D2 U F' D
F' R' L D2 U F' D'
F' R' L D2 U F' D2
F R' L U D' L2 F'
F R' L U D' F' L2
F' R' L' U D' F' B2
F' R' L' U D' B2 F'
F' R' L' U F' D' B2
F R' L D' U L2 F'
F R' L D' U F' L2
F' R' L' D' U F' B2
F' R' L' D' U B2 F'
F R' L F2 R U F
F R' L F2 R' U F
F R' L F2 R2 U F
F R' L F2 U D F
F R' L F2 U D' F
F R' L F2 U D2 F
F R' L F2 U F D
F R' L F2 U F D'
F R' L F2 U F D2
F R' L F2 D U F
F R' L F2 D' U F
F R' L F2 D2 U F
F' R' L2 D L' U F'
F' R' L2 D' L' U F'
F' R' L2 D2 L' U F'
F' R' U F' U' L U
R U' B U2 D L B'
R U' B D U2 L B'
F' R' D L U D F'
F' R' D L U D' F'
F' R' D L U D2 F'
F' R' D L U F' D
F' R' D L U F' D'
F' R' D L U F' D2
F' R' D L D U F'
F' R' D L D' U F'
F' R' D L D2 U F'
L U' B' U F' R' U
F2 R' D F L U F2
F' R' D' L U D F'
F' R' D' L U D' F'
F' R' D' L U D2 F'
F' R' D' L U F' D
F' R' D' L U F' D'
F' R' D' L U F' D2
F' R' D' L D U F'
F' R' D' L D' U F'
F' R' D' L D2 U F'
F R' D' L U L F'
F R' D' L U F' L
F2 R' D' F L U F2
F' R' D2 L U D F'
F' R' D2 L U D' F'
F' R' D2 L U D2 F'
F' R' D2 L U F' D
F' R' D2 L U F' D'
F' R' D2 L U F' D2
F' R' D2 L D U F'
F' R' D2 L D' U F'
F' R' D2 L D2 U F'
L U2 L U' F D' L2
L U2 L U2 F' U F2
F2 R' D2 F L U F2
F' R' F L F' U F'
F2 R' F L R U F2
F2 R' F L R' U F2
F2 R' F L R2 U F2
F2 R' F L U F2 D
F2 R' F L U F2 D'
F2 R' F L U F2 D2
F2 R' F L D R2 U
F2 R' F R L U F2
F2 R' F R' L U F2
F2 R' F R2 L U F2
F2 R' F D L R2 U
F2 R' F D R2 L U
F2 R' F' L F2 U F2
F R' F' L F' U F
F' R2 L U R F' R'
F R2 L F2 R U F'
F' R2 L2 D2 L' U F
F' R2 D2 L U' B' U2
R D L U' B U2 L
F2 R2 F L R U F'
F2 R2 F R L U F'
L2 D L' F' R' U F'
L D R U' B U2 L
F R2 F2 L R U F'
F R2 F2 R L U F'
L D F R' F2 U F
L D F' R U' B U2
L D F' R' U D F'
L D F' R' U D' F'
L D F' R' U D2 F'
L D F' R' U F' D
L D F' R' U F' D'
L D F' R' U F' D2
L D F' R' D U F'
L D F' R' D' U F'
L D F' R' D2 U F'
L D F' U2 L U' F
L D F' D R' U F'
L D F' D' R' U F'
L D F' D2 R' U F'
L D F2 R' F U F2
R' D' L U F L' F2
R' D' L F U L' F2
R2 D' L R2 F' R U
R D' L U' B U2 L
F2 U F L R U R'
F' U F U' L R U
F' U F U' R L U
F2 U F R L U R'
L2 D' L' F' R' U F'
L D' R U' B U2 L
R2 D' R2 L F' R U
R2 D' R2 F' L R U
R2 D' R2 F' R L U
R' D' F L U L2 F2
R' D' F L U F2 L2
L' D' F' R' U F' B2
L' D' F' R' U B2 F'
L D' F R' F2 U F
L D' F' R U' B U2
L D' F' R' U D F'
L D' F' R' U D' F'
L D' F' R' U D2 F'
L D' F' R' U F' D
L D' F' R' U F' D'
L D' F' R' U F' D2
L D' F' R' D U F'
L D' F' R' D' U F'
L D' F' R' D2 U F'
L D' F' U2 L U' F
L D' F' D R' U F'
L D' F' D' R' U F'
L D' F' D2 R' U F'
L D' F2 R' F U F2
R' D2 L U2 B' U' F'
R' D2 L' F L2 U F2
R D2 L U' B U2 L
L2 D2 L' F' R' U F'
B U' F' B' L R' U
B U' F' B' R' L U
L D2 R U' B U2 L
B U' B' L F' R' U
B U' B' F' L R' U
B U' B' F' R' L U
F' U2 L' U2 L2 U F
F' U2 L2 U2 L' U F
L D2 F R' F2 U F
L D2 F' R U' B U2
L D2 F' R' U D F'
L D2 F' R' U D' F'
L D2 F' R' U D2 F'
L D2 F' R' U F' D
L D2 F' R' U F' D'
L D2 F' R' U F' D2
L D2 F' R' D U F'
L D2 F' R' D' U F'
L D2 F' R' D2 U F'
L D2 F' U2 L U' F
L D2 F' D R' U F'
L D2 F' D' R' U F'
L D2 F' D2 R' U F'
L D2 F2 R' F U F2
R' F L R F' U F'
D' F L R' F2 U F
D2 F L R' F2 U F
D' F L F2 R' U F'
D2 F L F2 R' U F'
D F L R' F2 U F
U F L R F2 U R'
D F L F2 R' U F'
R F L U' B U2 L
L' F L2 R' F2 U F
L' F L2 F2 R' U F'
R' F R L F' U F'
R' F R F' L U F'
B2 U2 F' B2 L U F
D' F R' L F2 U F
D2 F R' L F2 U F
L' F R' L2 F2 U F
B U2 F' B' L U F
U F R L F2 U R'
D F R' L F2 U F
U F R F2 L U R'
L F R F2 R2 U F'
L F R F2 U' B U2
L F R' U D' L2 F'
L F R' U D' F' L2
L F R' D' U L2 F'
L F R' D' U F' L2
L F R' F2 R U F
L F R' F2 R' U F
L F R' F2 R2 U F
L F R' F2 U D F
L F R' F2 U D' F
L F R' F2 U D2 F
L F R' F2 U F D
L F R' F2 U F D'
L F R' F2 U F D2
L F R' F2 D U F
L F R' F2 D' U F
L F R' F2 D2 U F
B U2 B' L F' U F2
B2 U2 B2 L F' U F2
L F R2 F2 R U F'
B U2 B' F' L U F
B2 U2 B2 F' L U F
F' D L R U' B U2
F' D L R' U D F'
F' D L R' U D' F'
F' D L R' U D2 F'
F' D L R' U F' D
F' D L R' U F' D'
F' D L R' U F' D2
F' D L R' D U F'
F' D L R' D' U F'
F' D L R' D2 U F'
F' D L U2 L U' F
F' D L D R' U F'
F' D L D' R' U F'
F' D L D2 R' U F'
U F U' L R F2 U
U F U' R L F2 U
U F U' R F2 L U
F' D R L U' B U2
F' D R' L U D F'
F' D R' L U D' F'
F' D R' L U D2 F'
F' D R' L U F' D
F' D R' L U F' D'
F' D R' L U F' D2
F' D R' L D U F'
F' D R' L D' U F'
F' D R' L D2 U F'
F' D R' D L U F'
F' D R' D' L U F'
L F D' R' U L2 F'
L F D' R' U F' L2
F' D R' D2 L U F'
F2 D R' F L U F2
R' F' L R F' U F
D' F' L R U' B U2
D2 F' L R U' B U2
U' F' L U' L' B' U2
D' F' L R' U D F'
D' F' L R' U D' F'
D' F' L R' U D2 F'
D' F' L R' U F' D
D' F' L R' U F' D'
D' F' L R' U F' D2
D2 F' L R' U D F'
D2 F' L R' U D' F'
D2 F' L R' U D2 F'
D2 F' L R' U F' D
D2 F' L R' U F' D'
D2 F' L R' U F' D2
D' F' L R' D U F'
D' F' L R' D' U F'
D2 F' L R' D U F'
D' F' L R' D2 U F'
D2 F' L R' D' U F'
D2 F' L R' D2 U F'
D' F' L U2 L U' F
D2 F' L U2 L U' F
D' F' L D R' U F'
D2 F' L D R' U F'
D' F' L D' R' U F'
D2 F' L D' R' U F'
D' F' L D2 R' U F'
D2 F' L D2 R' U F'
D F' L R U' B U2
D F' L R' U D F'
D F' L R' U D' F'
D F' L R' U D2 F'
D F' L R' U F' D
D F' L R' U F' D'
D F' L R' U F' D2
D F' L R' D U F'
D F' L R' D' U F'
D F' L R' D2 U F'
D F' L U2 L U' F
D F' L D R' U F'
D F' L D' R' U F'
D F' L D2 R' U F'
F2 D F L R' U F'
L' F' L2 R U' B U2
L' F' L2 R' U D F'
L' F' L2 R' U D' F'
L' F' L2 R' U D2 F'
L' F' L2 R' U F' D
L' F' L2 R' U F' D'
L' F' L2 R' U F' D2
L' F' L2 R' D U F'
F2 D F R' L U F'
L' F' L2 R' D' U F'
L' F' L2 R' D2 U F'
U F' L D2 R2 U R2
R F' L U' B U2 L
L' F' L2 U2 L U' F
L' F' L2 D R' U F'
L' F' L2 D' R' U F'
L' F' L2 D2 R' U F'
R' F' R L F' U F
D2 F' R L U' B U2
D' F' R L U' B U2
L' F' R L2 U' B U2
U2 F' L2 B' L' U F
D2 F' R' L U D F'
D2 F' R' L U D' F'
D2 F' R' L U D2 F'
D2 F' R' L U F' D
D2 F' R' L U F' D'
D2 F' R' L U F' D2
D' F' R' L U D F'
D' F' R' L U D' F'
D' F' R' L U D2 F'
D' F' R' L U F' D
D' F' R' L U F' D'
D' F' R' L U F' D2
D2 F' R' L D U F'
D' F' R' L D U F'
D2 F' R' L D' U F'
D' F' R' L D' U F'
D2 F' R' L D2 U F'
D' F' R' L D2 U F'
L' F' R' L2 U D F'
L' F' R' L2 U D' F'
L' F' R' L2 U D2 F'
L' F' R' L2 U F' D
L' F' R' L2 U F' D'
L' F' R' L2 U F' D2
L' F' R' L2 D U F'
L' F' R' L2 D' U F'
L' F' R' L2 D2 U F'
D F' R L U' B U2
D2 F' R' D L U F'
D' F' R' D L U F'
L' F' R' U D' F' B2
L' F' R' U D' B2 F'
L' F' R' U F' D' B2
D2 F' R' D' L U F'
D' F' R' D' L U F'
D2 F' R' D2 L U F'
D' F' R' D2 L U F'
L' F' R' D' U F' B2
L' F' R' D' U B2 F'
L F' R U R2 F' R2
L F' R U' D B U2
L F' R U' D' B U2
L F' R U' D2 B U2
L F' R U' B U2 D
L F' R U' B U2 D'
L F' R U' B U2 D2
L F' R U' B D U2
L F' R U' B D' U2
L F' R U' B D2 U2
L F' R D R2 U F'
L F' R D U' B U2
D F' R' L U D F'
D F' R' L U D' F'
D F' R' L U D2 F'
D F' R' L U F' D
D F' R' L U F' D'
D F' R' L U F' D2
D F' R' L D U F'
D F' R' L D' U F'
D F' R' L D2 U F'
L F' R D' R2 U F'
L F' R D' U' B U2
L F' R D2 R2 U F'
L F' R D2 U' B U2
D F' R' D L U F'
D F' R' D' L U F'
D F' R' D2 L U F'
L F' R' U L' F' L
L F' R' U L2 F' L2
L F' R' U D F' D
L F' R' U D F' D'
L F' R' U D F' D2
L F' R' U D' F' D
L F' R' U D' F' D'
L F' R' U D' F' D2
L F' R' U D2 F' D
L F' R' U D2 F' D'
L F' R' U D2 F' D2
L F' R' U F2 D F
L F' R' U F2 D' F
L F' R' U F2 D2 F
L F' R' U' B U2 F'
L F' R' U' B' U2 F'
L F' R' U' B2 U2 F'
L F' R' U2 L U' F'
L F' R' U2 L' U' F'
L F' R' U2 L2 U' F'
L F' R' D U F' D
L F' R' D U F' D'
L F' R' D U F' D2
L F' R' D' U F' D
L F' R' D' U F' D'
L F' R' D' U F' D2
L F' R' D2 U F' D
L F' R' D2 U F' D'
L F' R' D2 U F' D2
L F' R2 U R F' R'
F' D' L R U' B U2
F' D' L R' U D F'
F' D' L R' U D' F'
F' D' L R' U D2 F'
F' D' L R' U F' D
F' D' L R' U F' D'
F' D' L R' U F' D2
F' D' L R' D U F'
F' D' L R' D' U F'
F' D' L R' D2 U F'
F' D' L U2 L U' F
F' D' L D R' U F'
F' D' L D' R' U F'
F' D' L D2 R' U F'
L F' U F U' R U
L F' U F' U L' U'
D2 F' D L R' U F'
D' F' D L R' U F'
D2 F' D R' L U F'
D' F' D R' L U F'
F D' L R' U L F'
F D' L R' U F' L
L F' U' B U' L U'
L F' U' B' U R' U
D2 F' D' L R' U F'
L F' U2 L U' D F
L F' U2 L U' D' F
L F' U2 L U' D2 F
L F' U2 L U' F D
L F' U2 L U' F D'
L F' U2 L U' F D2
L F' U2 L D U' F
L F' U2 L D' U' F
L F' U2 L D2 U' F
D' F' D' L R' U F'
L F' U2 L' U B' U2
L2 F' D R' U F' B
L2 F' D R' U B F'
D2 F' D' R' L U F'
D' F' D' R' L U F'
L F' U2 D L U' F
D F' D L R' U F'
L F' U2 D' L U' F
L' F' D' R' U F' B2
L' F' D' R' U B2 F'
L F' U2 D2 L U' F
D F' D R' L U F'
F' D' R L U' B U2
D2 F' D2 L R' U F'
D' F' D2 L R' U F'
L F' D R U' B U2
D2 F' D2 R' L U F'
L F' D R' U D F'
L F' D R' U D' F'
L F' D R' U D2 F'
L F' D R' U F' D
L F' D R' U F' D'
L F' D R' U F' D2
D' F' D2 R' L U F'
L F' D R' D U F'
L F' D R' D' U F'
L F' D R' D2 U F'
D F' D' L R' U F'
L F' D U2 L U' F
D F' D' R' L U F'
F' D' R' L U D F'
F' D' R' L U D' F'
F' D' R' L U D2 F'
F' D' R' L U F' D
F' D' R' L U F' D'
F' D' R' L U F' D2
F' D' R' L D U F'
F' D' R' L D' U F'
F' D' R' L D2 U F'
F' D' R' D L U F'
F' D' R' D' L U F'
L F' D' R U' B U2
F' D' R' D2 L U F'
L F' D' R' U D F'
L F' D' R' U D' F'
L F' D' R' U D2 F'
L F' D' R' U F' D
L F' D' R' U F' D'
L F' D' R' U F' D2
L F' D' R' D U F'
L F' D' R' D' U F'
L F' D' R' D2 U F'
D F' D2 L R' U F'
L F' D' U2 L U' F
D F' D2 R' L U F'
F2 D' R' F L U F2
L F' D2 R U' B U2
L F' D2 R' U D F'
L F' D2 R' U D' F'
L F' D2 R' U D2 F'
L F' D2 R' U F' D
L F' D2 R' U F' D'
L F' D2 R' U F' D2
L F' D2 R' D U F'
L F' D2 R' D' U F'
L F' D2 R' D2 U F'
F D' R' L U L F'
F D' R' L U F' L
L F' D2 U2 L U' F
L F' B R' B' U F'
L F' B2 R' B2 U F'
F2 D' F L R' U F'
F2 D' F R' L U F'
R F2 L U' B U2 L
R' F2 R F' L U F2
D2 F2 R' F L U F2
D' F2 R' F L U F2
L' F2 R' F L2 U F2
L F2 R F R2 U F'
L F2 R F U' B U2
