D2 L' R2 F' B' U
D2 L' R2 B' F' U
B L2 U2 L B' U
D2 R2 L' F' B' U
D2 R2 L' B' F' U
L' B' U2 L' B2 U'
L' B' U2 B2 L' U'
L' B' D2 F2 R U
B L D' F L U' B2
B L D2 R2 F L U'
L' R F2 R F' B' U
L' R F2 R B' F' U
B L D2 F L R2 U'
B L D2 F R2 L U'
B' L F L B2 R' U'
B L F L U2 L U
F L F L B R U'
L' R F2 B' R F' U
B L F D' L U' B2
B L F D2 L R2 U'
B L F D2 R2 L U'
L' R B' F2 R F' U
L2 R' U2 L F B' U
L2 R' U2 L B' F U
D2 L' R B' R F' U
D2 L' R2 D F' B' U
D2 L' R2 D B' F' U
D2 L' R2 D' F' B' U
D2 L' R2 D' B' F' U
D2 L' R2 D2 F' B' U
D2 L' R2 D2 B' F' U
D2 L' R2 F' D B' U
D2 L' R2 F' D' B' U
D2 L' R2 F' D2 B' U
D2 L' R2 F' B' U D
D2 L' R2 F' B' U D'
D2 L' R2 F' B' U D2
D2 L' R2 F' B' D U
D2 L' R2 F' B' D' U
D2 L' R2 F' B' D2 U
D2 L' R2 B' D F' U
D2 L' R2 B' D' F' U
D2 L' R2 B' D2 F' U
D2 L' R2 B' F' U D
D2 L' R2 B' F' U D'
D2 L' R2 B' F' U D2
D2 L' R2 B' F' D U
D2 L' R2 B' F' D' U
D2 L' R2 B' F' D2 U
D L' R2 F' B' U F'
D L' R2 B' F' U F'
R2 L' F2 R F B' U
R2 L' F2 R B' F U
R L' F2 R F' B' U
R L' F2 R B' F' U
D L' D R2 F' B' U
D L' D R2 B' F' U
R2 L' F2 B' R F U
R L' F2 B' R F' U
D' L' D' R2 F' B' U
D' L' D' R2 B' F' U
R' L' B' U2 L' B' U'
L' R' B' U2 L' B' U'
B' L' D2 F2 R B' U
B' L' D2 F2 B' R U
B' L' D2 B' F2 R U
R2 L' B' F2 R F U
R L' B' F2 R F' U
D2 L' F R2 F' B' U
D2 L' F R2 B' F' U
D2 L' F' R2 F' B' U
D2 L' F' R2 B' F' U
D2 L' F2 R2 F' B' U
D2 L' F2 R2 B' F' U
R' L2 U2 L F B' U
R' L2 U2 L B' F U
L2 R2 U2 L F' B' U
L2 R2 U2 L B' F' U
R2 L2 U2 L F' B' U
R2 L2 U2 L B' F' U
L2 R2 U2 F' L B' U
R2 L2 U2 F' L B' U
D2 L' B' R2 U D L2
D2 L' B' R2 U2 B2 U'
D2 L' B' R2 D U L2
D2 L' B' R2 D2 F2 U
D' L' B' U D L2 F
D' L' B' D U L2 F
B' L' B' U2 B' L' U'
D L' B' U F2 D L2
B L' B' U2 L' B U'
B L' B' U2 B L' U'
D L' B' U2 B2 U' F2
D L' B' D R2 U L2
B L2 R U2 L B' U
B L2 R' U2 L B' U
D2 L2 R2 F' L B' U
B L2 R2 U2 L B' U
L' R2 F2 R F B' U
L' R2 F2 R B' F U
L' R2 F2 B' R F U
B L2 U2 L D B' U
B L2 U2 L D' B' U
B L2 U2 L D2 B' U
B L2 U2 L B' U D
B L2 U2 L B' U D'
B L2 U2 L B' U D2
B L2 U2 L B' D U
B L2 U2 L B' D' U
B L2 U2 L B' D2 U
B2 L2 U2 F L B' U
L' R2 B' F2 R F U
F2 L2 D' B R U' R2
F2 L2 D2 B R F' U'
B L2 F U2 L B' U
B L2 F' U2 L B' U
B L2 F2 U2 L B' U
F2 L2 B D2 R F' U'
U2 L2 B2 R' F' B' U'
U2 L2 B2 R' B' F' U'
D2 R L' B' R F' U
B R L2 U2 L B' U
B R' L2 U2 L B' U
L2 U2 L B' U D L2
L2 U2 L B' U2 B2 U'
L2 U2 L B' D U L2
L2 U2 L B' D2 F2 U
L' U2 L' D' B U' R'
L' U2 L2 F L B U'
D2 R2 L' D F' B' U
D2 R2 L' D B' F' U
D2 R2 L' D' F' B' U
D2 R2 L' D' B' F' U
D2 R2 L' D2 F' B' U
D2 R2 L' D2 B' F' U
D2 R2 L' F' D B' U
D2 R2 L' F' D' B' U
D2 R2 L' F' D2 B' U
D2 R2 L' F' B' U D
D2 R2 L' F' B' U D'
D2 R2 L' F' B' U D2
D2 R2 L' F' B' D U
D2 R2 L' F' B' D' U
D2 R2 L' F' B' D2 U
D2 R2 L' B' D F' U
D2 R2 L' B' D' F' U
D2 R2 L' B' D2 F' U
D2 R2 L' B' F' U D
D2 R2 L' B' F' U D'
D2 R2 L' B' F' U D2
D2 R2 L' B' F' D U
D2 R2 L' B' F' D' U
D2 R2 L' B' F' D2 U
D R2 L' F' B' U F'
D2 R2 L2 F' L B' U
D R2 L' B' F' U F'
B R2 L2 U2 L B' U
L' U2 B L' U' D' R2
L' U2 B L' U2 B2 U
L' U2 B L' D' U' R2
L' U2 B L' D2 F2 U'
L' U2 B D' L' U' R2
L' U2 B D2 L' F2 U'
D2 R2 D L' F' B' U
D2 R2 D L' B' F' U
D2 R2 D' L' F' B' U
D2 R2 D' L' B' F' U
D2 R2 D2 L' F' B' U
D2 R2 D2 L' B' F' U
R2 D L' F' B' U F'
R2 D L' B' F' U F'
R D L' B' U L F2
R D L' B' U F2 L
D2 R2 B L' F' B' U
D2 R2 B L' B' F' U
D2 R2 B' L' F' B' U
D2 R2 B' L' B' F' U
D2 R2 B2 L' F' B' U
D2 R2 B2 L' B' F' U
L' D B' U2 L' B2 U'
L' D B' U2 B2 L' U'
L' D B' D2 F2 R U
L D' F L B U' B
L2 D' B U' D' R' B
L2 D' B D' U' R' B
L' D' B' U2 L' B2 U'
L' D' B' U2 B2 L' U'
L' D' B' D2 F2 R U
L2 D' B2 R' B' U' R'
R2 D2 L' F' R2 B' U
R2 D2 L' F' B' R2 U
R2 D2 L' B' F' R2 U
R D2 L' R2 F B' U
