L' F U R B U'
U L U F R B' U2
U L U F B' R U2
U L U B' F R U2
B L U2 B' U' R' U'
U L' R B U' F B2
U L' R B U' B2 F
F L' U R B U' F
U L' U' F B L B2
U L' U' B F L B2
F2 L' D' F B L B'
F2 L' D' B F L B'
B L' F L2 U R U'
B L' F U R U' L2
F2 L' F B L D' B2
F L' F D' B L B'
F L' F B D' L B'
F2 L' B D' F L B'
F2 L' B F L D' B2
F L' B F D' L B'
U L' B2 U' F B L
U L' B2 U' B F L
F L2 U R B L U'
F' L2 U' L F R U
F2 L2 D' B L F B'
F2 L2 D' B L B' F
F' L2 B D L F B'
F' L2 B D L B' F
F2 L2 B D' L F B'
F2 L2 B D' L B' F
U R L' B U' F B2
U R L' B U' B2 F
U' R U L' F B L
U' R U L' B F L
U' R U L2 B L F
U' R U B L' F L2
L2 U' L F R U B
L' U' R U F B L
L' U' R U B F L
L2 U' R U B L F
U R B L' U' F B'
U R B L' U' B' F
L2 U' F R U B L
U' R' U' F' U2 L' F
L' D F U R B U'
B2 U L' U' F B' L
B2 U L' U' B' F L
B U L' U' F B' L2
B U L' U' B' F L2
F U L' R B U' F
F U R L' B U' F
F U R B L' U' F
U' D F' R U B L
F U D2 R B U' F'
D2 U' R U F' B L
F' U' L F L2 U F
D2 U' R U B L F'
D2 U' R U B F' L
L' D' F U R B U'
F' U' L' U2 B' U' F
D U' F' R U B L
U' D2 R U F' B L
U' D2 R U B L F'
U' D2 R U B F' L
L' D2 F U R B U'
L' F L U R B U'
L' F L' U R B U'
L' F L2 U R B U'
D2 F U R B U' F'
L' F U R D B U'
L' F U R D' B U'
L' F U R D2 B U'
L' F U R B U' D
L' F U R B U' D'
L' F U R B U' D2
L' F U R B D U'
L' F U R B D' U'
L' F U R B D2 U'
L' F U D R B U'
L' F U D' R B U'
L' F U D2 R B U'
L2 F U R B L U'
L' F U B R B U'
L' F U B' R B U'
L' F U B2 R B U'
D F U L' R B U'
D F U R L' B U'
D F U R B L' U'
L' F D U R B U'
L' F D' U R B U'
L' F D2 U R B U'
L' F B L U R U'
L' F B U R U' L
L' F' B L F2 D' B2
L2 F' B L D' F B2
L2 F' B L D' B2 F
L2 F' B L F D' B2
L' F2 D' F' B L B'
L' F2 D' B L F' B'
L' F2 D' B L B' F'
L' F2 D' B F' L B'
L2 F2 D' B L F B'
L2 F2 D' B L B' F
L' F2 B D' L F' B'
L' F2 B D' L B' F'
L' F2 B D' F' L B'
L2 F2 B D' L F B'
L2 F2 B D' L B' F
F D2 U R B U' F'
L2 B L F U R U'
F' B L U' L2 U F
F' B L' F L2 D' B2
L' B F L U R U'
L' B F U R U' L
L' B F' L F2 D' B2
L2 B F' L D' F B2
L2 B F' L D' B2 F
L2 B F' L F D' B2
L B D2 F2 D' L B'
L' B F2 D' L F' B'
L' B F2 D' L B' F'
L' B F2 D' F' L B'
F' B U' L' U F L2
L2 B F2 D' L F B'
L2 B F2 D' L B' F
B F' L U' L2 U F
B F' L' F L2 D' B2
B F' U' L' U F L2
