F2 L' B' D' R2
B L' U F2 B' L'
B L' U B' F2 L'
F2 L' U' B U B2
F2 L' D B' D' R2
F2 L' D' B' D' R2
F2 L' D2 B' D' R2
F2 L' B' R D' R2
F2 L' B' R' D' R2
F2 L' B' R2 D' R2
F2 L' B' U' B2 U
F2 L' B' D' R2 D
F2 L' B' D' R2 D'
F2 L' B' D' R2 D2
F2 U' B U L' B'
F2 D L' B' D' R2
F2 D' L' B' D' R2
L' F2 B' L' D' R2
F2 D2 L' B' D' R2
L' F2 B' D' L' R2
L' F2 B' D' R2 L'
U B L U F2 L'
L' B U F2 L' B2
L' B U F2 B2 L'
L' B U B2 F2 L'
U' B U F2 L' B'
F2 B' L' D' R2 B'
F2 B' L' D' B' R2
L' B' F2 L' D' R2
L' B' F2 D' L' R2
L' B' F2 D' R2 L'
F2 B' D' L' R2 B'
F2 B' D' L' B' R2
F2 B' D' R2 L' B'
B' F2 L' D' R2 B'
B' F2 L' D' B' R2
B' F2 D' L' R2 B'
B' F2 D' L' B' R2
B' F2 D' R2 L' B'
B L U L' F2 L' B'
B L U L2 F2 B' L'
B L U L2 B' F2 L'
B L U' R F U2 F
B L U' F U2 F L'
F2 L U' B U L2 B'
B' L F2 L' D' R2 B
B' L F2 D' L' R2 B
B' L F2 D' R2 L' B
B' L F2 D' R2 B L'
U L B L U F2 L'
U' L B U F2 L' B'
F2 L B' L2 D' R2 B'
F2 L B' L2 D' B' R2
F2 L' R D B R' B2
F2 L' R B2 D B R'
F2 L' R2 U F' U' B'
F2 L' R2 B' U F' U'
B L' U L F2 L' B'
F2 L' U R' U' B' R'
F2 L' U R2 F' U' B'
B L' U F2 D B' L'
B L' U F2 D' B' L'
B L' U F2 D2 B' L'
B L' U F2 B L' B2
B L' U F2 B' L' D
B L' U F2 B' L' D'
B L' U F2 B' L' D2
B L' U F2 B' D L'
B L' U F2 B' D' L'
B L' U F2 B' D2 L'
B L' U F2 B2 L' B
B L' U B F2 L' B2
B L' U B' L F2 L'
B L' U B' L' F2 L'
B L' U B' L2 F2 L'
B L' U B' F2 L' D
B L' U B' F2 L' D'
B L' U B' F2 L' D2
B L' U B' F2 D L'
B L' U B' F2 D' L'
B L' U B' F2 D2 L'
B L' U B2 F2 L' B
B L' U' R U2 F2 B'
B L' U' R U2 B' F2
F2 L' U' D B U B2
F2 L' U' D' B U B2
F2 L' U' D2 B U B2
F2 L' U' B L U B2
F2 L' U' B L' U B2
F2 L' U' B L2 U B2
F2 L' U' B U B2 D
F2 L' U' B U B2 D'
F2 L' U' B U B2 D2
F2 L' U' B D L2 U
F2 L' D U' B U B2
F2 L' D B' R D' R2
F2 L' D B' R' D' R2
F2 L' D B' R2 D' R2
F2 L' D B' U' B2 U
F2 L' D B' D' R2 D
F2 L' D B' D' R2 D'
F2 L' D B' D' R2 D2
F2 L' D' U' B U B2
F2 L' D' B' R D' R2
F2 L' D' B' R' D' R2
F2 L' D' B' R2 D' R2
F2 L' D' B' U' B2 U
F2 L' D' B' D' R2 D
F2 L' D' B' D' R2 D'
F2 L' D' B' D' R2 D2
F2 L' D2 U' B U B2
F2 L' D2 B' R D' R2
F2 L' D2 B' R' D' R2
F2 L' D2 B' R2 D' R2
F2 L' D2 B' U' B2 U
F2 L' D2 B' D' R2 D
F2 L' D2 B' D' R2 D'
F2 L' D2 B' D' R2 D2
B L' F U F B' L'
B L' F U B' F L'
F2 L' F B' D' F' R2
F' L' F' B' L' D' R2
F' L' F' B' D' L' R2
F' L' F' B' D' R2 L'
F2 L' F' B' D' R2 F
F2 L' F' B' D' F R2
B' L' F2 D' R2 B' L'
B' L' F2 D' B' L' R2
B' L' F2 D' B' R2 L'
F2 L' B R B2 D' R2
F2 L' B R' B2 D' R2
U L' B L U F2 L'
F2 L' B R2 B2 D' R2
U' L' B U F2 L' B'
D L' B R2 U B2 L
F2 L' B' L D' L' R2
F2 L' B' L D' R2 L'
F2 L' B' L' D' L R2
F2 L' B' L' D' R2 L
F2 L' B' R U' B2 U
F2 L' B' R D' R2 D
F2 L' B' R D' R2 D'
F2 L' B' R D' R2 D2
F2 L' B' R' U' B2 U
F2 L' B' R' D' R2 D
F2 L' B' R' D' R2 D'
F2 L' B' R' D' R2 D2
F2 L' B' R2 U' B2 U
F2 L' B' R2 D' R2 D
F2 L' B' R2 D' R2 D'
F2 L' B' R2 D' R2 D2
F2 L' B' U D2 F2 U'
F2 L' B' U' B2 U D
F2 L' B' U' B2 U D'
F2 L' B' U' B2 U D2
F2 L' B' U' B2 D U
F2 L' B' U' B2 D' U
F2 L' B' U' B2 D2 U
F2 L' B' U2 D L2 U2
F' L' B' D' F' L' R2
F' L' B' D' F' R2 L'
F2 L' B' D R D2 R2
F2 L' B' D R' D2 R2
F2 L' B' D R2 D2 R2
F2 L' B' D U2 L2 U2
F2 L' B' D' R D R
F2 L' B' D' R D' R
F2 L' B' D' R D2 R
F2 L' B' D' R' D R'
F2 L' B' D' R' D' R'
F2 L' B' D' R' D2 R'
F2 L' B' D' F' R2 F
F2 L' B' D' F2 R2 F2
F2 L' B' D' B R2 B'
F' L' B' F' L' D' R2
F2 L' B' D' B2 R2 B2
F2 L' B' D2 R D R2
F2 L' B' D2 R' D R2
F2 L' B' D2 R2 D R2
F2 L' B' D2 U F2 U'
F' L' B' F' D' L' R2
F' L' B' F' D' R2 L'
F2 L' B' F D' F' R2
D L' B' D' F2 L' R2
D L' B' D' F2 R2 L'
F2 L' B' F' D' R2 F
F2 L' B' F' D' F R2
B' L' B2 U F2 L' B
B' L' B2 U F2 B L'
B' L' B2 U B F2 L'
F2 L' B2 U' B' U B2
F2 L' B2 D B D' R2
F2 L' B2 D' B D' R2
F2 L' B2 D2 B D' R2
B L2 U L F2 B' L'
B L2 U L B' F2 L'
B L2 U L2 F2 L' B'
B L2 U F2 L B' L2
U' L2 B U F2 L' B'
U L2 B L U F2 L'
R U R' B L U F2
F2 R L' D B R' B2
F2 R L' B2 D B R'
L' U F2 B' L' D' R2
L' U F2 B' D' L' R2
L' U F2 B' D' R2 L'
L' U B U F2 L' B2
L' U B U F2 B2 L'
L' U B U B2 F2 L'
U2 R U2 F2 D B R'
F2 R D L' B R' B2
L' U B' F2 L' D' R2
L' U B' F2 D' L' R2
L' U B' F2 D' R2 L'
F2 R D B L' R' B'
F2 R D B R' L' B'
F2 R D B2 L' B' R'
R U' F R F' U' F2
L' U' F2 B' L' D' R2
L' U' F2 B' D' L' R2
L' U' F2 B' D' R2 L'
L' U' B U F2 L' B2
L' U' B U F2 B2 L'
L' U' B U B2 F2 L'
L' U' B' F2 L' D' R2
L' U' B' F2 D' L' R2
L' U' B' F2 D' R2 L'
F2 R2 L' U F' U' B'
F2 R2 L' B' U F' U'
R U2 F' D' F' R B
L' U2 F2 B' L' D' R2
L' U2 F2 B' D' L' R2
L' U2 F2 B' D' R2 L'
L' U2 B U F2 L' B2
L' U2 B U F2 B2 L'
L' U2 B U B2 F2 L'
R U2 F2 D R B R'
L' U2 B' F2 L' D' R2
L' U2 B' F2 D' L' R2
L' U2 B' F2 D' R2 L'
F R2 F L' D R2 B'
F R2 F L' D B' R2
F R2 F L' B' D R2
F R2 F D L' R2 B'
F R2 F D L' B' R2
F R2 F D R2 L' B'
L' D B R2 U B2 L
F2 U R' U' L' B' R'
L' D B' D' F2 L' R2
L' D B' D' F2 R2 L'
F' U B L F U F2
B U F2 B L' D' B2
B U B F2 L' D' B2
F2 U' D B U L' B'
F2 U' D' B U L' B'
F2 U' D2 B U L' B'
F' U' B U F' L' B'
F2 U' B U L' D B'
F2 U' B U L' D' B'
F2 U' B U L' D2 B'
F2 U' B U L' B' D
F2 U' B U L' B' D'
F2 U' B U L' B' D2
F2 U' B U D L' B'
F2 U' B U D' L' B'
F2 U' B U D2 L' B'
F2 U' B U B L' B'
F2 U' B U B' L' B'
F2 U' B U B2 L' B'
F2 U' B D U L' B'
F2 U' B D' U L' B'
F2 U' B D2 U L' B'
B2 U' B' U F2 L' B'
F U' B U F L' B'
B' U' B2 U F2 L' B'
L F U B U F L'
F2 D L' U' B U B2
F2 D L' D B' D' R2
F2 D L' D' B' D' R2
F2 D L' D2 B' D' R2
F2 D L' B' R D' R2
F2 D L' B' R' D' R2
F2 D L' B' R2 D' R2
F2 D L' B' U' B2 U
F2 D L' B' D' R2 D
F2 D L' B' D' R2 D'
F2 D L' B' D' R2 D2
L' F B U F L' B2
L' F B U F B2 L'
L' F B U B2 F L'
F2 D U' B U L' B'
F' D F' L' B' D' R2
F2 D B' L' D' R2 B'
F2 D B' L' D' B' R2
F2 D B' D' L' R2 B'
F2 D B' D' L' B' R2
F2 D B' D' R2 L' B'
F2 D' L' U' B U B2
F2 D' L' D B' D' R2
F2 D' L' D' B' D' R2
F2 D' L' D2 B' D' R2
F2 D' L' B' R D' R2
F2 D' L' B' R' D' R2
F2 D' L' B' R2 D' R2
F2 D' L' B' U' B2 U
F2 D' L' B' D' R2 D
F2 D' L' B' D' R2 D'
F2 D' L' B' D' R2 D2
R F' U2 D' F' R B
R F' D' U2 F' R B
L' F' B' D' F' L' R2
L' F' B' D' F' R2 L'
F2 D' U' B U L' B'
L2 F2 L B' L2 D' R2
U2 F2 L' R D B R'
U2 F2 L' U' B L U
F' D' F' L' B' D' R2
D F2 L' B' D' R2 F2
D F2 L' B' D' F2 R2
U2 F2 R L' D B R'
L F2 L' B' D' R2 B
U2 F2 R D L' B R'
U2 F2 R D B L' R'
U2 F2 R D B R' L'
F2 D' B' L' D' R2 B'
F2 D' B' L' D' B' R2
F2 D' B' D' L' R2 B'
F2 D' B' D' L' B' R2
F2 D' B' D' R2 L' B'
L' F2 U' B U L' B2
L' F2 U' B U B2 L'
U2 F2 U' B L U L2
F2 D2 L' U' B U B2
F2 D2 L' D B' D' R2
F2 D2 L' D' B' D' R2
F2 D2 L' D2 B' D' R2
F2 D2 L' B' R D' R2
F2 D2 L' B' R' D' R2
F2 D2 L' B' R2 D' R2
F2 D2 L' B' U' B2 U
F2 D2 L' B' D' R2 D
F2 D2 L' B' D' R2 D'
F2 D2 L' B' D' R2 D2
L' F2 D B' L' D' R2
L' F2 D B' D' L' R2
L' F2 D B' D' R2 L'
L' F2 D' B' L' D' R2
