U' R B U B L
U' L R F B U B
U' L R B F U B
B L F D B R F'
B L F B D R F'
B L B U' R B U
B L B F D R F'
U' R L F B U B
U' R L B F U B
U' R F B U B L
U' R F' B U B L
L' U' R B U B L
L2 U' R B U B L
U' R F2 B U B L
L U' R B U B L
U' R B L F U B
U' R B U L B L
U' R B U L' B L
U' R B U L2 B L
U' R B U D B L
U' R B U D' B L
U' R B U D2 B L
U' R B U B L D
U' R B U B L D'
U' R B U B L D2
U' R B U B D L
U' R B U B D' L
U' R B U B D2 L
U' R B D U B L
U' R B D' U B L
U' R B D2 U B L
U' R B F U B L
U' R B F' U B L
U' R B F2 U B L
B' R' U R2 U B' R'
B' R' U2 D' F2 B' R'
B' R' U2 D' B' R' F2
B' R' U2 D' B' F2 R'
B' R' U2 B' D' R' F2
B' R' U2 B' D' F2 R'
B' R' D' U2 F2 B' R'
B' R' D' U2 B' R' F2
B' R' D' U2 B' F2 R'
B2 U' R B U' R' U2
B2 U' D' R F' B U
B2 U' D' R B F' U
B2 U' B2 R B U L
F U2 B2 D R F' L'
R F B U L B R
B2 D' U' R F' B U
B2 D' U' R B F' U
U' F2 L' B' U' B' R'
B2 D2 F L' D R F'
B2 D2 F R D' L' F
B2 D2 F D L' R F'
B2 D2 F D R L' F'
B2 D2 F D' L' R F
B2 D2 F D' R L' F
B F L D B R F'
B F L B D R F'
F B L D B R F'
F B L B D R F'
R B F U L B R
B F D L B R F'
F B D L B R F'
