F' L2 R F2 B' U'
F' L2 R B' F2 U'
D2 L2 R2 B' L U
F L2 U2 L F' U
F L2 U2 F' L U
F' L2 B' R F2 U'
D2 L2 B' L R2 U
D2 L2 B' R2 L U
F' R L2 F2 B' U'
F' R L2 B' F2 U'
D2 R2 L2 B' L U
U2 F L2 U2 L U
U2 F' L2 R F2 U'
U2 F' R L2 F2 U'
U2 F' R F2 L2 U'
F' L R F2 L B' U'
D2 L R2 B' L B' U
F L D2 L R2 B U'
F L D2 R2 L B U'
D2 L B' L R2 B' U
D2 L B' L B' R2 U
D2 L B' R2 L B' U
D L' U F2 B' R' B
D L' U B' R' F2 B
D L' U B' R' B F2
D L' U B' F2 R' B
D' L' U' F B2 U2 R
D' L' U' B2 F U2 R
F L' F' U2 F L' U'
F' L2 R D B' U' R2
F L2 R U2 L F U
F' L2 R F2 D B' U'
F' L2 R F2 D' B' U'
F' L2 R F2 D2 B' U'
F' L2 R F2 B' U' D
F' L2 R F2 B' U' D'
F' L2 R F2 B' U' D2
F' L2 R F2 B' D U'
F' L2 R F2 B' D' U'
F' L2 R F2 B' D2 U'
D2 L2 R B' L R U
D2 L2 R B' R L U
F' L2 R B' U' D R2
F' L2 R B' D U' R2
F' L2 R B' F2 U' D
F' L2 R B' F2 U' D'
F' L2 R B' F2 U' D2
F' L2 R B' F2 D U'
F' L2 R B' F2 D' U'
F' L2 R B' F2 D2 U'
F' L2 R' F2 R2 B' U'
F' L2 R' F2 B' R2 U'
F' L2 R' B' R2 F2 U'
F' L2 R' B' F2 R2 U'
D L2 R' B' U F2 B2
D L2 R' B' U B2 F2
F L2 R' B2 R' B U'
F' L2 R2 F2 R' B' U'
D2 L2 R2 B' L U D
D2 L2 R2 B' L U D'
D2 L2 R2 B' L U D2
D2 L2 R2 B' L D U
D2 L2 R2 B' L D' U
D2 L2 R2 B' L D2 U
D2 L2 R2 B' D L U
D2 L2 R2 B' D' L U
D2 L2 R2 B' D2 L U
F L2 R2 B2 R' B' U'
F L2 U2 L D F' U
F L2 U2 L D' F' U
F L2 U2 L D2 F' U
F L2 U2 L F' U D
F L2 U2 L F' U D'
F L2 U2 L F' U D2
F L2 U2 L F' D U
F L2 U2 L F' D' U
F L2 U2 L F' D2 U
F L2 U2 L' F' L2 U
U2 L2 U2 D2 B' L U
F L2 U2 D L F' U
F L2 U2 D F' L U
F L2 U2 D' L F' U
F L2 U2 D' F' L U
F L2 U2 D2 L F' U
F L2 U2 D2 F' L U
F L2 U2 F L F2 U
F L2 U2 F' L U D
F L2 U2 F' L U D'
F L2 U2 F' L U D2
F L2 U2 F' L D U
F L2 U2 F' L D' U
F L2 U2 F' L D2 U
F L2 U2 F' D L U
F L2 U2 F' D' L U
F L2 U2 F' D2 L U
F' L2 D R B' U' R
D L2 D R2 B' L U
F' L2 D B' R U' R
F L2 D U2 L F' U
F L2 D U2 F' L U
D L2 D B' L R2 U
D L2 D B' R2 L U
F L2 D' U2 L F' U
F L2 D' U2 F' L U
U2 L2 D2 U2 B' L U
F L2 D2 U2 L F' U
F L2 D2 U2 F' L U
U2 L2 F U2 B' L' U
U2 L2 F' R U2 B' U
F2 L2 F' U2 L' F' U
F' L2 F2 B' U2 L' U
F' L2 B R F2 B2 U'
F' L2 B R B2 F2 U'
D2 L2 B' L R2 U D
D2 L2 B' L R2 U D'
D2 L2 B' L R2 U D2
D2 L2 B' L R2 D U
D2 L2 B' L R2 D' U
D2 L2 B' L R2 D2 U
F L2 B R2 B R' U'
D2 L2 B' L U D' F2
D2 L2 B' L D' U F2
F' L2 B' R U' D R2
F' L2 B' R D U' R2
F' L2 B' R F2 U' D
F' L2 B' R F2 U' D'
F' L2 B' R F2 U' D2
F' L2 B' R F2 D U'
F' L2 B' R F2 D' U'
D2 L2 B' R2 L U D
D2 L2 B' R2 L U D'
D2 L2 B' R2 L U D2
F' L2 B' R F2 D2 U'
D2 L2 B' R2 L D U
D2 L2 B' R2 L D' U
D2 L2 B' R2 L D2 U
D2 L2 B' R2 D L U
D2 L2 B' R2 D' L U
D2 L2 B' R2 D2 L U
F' L2 B' R' F2 R2 U'
F' L2 B' R2 F2 R' U'
D2 L2 B' D' L U F2
F' L2 B' D R U' R
D L2 B' R' U F2 B
D L2 B' R' U B F2
F' L2 B' F2 U2 L' U
F L2 B' U2 F' L' U
F L2 B2 R2 B R U'
F' R L F2 L B' U'
F' R L2 D B' U' R2
D2 R L2 B' L R U
F' R L2 F2 D B' U'
F' R L2 F2 D' B' U'
D2 R L2 B' R L U
F' R L2 F2 D2 B' U'
F' R L2 F2 B' U' D
F' R L2 F2 B' U' D'
F' R L2 F2 B' U' D2
F' R L2 F2 B' D U'
F' R L2 F2 B' D' U'
F' R L2 F2 B' D2 U'
F' R L2 B' U' D R2
F R L2 U2 L F U
F' R L2 B' D U' R2
F' R L2 B' F2 U' D
F' R L2 B' F2 U' D'
F' R L2 B' F2 U' D2
F' R L2 B' F2 D U'
F' R L2 B' F2 D' U'
F' R L2 B' F2 D2 U'
U2 R F L2 U2 L U
U2 R F' L2 R F2 U'
U2 R F' R L2 F2 U'
U2 R F' R F2 L2 U'
F' R F2 L2 U2 F' U
F' R B L2 F2 B' U'
F' R B L2 B' F2 U'
F' R B' L2 F2 B' U'
F' R B' L2 B' F2 U'
F' R B2 L2 F2 B' U'
F' R B2 L2 B' F2 U'
F' R' L2 F2 R2 B' U'
F' R' L2 F2 B' R2 U'
F' R' L2 B' R2 F2 U'
F' R' L2 B' F2 R2 U'
D R' L2 B' U F2 B2
D R' L2 B' U B2 F2
F R' L2 B2 R' B U'
D R' U2 F U' F B
D R' U2 F U' B F
L' U2 L' R' F' R U'
U2 R' F L2 U2 L U
U2 R' F' L2 R F2 U'
U2 R' F' R L2 F2 U'
U2 R' F' R F2 L2 U'
F' R' F2 L2 R2 B U'
F' R' F2 R2 L2 B U'
F' R' F2 R2 B L2 U'
L' U2 R' L' F' R U'
D2 R2 L B' L B' U
R' U2 F L2 U2 L U
R2 U2 F L2 U2 L U
R' U2 F' L2 R F2 U'
R' U2 F' R L2 F2 U'
R' U2 F' R F2 L2 U'
R U2 F L2 U2 L U
F' R2 L2 F2 R' B' U'
D2 R2 L2 B' L U D
D2 R2 L2 B' L U D'
D2 R2 L2 B' L U D2
D2 R2 L2 B' L D U
D2 R2 L2 B' L D' U
D2 R2 L2 B' L D2 U
D2 R2 L2 B' D L U
D2 R2 L2 B' D' L U
D2 R2 L2 B' D2 L U
R2 U2 F' L2 R F2 U'
R2 U2 F' R L2 F2 U'
R2 U2 F' R F2 L2 U'
R U2 F' L2 R F2 U'
R U2 F' R L2 F2 U'
R U2 F' R F2 L2 U'
F R2 L2 B2 R' B' U'
U2 R2 F L2 U2 L U
U2 R2 F' L2 R F2 U'
U2 R2 F' R L2 F2 U'
U2 R2 F' R F2 L2 U'
D2 R2 B U2 R' F U'
D2 R2 B U2 F R' U'
D2 R2 B' L2 B' L' U
F R2 B L2 U2 L U
F R2 B' L2 B2 R' U'
D2 R2 B2 U2 F R U'
F' U L2 R F2 B' U'
F' U L2 R B' F2 U'
F' U L2 B' R F2 U'
F' U R L2 F2 B' U'
F' U R L2 B' F2 U'
U2 D R' F U' F B
U2 D R' F U' B F
U2 D F R' U' F B
U2 D F R' U' B F
D U F2 R' D B R'
U D F2 R' D B R'
F' U' L2 R F2 B' U'
F' U' L2 R B' F2 U'
F' U' L2 B' R F2 U'
F' U' R L2 F2 B' U'
F' U' R L2 B' F2 U'
R' D2 L2 R2 B' L U
R' D2 L2 B' L R2 U
R' D2 L2 B' R2 L U
R2 D2 L2 R2 B' L U
R2 D2 L2 B' L R2 U
R2 D2 L2 B' R2 L U
R D2 L2 R2 B' L U
R D2 L2 B' L R2 U
R D2 L2 B' R2 L U
R' D2 R2 L2 B' L U
R2 D2 R2 L2 B' L U
R D2 R2 L2 B' L U
D U2 R' F U' F B
D U2 R' F U' B F
F' U2 L2 R F2 B' U'
F' U2 L2 R B' F2 U'
D U2 F R' U' F B
D U2 F R' U' B F
F' U2 L2 B' R F2 U'
F U2 L' F2 R F U
F' U2 R L2 F2 B' U'
F' U2 R L2 B' F2 U'
L2 D2 B' L U2 L' U'
F U2 D L' F' U F'
L D2 B2 R' B L U
U2 F L D' L U' B2
U2 F L D2 L R2 U'
U2 F L D2 R2 L U'
B' U2 F L2 U2 L U
B2 U2 F L2 U2 L U
U' F L2 U2 L U L'
R' F L2 U2 L F' U
R' F L2 U2 F' L U
F U2 D2 L' F' R2 U
B' U2 F' L2 R F2 U'
U2 F L2 R U2 L U
U2 F L2 R' U2 L U
B' U2 F' R L2 F2 U'
B' U2 F' R F2 L2 U'
U2 F L2 R2 U2 L U
B U2 F L2 U2 L U
B2 U2 F' L2 R F2 U'
U2 F L2 U2 L U D
U2 F L2 U2 L U D'
U2 F L2 U2 L U D2
U2 F L2 U2 L D U
U2 F L2 U2 L D' U
U2 F L2 U2 L D2 U
U2 F L2 U2 D L U
U2 F L2 U2 D' L U
U2 F L2 U2 D2 L U
B2 U2 F' R L2 F2 U'
U2 F L2 D U2 L U
B2 U2 F' R F2 L2 U'
U2 F L2 D' U2 L U
U2 F L2 D2 U2 L U
R2 F L2 U2 L F' U
R2 F L2 U2 F' L U
U2 F L2 B2 R' B2 U'
