R B R U' R F'
B2 L R U' B R U'
B2 L U' R2 B U' L
B2 L U' B R2 U' L
L' R B R U' R F'
L R B R U' R F'
L2 R B R U' R F'
R L B R U' R F'
R L' B R U' R F'
D L2 R B U' B R2
D2 L2 U R' F' L' F'
D2 L2 U F' L' F' R'
D L2 U' R' B L B
R L2 B R U' R F'
D2 L2 F' U F' L' R'
D2 L2 F' U F' R' L'
B2 R L U' B R U'
D R L2 B U' B R2
R U B R U' R F'
F' R B R U' R F'
F2 R B R U' R F'
D R B L2 U' B R2
F R B R U' R F'
D2 R' U' L2 F' U F'
D2 R' U' F' L2 U F'
R U' B R U' R F'
D2 R' F D' F L2 B2
D2 R' F D' F B2 L2
D2 R' F D' B2 F L2
D2 R' F2 U' F L2 U
R U2 B R U' R F'
R' U2 B2 U L F' U
R' U2 B2 U F' L U
R2 D L2 B' U' L R
R2 D L2 B' U' R L
R2 D B' L2 U' L' R
R2 D B' L2 U' R L'
R D' B R F2 L' U'
R2 D2 L B' U' R F2
D2 F R' F D' L2 B2
D2 F R' F D' B2 L2
D2 F' L2 U F' L' R'
D2 F' L2 U F' R' L'
D2 F2 R' U' L2 F' U
D2 F2 R' U' F' L2 U
R B L R U' R F'
R B L' R U' R F'
R B L2 R U' R F'
R B R L U' R F'
R B R L' U' R F'
R B R L2 U' R F'
R B R U' R D F'
R B R U' R D' F'
R B R U' R D2 F'
R B R U' R F' D
R B R U' R F' D'
R B R U' R F' D2
R B2 U' R B' U' R
R B2 U' B' R U' R
