B' L' U F B2 U
B' L' U B2 F U
L2 U B U F L
D' B' U2 L D' R2
D' B' U2 D' L R2
D' B' U2 D' R2 L
D' B' D L2 U2 L'
D' B' D' U2 L R2
D' B' D' U2 R2 L
R2 L U' F' B' L' U'
R' L U' B' U' R' F'
R2 L U' B' F' L' U'
B' L U B2 U2 B U'
B' L U' D' B' U' R2
B' L U' D2 F2 B' U'
B' L U' D2 B' F2 U'
B' L U' B' U2 B' U
B' L D L2 U F U
B' L D' U' B' U' R2
B' L D2 U' F2 B' U'
B' L D2 U' B' F2 U'
L R' U' B' U' R' F'
B' L' R U F B2 U
B' L' R U B2 F U
B' L' R' U F B2 U
B' L' R' U B2 F U
B' L' R2 U F B2 U
B' L' R2 U B2 F U
B' L' U D' F U R2
B' L' U F U D' R2
B' L' U F D' U R2
B' L' U F B2 U D
B' L' U F B2 U D'
B' L' U F B2 U D2
B' L' U F B2 D U
B' L' U F B2 D' U
B' L' U F B2 D2 U
B' L' U B2 D F U
B' L' U B2 D' F U
B' L' U B2 D2 F U
B' L' U B2 F U D
B' L' U B2 F U D'
B' L' U B2 F U D2
B' L' U B2 F D U
B' L' U B2 F D' U
B' L' U B2 F D2 U
B' L' D L2 U' B' U'
B' L' D' U F U R2
B L' D' F R2 U B
B L' F U' F' B2 U2
B L' F U' B2 F' U2
B L' F D' R2 U B
L2 R2 U' F' U' L' F2
R2 L2 U' F' U' L' F2
L R2 U' F' B' L' U'
L R2 U' B' F' L' U'
B L' B2 U F B2 U
B L' B2 U B2 F U
D L2 U B U F L'
L2 U D B U F L
L' U D' F B R' U
L' U D' B R' F U
L' U D' B F R' U
L2 U D' B U F L
B' R L' U F B2 U
B' R L' U B2 F U
L2 U D2 B U F L
L' U F D' B R' U
L2 U F' B U L F2
L2 U F' B U F2 L
L2 U F2 B U L F'
L2 U F2 B U F' L
L2 U B R U F L
L2 U B R' U F L
L2 U B R2 U F L
L2 U B U D F L
L2 U B U D' F L
L2 U B U D2 F L
L2 U B U F L D
L2 U B U F L D'
L2 U B U F L D2
L2 U B U F D L
L2 U B U F D' L
L2 U B U F D2 L
L2 U B U F' L F2
L2 U B U F2 L F'
L2 U B D U F L
L2 U B D' U F L
L2 U B D2 U F L
L U B U2 L B2 U'
L2 U B F' U L F2
L2 U B F' U F2 L
L2 U B F2 U L F'
L2 U B F2 U F' L
B' R' L' U F B2 U
B' R' L' U B2 F U
B' R2 L' U F B2 U
B' R2 L' U B2 F U
L2 U2 F U' B U L
D' R2 B' U' F' U' L
L2 D U B U F L
B' U L' F L B2 U
B' U D' B' U L R2
B' U D' B' U R2 L
D' U B U' R' B2 U2
D' U B U' B2 U2 L
B' U B' D' B' U L
L' D' U F B R' U
B' U B2 L' F L U
L' D' U B R' F U
L' D' U B F R' U
B' U B2 D F U L'
L2 D' U B U F L
R2 D' B' U' F' U' L
B' U' D' B' U' L R2
B' U' D' B' U' R2 L
U D' B U' R' B2 U2
U D' B U' B2 U2 L
L2 D2 U B U F L
L2 D2 U B U F L
B' U2 L' U' F B2 U
B' U2 L' U' B2 F U
B' U2 D' R2 B' L B
B' U2 D' B' L B R2
B' D L2 U F U L'
B' D L2 U F U L'
B' D L2 U2 F L' F'
B' D L2 F' R F U2
B' D F L2 F' U2 L
B' D F' L2 R U2 B'
B' D F' R L2 U2 B'
B' D F' R F L2 U2
B' D B L2 U2 F L'
B' D' U B' U L R2
B' D' U B' U R2 L
B' D' U' B' U' L R2
B' D' U' B' U' R2 L
B' D' U2 R2 B' L B
B' D' U2 B' L B R2
B2 D' B R' U B2 U
B2 D' B R' U2 D' R2
B2 D' B R' D L2 U2
B2 D' B R' D' U2 R2
B2 D' B U B2 U L
B2 D' B D L2 R' U2
B2 D' B D R' L2 U2
B2 D' B D' R' U2 R'
B' D' B' U2 L R2 F'
B' D' B' U2 R2 L F'
B' D' B' U2 R2 F' L
B' D2 R' U' F2 B U'
B' D2 R' U' B F2 U'
D' B R' B2 U B2 U
D' B R' B2 U2 D' R2
D' B R' B2 D L2 U2
D' B R' B2 D' U2 R2
U2 B D' R2 U B' L
U B D2 R F' U F'
R' B' L U' B' U' R'
D' B' L D L2 U2 L2
R' B' L' U F U R
D' B' L' U B2 U L2
D' B' L' U2 L2 D' R2
R2 B' L U' F' B' U'
R2 B' L U' B' F' U'
B' F D L2 F' R U2
D' B' L2 U B2 U L'
D' B' L2 U2 L' D' R2
D' B' L2 U2 D' L' R2
D' B' L2 U2 D' R2 L'
D' B' L2 D L2 U2 L
B' F D F' L2 R U2
D' B' L2 D' U2 L' R2
D' B' L2 D' U2 R2 L'
B' F D F' R L2 U2
D2 B' R U F' B2 U
D2 B' R U B2 F' U
D' B' R U2 L D' R2
D' B' R U2 D' L R2
D' B' R U2 D' R2 L
D' B' R D L2 U2 L'
D' B' R D' U2 L R2
D' B' R D' U2 R2 L
R2 B' L2 U' F' U' L'
D' B' R' U2 L D' R2
D' B' R' U2 D' L R2
D' B' R' U2 D' R2 L
D' B' R' D L2 U2 L'
D' B' R' D' U2 L R2
D' B' R' D' U2 R2 L
D' B' R2 U2 L D' R2
D' B' R2 U2 D' L R2
D' B' R2 U2 D' R2 L
D' B' R2 D L2 U2 L'
D' B' R2 D' U2 L R2
D' B' R2 D' U2 R2 L
D' B' U B2 U' R' U2
D' B' U' D2 F2 U' L
D' B' U2 L R D' R2
D' B' U2 L R' D' R2
D' B' U2 L R2 D' R2
D' B' U2 L U' B2 U
D' B' U2 L D' R2 D
D' B' U2 L D' R2 D'
D' B' U2 L D' R2 D2
D B' U F B2 U L'
D' B' U2 L2 D' L' R2
D' B' U2 L2 D' R2 L'
D' B' U2 R L D' R2
D' B' U2 R D' L R2
D' B' U2 R D' R2 L
D' B' U2 R' L D' R2
D' B' U2 R' D' L R2
D' B' U2 R' D' R2 L
D' B' U2 R2 L D' R2
D' B' U2 R2 D' L R2
D' B' U2 R2 D' R2 L
D B' U B2 F U L'
D' B' U2 D' L R2 D
D' B' U2 D' L R2 D'
D' B' U2 D' L R2 D2
D' B' U2 D' R2 L D
D' B' U2 D' R2 L D'
D' B' U2 D' R2 L D2
D' B' U2 D' R2 D L
D' B' U2 D' R2 D' L
D' B' U2 D' R2 D2 L
D' B' U2 D2 L D R2
D' B' D L2 R U2 L'
D' B' D L2 R' U2 L'
D' B' D L2 R2 U2 L'
D' B' D L2 U2 L' D
D' B' D L2 U2 L' D'
D' B' D L2 U2 L' D2
D' B' D L2 U2 D L'
D' B' D L2 U2 D' L'
D' B' D L2 U2 D2 L'
D' B' D L2 D U2 L'
D' B' D L2 D' U2 L'
D' B' D L2 D2 U2 L'
D' B' D R L2 U2 L'
D' B' D R' L2 U2 L'
D' B' D R2 L2 U2 L'
D' B' D' L' U2 L2 R2
D' B' D' L' U2 R2 L2
D' B' D' L2 U2 L' R2
D' B' D' L2 U2 R2 L'
D' B' D' R U2 L R
D' B' D' R U2 R L
D' B' D' R' U2 L R'
D' B' D' R' U2 R' L
D' B' D' U2 L R2 D
D' B' D' U2 L R2 D'
D' B' D' U2 L R2 D2
D' B' D' U2 R2 L D
D' B' D' U2 R2 L D'
D' B' D' U2 R2 L D2
D' B' D' U2 R2 D L
D' B' D' U2 R2 D' L
