F L' R' U R2 U2
F L' R' U' D2 L2
F L' R' D B2 U'
F L' R' D2 U' L2
F R' L' U R2 U2
F R' L' U' D2 L2
F R' L' D B2 U'
F R' L' D2 U' L2
F R' D L' B2 U'
F R' D B2 L' U'
F R' D2 L' U' L'
U R' F L' B' U'
R' F L' U R U2
U F L' R' B' U'
U F R' L' B' U'
F L R' D B2 U' F2
F' L F2 L' R' U' L'
F' L F2 R' L' U' L'
F L' R' U R2 U2 D
F L' R' U R2 U2 D'
F L' R' U R2 U2 D2
F L' R' U R2 D U2
F L' R' U R2 D' U2
F L' R' U R2 D2 U2
F L' R' U' L D2 L2
F L' R' U' L' D2 L2
F L' R' U' L2 D2 L2
F L' R' U' D2 L2 D
F L' R' U' D2 L2 D'
F L' R' U' D2 L2 D2
F L' R' U2 D' F2 U
F L' R' D B2 U' D
F L' R' D B2 U' D'
F L' R' D B2 U' D2
F L' R' D B2 D U'
F L' R' D B2 D' U'
F L' R' D B2 D2 U'
F L' R' D' U2 F2 U
F L' R' D2 U' L2 D
F L' R' D2 U' L2 D'
F L' R' D2 U' L2 D2
F L' R' D2 B U' L2
F L' R' D2 B' U' L2
F L' R' D2 B2 U' L2
F L' R' B U R2 U2
F L' R' B U' D2 L2
F L' R' B D B2 U'
F L' R' B D2 U' L2
F L' R' B' U R2 U2
F L' R' B' U' D2 L2
F L' R' B' D B2 U'
F L' R' B' D2 U' L2
F L' R' B2 U R2 U2
F L' R' B2 U' D2 L2
F L' R' B2 D B2 U'
F L' R' B2 D2 U' L2
F L' R2 B2 R U' L
F L' U R U' R2 U'
F L' U R U2 D B2
F L' U R D U2 B2
F L' U R D' F2 U2
F' L' U F2 L' R' U'
F' L' U F2 R' L' U'
F L' D R' U R2 U2
F L' D R' U' D2 L2
F L' D R' D B2 U'
F L' D R' D2 U' L2
F L' D' R' U R2 U2
F L' D' R' U' D2 L2
F L' D' R' D B2 U'
F L' D' R' D2 U' L2
F L' D2 R' U R2 U2
F L' D2 R' U' D2 L2
F L' D2 R' D B2 U'
F L' D2 R' D2 U' L2
F' L' F2 L' R' U' L
F' L' F2 R' L' U' L
F L' B U R U2 B
F L2 R' D L B2 U'
F L2 R' D2 L U' L
F' L2 F2 L' R' U' L2
F' L2 F2 R' L' U' L2
R2 U R F L' B' U'
R U R2 F L' B' U'
R U F L' R2 B' U'
R U F L' B' R2 U'
R U F R2 L' B' U'
F' R U L' D R2 B2
F' R U L' D B2 R2
F' R U D L' R2 B2
F' R U D L' B2 R2
F' R U D R2 L' B2
F' R U D R2 B2 L'
F' R U D B2 L' R2
F' R U D B2 R2 L'
F R U' L' R2 U' R2
F R U' R2 L' U' R2
F' R D U L' R2 B2
F' R D U L' B2 R2
F' R D U R2 L' B2
F' R D U R2 B2 L'
F' R D U B2 L' R2
F' R D U B2 R2 L'
F' R D2 B2 L2 U L
U' R F L' B R2 U'
U' R F B L' R2 U'
U R F L' R2 B' U'
U' R F B R2 L' U'
U R F L' B' R2 U'
U R F R2 L' B' U'
D R F' L' D R2 B2
D R F' L' D B2 R2
D R F' D L' R2 B2
D R F' D L' B2 R2
D R F' D R2 L' B2
D R F' D R2 B2 L'
D R F' D B2 L' R2
D R F' D B2 R2 L'
R2 U' R F L' B U'
R2 U' R F B L' U'
R2 U' R B F L' U'
U' R B R2 F L' U'
U' R B F L' R2 U'
U' R B F R2 L' U'
F R' L D B2 U' F2
F R' L' U R2 U2 D
F R' L' U R2 U2 D'
F R' L' U R2 U2 D2
F R' L' U R2 D U2
F R' L' U R2 D' U2
F R' L' U R2 D2 U2
F R' L' U' L D2 L2
F R' L' U' L' D2 L2
F R' L' U' L2 D2 L2
F R' L' U' D2 L2 D
F R' L' U' D2 L2 D'
F R' L' U' D2 L2 D2
F R' L' U2 D' F2 U
F R' L' D B2 U' D
F R' L' D B2 U' D'
F R' L' D B2 U' D2
F R' L' D B2 D U'
F R' L' D B2 D' U'
F R' L' D B2 D2 U'
F R' L' D' U2 F2 U
F R' L' D2 U' L2 D
F R' L' D2 U' L2 D'
F R' L' D2 U' L2 D2
F R' L' D2 B U' L2
F R' L' D2 B' U' L2
F R' L' D2 B2 U' L2
F R' L' B U R2 U2
F R' L' B U' D2 L2
F R' L' B D B2 U'
F R' L' B D2 U' L2
F R' L' B' U R2 U2
F R' L' B' U' D2 L2
F R' L' B' D B2 U'
F R' L' B' D2 U' L2
F R' L' B2 U R2 U2
F R' L' B2 U' D2 L2
F R' L' B2 D B2 U'
F R' L' B2 D2 U' L2
F R' L2 D L B2 U'
F R' L2 D2 L U' L
F R' U R2 U' L' U'
F' R' U' D' L' F2 R
F R' U2 D' F2 R U
F R' D L B2 L2 U'
F R' D L' U' D L2
F R' D L' D U' L2
F R' D L' B2 U' D
F R' D L' B2 U' D'
F R' D L' B2 U' D2
F R' D L' B2 D U'
F R' D L' B2 D' U'
F R' D L' B2 D2 U'
F' R' D' U' L' F2 R
F R' D B L' B U'
F R' D B2 L' U' D
F R' D B2 L' U' D'
F R' D B2 L' U' D2
F R' D B2 L' D U'
F R' D B2 L' D' U'
F R' D B2 L' D2 U'
F R' D B2 D L' U'
F R' D B2 D' L' U'
F R' D B2 D2 L' U'
F R' D' L' U' D' L2
F R' D' L' U2 F2 U
F R' D' L' D' U' L2
F R' D' L' D2 B2 U'
F R' D' U2 F2 R U
F R' D2 L' U' L' D
F R' D2 L' U' L' D'
F R' D2 L' U' L' D2
F R' D2 L' U' D L'
F R' D2 L' U' D' L'
F R' D2 L' U' D2 L'
F R' D2 L' D U' L'
F R' D2 L' D' U' L'
F R' D2 L' D2 U' L'
F R' D2 L' B U' L'
F R' D2 L' B' U' L'
F R' D2 L' B2 U' L'
U' R' F L' U' D' L2
U' R' F L' U2 F2 U
U' R' F L' D' U' L2
U' R' F L' D2 B2 U'
D' R' F U' F2 L' F
U2 R' F L' B U' L
U' R' F U2 F2 R U
F R' D2 B L' U' L'
U' R' F D' L' U' L'
F R' D2 B' L' U' L'
U' R' F D2 L' B2 U'
F R' D2 B2 L' U' L'
U' R' F D2 B2 L' U'
D R' F U B R U2
U R' F L' D B' U'
U R' F L' D' B' U'
U R' F L' D2 B' U'
U R' F L' B' U' D
U R' F L' B' U' D'
