F' L' F' U R' F' U2
U R' F' U' F' L' U'
F2 U R' F' U R U
D U R' F' U2 R' F'
U D R' F' U2 R' F'
B2 U D L R2 F B'
B2 U D L R2 B' F
B2 U D L F R2 B'
B2 U D L F B' R2
B2 U D L B' R2 F
B2 U D L B' F R2
B2 U D R2 L F B'
B2 U D R2 L B' F
F2 U D R' F' B U2
F2 U D R' B F' U2
B2 D U L R2 F B'
B2 D U L R2 B' F
B2 D U L F R2 B'
B2 D U L F B' R2
B2 D U L B' R2 F
B2 D U L B' F R2
B2 D U R2 L F B'
B2 D U R2 L B' F
F2 D U R' F' B U2
F2 D U R' B F' U2
R2 F' L' F' U' L' B'
R' F' U' L' F' U' B'
R2 F2 U' D' L' F B'
R2 F2 U' D' L' B' F
R2 F2 D' U' L' F B'
R2 F2 D' U' L' B' F
D2 B L B U L F
R' B' U' R' F2 U' F
R' B' U' F2 R' U' F'
D2 B2 U D L F B'
D2 B2 U D L B' F
D2 B2 D U L F B'
D2 B2 D U L B' F
