B L D' F R F'
U L F U' B L
B L F D' R F'
B L2 D L' F R
B D L' F L2 R
B D L' F R L2
B D' L F R F'
B D' F L R F'
B D' F R L F'
B D' F R F' L
B F L D' R F'
F B L D' R F'
B F D' L R F'
B F D' R L F'
B F D' R F' L
F B D' L R F'
F B D' R L F'
F B D' R F' L
B L R D' F R F'
B L R F D' R F'
B L R' D' F R F'
B L R' F D' R F'
B L R2 D' F R F'
B L R2 F D' R F'
B L U' R B R' U
B L D L' F L R
B L D L' F R L
B L D F D2 R F'
U L D F U' B L
B L D' R F R F2
B L D' F R D F'
B L D' F R D' F'
B L D' F R D2 F'
B L D' F R F' D
B L D' F R F' D'
B L D' F R F' D2
U L D' F U' B L
B L D' F2 R F' R
U L D2 F U' B L
U L F U' L B L
U L F U' L' B L
U L F U' L2 B L
U L F U' D B L
U L F U' D' B L
U L F U' D2 B L
U L F U' B L D
U L F U' B L D'
U L F U' B L D2
U L F U' B D L
U L F U' B D' L
U L F U' B D2 L
B L F D' R D F'
B L F D' R D' F'
B L F D' R D2 F'
B L F D' R F' D
B L F D' R F' D'
B L F D' R F' D2
U L F D U' B L
U L F D' U' B L
U L F D2 U' B L
B L F' D' F2 R F'
F L B' U' B2 L R
F L B' U' B2 R L
F L B2 U' R B' L
F L B2 U' B' L R
F L B2 U' B' R L
F' L' D B L F2 R
F L' D B L R F2
F L' D B R L F2
F L' D B R F2 L
F' L' D' B2 U2 B' L
B L' F L2 D' R F'
F' L' B D L F2 R
F L' B R D L F2
F L' B R D F2 L
F L' B D L R F2
F L' B D R L F2
F L' B D R F2 L
B L2 R D L' F R
B L2 R' D L' F R
B L2 R2 D L' F R
B L2 D L' R F R
B L2 D L' R' F R
B L2 D L' R2 F R
B L2 D L' D F R
B L2 D L' D' F R
B L2 D L' D2 F R
B L2 D L' F R D
B L2 D L' F R D'
B L2 D L' F R D2
B L2 D L' F D R
B L2 D L' F D' R
B L2 D L' F D2 R
B L2 D R L' F R
B L2 D R' L' F R
B L2 D R2 L' F R
B L2 D' L' F R F'
R' U L F R B U'
B L2 D' F R F' L'
B L2 F D' R F' L'
F L2 B L R D F2
F L2 B L D R F2
F L2 B R L D F2
B R L D' F R F'
B R L F D' R F'
B R L2 D L' F R
B R D L' F L2 R
B R D L' F R L2
B R D' L F R F'
B R D' F L R F'
B R D' F R L F'
B R D' F R F' L
B R F L D' R F'
B R F D' L R F'
B R F D' R L F'
B R F D' R F' L
B R' L D' F R F'
B R' L F D' R F'
B R' L2 D L' F R
B R' D L' F L2 R
B R' D L' F R L2
B R' D' L F R F'
B R' D' F L R F'
B R' D' F R L F'
B R' D' F R F' L
B R' F L D' R F'
B2 R' F U R B' L
B2 R' F U B' L R
B2 R' F U B' R L
B R' F D' L R F'
B R' F D' R L F'
B R' F D' R F' L
B R2 L D' F R F'
B R2 L F D' R F'
B R2 L2 D L' F R
B R2 D L' F L2 R
B R2 D L' F R L2
B R2 D' L F R F'
B R2 D' F L R F'
B R2 D' F R L F'
B R2 D' F R F' L
B R2 F L D' R F'
B R2 F D' L R F'
B R2 F D' R L F'
B R2 F D' R F' L
D' U L F U' B L
D2 U L F U' B L
F U L U' B L R
F U L U' B R L
D U L F U' B L
U D L F U' B L
L' D F B R F L
L' D F2 D2 B L R'
L' D F2 D2 B R' L
L' D B L F R F
B2 U R' U B' L R'
B2 U R' U B' R' L
L' D B F R F L
U D' L F U' B L
L' D' B2 U2 B' L R'
L' D' B2 U2 B' R' L
U D2 L F U' B L
U F L F U' B L
F U2 B D' R F' L'
B D L U2 B' U2 R'
B D L' R F L2 R
B D L' R F R L2
B D L' R' F L2 R
B D L' R' F R L2
B D L' R2 F L2 R
B D L' R2 F R L2
L' F D B L R F2
L' F D B R L F2
L' F D B R F2 L
B D L' F L2 R D
B D L' F L2 R D'
B D L' F L2 R D2
B D L' F L2 D R
B D L' F L2 D' R
B D L' F L2 D2 R
B D L' F R L2 D
B D L' F R L2 D'
B D L' F R L2 D2
B D L' F2 L2 F' R
B D R L' F L2 R
B D R L' F R L2
D' F B L D' R F'
D2 F B L D' R F'
L' F B R D L F2
L' F B R D F2 L
D' F B D' L R F'
D' F B D' R L F'
D' F B D' R F' L
D2 F B D' L R F'
D2 F B D' R L F'
D2 F B D' R F' L
L' F B D L R F2
L' F B D R L F2
L' F B D R F2 L
B D R' L' F L2 R
B D R' L' F R L2
D F B L D' R F'
B D R2 L' F L2 R
B D R2 L' F R L2
D F B D' L R F'
D F B D' R L F'
D F B D' R F' L
L F B' U' B2 L R
L F B' U' B2 R L
L F B2 U' R B' L
L F B2 U' B' L R
L F B2 U' B' R L
U F' L F U' B L
B D F L' R F L2
B D F R L' F L2
B D F D2 L R F'
B D F D2 R L F'
B D F D2 R F' L
F D B L D' R F'
F D B D' L R F'
F D B D' R L F'
F D B D' R F' L
B D' L R F R F2
B D' L F R D F'
B D' L F R D' F'
B D' L F R D2 F'
B D' L F R F' D
B D' L F R F' D'
B D' L F R F' D2
B D' L F2 R F' R
L' F' D F2 B L R
L' F' D F2 B R L
L' F' D B F2 L R
L' F' D B F2 R L
B D' L' F L2 R F'
B D' L' F R L2 F'
B D' L' F R F' L2
B D' L2 D2 L' F R
B D' L2 F R F' L'
B D' R L F R F2
B D' R F L R F2
B D' R F R L F2
B D' R F R F2 L
B D' R F' L D2 R2
L' F' B D F2 L R
L' F' B D F2 R L
U F2 L F U' B L
B D' F L R D F'
B D' F L R D' F'
B D' F L R D2 F'
B D' F L R F' D
B D' F L R F' D'
B D' F L R F' D2
B D' F L' R F' L2
B D' F R L D F'
B D' F R L D' F'
B D' F R L D2 F'
B D' F R L F' D
B D' F R L F' D'
B D' F R L F' D2
B D' F R L' F' L2
B D' F R D L F'
B D' F R D F' L
B D' F R D' L F'
B D' F R D' F' L
B D' F R D2 L F'
B D' F R D2 F' L
B D' F R F L F2
B D' F R F' L D
B D' F R F' L D'
B D' F R F' L D2
B D' F R F' D L
B D' F R F' D' L
B D' F R F' D2 L
B D' F2 L R F' R
B D' F2 L F' R F'
B D' F2 R L F' R
B D' F2 R F' L R
B D' F2 R F' R L
F D' B L D' R F'
F D' B D' L R F'
F D' B D' R L F'
F D' B D' R F' L
B D2 L D F R F'
B D2 L2 D' L' F R
L' B L U L F U'
D2 B L D' F R F'
D' B L D' F R F'
D2 B L F D' R F'
D' B L F D' R F'
L2 B L D F R F
L2 B L F R D F2
L2 B L F D R F2
L2 B L F' D F2 R
D B L D' F R F'
D B L F D' R F'
D2 B L2 D L' F R
D' B L2 D L' F R
B D2 F L R D F2
B D2 F L D R F2
B D2 F R L D F2
D B L2 D L' F R
F D2 B L D' R F'
F D2 B D' L R F'
F D2 B D' R L F'
F D2 B D' R F' L
F2 B L F' D' R F'
D2 B D L' F L2 R
D2 B D L' F R L2
D' B D L' F L2 R
D' B D L' F R L2
L' B D L F R F
B F L D' R D F'
B F L D' R D' F'
B F L D' R D2 F'
B F L D' R F' D
B F L D' R F' D'
B F L D' R F' D2
L' B D F R F L
F B L D' R D F'
F B L D' R D' F'
F B L D' R D2 F'
F B L D' R F' D
F B L D' R F' D'
F B L D' R F' D2
D2 B D' L F R F'
D' B D' L F R F'
D2 B D' F L R F'
D2 B D' F R L F'
D2 B D' F R F' L
D B D L' F L2 R
D B D L' F R L2
D' B D' F L R F'
D' B D' F R L F'
D' B D' F R F' L
B F L2 R D L' F
B F L2 D L' R F
B F L2 D R L' F
B F L2 D' L' R F'
B F L2 D' R L' F'
F B L2 R D L' F
D B D' L F R F'
F B L2 D L' R F
F B L2 D R L' F
B2 F R B' L D' F2
B2 F R B' D' L F2
B2 F R B' D' F2 L
F B L2 D' L' R F'
F B L2 D' R L' F'
D2 B F L D' R F'
B F R L2 D L' F
D' B F L D' R F'
D B D' F L R F'
D B D' F R L F'
D B D' F R F' L
B2 F R' U R2 B' L
B2 F R' U B' L R2
B2 F R' U B' R2 L
B F R D L' F L2
L' B F R D L F2
L' B F R D F2 L
F B R L2 D L' F
D2 B F D' L R F'
D2 B F D' R L F'
D2 B F D' R F' L
D' B F D' L R F'
D' B F D' R L F'
D' B F D' R F' L
F B R D L' F L2
L' B F D L R F2
L' B F D R L F2
L' B F D R F2 L
D B F L D' R F'
L' B F' D F2 L R
L' B F' D F2 R L
D B F D' L R F'
D B F D' R L F'
D B F D' R F' L
B' F U' B2 L R F
B' F U' B2 R L F
B F D L' R F L2
B F D R L' F L2
F' B D' F2 L R F'
F' B D' F2 R L F'
F' B D' F2 R F' L
F B D L' R F L2
F B D R L' F L2
B F D' L R D F'
B F D' L R D' F'
B F D' L R D2 F'
B F D' L R F' D
B F D' L R F' D'
B F D' L R F' D2
B F D' L' R F' L2
B F D' R L D F'
B F D' R L D' F'
B F D' R L D2 F'
B F D' R L F' D
B F D' R L F' D'
B F D' R L F' D2
B F D' R L' F' L2
B F D' R D L F'
B F D' R D F' L
B F D' R D' L F'
B F D' R D' F' L
B F D' R D2 L F'
B F D' R D2 F' L
B F D' R F L F2
B F D' R F' L D
B F D' R F' L D'
B F D' R F' L D2
B F D' R F' D L
B F D' R F' D' L
B F D' R F' D2 L
F B D' L R D F'
F B D' L R D' F'
F B D' L R D2 F'
F B D' L R F' D
F B D' L R F' D'
F B D' L R F' D2
F B D' L' R F' L2
F B D' R L D F'
F B D' R L D' F'
F B D' R L D2 F'
F B D' R L F' D
F B D' R L F' D'
F B D' R L F' D2
F B D' R L' F' L2
F B D' R D L F'
F B D' R D F' L
F B D' R D' L F'
F B D' R D' F' L
F B D' R D2 L F'
F B D' R D2 F' L
F B D' R F L F2
F B D' R F' L D
F B D' R F' L D'
F B D' R F' L D2
F B D' R F' D L
F B D' R F' D' L
F B D' R F' D2 L
B F D2 L D R F'
F B D2 L D R F'
L B' F U' B2 L R
L B' F U' B2 R L
F B' U' B2 L R F
F B' U' B2 R L F
B F' D' F2 L R F'
B F' D' F2 R L F'
B F' D' F2 R F' L
B F2 L F' D' R F'
U B2 R' F' U B' R'
F B2 R B' L D' F2
F B2 R B' D' L F2
F B2 R B' D' F2 L
F B2 R' U R2 B' L
F B2 R' U B' L R2
F B2 R' U B' R2 L
L B2 F U' R B' L
L B2 F U' B' L R
L B2 F U' B' R L
