U2 L U' R U' F'
U R U L U2 F'
B2 R F' R2 D B2
L U' R U' L' F'
B2 R' U R2 U' F'
R' D R' B2 R' F'
R' D R2 F' B2 R'
R' D R2 B2 F' R'
B2 U R U' F' R2
R F' R2 D B2 R'
L' R U L2 U2 L' F'
B2 L R U' L' F' R2
L2 R U L' U2 L' F'
R' L U' R2 U' L' F'
L' R U' D2 L F' R2
L' R U' D2 F' L R2
L' R U' D2 F' R2 L
L' R U' F' D2 L R2
L' R U' F' D2 R2 L
L2 R U' F2 R F L2
U2 L U' L R U' F'
L' R D F2 U' F L
U2 L U' L' R U' F'
U2 L U' L2 R U' F'
U2 L U' R L U' F'
R' L D B U2 L' B
U2 L U' R L' U' F'
U2 L U' R L2 U' F'
R' L D B U2 B L'
U2 L U' R U' D F'
U2 L U' R U' D' F'
U2 L U' R U' D2 F'
U2 L U' R U' F' D
U2 L U' R U' F' D'
U2 L U' R U' F' D2
U2 L U' R D U' F'
U2 L U' R D' U' F'
U2 L U' R D2 U' F'
R' L D' F2 B R U2
U' L U2 R U' F' R'
R' L D' B F2 R U2
R' L D' B F2 R U2
L' R D2 U' L F' R2
L' R D2 U' F' L R2
L' R D2 U' F' R2 L
L2 R F2 U' R F L2
R' L B U' R2 U' L'
R' L B U2 L' D B2
R' L B U2 D L' B2
R' L B U2 D B2 L'
R' L B D U2 L' B2
R' L B D U2 B2 L'
R' L B D' F2 R U2
U2 L B U' R U' F'
R L' U L2 U2 L' F'
D2 L B' U' R U' L'
U2 L B' U' R U' F'
L R' U' R2 U' L' F'
R L' U' D2 L F' R2
R L' U' D2 F' L R2
R L' U' D2 F' R2 L
R L' U' F' D2 L R2
R L' U' F' D2 R2 L
U2 L B2 U' R U' F'
B2 L' R U' L F' R2
B2 L' R U' F' L R2
B2 L' R U' F' R2 L
U L' R U L2 U2 F'
U L' R U' D2 F' R2
U L' R U' F' D2 R2
U L' R D F2 U' F
U L' R D2 U' F' R2
L R' D B U2 L' B
L R' D B U2 B L'
R L' D F2 U' F L
L R' D' F2 B R U2
L R' D' B F2 R U2
R L' D2 U' L F' R2
R L' D2 U' F' L R2
R L' D2 U' F' R2 L
L R' B U' R2 U' L'
L R' B U2 L' D B2
L R' B U2 D L' B2
L R' B U2 D B2 L'
L R' B D U2 L' B2
L R' B D U2 B2 L'
L R' B D' F2 R U2
R L2 U L' U2 L' F'
R L2 U' F2 R F L2
B2 L2 R U' L2 F' R2
B2 L2 R U' F' L2 R2
B2 L2 R U' F' R2 L2
U L2 R U L' U2 F'
U L2 R U' F2 R F
U L2 R F2 U' R F
R L2 F2 U' R F L2
R2 U R' U L U2 F
R' U R2 U L U2 F'
B2 R L U' L' F' R2
B2 R L' U' L F' R2
B2 R L' U' F' L R2
B2 R L' U' F' R2 L
U R L' U L2 U2 F'
U R L' U' D2 F' R2
U R L' U' F' D2 R2
U R L' D F2 U' F
B2 R L2 U' L2 F' R2
U R L' D2 U' F' R2
B2 R L2 U' F' L2 R2
B2 R L2 U' F' R2 L2
U R L2 U L' U2 F'
U' R U L U2 L' F'
U R L2 U' F2 R F
U R L2 F2 U' R F
U R U L U2 D F'
U R U L U2 D' F'
U R U L U2 D2 F'
U R U L U2 F' D
U R U L U2 F' D'
U R U L U2 F' D2
U R U L D U2 F'
U R U L D' U2 F'
U R U L D2 U2 F'
U R U L B U2 F'
U R U L B' U2 F'
U R U L B2 U2 F'
U R U D L U2 F'
U R U D' L U2 F'
U R U D2 L U2 F'
U R U B2 U2 F' R'
U R U' F' U2 L U2
U R U' F' B2 R' B2
U R U' B2 F' R' B2
U R U2 B2 U F' R'
U R D U L U2 F'
F R D F' B2 R' B
F R D B2 F' R' B
L U' L R U' L2 F'
L U' L R U' F' L2
U R D' U L U2 F'
U R D2 U L U2 F'
B2 R F R2 F2 D B2
U R F L2 U' F2 R
L U' L2 R U' L F'
L U' L2 R U' F' L
U R F U L U2 F2
B2 R F' R2 U R2 U'
B2 R F' R2 D B2 D
B2 R F' R2 D B2 D'
B2 R F' R2 D B2 D2
B2 R F' R2 B D B2
B2 R F' R2 B' D B2
B2 R F' R2 B2 D B2
F2 R F' D B2 R' B
F R F' R' D B2 R'
B2 R F' B R2 D B2
B2 R F' B' R2 D B2
B2 R F' B2 R2 D B2
L U' R L U' L2 F'
L U' R L U' F' L2
F2 R F' B2 D R' B
L U' R L2 U' L F'
L U' R L2 U' F' L
L U' R U' L F' L2
L U' R U' L' D F'
L U' R U' L' D' F'
L U' R U' L' D2 F'
L U' R U' L' F' D
L U' R U' L' F' D'
L U' R U' L' F' D2
L U' R U' L2 F' L
L U' R U' D L' F'
L U' R U' D' L' F'
L U' R U' D2 L' F'
B2 R F2 R2 D F B2
B2 R F2 R2 D B2 F
B2 R F2 R2 F D B2
L U' R D U' L' F'
L U' R D' U' L' F'
F R F' B2 R' D B2
L U' R D2 U' L' F'
L U' R B U' L' F'
L U' R B' U' L' F'
L U' R B2 U' L' F'
B2 R B F' R2 D B2
B2 R B' F' R2 D B2
U2 R B2 U' L F' R'
U2 R B2 U' F' L R'
U2 R B2 U' F' R' L
B2 R B2 F' R2 D B2
F2 R B2 F' D R' B
F R B2 D F' R' B
F R B2 F' R' D B2
L U' D2 R U' L' F
B2 R' U L R2 U' F'
B2 R' U L' R2 U' F'
B2 R' U L2 R2 U' F'
B2 R' U R2 L U' F'
B2 R' U R2 L' U' F'
B2 R' U R2 L2 U' F'
B2 R' U R2 U' D F'
B2 R' U R2 U' D' F'
B2 R' U R2 U' D2 F'
B2 R' U R2 U' F' D
B2 R' U R2 U' F' D'
B2 R' U R2 U' F' D2
B2 R' U R2 D U' F'
B2 R' U R2 D' U' F'
B2 R' U R2 D2 U' F'
L U' B R U' L' F'
B2 R' U2 D B U2 B
B2 R' U2 D' F2 B U2
B2 R' U2 D' B F2 U2
B2 R' U2 B U' R2 U'
B2 R' U2 B U2 D B2
B2 R' U2 B D U2 B2
B2 R' U2 B D' F2 U2
D' R' D R F' B2 R'
D' R' D R B2 F' R'
D' R' D R2 B2 R' F'
B2 R' D L2 B2 L2 F
L U' B' R U' L' F'
B2 R' D R2 F' R2 B2
B2 R' D R2 F' B2 R2
B2 R' D R2 B2 F' R2
B2 R' D U2 B U2 B
D' R' D B2 R F' R2
B2 R' D B' D2 F2 B'
B2 R' D B' D2 B' F2
B2 R' D B2 L2 F L2
B2 R' D B2 U2 B' U2
L U' B2 R U' L' F'
R' U2 L U' R2 U' F'
B2 R' D' R2 F' R2 B
R' U2 L D B U2 B
R' U2 L D' F2 B U2
R' U2 L D' B F2 U2
B2 R' D' U2 F2 B U2
B2 R' D' U2 B F2 U2
R U' B2 U F' R' B2
R' U2 L B U' R2 U'
R' U2 L B U2 D B2
R' U2 L B D U2 B2
R' U2 L B D' F2 U2
B2 R' D' B' D2 F2 B2
B2 R' D' B' D2 B2 F2
R2 U2 L U' R' U' F
R U2 L U L' U F'
L U2 L' U R U' F'
B2 R' F U R2 U' F'
B2 R' F' U R2 U' F'
L U2 R U' L' F' R'
B2 R' F2 U R2 U' F'
B2 R' B D B2 D2 F2
R' U2 D L B U2 B
R' U2 D B U2 B R'
B2 R' B' D B2 D F2
B2 R' B' D2 F2 D' B2
R' U2 D' L F2 B U2
R' U2 D' L B F2 U2
R' U2 D' F2 L B U2
B' R2 U R' F' L' U'
F R2 D B2 R' F' B
F R2 D B2 R' B F'
R' D L B U2 L' B
R' D L B U2 B L'
R' D R B2 R F' R2
R' D R' F B2 R' F'
R' D R' F' B2 R' F'
R' D R' F2 B2 R' F'
R' D R' B2 R' D F'
R' D R' B2 R' D' F'
R' D R' B2 R' D2 F'
R' D R' B2 R' F' D
R' D R' B2 R' F' D'
R' D R' B2 R' F' D2
R' D R' B2 D R' F'
R' D R' B2 D' R' F'
R' D R' B2 D2 R' F'
R' D R' B2 F R' F'
R' D R' B2 F' R' F'
R' D R' B2 F2 R' F'
R' D R2 F B2 R' F2
R' D R2 F' R B2 R'
R' D R2 F' R' B2 R'
R' D R2 F' R2 B2 R'
R' D R2 F' B2 R' D
R' D R2 F' B2 R' D'
R' D R2 F' B2 R' D2
R' D R2 F' B2 D R'
R' D R2 F' B2 D' R'
R' D R2 F' B2 D2 R'
R' D R2 F2 B2 R' F
R' D R2 B2 D F' R'
R' D R2 B2 D' F' R'
R' D R2 B2 D2 F' R'
R' D R2 B2 F R' F2
R' D R2 B2 F' R' D
R' D R2 B2 F' R' D'
R' D R2 B2 F' R' D2
R' D R2 B2 F' D R'
R' D R2 B2 F' D' R'
R' D R2 B2 F' D2 R'
R' D R2 B2 F2 R' F
B' R2 B' D' R' F' B
B' R2 B' D' R' B F'
R' D U2 L B U2 B
B2 U L R U' F' R2
R' D U2 B U2 B R'
F R2 B2 D R' F' B
F R2 B2 D R' B F'
R' D F R' B2 R' F'
R' D F R2 F' B2 R'
R' D F R2 B2 F' R'
B2 U L' R U' F' R2
R' D F' R' B2 R' F'
R' D F' R2 F' B2 R'
R' D F' R2 B2 F' R'
B2 U L2 R U' F' R2
R' D F2 R' B2 R' F'
D2 U R U L B' U2
R' D F2 R2 F' B2 R'
R' D F2 R2 B2 F' R'
B2 U R L U' F' R2
B2 U R L' U' F' R2
B2 U R L2 U' F' R2
B' U R U2 B U F'
B2 U R U' F R2 F2
B2 U R U' F' R2 D
B2 U R U' F' R2 D'
B2 U R U' F' R2 D2
B2 U R U' F2 R2 F
B2 U R D' F2 U' F
R D F' R2 D B2 R'
B2 U R F U' R2 F2
B2 U R F U' F2 R2
B2 U R F2 U' R2 F
B2 U R F2 U' F R2
B U R U' D2 F' R
B U R D2 U' F' R
B' U R' F' R2 U' F'
R' D B' D2 F2 B' R'
R' D B' D2 B' R' F2
R' D B' D2 B' F2 R'
R' D B2 L2 R' F L2
R' D B2 L2 F L2 R'
R' D B2 L2 F R' L2
R' D B2 R' L2 F L2
R' D B2 R' U2 B' U2
R' D' L F2 B R U2
R' D' L B F2 R U2
R' D' R' D2 B2 R' F'
R' D' R2 D2 F' B2 R'
R' D' R2 D2 B2 F' R'
R' D' U2 L F2 B U2
R' D' U2 L B F2 U2
R' D' U2 F2 L B U2
R' D' F2 L B U2 L'
R D' F' R2 D B2 R'
D2 U2 L B' U' R U'
U2 D2 L B' U' R U'
R' D2 R' D' B2 R' F'
R' D2 R2 D' F' B2 R'
R' D2 R2 D' B2 F' R'
R' D2 R2 F' D' B2 R'
U D2 R U L B' U2
L D2 U' R U' L' F
R D2 F' R2 D B2 R'
R F L2 U' F2 L2 R
R F L2 U' F2 R L2
R F R2 F2 D B2 R'
R' F D R' B2 R' F'
R' F D R2 F' B2 R'
R' F D R2 B2 F' R'
R F' R' B2 R' D B2
R F' R2 D R B2 R'
R F' R2 D R' B2 R'
R F' R2 D R2 B2 R'
R F' R2 D B2 R' D
R F' R2 D B2 R' D'
R F' R2 D B2 R' D2
R F' R2 D B2 D R'
R F' R2 D B2 D' R'
R F' R2 D B2 D2 R'
R F' R2 B2 D R' B2
R' F' D R' B2 R' F'
R' F' D R2 F' B2 R'
R' F' D R2 B2 F' R'
R F' U' B2 U R' B2
R F' U2 L U L' U
R F' D R2 D B2 R'
R F' D' R2 D B2 R'
R F' D2 R2 D B2 R'
R F' B2 R' U R U'
R F' B2 R2 D R B2
R F' B2 R2 D B2 R
L2 F2 L' U L' R F'
L2 F2 L' U R L' F'
L F2 R U L' U F'
R F2 R2 D F B2 R'
R F2 R2 D B2 R' F
R F2 R2 D B2 F R'
