F2 L' F' R B U' R'
U2 R U R B L R'
U2 R U R B R' L
F R F L' B U' R'
F R F B L' U' R'
U2 R B L F U R'
U2 R B L F U R'
F R F2 B U' R' F'
U' R B' U B2 L R'
U' R B' U B2 R' L
F R B F L' U' R'
F R B F2 U' R' F'
D2 R' F' L' R2 U R'
D' R' F' L' B R2 U
D2 R' F' R2 L' U R'
B R' F' L' R2 U R2
D' R' F' B L' R2 U
D' R' F' B R2 L' U
B R' F' R2 L' U R2
D' R' B F' L' R2 U
D' R' B F' R2 L' U
R U2 B U2 L U R'
R U2 B' R' B2 U' R'
R F U2 B R U' R2
R' F' L' R2 B U R'
R' F' L' B R2 U R
R F' L' U2 B U' R'
R' F' R2 L' B U R'
R' F' R2 B L' U R'
R' F' B L' R2 U R
R' F' B R2 L' U R
U2 B L R F U R2
U' B R U L B R2
U2 B R L F U R2
R' B F' L' R2 U R
R' B F' R2 L' U R
