F' R U L' B
F' R U B L'
F' L R U L2 B
F' L R U B L2
F' L2 R U L B
F' R L U L2 B
F' R L U B L2
F' R L2 U L B
F' R L2 U L B
F' R U L B L2
F' R U L' D B
F' R U L' D' B
F' R U L' D2 B
F' R U L' B D
F' R U L' B D'
F' R U L' B D2
F' R U D L' B
F' R U D B L'
F' R U D' L' B
F' R U D' B L'
F' R U D2 L' B
F' R U D2 B L'
F' R U B L' D
F' R U B L' D'
F' R U B L' D2
F' R U B D L'
F' R U B D L'
F' R U B D' L'
F' R U B D2 L'
F' R U B' L' B2
F' R D U L' B
F' R D U B L'
F' R D' U L' B
F' R D' U B L'
F' R D2 U L' B
F' R D2 U B L'
F' D R U L' B
F' D R U B L'
L' F' R U L' B
L' F' R U B L'
L2 F' R U L' B
L2 F' R U B L'
L F' R U L' B
L F' R U B L'
F' D' R U L' B
F' D' R U B L'
F' D2 R U L' B
F' D2 R U B L'
F' L R U L' B L'
F' L R U L2 D B
F' L R U L2 D' B
F' L R U L2 D2 B
F' L R U L2 B D
F' L R U L2 B D'
F' L R U L2 B D2
F' L R U B L2 D
F' L R U B L2 D'
F' L R U B L2 D2
F' L R U B' L2 B2
F' L R D F2 U B
F' L R F U L2 B
F' L R F U B L2
F' L R F' U L2 B
F' L R F' U B L2
F' L R F2 U L2 B
F' L R F2 U B L2
F' L D R F2 U B
F2 L F R U L' B
F2 L F R U B L'
F2 L' F R U L' B
F2 L' F R U B L'
F' L2 R U L D B
F' L2 R U L D' B
F' L2 R U L D2 B
F' L2 R U L B D
F' L2 R U L B D'
F' L2 R U L B D2
F' L2 R U L' B L2
F' L2 R U L2 B L'
F' L2 R U D L B
F' L2 R U D' L B
F' L2 R U D2 L B
F' L2 R D U L B
F' L2 R D' U L B
F' L2 R D2 U L B
F' L2 R F U L B
F' L2 R F' U L B
F' L2 R F2 U L B
F' L2 D R U L B
F' L2 D' R U L B
F' L2 D2 R U L B
F2 L2 F R U L' B
F2 L2 F R U B L'
F' R L U L' B L'
F' R L U L2 D B
F' R L U L2 D' B
F' R L U L2 D2 B
F' R L U L2 B D
F' R L U L2 B D'
F' R L U L2 B D2
F' R L U B L2 D
F' R L U B L2 D'
F' R L U B L2 D2
F' R L U B' L2 B2
F' R L D F2 U B
F' R L F U L2 B
F' R L F U B L2
F' R L F' U L2 B
F' R L F' U B L2
F' R L F2 U L2 B
F' R L F2 U B L2
F' R L2 U L D B
F' R L2 U L D' B
F' R L2 U L D2 B
F' R L2 U L B D
F' R L2 U L B D'
F' R L2 U L B D2
F' R L2 U L' B L2
F' R L2 U L2 B L'
F' R L2 U D L B
F' R L2 U D' L B
F' R L2 U D2 L B
F' R L2 D U L B
F' R L2 D' U L B
F' R L2 D2 U L B
F' R L2 F U L B
F' R L2 F' U L B
F' R L2 F2 U L B
F' R U L B L2 D
F' R U L B L2 D'
F' R U L B L2 D2
F' R U L B' L2 B2
F' R U L' D B D
