D R F' L' B R'
D R F' B L' R'
D R F' B R' L'
D R B F' L' R'
D R B F' R' L'
D' F' L' R F B
D' F' L' R B F
D' F' R L' F B
D' F' R L' B F
D' F' R B L' F
D' F' R B L' F
D L R F' L' B R'
D L R F' B L' R'
D L R F' B R' L'
D L R B F' L' R'
D L R B F' R' L'
D L' R F' L' B R'
D L' R F' B L' R'
D L' R F' B R' L'
D L' R B F' L' R'
D L' R B F' R' L'
D' L' F' L' R F2 B
D' L' F' L' R B F2
D' L' F' R L' F2 B
D' L' F' R L' B F2
D' L' F' R B L' F2
D L2 R F' L' B R'
D L2 R F' B L' R'
D L2 R F' B R' L'
D L2 R B F' L' R'
D L2 R B F' R' L'
D R L F' L' B R'
D R L F' B L' R'
D R L F' B R' L'
D R L B F' L' R'
D R L B F' R' L'
D R L' F' L' B R'
D R L' F' B L' R'
D R L' F' B R' L'
D R L' B F' L' R'
D R L' B F' R' L'
D R L2 F' L' B R'
D R L2 F' B L' R'
D R L2 F' B R' L'
D R L2 B F' L' R'
D R L2 B F' R' L'
F R U' L' F' U' B
D R U2 F' B L R'
D R U2 F' B R' L
D R U2 B L F' R'
D R U2 B F' L R'
D R U2 B F' R' L
D R D2 F' L' B R
D R D2 F' B L' R
D R D2 F' B R L'
D R D2 B F' L' R
D R D2 B F' R L'
D' R F' L' B R F
D R F' L B L2 R'
D R F' L B R' L2
D R F' L' B R' D
D R F' L' B R' D'
D R F' L' B R' D2
D R F' L' B D R'
D R F' L' B D' R'
D R F' L' B D2 R'
D' R F' B L' R F
D' R F' B R L' F
D R F' B L' R' D
D R F' B L' R' D'
D R F' B L' R' D2
D R F' B L' D R'
D R F' B L' D' R'
D R F' B L' D2 R'
D R F' B R' L' D
D R F' B R' L' D'
D R F' B R' L' D2
D R F' B R' D L'
D R F' B R' D' L'
D R F' B R' D2 L'
D R F' B D L' R'
D R F' B D R' L'
D R F' B D' L' R'
D R F' B D' R' L'
D R F' B D2 L' R'
D R F' B D2 R' L'
D R F2 B R' F L'
D R B L F' L' R'
D R B L F' R' L'
D R B L' F' L' R'
D R B L' F' R' L'
D R B L2 F' L' R'
D R B L2 F' R' L'
D' R B F' L' R F
D' R B F' R L' F
D R B D F' L' R'
D R B D F' R' L'
D R B D' F' L' R'
D R B D' F' R' L'
D R B D2 F' L' R'
D R B D2 F' R' L'
D R B F' L' R' D
D R B F' L' R' D'
D R B F' L' R' D2
D R B F' L' D R'
D R B F' L' D' R'
D R B F' L' D2 R'
D R B F' R' L' D
D R B F' R' L' D'
D R B F' R' L' D2
D R B F' R' D L'
D R B F' R' D' L'
D R B F' R' D2 L'
D R B F' D L' R'
D R B F' D R' L'
D R B F' D' L' R'
D R B F' D' R' L'
D R B F' D2 L' R'
D R B F' D2 R' L'
D R B F2 R' F L'
D' R' F' U2 L' R F
D' R' F' U2 R L' F
U' R' F' B L R U
U' R' F' B R L U
D R' F' B U2 L' R'
D R' F' B U2 R' L'
U' R' B L F' R U
F' R' B R2 U L' B
F' R' B R2 U B L'
U' R' B F' L R U
U' R' B F' R L U
D R' B F' U2 L' R'
D R' B F' U2 R' L'
L' D R F' L' B R'
L' D R F' B L' R'
L' D R F' B R' L'
L' D R B F' L' R'
L' D R B F' R' L'
L2 D R F' L' B R'
