B D B R' U B
B L D B R' U B
D L B R' U B R'
D L B R' U B R'
D L B2 U R' F' B
D L B2 U R' B F'
F L' R B2 U F' L'
B L' D B R' U B
F L' D' F' R U R
F L' F' R B2 U F'
F L' F' B2 R U F'
F L' B2 R U F' L'
F L' B2 D' F' R U
F L' B2 F' R U F'
B L2 D B R' U B
F R L' B2 U F' L'
B2 R U F' U R U'
F' R U' F' D' L2 R2
F' R U' F' D' R2 L2
F' R U2 F B2 U F2
F' R U2 B2 F U F2
B2 R D' L U F' B'
B2 R D' L U B' F'
B' R D2 B' L U F'
B2 R F L' F' U F'
F R B2 L' U F' L'
B2 R2 D R' U F' B
B2 R2 D R' U B F'
B2 U R D F' R' B
B2 U R F' R' D B2
R' D' L U R2 F' B'
R' D' L U R2 B' F'
R D' L U F' R2 B'
R D' L U F' B' R2
R D' L U B' F' R2
B2 U F' U R U' F'
B2 U' F' U' R U' F'
B2 U2 F' R F U' F2
R F L' F' B2 U F'
R F L' B2 F' U F'
B D L B R' U B
B D L' B R' U B
B D L2 B R' U B
R F B2 L' F' U F'
U2 F' R U' D' F' R2
U2 F' R U' F' D' R2
U2 F' R U2 B2 U F'
U2 F' R D' U' F' R2
U2 F' R D2 F2 U' F
B' D B R' B2 U B'
B2 D B R' B' U B2
B D B L R' U B
B D B L' R' U B
B D B L2 R' U B
B D B R' L U B
B D B R' L' U B
B D B R' L2 U B
B D B R' U D B
B D B R' U D' B
B D B R' U D2 B
B D B R' U B D
B D B R' U B D'
B D B R' U B D2
B D B R' D U B
B D B R' D' U B
B D B R' D2 U B
F D' L' F' R U R
B' D2 B' L U' B' U2
D B R' U D2 B R2
D B R' U B D2 R2
D B R' U' L2 U2 B
D B R' D' B2 U B'
D B R' D2 U B R2
B2 F L' R U F' L'
B2 F L' D' F' R U
B2 F L' F' R U F'
L' B D B R' U B
L2 B D B R' U B
B2 F R L' U F' L'
L B D B R' U B
B2 F D' L' F' R U
B2 F D2 L' F' U F2
R' B' D2 B' L U F2
R B' D2 B' L U F'
F B2 L' R U F' L'
F B2 L' D' F' R U
F B2 L' F' R U F'
F B2 R L' U F' L'
R B2 U F' U R U'
R2 B2 D R' U F' B
R2 B2 D R' U B F'
R B2 D' L U F' B'
R B2 D' L U B' F'
F B2 D' L' F' R U
R B2 F L' F' U F'
F B2 D2 L' F' U F2
