L' R D' F2 L' R
L' R D' F2 R L'
R L' D' F2 L' R
R L' D' F2 R L'
D2 L2 R D' R F2
D2 L2 R2 U' R U
U2 L2 R2 U R U
D2 L2 U' R' U R'
D2 R L2 D' R F2
D' R D' L2 R2 F2
D' R D' L2 F2 R2
D' R D' R2 L2 F2
D' R D' R2 F2 L2
D' R D' F2 L2 R2
D' R D' F2 R2 L2
U' R' U' L2 R' U2
U' R' U' R' L2 U2
U' R' D' B2 U L
D' R' F2 B2 U B2
D' R' B2 F2 U B2
D2 R2 L2 U' R U
U2 R2 L2 U R U
D2 R2 U' R U L2
D U F2 B2 L U'
U D F2 B2 L U'
D U B2 L F2 U'
U D B2 L F2 U'
D U B2 F2 L U'
U D B2 F2 L U'
D2 U' R' U L2 R'
D2 U' R' U R' L2
U' D' R' F2 B2 U
U' D' R' B2 F2 U
D' U' R' F2 B2 U
D' U' R' B2 F2 U
R' D' B2 U L B2
R D' F2 L' D' R2
R D' F2 D' L' R2
U' D' F2 R' B2 U
R D' F2 D' R2 L'
D' U' F2 R' B2 U
R' D2 R2 D' F2 L'
U' D2 R' U L2 R'
U' D2 R' U R' L2
L' F2 R D' F2 L'
R F2 L' D' F2 R
D' F2 R' B2 U B2
D F2 B2 L U' B2
D B2 L F2 U' B2
R' B2 U L B2 R'
D B2 F2 L U' B2
D2 L R D' L R F2
D2 L R D' R L F2
D2 L R D' R F2 L
D' L R D' L2 R2 F2
D' L R D' L2 F2 R2
D' L R D' R2 L2 F2
D' L R D' R2 F2 L2
D' L R D' F2 L2 R2
D' L R D' F2 R2 L2
B2 L R' U' B2 L R'
B2 L R' U' B2 R' L
D' L R' F2 B2 U B2
D' L R' B2 F2 U B2
D2 L R2 U' R U L
D2 L R2 F2 L D F2
B2 L U L R2 U2 B2
B2 L U R2 L U2 B2
B2 L U R2 U2 B2 R'
L2 R D R B2 U2 B2
D L U F2 B2 L U'
D L U B2 L F2 U'
D L U B2 F2 L U'
D2 L U' R' U L R'
D2 L U' R' U R' L
D' L U' R' F2 B2 U
D' L U' R' B2 F2 U
B2 L U' R' B2 L R'
B2 L U' R' B2 R' L
L2 R D B2 R U2 B2
L2 R D' L F2 L' R
L2 R D' L F2 R L'
D' L U' F2 R' B2 U
L R D' L2 F2 L' R
L R D' L2 F2 R L'
R L D' L2 F2 L' R
R L D' L2 F2 R L'
B2 L U' B2 D2 L2 R'
B2 L U' B2 D2 R' L2
L' R D' F2 L' R D
L' R D' F2 L' R D'
L' R D' F2 L' R D2
L' R D' F2 L' D R
L' R D' F2 L' D' R
L' R D' F2 L' D2 R
L' R D' F2 R L' D
L' R D' F2 R L' D'
L' R D' F2 R L' D2
L' R D' F2 R D L'
L' R D' F2 R D' L'
L' R D' F2 R D2 L'
L' R D' F2 D L' R
L' R D' F2 D R L'
L' R D' F2 D' L' R
L' R D' F2 D' R L'
L' R D' F2 D2 L' R
L' R D' F2 D2 R L'
L R D' F2 L' D2 R2
R L D' F2 L' D2 R2
U L D B2 L U' R'
L' R F2 L' D' R F2
L' R F2 D' L' R F2
L' R F2 D' R L' F2
D' L F2 R' B2 U B2
R' L B2 U L R' B2
R' L B2 U R' L B2
D L F2 B2 L U' B2
D L B2 L F2 U' B2
D L B2 F2 L U' B2
D2 L' R D' L' R F2
D2 L' R D' R L' F2
D' L' R D' L2 R2 F2
D' L' R D' L2 F2 R2
D' L' R D' R2 L2 F2
D' L' R D' R2 F2 L2
D' L' R D' F2 L2 R2
D' L' R D' F2 R2 L2
F' L' R D' F2 L' R
F' L' R D' F2 R L'
F2 L' R D' F2 L' R
F2 L' R D' F2 R L'
F L' R D' F2 L' R
F L' R D' F2 R L'
D' L' R' F2 B2 U B2
D' L' R' B2 F2 U B2
D2 L' R2 U' R U L'
R L' D' F2 L' R D
R L' D' F2 L' R D'
R L' D' F2 L' R D2
R L' D' F2 L' D R
R L' D' F2 L' D' R
R L' D' F2 L' D2 R
R L' D' F2 R L' D
R L' D' F2 R L' D'
R L' D' F2 R L' D2
R L' D' F2 R D L'
R L' D' F2 R D' L'
R L' D' F2 R D2 L'
R L' D' F2 D L' R
R L' D' F2 D R L'
R L' D' F2 D' L' R
R L' D' F2 D' R L'
R L' D' F2 D2 L' R
R L' D' F2 D2 R L'
D L' U F2 B2 L U'
D L' U B2 L F2 U'
D L' U B2 F2 L U'
D2 L' U' R' U L' R'
D2 L' U' R' U R' L'
D' L' U' R' F2 B2 U
D' L' U' R' B2 F2 U
D' L' U' F2 R' B2 U
R L' F2 L' D' R F2
R L' F2 D' L' R F2
R L' F2 D' R L' F2
L R' B2 U L R' B2
L R' B2 U R' L B2
R2 L2 U R U2 R' U'
L2 R2 U R U2 R' U'
F' L' F2 R D' F2 L'
D' L' F2 R' B2 U B2
F2 L' F2 R D' F2 L'
F L' F2 R D' F2 L'
D L' F2 B2 L U' B2
R L2 D R B2 U2 B2
D L' B2 L F2 U' B2
R L2 D B2 R U2 B2
R L2 D' L F2 L' R
R L2 D' L F2 R L'
D2 L2 R U' R2 U R'
D2 L2 R D R D2 F2
D' L2 R D' L2 R2 F2
D' L2 R D' L2 F2 R2
D2 L2 R D' R F2 D
D2 L2 R D' R F2 D'
D2 L2 R D' R F2 D2
D2 L2 R D' R' F2 R2
D' L2 R D' R2 L2 F2
D2 L2 R D' R2 F2 R'
D' L2 R D' R2 F2 L2
D' L2 R D' F2 L2 R2
D L' B2 F2 L U' B2
D' L2 R D' F2 R2 L2
D2 L2 R D2 R D F2
U2 L2 R U2 D' F2 L'
U2 L2 R D R B2 U2
U2 L2 R D B2 R U2
U2 L2 R D' R U2 F2
U2 L2 R D' U2 F2 L'
D2 L2 R F2 D' F2 R
D' L2 R' F2 B2 U B2
D' L2 R' B2 F2 U B2
D2 L2 R2 U' R U D
D2 L2 R2 U' R U D'
D2 L2 R2 U' R U D2
D2 L2 R2 U' R D U
D2 L2 R2 U' R D' U
D2 L2 R2 U' R D2 U
D2 L2 R2 U' D R U
D2 L2 R2 U' D' R U
D2 L2 R2 U' D2 R U
U' L2 R2 U L2 R U
U' L2 R2 U R L2 U
D2 L2 R2 D U' R U
U2 L2 R2 U R U D
U2 L2 R2 U R U D'
U2 L2 R2 U R U D2
U2 L2 R2 U R D U
U2 L2 R2 U R D' U
U2 L2 R2 U R D2 U
U2 L2 R2 U D R U
D2 L2 R2 D' U' R U
U2 L2 R2 U D' R U
U2 L2 R2 U D2 R U
B2 L2 R2 U' L' U' B2
D2 L2 R2 D2 U' R U
U2 L2 R2 D U R U
D2 L2 R2 F2 U L' U'
U2 L2 R2 D' U R U
U2 L2 R2 D2 U R U
U2 L2 R2 B U R U
U2 L2 R2 B' U R U
U2 L2 R2 B2 U R U
U2 L2 U R' U' R' U2
U2 L2 U D' R' F2 U
U2 L2 U D' F2 R' U
U2 L2 U D2 R' U L2
D L2 U F2 B2 L U'
D2 L2 U' R' U R' D
D2 L2 U' R' U R' D'
D2 L2 U' R' U R' D2
D2 L2 U' R' U D R'
D2 L2 U' R' U D' R'
D2 L2 U' R' U D2 R'
D2 L2 U' R' D U R'
D2 L2 U' R' D' U R'
D2 L2 U' R' D2 U R'
D L2 U B2 L F2 U'
D' L2 U' R' F2 B2 U
D' L2 U' R' B2 F2 U
D L2 U B2 F2 L U'
D2 L2 U' D R' B2 U
U2 L2 U' D B2 L U'
D' L2 U' F2 R' B2 U
L2 R2 B U R U B'
R2 L2 B U R U B'
D2 L2 D R D' R2 F2
D2 L2 D R D' F2 R2
D2 L2 D U' R' B2 U
U2 L2 D U' B2 L U'
L2 R2 B2 U R U B2
R2 L2 B2 U R U B2
U2 L2 D' U R' F2 U
U2 L2 D' U F2 R' U
U2 L2 D2 U R' U L2
D2 L2 F R D' R F2
D2 L2 F R2 U' R U
D2 L2 F U' R' U R'
D2 L2 F' R D' R F2
D2 L2 F' R2 U' R U
D2 L2 F' U' R' U R'
D2 L2 F2 R D' R F2
D2 L2 F2 R2 U' R U
D' L2 F2 R' B2 U B2
D2 L2 F2 U' R' U R'
R2 U R D' B2 L U
D L2 F2 B2 L U' B2
D L2 B2 L F2 U' B2
U2 L2 B2 R2 U' L U'
L U D B2 L U' R'
L2 U D' R' F2 L' U
R2 U D' R B2 L U
D2 R L D' L R F2
D2 R L D' R L F2
D2 R L D' R F2 L
D' R L D' L2 R2 F2
D' R L D' L2 F2 R2
D' R L D' R2 L2 F2
D' R L D' R2 F2 L2
D' R L D' F2 L2 R2
D' R L D' F2 R2 L2
D L2 B2 F2 L U' B2
D2 R L' D' L' R F2
D2 R L' D' R L' F2
D' R L' D' L2 R2 F2
D' R L' D' L2 F2 R2
D' R L' D' R2 L2 F2
D' R L' D' R2 F2 L2
D' R L' D' F2 L2 R2
D' R L' D' F2 R2 L2
F' R L' D' F2 L' R
F' R L' D' F2 R L'
F2 R L' D' F2 L' R
F2 R L' D' F2 R L'
D2 R L2 U' R2 U R'
F R L' D' F2 L' R
F R L' D' F2 R L'
D2 R L2 D R D2 F2
D2 R L2 D' R F2 D
D2 R L2 D' R F2 D'
D2 R L2 D' R F2 D2
D2 R L2 D' R' F2 R2
D2 R L2 D' R2 F2 R'
D2 R L2 D2 R D F2
D' R L2 D' L2 R2 F2
D' R L2 D' L2 F2 R2
D' R L2 D' R2 L2 F2
D' R L2 D' R2 F2 L2
D' R L2 D' F2 L2 R2
D' R L2 D' F2 R2 L2
U2 R L2 U2 D' F2 L'
U2 R L2 D R B2 U2
D2 R L2 F2 D' F2 R
U2 R L2 D B2 R U2
U2 R L2 D' R U2 F2
U2 R L2 D' U2 F2 L'
D2 R U' R2 U L2 R'
D2 R U' R2 U R' L2
D' R U' R2 F2 B2 U
D' R U' R2 B2 F2 U
D' R U' F2 R2 B2 U
D' R U' F2 B2 R2 U
D' R U' B2 R2 F2 U
D' R U' B2 F2 R2 U
D R D L2 R2 D2 F2
D R D R2 L2 D2 F2
D' R D' L R2 F2 L
D' R D' L F2 L R2
D' R D' L F2 R2 L
D' R D' L2 R' F2 R'
D' R D' L2 R2 F2 D
D' R D' L2 R2 F2 D'
D' R D' L2 R2 F2 D2
D' R D' L2 F R2 F
D' R D' L2 F2 R2 D
D' R D' L2 F2 R2 D'
D' R D' L2 F2 R2 D2
D2 R D' R F2 D L2
D' R D' R' L2 F2 R'
D' R D' R' F2 L2 R'
D' R D' R' F2 R' L2
D' R D' R2 L F2 L
D' R D' R2 L2 F2 D
D' R D' R2 L2 F2 D'
D' R D' R2 L2 F2 D2
D' R D' R2 F' L2 F'
D' R D' R2 F2 L2 D
D' R D' R2 F2 L2 D'
D' R D' R2 F2 L2 D2
D' R D' F R2 F L2
D' R D' F' L2 F' R2
D' R D' F2 L2 R2 D
D' R D' F2 L2 R2 D'
D' R D' F2 L2 R2 D2
D' R D' F2 R2 L2 D
D' R D' F2 R2 L2 D'
D' R D' F2 R2 L2 D2
F' R D' F2 L' D' R2
F' R D' F2 D' L' R2
F' R D' F2 D' R2 L'
U' R D' B2 U F2 L'
F2 R D' F2 L' D' R2
F2 R D' F2 D' L' R2
F2 R D' F2 D' R2 L'
D2 R D2 R D F2 L'
D R D' F2 D2 L2 R2
D R D' F2 D2 R2 L2
F R D' F2 L' D' R2
F R D' F2 D' L' R2
F R D' F2 D' R2 L'
R' U' L2 R' U L2 U
R' U' L2 R' U2 D' B2
R' U' L2 R' D F2 U2
R' U' L2 R' D' U2 B2
R' U' L2 U2 D' B2 L
R' U' L2 D R' F2 U2
R' U' L2 D F2 R' U2
R' U' L2 D' R' U2 B2
R' U' L2 D' U2 B2 L
F' R F2 L' D' F2 R
R2 U' R U' L2 U2 L2
D' R F2 R2 B2 U B2
F2 R F2 L' D' F2 R
R' U' R' L2 U L2 U
R' U' R' L2 U2 D' B2
R' U' R' L2 D F2 U2
R' U' R' L2 D' U2 B2
L' U' R' U' L' R' U2
L' U' R' U' R' L' U2
F R F2 L' D' F2 R
D' R F2 B2 R2 U B2
L2 U' R' U' R' U2 R
L U' R' U' L R' U2
L U' R' U' R' L U2
L U' R' B2 U L R'
L U' R' B2 U R' L
R U' R2 U' L2 R' U2
R U' R2 U' R' L2 U2
R U' R2 D' B2 U L
D' R B2 R2 F2 U B2
L' U' D' R' F2 U R
L' U' D' F2 R' U R2
D' R B2 F2 R2 U B2
B2 R' L U' B2 L R'
B2 R' L U' B2 R' L
D' R' L F2 B2 U B2
D' R' L B2 F2 U B2
R U' D' B2 U F2 L'
D' R' L' F2 B2 U B2
D' R' L' B2 F2 U B2
D' R' L2 F2 B2 U B2
D' R' L2 B2 F2 U B2
U' R' U R D2 L2 R2
U' R' U R D2 R2 L2
U' R' U B2 L B2 R'
U' R' U' L2 R' U2 D
U' R' U' L2 R' U2 D'
U' R' U' L2 R' U2 D2
U' R' U' L2 R' D U2
U' R' U' L2 R' D' U2
U' R' U' L2 R' D2 U2
U' R' U' L2 D R' U2
U' R' U' L2 D' R' U2
U' R' U' L2 D2 R' U2
D R' U F2 B2 U' F2
U' R' U' R' L2 U2 D
U' R' U' R' L2 U2 D'
U' R' U' R' L2 U2 D2
U' R' U' R' L2 D U2
U' R' U' R' L2 D' U2
U' R' U' R' L2 D2 U2
U' R' U' R' U2 D2 R2
U' R' U' R' D2 U2 R2
D R' U B2 F2 U' F2
U' R' U' D2 R' U2 R'
D R' D L2 R2 D' F2
D R' D R2 L2 D' F2
D' R' D' L2 R2 D' F2
D' R' D' R2 L2 D' F2
U' R' D' F B2 U L
U' R' D' F' B2 U L
U' R' D' F2 B2 U L
U' R' D' B2 U L D
U' R' D' B2 U L D'
U' R' D' B2 U L D2
U' R' D' B2 U D L
U' R' D' B2 U D' L
U' R' D' B2 U D2 L
U' R' D' B2 D U L
F' R' D' B2 U L B2
U' R' D' B2 D' U L
U' R' D' B2 D2 U L
U' R' D' B2 F U L
U' R' D' B2 F' U L
U' R' D' B2 F2 U L
F2 R' D' B2 U L B2
F' R' D2 R2 D' F2 L'
L U2 L R2 U R U
U' R' D2 U' R' U2 R'
L' U2 L' R2 U R U
F2 R' D2 R2 D' F2 L'
F R' D' B2 U L B2
U' R' D2 B2 U L R2
U' R' D2 B2 U R2 L
F R' D2 R2 D' F2 L'
R' U2 L2 R' U' L2 U'
R' U2 L2 R' U2 D F2
R' U2 L2 R' D U2 F2
D R' D2 F2 B2 U B2
R' U2 L2 R' D' B2 U2
U' R' F U' L2 R' U2
U' R' F U' R' L2 U2
D R' D2 B2 F2 U B2
R' U2 L2 D R' U2 F2
R' U2 L2 D' R' B2 U2
U' R' F D' B2 U L
R' U2 L2 D' B2 U2 L
R2 U2 L2 U R U L2
R U2 L2 R U R U
U' R' F' U' L2 R' U2
U' R' F' U' R' L2 U2
U' R' F' D' B2 U L
R U2 L2 U2 D' F2 L'
R U2 L2 D R B2 U2
R U2 L2 D B2 R U2
R U2 L2 D' R U2 F2
R U2 L2 D' U2 F2 L'
D' R' F2 L B2 U B2
D' R' F2 L' B2 U B2
D' R' F2 L2 B2 U B2
R' U2 R' L2 U' L2 U'
R' U2 R' L2 U2 D F2
R' U2 R' L2 D U2 F2
R' U2 R' L2 D' B2 U2
U' R' F2 U' L2 R' U2
U' R' F2 U' R' L2 U2
R U2 R L2 U R U
U' R' F2 D' B2 U L
D' R' F2 B2 L U B2
D' R' F2 B2 L' U B2
D' R' F2 B2 L2 U B2
D' R' F2 B2 U B2 D
D' R' F2 B2 U B2 D'
D' R' F2 B2 U B2 D2
D' R' F2 B2 D L2 U
L' U2 R2 L' U R U
L2 U2 R2 U R U R
D2 R' B' U L2 B R'
D2 R' B' U B L2 R'
D2 R' B' U B R' L2
L U2 R2 L U R U
D' R' B2 L F2 U B2
D' R' B2 L' F2 U B2
D' R' B2 L2 F2 U B2
D2 R' B2 U B2 L2 R'
D2 R' B2 U B2 R' L2
D' R' B2 U B2 D' L2
F' R' B2 U L B2 R'
U' R' B2 U D2 L R2
U' R' B2 U D2 R2 L
U' R' B2 U' L2 U2 L'
F2 R' B2 U L B2 R'
U' R' B2 D2 U L R2
U' R' B2 D2 U R2 L
D' R' B2 F2 L U B2
D' R' B2 F2 L' U B2
D' R' B2 F2 L2 U B2
D' R' B2 F2 U B2 D
D' R' B2 F2 U B2 D'
D' R' B2 F2 U B2 D2
D' R' B2 F2 D L2 U
D2 R2 L U' R U L
F R' B2 U L B2 R'
D2 R2 L F2 L D F2
D2 R2 L' U' R U L'
D2 R2 L2 U' R U D
D2 R2 L2 U' R U D'
D2 R2 L2 U' R U D2
D2 R2 L2 U' R D U
D2 R2 L2 U' R D' U
D2 R2 L2 U' R D2 U
D2 R2 L2 U' D R U
D2 R2 L2 U' D' R U
D2 R2 L2 U' D2 R U
U' R2 L2 U L2 R U
U' R2 L2 U R L2 U
D2 R2 L2 D U' R U
D2 R2 L2 D' U' R U
D2 R2 L2 D2 U' R U
B2 R2 L2 U' L' U' B2
U2 R2 L2 U R U D
U2 R2 L2 U R U D'
U2 R2 L2 U R U D2
U2 R2 L2 U R D U
U2 R2 L2 U R D' U
U2 R2 L2 U R D2 U
U2 R2 L2 U D R U
U2 R2 L2 U D' R U
U2 R2 L2 U D2 R U
D2 R2 L2 F2 U L' U'
U2 R2 L2 D U R U
U2 R2 L2 D' U R U
U2 R2 L2 D2 U R U
U2 R2 L2 B U R U
U2 R2 L2 B' U R U
U2 R2 L2 B2 U R U
U2 R2 U R U D2 R2
U2 R2 U R U' L2 U2
U2 R2 U R D' B2 U
U2 R2 U R D2 U R2
U2 R2 U D' R B2 U
U2 R2 U D' B2 R U
U2 R2 U D2 R U R
D2 R2 U' R U L2 D
D2 R2 U' R U L2 D'
D2 R2 U' R U L2 D2
D2 R2 U' R D F2 U
D2 R2 U' R F U L2
D2 R2 U' R F' U L2
D2 R2 U' R F2 U L2
D' R2 U' R F2 B2 U
D' R2 U' R B2 F2 U
B2 R2 U' L U' B2 R'
D2 R2 U' D R F2 U
D R2 U F2 L' B2 U'
D R2 U F2 B2 L' U'
D R2 U B2 F2 L' U'
U2 R2 U' D F2 L' U'
D' R2 U' B2 R F2 U
D2 R2 D U' R F2 U
U2 R2 D U' F2 L' U'
U' R2 D' R B2 U L
U2 R2 D' U R B2 U
U2 R2 D' U B2 R U
U2 R2 D2 U R U R
D2 R2 F L' D' L' F
D2 R2 F2 L D L F2
D2 R2 F2 L D F2 L
D2 R2 F2 L2 U L U'
D2 R2 F2 U L' U' L'
D R2 F2 L' B2 U' B2
U2 R2 B L2 U R U
D R2 F2 B2 L' U' B2
U2 R2 B' L2 U R U
D' R2 B2 R F2 U B2
U2 R2 B2 L2 U R U
L D U B2 L U' R'
D R2 B2 F2 L' U' B2
D U L F2 B2 L U'
D U L B2 L F2 U'
D U L B2 F2 L U'
U D L F2 B2 L U'
