B' L R2 F U R' U
F2 L' U' B R' B2 L
F2 L' B U' R' B2 L
R2 U R' U R B R'
R2 U R' B L U R'
R2 U D' R' B L U
U2 R U B R' D2 L2
U' R U' R U2 B R'
R2 U B L U R' F'
D' R F2 L' U B' R'
U2 R F2 U L' B R'
U2 R F2 U B L' R'
U2 R F2 U B R' L'
R2 U2 R B D' R' F2
R2 U2 R B D' F2 R'
B' R2 L F U R' U
U2 R2 U R' U B R'
B R2 U2 R D' F2 B
B R2 U2 R D' B F2
B R2 U2 R B D' F2
R2 D' U R' B L U
F2 D L' F B2 U' B
F2 D L' B2 F U' B
F2 D B2 L' F U' B'
D F2 L' F B2 U' B
D F2 L' B2 F U' B
D F2 B2 L' F U' B'
L' B R U R2 B2 L
L' B R' B2 L D' F2
L' B R' B2 D' L F2
L' B R' B2 D' F2 L
R2 B' D L F B' U2
R2 B' D L B' F U2
R2 B2 U' L F R U'
D B2 F2 L' F U' B'
