B R2 F U' R F'
B L R2 F U' R F'
B L' R2 F U' R F'
F' L' U' B L R2 U'
F' L' U' B R2 L U'
B L2 R2 F U' R F'
B R' F R' U' R2 F2
B R' F R' U' F2 R2
B R2 L F U' R F'
B R2 L' F U' R F'
B R2 L2 F U' R F'
F2 R2 U2 F' U R F'
B R2 D' F L' U' R
B R2 F L U' R F'
B R2 F L' U' R F'
B R2 F L2 U' R F'
B' R2 F B2 U' R F'
B2 R2 F B' U' R F'
B R2 F U' R D F'
B R2 F U' R D' F'
B R2 F U' R D2 F'
B R2 F U' R F' D
B R2 F U' R F' D'
B R2 F U' R F' D2
B R2 F' U' F2 R F'
B R2 F2 U' R F' R
B R2 F2 U' F' R F'
B2 R2 B' F U' R F'
B' R2 B2 F U' R F'
F U B R2 U' R' F'
F U' B L R2 U' R'
F U' B R2 L U' R'
R2 F U' R D' L2 F'
R2 F U' R D' F' L2
B' D R B2 L2 F R
B' D R' F' L2 B2 R'
B' D F R B2 L2 F
B' D F' L2 B2 R' F'
U' B L R' F' R' U'
U' B R' L F' R' U'
U' B R' F' L R' U'
U' B R' F' R' L U'
L' B R2 F U' R F'
L2 B R2 F U' R F'
L B R2 F U' R F'
F' B R2 U' F2 R F'
F2 B R2 U' R F' R
F2 B R2 U' F' R F'
F' B R2 F2 U' R F'
F2 B R2 F' U' R F'
B F R2 U' R F' R2
F B R2 U' R F' R2
B' F D R B2 L2 F
B F' R2 U' F2 R F'
B F' R2 F2 U' R F'
B' F' D L2 B2 R' F'
F' B' D L2 B2 R' F'
F B' D R B2 L2 F
B F2 R2 U' R F' R
B F2 R2 U' F' R F'
B F2 R2 F' U' R F'
