R U R' U F' B' R'
R U R' U B' F' R'
R U2 F B' R' D' F2
R U2 B' F R' D' F2
F2 U R' B' L' F' R
F2 U B' L' R' F' R
F2 U B' R' L' F' R
F U' L R F L' B'
F U' R L F L' B'
F U' R D2 B' L F
F U' R B' L F L'
F U' D2 R B' L F
F U' D2 B' L R F
F U' D2 B' R L F
F U' B' L R F L'
F U' B' R L F L'
R' F B' R D' F2 L'
U2 F2 D' B' L' R' F
U2 F2 D' B' L' F R'
U2 F2 D' B' R' L' F
U2 F2 B' R' D' L' F
U2 F2 B' D' L' R' F
U2 F2 B' D' L' F R'
U2 F2 B' D' R' L' F
F D2 U' R B' L F
F D2 U' B' L R F
F D2 U' B' R L F
F D2 B' L R D' F2
F D2 B' R L D' F2
F D2 B' R D' L F2
F D2 B' R D' F2 L
B' F R F L' D' F2
B' F R F D' L' F2
B' F R F' D' F2 L'
F2 B' L' F' R D' F2
F B' R F L' D' F2
F B' R F D' L' F2
F B' R F' D' F2 L'
R' B' F R D' F2 L'
U2 B' F2 R' D' L' F
U2 B' F2 D' L' R' F
U2 B' F2 D' L' F R'
U2 B' F2 D' R' L' F
B' F2 L' F' R D' F2
