F' L' R2 U' L U2
F' L' R2 B2 U R'
U L' F' R2 U B'
F' L' B2 R2 U R
F' R2 L' U' L U2
F' R2 L' B2 U R'
F' U L' R2 U L
F' U R2 L' U L
F2 U R2 F L' U
F2 U F L' R2 U
F2 U F R2 L' U
F U F2 L' R2 U
F U F2 R2 L' U
U F' L' R2 U B'
U F' R2 L' U B'
F' L U D' F2 R B2
F' L U D' F2 B2 R
F' L U D' B2 F2 R
F' L D' U F2 R B2
F' L D' U F2 B2 R
F' L D' U B2 F2 R
D' L F' L' U F' R
U L F' R2 U D2 B2
U L F' R2 U' F2 U2
U L F' R2 D' L2 U
U L F' R2 D2 U B2
U L F' D' L2 U F2
F L F2 L' R2 U R'
F L F2 R2 L' U R'
U L F2 R2 F U B
F' L' R B2 R U R2
F' L' R2 U B2 R' B2
F' L' R2 U' L U2 D
F' L' R2 U' L U2 D'
F' L' R2 U' L U2 D2
F' L' R2 U' L D U2
F' L' R2 U' L D' U2
F' L' R2 U' L D2 U2
F' L' R2 U' D L U2
F' L' R2 U' D' L U2
F' L' R2 U' D2 L U2
F' L' R2 D U' L U2
F' L' R2 D B2 U R'
F' L' R2 D' U' L U2
F' L' R2 D' B2 U R'
F' L' R2 D2 U' L U2
F' L' R2 D2 B2 U R'
U L' R2 U B' D L2
U L' R2 U2 B U' B2
F' L' R2 B2 U R' D
F' L' R2 B2 U R' D'
F' L' R2 B2 U R' D2
F' L' R2 B2 U D R'
F' L' R2 B2 U D' R'
F' L' R2 B2 U D2 R'
F' L' R2 B2 D U R'
F' L' R2 B2 D' U R'
F' L' R2 B2 D2 U R'
F' L' U' L U R2 U
F' L' U' L U2 D' F2
F' L' U' L D B2 U2
F' L' U' L D' U2 F2
F' L' U' D L B2 U2
F' L' U' D B2 U2 R'
F' L' U' D' L U2 F2
F' L' D U' L B2 U2
F' L' D U' B2 U2 R'
F' L' D' U' L U2 F2
F' L' D' B2 U R' F2
F' L' D' B2 U F2 R'
U L' D' F' U F' B'
U L' D' F' U B' F'
U L' F R2 F2 U B'
U L' F' R2 U D B'
U L' F' R2 U D' B'
U L' F' R2 U D2 B'
U L' F' R2 U B' D
U L' F' R2 U B' D'
U L' F' R2 U B' D2
U L' F' R2 D U B'
U L' F' R2 D' U B'
U L' F' R2 D2 U B'
U L' F' U D' F2 B'
U L' F' U D' B' F2
U L' F' U B' D' F2
U L' F' D' U F2 B'
U L' F' D' U B' F2
U L' F2 R2 F U B'
F' L' B R2 B U R'
F' L' B' R2 B' U R'
F' L' B2 R2 U R D
F' L' B2 R2 U R D'
F' L' B2 R2 U R D2
F' L' B2 R2 U D R
F' L' B2 R2 U D' R
F' L' B2 R2 U D2 R
F' L' B2 R2 D U R
F' L' B2 R2 D' U R
F' L' B2 R2 D2 U R
F' L' B2 R2 B U R
F' L' B2 R2 B' U R
F' L' B2 R2 B2 U R
F' L' B2 U D' R' F2
F' L' B2 U D' F2 R'
F' L' B2 D' U R' F2
F' L' B2 D' U F2 R'
F' L2 R2 D' L B2 U
F' L2 R2 D2 L U R2
F' L2 D' L B2 U F2
U L2 F' L R2 U B'
U L2 F' R2 L U B'
F' R L' B2 R U R2
F' R U L' R U L
F' R U R L' U L
F2 R U R F L' U
F R U2 R F2 U R'
F' R' U L' R' U L
F' R' U R' L' U L
F2 R' U R' F L' U
F2 R' U F L' R' U
F2 R' U F R' L' U
F' R2 L' U B2 R' B2
F' R2 L' U' L U2 D
F' R2 L' U' L U2 D'
F' R2 L' U' L U2 D2
F' R2 L' U' L D U2
F' R2 L' U' L D' U2
F' R2 L' U' L D2 U2
F' R2 L' U' D L U2
F' R2 L' U' D' L U2
F' R2 L' U' D2 L U2
F' R2 L' D U' L U2
F' R2 L' D B2 U R'
F' R2 L' D' U' L U2
F' R2 L' D' B2 U R'
F' R2 L' D2 U' L U2
F' R2 L' D2 B2 U R'
F' R2 L' B2 U R' D
F' R2 L' B2 U R' D'
F' R2 L' B2 U R' D2
F' R2 L' B2 U D R'
F' R2 L' B2 U D' R'
F' R2 L' B2 U D2 R'
F' R2 L' B2 D U R'
F' R2 L' B2 D' U R'
F' R2 L' B2 D2 U R'
U R2 L' U B' D L2
F' R2 L2 D' L B2 U
F' R2 L2 D2 L U R2
U R2 L' U2 B U' B2
F2 R2 U F L' U F'
F' R2 U2 F2 R U' R'
F' R2 D L' U' L U2
F' R2 D L' B2 U R'
R2 U2 B' R' B2 U' R
U R2 U2 B R U' B
F' R2 D' L' U' L U2
F' R2 D' L' B2 U R'
F' R2 D2 L' U' L U2
F' R2 D2 L' B2 U R'
F2 R2 F L' U' L U2
F2 R2 F L' B2 U R'
F' R2 B L' U' L U2
F' R2 B L' B2 U R'
F R2 F2 U2 R' U' R
F' R2 B' L' U' L U2
F' R2 B' L' B2 U R'
F' R2 B2 L' U' L U2
F' R2 B2 L' B2 U R'
F R2 B2 L F2 U R
F' U L' R2 U L D
F' U L' R2 U L D'
F' U L' R2 U L D2
F' U L' R2 U D L
F' U L' R2 U D' L
F' U L' R2 U D2 L
F' U L' R2 D U L
F' U L' R2 D' U L
F' U L' R2 D2 U L
F' U L' R2 F U L
F' U L' R2 F' U L
F' U L' R2 F2 U L
F' U L' U L D' F2
F' U L' U D' L F2
F' U L' U D' F2 L
F' U L' D' U L F2
F' U L' D' U F2 L
D' U L' F' U F' B'
D' U L' F' U B' F'
F' U L' F R2 U L
B' U L' F' R2 U B'
F' U L' F' R2 U L
F' U L' F2 R2 U L
F U L F2 L' R2 U
F U L F2 R2 L' U
B2 U L' F' R2 U B'
B U L' F' R2 U B'
F U L' F2 L' R2 U
F U L' F2 R2 L' U
F U L2 F2 L' R2 U
F U L2 F2 R2 L' U
F2 U R' F L' R' U
F2 U R' F R' L' U
F' U R2 L' U L D
F' U R2 L' U L D'
F' U R2 L' U L D2
F' U R2 L' U D L
F' U R2 L' U D' L
F' U R2 L' U D2 L
F' U R2 L' D U L
F' U R2 L' D' U L
F' U R2 L' D2 U L
F' U R2 L' F U L
F' U R2 L' F' U L
F' U R2 L' F2 U L
F' U R2 D L' U L
F' U R2 D' L' U L
F' U R2 D2 L' U L
F2 U R2 F L' U D
F2 U R2 F L' U D'
F2 U R2 F L' U D2
F2 U R2 F L' D U
F2 U R2 F L' D' U
F2 U R2 F L' D2 U
F2 U R2 F D L' U
F2 U R2 F D' L' U
F2 U R2 F D2 L' U
F' U D' L' U L F2
F' U D' L' U F2 L
F U R2 F2 U2 R' U'
D' U F' L' U F' B'
D' U F' L' U B' F'
F2 U F L' R2 U D
F2 U F L' R2 U D'
F2 U F L' R2 U D2
F2 U F L' R2 D U
F2 U F L' R2 D' U
F2 U F L' R2 D2 U
F2 U F L' U D' F2
F2 U F L' D' U F2
F2 U F R2 L' U D
F2 U F R2 L' U D'
F2 U F R2 L' U D2
F2 U F R2 L' D U
F2 U F R2 L' D' U
F2 U F R2 L' D2 U
F2 U F R2 D L' U
F2 U F R2 D' L' U
F2 U F R2 D2 L' U
F2 U F D' L' U F2
B' U F' L' R2 U B'
B2 U F' L' R2 U B'
B' U F' R2 L' U B'
B2 U F' R2 L' U B'
F U F R2 F L' U
B U F' L' R2 U B'
B U F' R2 L' U B'
F U F2 L' R2 U D
F U F2 L' R2 U D'
F U F2 L' R2 U D2
F U F2 L' R2 D U
F U F2 L' R2 D' U
F U F2 L' R2 D2 U
F U F2 L' U D' F2
F U F2 L' D' U F2
F U F2 R2 L' U D
F U F2 R2 L' U D'
F U F2 R2 L' U D2
F U F2 R2 L' D U
F U F2 R2 L' D' U
F U F2 R2 L' D2 U
F U F2 R2 D L' U
F U F2 R2 D' L' U
F U F2 R2 D2 L' U
F U F2 D' L' U F2
D2 U' L2 R U' B L
U D' L' F' U F' B'
U D' L' F' U B' F'
D2 U' R L2 U' B L
U' D' R U' F2 B L
U' D' R U' B L F2
U' D' R U' B F2 L
D' U' R U' F2 B L
D' U' R U' B L F2
D' U' R U' B F2 L
L2 D' F' L' B2 U F'
L2 D' F' B2 L' U F'
L D' F' L' U F' R
F U' R U2 R F2 U
U D' F' L' U F' B'
U D' F' L' U B' F'
L2 D' B2 F' L' U F'
F U' D' R U' L2 F2
F U' D' R U' F2 L2
F2 U' F L' R2 B U
F2 U' F R2 L' B U
F2 U' F R2 B L' U
F U' D2 L2 R B2 U'
F U' D2 L2 B2 R U'
F U' D2 R L2 B2 U'
F U' D2 R B2 L2 U'
F U' D2 B2 L2 R U'
F U' D2 B2 R L2 U'
U' D2 L2 R U' B L
U' D2 R L2 U' B L
F2 U2 R2 F L' U R2
F2 U2 F L' R2 U R2
F2 U2 F R2 L' U R2
U F L F2 R2 U B
U F L' R2 F2 U B'
U F L' F2 R2 U B'
F U2 F2 L' R2 U R2
F U2 F2 R2 L' U R2
D' F U F2 L' U F'
U F R2 L' F2 U B'
U F R2 F2 L' U B'
F' D L' U' L B2 U2
F' D L' U' B2 U2 R'
R2 F U2 B R U' R'
F D R2 B2 U L U
D F B2 U F2 L' U
D' F' L' U' L U2 F'
L' F' L' R2 U D2 R2
L' F' L' R2 U' L2 U2
L' F' L' R2 D' B2 U
L' F' L' R2 D2 U R2
L' F' L' D' B2 U F2
L2 F' L' R2 U' L' U2
U F' L R2 U' F U2
D' F' L' B2 U F' R'
L2 F' L' U D' F2 R
L2 F' L' D' U F2 R
D F' L' U' L B2 U2
D F' L' U' B2 U2 R'
U F' L' R2 U D B'
U F' L' R2 U D' B'
U F' L' R2 U D2 B'
U F' L' R2 U B' D
U F' L' R2 U B' D'
U F' L' R2 U B' D2
U F' L' R2 D U B'
U F' L' R2 D' U B'
U F' L' R2 D2 U B'
U F' L' U D' F2 B'
U F' L' U D' B' F2
U F' L' U B' D' F2
U F' L' D' U F2 B'
U F' L' D' U B' F2
L' F' R2 L' U D2 R2
L' F' R2 L' U' L2 U2
L' F' R2 L' D' B2 U
L' F' R2 L' D2 U R2
L2 F' R2 L' U' L' U2
U2 F' R2 U R B R
D' F' U L' U L F'
D' F' U L' U F' L
L' F' R2 B2 L' U R'
L2 F' R2 D' L' B2 U
L2 F' R2 D' B2 L' U
L2 F' R2 D2 L' U R2
U2 F' R2 B L U R2
U F' R2 L U' F U2
U F' R2 L' U D B'
U F' R2 L' U D' B'
U F' R2 L' U D2 B'
U F' R2 L' U B' D
U F' R2 L' U B' D'
U F' R2 L' U B' D2
U F' R2 L' D U B'
U F' R2 L' D' U B'
U F' R2 L' D2 U B'
F' D B2 U L' U L
U F' R2 U2 R U' B
U F' R2 D L' U B'
U F' R2 D' L' U B'
U F' R2 D2 L' U B'
F D B2 R2 U' R' U'
F' D' L' U' L U2 F2
F' D' L' B2 U R' F2
F' D' L' B2 U F2 R'
L2 F' D' L' B2 U F2
L2 F' D' B2 L' U F2
U F' D' L' U F2 B'
U F' D' L' U B' F2
U2 F' B L R2 U R2
U2 F' B R2 L U R2
F' D' U L' U L F2
F' D' U L' U F2 L
L' F' B2 L' R2 U R
L' F' B2 R2 L' U R
D F' B2 U L' U L
F D' U' R U' L2 F2
F D' U' R U' F2 L2
U F2 R2 F L' U B'
L F2 R2 F L' U R'
D F2 B2 U F L' U
U2 B L F' R2 U R2
F D2 U' L2 R B2 U'
F D2 U' L2 B2 R U'
F D2 U' R L2 B2 U'
F D2 U' R B2 L2 U'
F D2 U' B2 L2 R U'
F D2 U' B2 R L2 U'
U2 B U' L F' R2 U
U2 B U' F' L R2 U
U2 B U' F' R2 L U
F' B L' R2 U' L U2
F' B L' R2 B2 U R'
F' B L' B2 R2 U R
F' B R2 L' U' L U2
F' B R2 L' B2 U R'
U2 B F' L R2 U R2
F' B U L' R2 U L
U2 B F' R2 L U R2
B' F U F2 L' R2 U
