B' L R' B2 U' R
B' L R' B2 U' R
B' R' L B2 U' R
B' U L R' B2 U'
B' U R' L B2 U'
B U' L R' U L'
B U' R' L U L'
B' L R' U' R D L2
B' L R' U' D L2 R
B' L R' U' D R L2
B' L R' D U' L2 R
B' L R' D U' R L2
B' L R' B2 U' R D
B' L R' B2 U' R D'
B' L R' B2 U' R D2
B' L R' B2 U' D R
B' L R' B2 U' D' R
B' L R' B2 U' D2 R
B' L R' B2 D U' R
B' L R' B2 D' U' R
B' L R' B2 D2 U' R
B' L R2 B2 R U' R
B' L D R' U' L2 R
B' L D R' U' R L2
B' L F R' B2 U' R
B' L F' R' B2 U' R
B' L F2 R' B2 U' R
B' L' R' B2 L2 U' R
B' L' U L2 R' B2 U'
B' L' U R' L2 B2 U'
B' L' U R' B2 L2 U'
B L' U' L2 R' U L2
B L' U' R' L2 U L2
B' L2 R' B2 L' U' R
B' L2 U L' R' B2 U'
B' L2 U R' L' B2 U'
B' L2 U R' B2 L' U'
B L2 U' L' R' U L
B L2 U' R' L' U L
R' U D' R F' L' B
R' U D' R F' B L'
R' U D' R B F' L'
B R U2 L R2 U R
B R U2 R2 L U R
B' R' L U' R D L2
B' R' L U' D L2 R
B' R' L U' D R L2
B' R' L D U' L2 R
B' R' L D U' R L2
B' R' L B2 U' R D
B' R' L B2 U' R D'
B' R' L B2 U' R D2
B' R' L B2 U' D R
B' R' L B2 U' D' R
B' R' L B2 U' D2 R
B' R' L B2 D U' R
B' R' L B2 D' U' R
B' R' L B2 D2 U' R
B' R' L' B2 L2 U' R
B' R' L2 B2 L' U' R
B' R' D L U' L R
B' R' D L U' R L
B' R' B2 U' R D' F2
B' R' B2 U2 R' U R2
B' R2 L B2 R U' R
B R2 U2 L R U R
B R2 U2 R L U R
D2 R2 F' R U R B
B' U L R B2 R2 U'
B' U L R' U' D L2
B' U L R' D U' L2
B' U L R' B2 U' D
B' U L R' B2 U' D'
B' U L R' B2 U' D2
B' U L R' B2 D U'
B' U L R' B2 D' U'
B' U L R' B2 D2 U'
B' U L R2 B2 R U'
B' U L D R' U' L2
B' U L B2 U2 L U
B' U L' R' B2 L2 U'
B' U L2 R' B2 L' U'
B' U R L B2 R2 U'
B' U R' L U' D L2
B' U R' L D U' L2
B' U R' L B2 U' D
B' U R' L B2 U' D'
B' U R' L B2 U' D2
B' U R' L B2 D U'
B' U R' L B2 D' U'
B' U R' L B2 D2 U'
B' U R' L' B2 L2 U'
B' U R' L2 B2 L' U'
B' U R' D L U' L
B' U R' B2 U2 R' U
B' U R2 L B2 R U'
B' U D L R' U' L
B' U D R' L U' L
D' U B R U' F' B
D' U B R U' B F'
B2 U B R' B2 U' F'
R' D' U R F' L' B
R' D' U R F' B L'
R' D' U R B F' L'
B2 U B' U2 L U F
B' U B2 U2 L R' U
B' U B2 U2 R' L U
B U' L R' U L' D
B U' L R' U L' D'
B U' L R' U L' D2
B U' L R' U D L'
B U' L R' U D' L'
B U' L R' U D2 L'
B U' L R' D U L'
B U' L R' D' U L'
B U' L R' D2 U L'
B U' L D R' U L'
