L F U' L' B'
R' L F U' L' B'
R2 L F U' L' B'
L R F U' L' B'
R L F U' L' B'
D' L F B' R' U'
D' L B' R' F U'
D' L B' F R' U'
L R' F U' L' B'
L R2 F U' L' B'
L F R U' L' B'
L F R' U' L' B'
L F R2 U' L' B'
L F U' L' D B'
L F U' L' D' B'
L F U' L' D2 B'
L F U' L' B' D
L F U' L' B' D'
L F U' L' B' D2
L F U' D L' B'
L F U' D' L' B'
L F U' D2 L' B'
L F U' B L' B'
L F U' B' L' B'
L F U' B2 L' B'
L F D U' L' B'
L F D' U' L' B'
L F D2 U' L' B'
L F B' R' U' L'
L B' R' F U' L'
L B' F R' U' L'
D' L R F B' R' U'
D' L R B' R' F U'
D' L R B' F R' U'
D' L R' F B' R' U'
D' L R' B' R' F U'
D' L R' B' F R' U'
D' L R2 F B' R' U'
D' L R2 F B' R' U'
D' L R2 B' R' F U'
D' L R2 B' F R' U'
R' L F R U' L' B'
D' L D F B' R' U'
R' L F R' U' L' B'
R' L F R2 U' L' B'
R2 L F R U' L' B'
L R F R U' L' B'
R2 L F R' U' L' B'
D' L D B' R' F U'
R' L F U' L' D B'
L R F R' U' L' B'
R' L F U' L' D' B'
R' L F U' L' D2 B'
R' L F U' L' B' D
R' L F U' L' B' D'
R' L F U' L' B' D2
R' L F U' D L' B'
R' L F U' D' L' B'
D' L D B' F R' U'
R' L F U' D2 L' B'
R' L F U' B L' B'
R2 L F R2 U' L' B'
R' L F U' B' L' B'
R' L F U' B2 L' B'
R L F R U' L' B'
L R F R2 U' L' B'
R L F R' U' L' B'
R' L F D U' L' B'
R2 L F U' L' D B'
R2 L F U' L' D' B'
R2 L F U' L' D2 B'
R2 L F U' L' B' D
R2 L F U' L' B' D'
R2 L F U' L' B' D2
L R F U' L' D B'
L R F U' L' D' B'
L R F U' L' D2 B'
L R F U' L' B' D
L R F U' L' B' D'
L R F U' L' B' D2
R2 L F U' D L' B'
R L F R2 U' L' B'
R2 L F U' D' L' B'
R2 L F U' D2 L' B'
L R F U' D L' B'
L R F U' D' L' B'
L R F U' D2 L' B'
R2 L F U' B L' B'
R' L F D' U' L' B'
R2 L F U' B' L' B'
R2 L F U' B2 L' B'
L R F U' B L' B'
L R F U' B' L' B'
L R F U' B2 L' B'
R' L F D2 U' L' B'
R L F U' L' D B'
R L F U' L' D' B'
R L F U' L' D2 B'
R L F U' L' B' D
R L F U' L' B' D'
R L F U' L' B' D2
R L F U' D L' B'
R L F U' D' L' B'
R2 L F D U' L' B'
R L F U' D2 L' B'
L R F D U' L' B'
R L F U' B L' B'
R L F U' B' L' B'
R L F U' B2 L' B'
R' L F B' R' U' L'
R2 L F D' U' L' B'
L R F D' U' L' B'
R L F D U' L' B'
R2 L F D2 U' L' B'
L R F D2 U' L' B'
R L F D' U' L' B'
R2 L F B' R' U' L'
L R F B' R' U' L'
R L F D2 U' L' B'
R L F B' R' U' L'
D' L D' F B' R' U'
D L D' F U' L' B'
D' L D' B' R' F U'
D' L D' B' F R' U'
D2 L D2 F U' L' B'
D' L D2 F B' R' U'
D' L D2 B' R' F U'
D' L D2 B' F R' U'
D' L F R B' R' U'
D' L F R' B' R' U'
D' L F R2 B' R' U'
D2 L F U' L' B' L
F2 L F U R U2 B
D' L F D B' R' U'
F L F U' L' B' L'
D' L F D' B' R' U'
D' L F D2 B' R' U'
D2 L F B' R' U' L
D' L F B' R' U' D
D' L F B' R' U' D'
D' L F B' R' U' D2
D' L F B' R' D U'
D' L F B' R' D' U'
D' L F B' R' D2 U'
D' L F B' D R' U'
D' L F B' D' R' U'
D' L F B' D2 R' U'
D L F B' R' B U'
F L F B' R' U' L2
R' L B' R' F U' L'
D' L F' B' R' F2 U'
R2 L B' R' F U' L'
L R B' R' F U' L'
R L B' R' F U' L'
R' L B' F R' U' L'
R2 L B' F R' U' L'
L R B' F R' U' L'
R L B' F R' U' L'
D' L B' R F R2 U'
D2 L B' R' F U' L
D' L B' R' D F U'
D' L B' R' D' F U'
D' L B' R' D2 F U'
D' L B' R' F U' D
D' L B' R' F U' D'
D' L B' R' F U' D2
D' L B' R' F D U'
D' L B' R' F D' U'
D' L B' R' F D2 U'
D L B' R' F B U'
D L B' R' B F U'
F L B' R' F U' L2
D' L B' D R' F U'
D' L B' D F R' U'
D' L B' D' R' F U'
D' L B' D' F R' U'
D' L B' D2 R' F U'
D' L B' D2 F R' U'
D2 L B' F R' U' L
D' L B' F R' U' D
D' L B' F R' U' D'
D' L B' F R' U' D2
D' L B' F R' D U'
D' L B' F R' D' U'
D' L B' F R' D2 U'
D' L B' F D R' U'
D' L B' F D' R' U'
D' L B' F D2 R' U'
D' L B' F' R' F2 U'
D L B' F R' B U'
F L B' F R' U' L2
L R' F R U' L' B'
L R' F R' U' L' B'
L R' F R2 U' L' B'
L R' F U' L' D B'
L R' F U' L' D' B'
L R' F U' L' D2 B'
L R' F U' L' B' D
L R' F U' L' B' D'
L R' F U' L' B' D2
L R' F U' D L' B'
L R' F U' D' L' B'
L R' F U' D2 L' B'
L R' F U' B L' B'
L R' F U' B' L' B'
L R' F U' B2 L' B'
L R' F D U' L' B'
L R' F D' U' L' B'
L R' F D2 U' L' B'
L R' F B' R' U' L'
L R' B' R' F U' L'
L R' B' F R' U' L'
L R2 F R U' L' B'
L R2 F R' U' L' B'
L R2 F R2 U' L' B'
L R2 F U' L' D B'
L R2 F U' L' D' B'
L R2 F U' L' D2 B'
L R2 F U' L' B' D
L R2 F U' L' B' D'
L R2 F U' L' B' D2
L R2 F U' D L' B'
L R2 F U' D' L' B'
L R2 F U' D2 L' B'
L R2 F U' B L' B'
L R2 F U' B' L' B'
L R2 F U' B2 L' B'
L R2 F D U' L' B'
L R2 F D' U' L' B'
L R2 F D2 U' L' B'
L R2 F B' R' U' L'
L R2 B' R' F U' L'
L R2 B' F R' U' L'
D' R L F B' R' U'
D' R L B' R' F U'
D' R L B' F R' U'
L2 U' L' F U' B' L'
D' R' L F B' R' U'
D' R' L B' R' F U'
D' R' L B' F R' U'
B' R' U' L F L' R
B' R' U' L F R L'
L2 U2 L' F R U' L'
L' U2 L2 F R U' L'
B' R' B L F U' L'
D' R2 L F B' R' U'
D' R2 L B' R' F U'
D' R2 L B' F R' U'
L D F B' R' B U'
L D B' R' F B U'
L D B' R' B F U'
L D B' F R' B U'
R' D' L F B' R' U'
R' D' L B' R' F U'
R' D' L B' F R' U'
R2 D' L F B' R' U'
R2 D' L B' R' F U'
R2 D' L B' F R' U'
R D' L F B' R' U'
R D' L B' R' F U'
R D' L B' F R' U'
L D2 F U' L' B' L
L D2 F B' R' U' L
U' F L U' L2 R B'
U' F L U' L2 B' R
U' F L U' R L2 B'
L D2 B' R' F U' L
D' F L F B' R' U'
L D2 B' F R' U' L
D' F L B' R' F U'
D' F L B' F R' U'
U' F L' R D F2 B'
U' F L' R D B' F2
U' F L' R B' D F2
U' F L' D R F2 B'
U' F L' D R B' F2
U' F L' D B' R F2
U' F L' B' R D F2
U' F L' B' D R F2
U' F R L' D F2 B'
U' F R L' D B' F2
U' F R L' B' D F2
L F R U' L' D B'
L F R U' L' D' B'
L F R U' L' D2 B'
L F R U' L' B' D
L F R U' L' B' D'
L F R U' L' B' D2
L F R U' D L' B'
L F R U' D' L' B'
L F R U' D2 L' B'
L F R U' B L' B'
L F R U' B' L' B'
L F R U' B2 L' B'
L F R D U' L' B'
L F R D' U' L' B'
L F R D2 U' L' B'
L F R B' R' U' L'
L F R' U' L' D B'
L F R' U' L' D' B'
L F R' U' L' D2 B'
