U L' D' F L' B
U L' D' F B L'
U L' D' B F L'
U L' B D' F L'
L' U D' F L' B
L' U D' F B L'
L' U D' B F L'
L' U B D' F L'
L' D' U F L' B
L' D' U F B L'
L' D' U B F L'
U B L' D' F L'
R2 L U' F' B' R' U2
R2 L U' B' F' R' U2
U L D' L2 F L' B
U L D' L2 F B L'
U L D' L2 B F L'
L' R F' R' U F2 B
L' R F' R' U B F2
F' L' U D' F L' B
F' L' U D' F B L'
F' L' U D' B F L'
F2 L' U D' F L' B
F2 L' U D' F B L'
F2 L' U D' B F L'
F L' U D' F L' B
F L' U D' F B L'
F L' U D' B F L'
F' L' U B D' F L'
F2 L' U B D' F L'
F L' U B D' F L'
U2 L' U' D' F L' B
U2 L' U' D' F B L'
U2 L' U' D' B F L'
U2 L' U' B D' F L'
R L' F' R' U F2 B
R L' F' R' U B F2
R L' F' R' U B F2
U L' D F B' L B2
U L' D B' F L B2
F' L' D' U F L' B
F' L' D' U F B L'
F' L' D' U B F L'
F2 L' D' U F L' B
F2 L' D' U F B L'
F2 L' D' U B F L'
U2 L' D' U' F L' B
U2 L' D' U' F B L'
U2 L' D' U' B F L'
F L' D' U F L' B
F L' D' U F B L'
F L' D' U B F L'
U L' D' F L B L2
U L' D' F L' D B
U L' D' F L' D' B
U L' D' F L' D2 B
U L' D' F L' B D
U L' D' F L' B D'
U L' D' F L' B D2
U L' D' F D L' B
U L' D' F D B L'
U L' D' F D' L' B
U L' D' F D' B L'
U L' D' F D2 L' B
U L' D' F D2 B L'
U L' D' F B L' D
U L' D' F B L' D'
U L' D' F B L' D2
U L' D' F B D L'
U L' D' F B D' L'
U L' D' F B D2 L'
U L' D' F B' L' B2
U L' D' B F L' D
U L' D' B F L' D'
U L' D' B F L' D2
U L' D' B F D L'
U L' D' B F D' L'
U L' D' B F D2 L'
U L' D' B' F L' B2
U L' D2 B D F L'
U L' F D B' L B2
U L' F B2 D B' L
L R2 U' F' B' R' U2
L R2 U' B' F' R' U2
U L' B D' F L' D
U L' B D' F L' D'
U L' B D' F L' D2
U L' B D' F D L'
U L' B D' F D' L'
U L' B D' F D2 L'
U L' B2 D F B' L
U L' B2 D B' F L
U L' B2 D' F B' L'
U L' B2 D' B' F L'
U L' B2 F D B' L
U L2 D B' L F B2
U L2 D B' L B2 F
U L2 D' L F L' B
U L2 D' L F B L'
U L2 D' L B F L'
U L2 D' B L F L'
L U L2 D' F L' B
L U L2 D' F B L'
L U L2 D' B F L'
L U L2 B D' F L'
U L2 B L D' F L'
U L2 B D' L F L'
L' U D F B' L B2
L' U D B' F L B2
L' U D' F L B L2
L' U D' F L' D B
L' U D' F L' D' B
L' U D' F L' D2 B
L' U D' F L' B D
L' U D' F L' B D'
L' U D' F L' B D2
L' U D' F D L' B
L' U D' F D B L'
L' U D' F D' L' B
L' U D' F D' B L'
L' U D' F D2 L' B
L' U D' F D2 B L'
L' U D' F B L' D
L' U D' F B L' D'
L' U D' F B L' D2
L' U D' F B D L'
L' U D' F B D' L'
L' U D' F B D2 L'
L' U D' F B' L' B2
L' U D' B F L' D
L' U D' B F L' D'
L' U D' B F L' D2
L' U D' B F D L'
L' U D' B F D' L'
L' U D' B F D2 L'
L' U D' B' F L' B2
L U D' L2 F L' B
L U D' L2 F B L'
L U D' L2 B F L'
U L2 B2 D B' L F
L' U D2 B D F L'
L' U F D B' L B2
L' U F B2 D B' L
R2 U F2 L' F L' B'
L' U B D' F L' D
L' U B D' F L' D'
L' U B D' F L' D2
L' U B D' F D L'
L' U B D' F D' L'
L' U B D' F D2 L'
L' U B2 D F B' L
L' U B2 D B' F L
L' U B2 D' F B' L'
L' U B2 D' B' F L'
L' U B2 F D B' L
L U' D B' U2 L B2
R2 U' F' U2 F' L' F
R' U2 L' B U' F B2
R' U2 L' B U' B2 F
U2 R2 U F' U2 L' F
R' U2 B L' U' F B'
R' U2 B L' U' B' F
L' D U F B' L B2
L' D U B' F L B2
L D U' B' U2 L B2
F' U L' D' F L' B
F' U L' D' F B L'
F' U L' D' B F L'
F2 U L' D' F L' B
