U2 L U L2 F' B'
U2 L U L2 B' F'
U2 L2 U L F' B'
U2 L2 U L B' F'
U2 L2 U F' L B'
R U' B L' D F2
F' U F R U' L'
L' F' U F R U'
U' B L' D' F' B2
U' B L' D' B2 F'
U' B L' F' D' B2
U2 L U L F' L B'
U2 L U L2 D F' B'
U2 L U L2 D B' F'
U2 L U L2 D' F' B'
U2 L U L2 D' B' F'
U2 L U L2 D2 F' B'
U2 L U L2 D2 B' F'
U2 L U L2 F' D B'
U2 L U L2 F' D' B'
U2 L U L2 F' D2 B'
U2 L U L2 F' B' D
U2 L U L2 F' B' D'
U2 L U L2 F' B' D2
U2 L U L2 B' D F'
U2 L U L2 B' D' F'
U2 L U L2 B' D2 F'
U2 L U L2 B' F' D
U2 L U L2 B' F' D'
U2 L U L2 B' F' D2
U2 L U F' L2 D2 B2
U2 L U B L2 F' B'
U2 L U B L2 B' F'
U2 L U B' L2 F' B'
U2 L U B' L2 B' F'
U2 L U B2 L2 F' B'
U2 L U B2 L2 B' F'
U2 L U' F U2 L2 F2
U2 L U' F U2 F2 L2
U' L' U' L' U F' B'
U' L' U' L' U B' F'
D2 L' F' U F R U'
D' L' F' U F R U'
U' L' F' U R U' B
B' L' F' U F R U'
U' L' F' U' L' U B'
B2 L' F' U F R U'
D L' F' U F R U'
B L' F' U F R U'
U' L' F' B U' L U
U' L' F' B' U R' U'
U2 L' F' B' U' B U
U2 L' F' B2 D' B R2
U' L' B U' L U F'
U' L' B F' U' L U
U2 L' B' U' B U F'
U' L' B' F' U R' U'
U2 L' B' F' U' B U
U2 L' B2 D' F' B R2
U2 L' B2 D' B F' R2
U2 L' B2 F' D' B R2
U2 L2 U L D F' B'
U2 L2 U L D B' F'
U2 L2 U L D' F' B'
U2 L2 U L D' B' F'
U2 L2 U L D2 F' B'
U2 L2 U L D2 B' F'
U2 L2 U L F' D B'
U2 L2 U L F' D' B'
U2 L2 U L F' D2 B'
U2 L2 U L F' B' D
U2 L2 U L F' B' D'
U2 L2 U L F' B' D2
U2 L2 U L B' D F'
U2 L2 U L B' D' F'
U2 L2 U L B' D2 F'
U2 L2 U L B' F' D
U2 L2 U L B' F' D'
U2 L2 U L B' F' D2
U2 L2 U F L F2 B'
U2 L2 U F L B' F2
U2 L2 U F' L D B'
U2 L2 U F' L D' B'
U2 L2 U F' L D2 B'
U2 L2 U F' L B' D
U2 L2 U F' L B' D'
U2 L2 U F' L B' D2
U2 L2 F U L F2 B'
U2 L2 F U L B' F2
U2 L2 F U F2 L B'
R' U R U2 L' F' B'
R' U R U2 L' B' F'
U L2 F' L D' B2 R'
U2 L2 F2 U F L B'
R2 U R2 U2 L' F' B'
R2 U R2 U2 L' B' F'
F' R U F U' L' B
F' R U F U' B L'
R' U F2 R F U2 F2
D2 R U' B L' D F2
D' R U' B L' D F2
R2 U F2 B R F' U2
B' R U' B L' D F2
B2 R U' B L' D F2
F2 R U' F2 U' F' B
F2 R U' F2 U' B F'
D R U' B L' D F2
B R U' B L' D F2
R2 U B R' U2 L' B
R2 U B R' U2 B L'
R2 U B R2 U2 L' B'
F2 R U2 D F B R2
F2 R U2 D B R2 F
F2 R U2 D B F R2
R2 U B F2 R F' U2
F2 R U2 B D R2 F
F2 R U2 B D F R2
F2 R D U2 F B R2
F2 R D U2 B R2 F
F2 R D U2 B F R2
F2 R D' L2 B' U2 B2
F' R F U' L' F' B
F' R F U' L' B F'
F' R F U' B L' F'
R U' L' B U L U'
L' U' R' U R F' B
L' U' R' U R B F'
F' R B U F U' L'
R U' D B L' D F2
R' U' D2 L' F D2 B2
R U' D' B L' D F2
R U' D2 B L' D F2
U' R' U L' R F' B
U' R' U L' R B F'
U' R' U R L' F' B
U' R' U R L' B F'
U' R' U R B L' F'
U' R' U' L' R F' B'
U' R' U' L' R B' F'
U' R' U' L' B' R F'
U' R' U' R L' F' B'
U' R' U' R L' B' F'
R U' B L' U L2 U'
R U' B L' D F2 D
R U' B L' D F2 D'
R U' B L' D F2 D2
R U' B L' F D F2
R U' B L' F' D F2
R U' B L' F2 D F2
R U' B U L U' L2
R U' B D L' D F2
R U' B D' L' D F2
R U' B D2 L' D F2
R U' B2 D B' L' F
R U2 L U F L2 B
R U2 L U F B L2
R U2 L U B F L2
L2 U2 L' U F' B' L2
L2 U2 L' U B' L2 F'
L2 U2 L' U B' F' L2
L U2 L' U B' L' F'
U' R2 U' L' R2 F' B'
U' R2 U' L' R2 B' F'
U' R2 U' R2 L' F' B'
U' R2 U' R2 L' B' F'
U2 D L U L2 F' B'
U2 D L U L2 B' F'
R D U' B L' D F2
L' D F' U F R U'
U2 D L2 U L F' B'
U2 D L2 U L B' F'
U2 D L2 U F' L B'
F' U R F R U' L'
F' U R' F R U' L'
F' U R2 F R U' L'
F' U F R U' L' D
F' U F R U' L' D'
F' U F R U' L' D2
F' U F R U' D L'
F' U F R U' D' L'
F' U F R U' D2 L'
F' U F R D U' L'
F' U F R D' U' L'
F' U F R D2 U' L'
F' U F R B U' L'
F' U F R B' U' L'
F' U F R B2 U' L'
U' D B L' D' F' B2
U' D B L' D' B2 F'
U' D B L' F' D' B2
F' U F D R U' L'
F' U F D' R U' L'
F' U F D2 R U' L'
F' U F B R U' L'
F' U F B' R U' L'
F' U F B2 R U' L'
F' U B F R U' L'
U2 D' L U L2 F' B'
U2 D' L U L2 B' F'
F' U B' F R U' L'
F' U B2 F R U' L'
U2 D' L2 U L F' B'
U2 D' L2 U L B' F'
U2 D' L2 U F' L B'
R D' U' B L' D F2
L' D' F' U F R U'
D' U' B L' D' F' B2
D' U' B L' D' B2 F'
U' D' B L' D' F' B2
U' D' B L' D' B2 F'
D' U' B L' F' D' B2
U' D' B L' F' D' B2
D2 U' B L' D' F' B2
D2 U' B L' D' B2 F'
D2 U' B L' F' D' B2
D U' B L' D' F' B2
D U' B L' D' B2 F'
D U' B L' F' D' B2
D' U2 L U L2 F' B'
D' U2 L U L2 B' F'
D2 U2 L U L2 F' B'
D2 U2 L U L2 B' F'
U2 D2 L U L2 F' B'
U2 D2 L U L2 B' F'
D U2 L U L2 F' B'
D U2 L U L2 B' F'
F2 U' F2 U' L' F' B'
F2 U' F2 U' L' B' F'
D' U2 L2 U L F' B'
D' U2 L2 U L B' F'
D' U2 L2 U F' L B'
B' U' B L' D' F' B2
B' U' B L' D' B2 F'
B' U' B L' F' D' B2
D2 U2 L2 U L F' B'
D2 U2 L2 U L B' F'
D2 U2 L2 U F' L B'
B2 U' B L' D' F' B2
B2 U' B L' D' B2 F'
B2 U' B L' F' D' B2
R' D2 R2 U' L' F B
R' D2 R2 U' L' B F
R' D2 R2 U' B L' F
U2 D2 L2 U L F' B'
U2 D2 L2 U L B' F'
U2 D2 L2 U F' L B'
B U' B L' D' F' B2
D U2 L2 U L F' B'
B U' B L' D' B2 F'
D U2 L2 U L B' F'
B U' B L' F' D' B2
D U2 L2 U F' L B'
R' D2 U' L' F D2 B2
B' U2 L U L2 F' B'
B' U2 L U L2 B' F'
B2 U2 L U L2 F' B'
B2 U2 L U L2 B' F'
B U2 L U L2 F' B'
B U2 L U L2 B' F'
R D2 U' B L' D F2
B' U2 L2 U L F' B'
B' U2 L2 U L B' F'
B' U2 L2 U F' L B'
B2 U2 L2 U L F' B'
B2 U2 L2 U L B' F'
B2 U2 L2 U F' L B'
L' D2 F' U F R U'
B U2 L2 U L F' B'
B U2 L2 U L B' F'
B U2 L2 U F' L B'
U' D2 B L' D' F' B2
U' D2 B L' D' B2 F'
U' D2 B L' F' D' B2
U F U' R B U' F2
F2 D R U2 B R F
L2 F' L R D' B R'
L2 F' L D' R B R'
L' F' R U F U' B
L2 F' R L D' B R'
L F' L2 R B D' R2
L' F' R B U F U'
L F' R L2 B D' R2
L' F' U R F R U'
L' F' U R' F R U'
L' F' U R2 F R U'
D2 F' U F R U' L'
D' F' U F R U' L'
L' F' U D F R U'
L' F' U D' F R U'
L' F' U D2 F R U'
L' F' U F R U' D
L' F' U F R U' D'
L' F' U F R U' D2
L' F' U F R D U'
L' F' U F R D' U'
L' F' U F R D2 U'
L' F' U F D R U'
L' F' U F D' R U'
L' F' U F D2 R U'
L2 F' U F R U' L
D F' U F R U' L'
L F' U F R U' L2
L' F' D U F R U'
F2 D' L2 R B' U2 B2
L' F' D' U F R U'
F2 D' L2 B' R U2 B
F2 D' R L2 B' U2 B2
L' F' D2 U F R U'
L' F' B U F R U'
L' F' B' U F R U'
L' F' B2 U F R U'
L' F2 R D F B R2
L' F2 R D B R2 F
L' F2 R D B F R2
L' F2 R B D R2 F
L' F2 R B D F R2
L' F2 R' D R2 F B
L' F2 R' D R2 B F
L' F2 D R B R F
L' F2 D F R B R
U F2 D R F' U2 F2
U' B L F' L2 D' B2
U' B L' U' L2 U F'
U' B L' D' F' B2 D
U' B L' D' F' B2 D'
U' B L' D' F' B2 D2
U' B L' D' B2 D F'
U' B L' D' B2 D' F'
