L2 R' F' R U' L2
R' L2 F' R U' L2
R' U L2 F' R U'
R' U F' L2 R U'
R' U F' R L2 U'
R2 D R' F2 B R'
R2 D R' B R' F2
R2 D R' B F2 R'
R2 D F2 R' B R'
R2 D F2 B R' B
R2 D B R' F2 B
R2 D B R' B F2
R2 D B F2 R' B
R' F' L2 R U' L2
R' F' R L2 U' L2
L2 R' F' R U' L2 D
L2 R' F' R U' L2 D'
L2 R' F' R U' L2 D2
L2 R' F' R D' B2 U'
L2 R' F' R B U' L2
L2 R' F' R B' U' L2
L2 R' F' R B2 U' L2
L2 R' F' D' R B2 U'
L2 R' F' D' B2 R U'
L2 R' F' B R U' L2
L2 R' F' B' R U' L2
L2 R' F' B2 R U' L2
L2 R' B F' R U' L2
L2 R' B' F' R U' L2
F L' F U L F R
L2 R' B2 F' R U' L2
F' L2 R U2 B U L2
B' L2 R' F' R U' L2
F' L2 R' F' R2 U' L2
B2 L2 R' F' R U' L2
B L2 R' F' R U' L2
R' L2 F' R U' L2 D
R' L2 F' R U' L2 D'
R' L2 F' R U' L2 D2
R' L2 F' R D' B2 U'
R' L2 F' R B U' L2
R' L2 F' R B' U' L2
R' L2 F' R B2 U' L2
L2 R2 F' R F' U' L2
R' L2 F' D' R B2 U'
R2 L2 F' R F' U' L2
R' L2 F' D' B2 R U'
R' L2 F' B R U' L2
R' L2 F' B' R U' L2
R' L2 F' B2 R U' L2
R' L2 B F' R U' L2
R' L2 B' F' R U' L2
R' L2 B2 F' R U' L2
R' U L F' L R U'
R' U L F' R L U'
F L2 D' B2 R' F' U'
R2 U L2 R F' R U'
R' U L2 F' R U' D
R' U L2 F' R U' D'
R' U L2 F' R U' D2
R' U L2 F' R D U'
R' U L2 F' R D' U'
R' U L2 F' R D2 U'
R' U L2 F' D R U'
R' U L2 F' D' R U'
R' U L2 F' D2 R U'
U L2 F U2 L' U R
R U L2 R2 F' R U'
R2 U L2 F' R F' U'
U L2 F' R U L' U2
U L2 F' R F2 U' R
R2 U R L2 F' R U'
R2 U R F' L2 R U'
R2 U R F' R L2 U'
R U R2 L2 F' R U'
R U R2 F' L2 R U'
R U R2 F' R L2 U'
F L2 B2 R' F' U' L2
F' R L2 U2 B U L2
R' U F' L2 R U' D
R' U F' L2 R U' D'
R' U F' L2 R U' D2
R' U F' L2 R D U'
R' U F' L2 R D' U'
R' U F' L2 R D2 U'
R' U F' L2 D R U'
R' U F' L2 D' R U'
R' U F' L2 D2 R U'
R' U F' R L2 U' D
R' U F' R L2 U' D'
R' U F' R L2 U' D2
R' U F' R L2 D U'
R' U F' R L2 D' U'
R' U F' R L2 D2 U'
R' U F' R U' D F2
R' U F' R D U' F2
R' U F' D R U' F2
R2 U F' L2 R F' U'
R2 U F' R L2 F' U'
R2 U F' R F' L2 U'
L2 U' L D' L B' R'
L2 U' L2 D B' R' B
L2 U' L2 B' D R' B
F' R B2 L2 F U' L2
R' U' F' L2 R B' U'
R' U' F' L2 B' R U'
R' U' F' R L2 B' U'
B' R' L2 F' R U' L2
F' R' L2 F' R2 U' L2
B2 R' L2 F' R U' L2
B' R' U L2 F' R U'
B R' L2 F' R U' L2
F' R' U L2 F' R2 U'
B2 R' U L2 F' R U'
B' R' U F' L2 R U'
B' R' U F' R L2 U'
F' R' U F' L2 R2 U'
F' R' U F' R2 L2 U'
B R' U L2 F' R U'
B2 R' U F' L2 R U'
B2 R' U F' R L2 U'
D R' U F' U' F' B
D R' U F' U' B F'
B R' U F' L2 R U'
B R' U F' R L2 U'
L2 U' B' L2 D R' B
F' R' F D R2 F2 B2
F' R' F D R2 B2 F2
F' R' F D F2 R2 B2
F' R' F D F2 B2 R2
F' R' F D B2 R2 F2
F' R' F D B2 F2 R2
B' R' F' L2 R U' L2
F' R' F' L2 R2 U' L2
B' R' F' R L2 U' L2
D R' F D F B R2
D R' F D B R2 F
D R' F D B F R2
F' R' F' R2 L2 U' L2
B2 R' F' L2 R U' L2
D R' F B D R2 F
D R' F B D F R2
B2 R' F' R L2 U' L2
B R' F' L2 R U' L2
B R' F' R L2 U' L2
D R' F2 U F U' B
D R' F2 B U F U'
D R' B U F' U' F'
D R' B F D R2 F
D R' B F D F R2
D R' B F2 U F U'
L2 U2 F L' B' U L'
B' R2 D R' F2 B R'
B' R2 D R' B R' F2
B' R2 D R' B F2 R'
B2 R2 D R' F2 B R'
B2 R2 D R' B R' F2
B2 R2 D R' B F2 R'
B' R2 D F2 R' B R'
B' R2 D F2 B R' B
B' R2 D B R' F2 B
B' R2 D B R' B F2
B' R2 D B F2 R' B
B2 R2 D F2 R' B R'
B2 R2 D F2 B R' B
B R2 D R' F2 B R'
B R2 D R' B R' F2
B R2 D R' B F2 R'
B2 R2 D B R' F2 B
B2 R2 D B R' B F2
B2 R2 D B F2 R' B
B R2 D F2 R' B R'
B R2 D F2 B R' B
B R2 D B R' F2 B
B R2 D B R' B F2
B R2 D B F2 R' B
D R2 F' D' F' R B
R' D R' F2 D B R'
D R2 F2 D R B R'
R2 D R' F B R' F
R2 D R' F2 B R' D
R2 D R' F2 B R' D'
R2 D R' F2 B R' D2
R2 D R' F2 B D R'
R2 D R' F2 B D' R'
R2 D R' F2 B D2 R'
R2 D R' B R F2 R2
R2 D R' B R' F2 D
R2 D R' B R' F2 D'
