R' U R B L U'
R' L U R B U' F
R' L F D' B L B'
R' L F B D' L B'
R' L B F D' L B'
L R' U R B U' F
U2 L' R' F' L' D' B2
B' L' U R' B' L U2
B2 L' U B' L2 U2 L'
L R' F D' B L B'
L R' F B D' L B'
L R' B F D' L B'
U' L' B' U' B R' F'
U2 L2 R' D' F' L' B2
U2 L2 R' D' F' B2 L'
U2 L2 R' D' B2 F' L'
U2 L2 R' F' D' L' B2
U2 L2 R' F' D' B2 L'
R' U L R B L U'
U2 L2 D' R' F' L' B2
U2 L2 D' R' F' B2 L'
U2 L2 D' R' B2 F' L'
R' U L' R B L U'
R' U L2 R B L U'
R' U R L B L U'
R' U R L' B L U'
R' U R L2 B L U'
R' U R D B L U'
R' U R D' B L U'
R' U R D2 B L U'
R' U R B L U' D
R' U R B L U' D'
R' U R B L U' D2
R' U R B L D U'
R' U R B L D' U'
R' U R B L D2 U'
R' U R B D L U'
R' U R B D' L U'
R' U R B D2 L U'
R' U D R B L U'
B L2 B' U' L' R' F
B L2 B' U' L' F R'
B L2 B' U' R' L' F
R' U D' R B L U'
R' U D2 R B L U'
R' U B L R B U'
R' U B R L B U'
L' U' L2 R' D F L'
L' U' L2 D R' F L'
L' U' L2 D F L' R'
L' U' L2 D F R' L'
U2 R F' U L' R2 F'
U2 R F' U R2 L' F'
L' U' R' L2 D F L'
R U' R' U' R' F' L'
R2 U' R2 U' R' F' L'
U2 R' L' F' L' D' B2
U2 R' L2 D' F' L' B2
U2 R' L2 D' F' B2 L'
U2 R' L2 D' B2 F' L'
U2 R' L2 F' D' L' B2
U2 R' L2 F' D' B2 L'
D2 R' U R B L U'
D' R' U R B L U'
F' R' U R B L U'
F2 R' U R B L U'
D R' U R B L U'
F R' U R B L U'
U2 R' F' L' U' L U
U2 R' F' L2 D' L B2
L2 U2 F' U L' R' F
L2 U2 F' U L' F R'
L2 U2 F' U R' L' F
L U2 F' U L' R' F2
L U2 F' U L' F2 R'
L U2 F' U R' L' F2
R2 D R B L F B
R2 D R B L B F
R' D U R B L U'
R2 D B L B R F
R' D' U R B L U'
R2 D' F2 L' B' R' U2
R' D2 U R B L U'
L F R' U R B U'
R' F D' B L F B'
R' F D' B L B' F
R' F B D' L F B'
R' F B D' L B' F
U' F' L' B' U' B R'
U2 F' R U L' R2 F'
U2 F' R U R2 L' F'
U2 F' R2 U L' R F'
U2 F' R2 U R L' F'
R' F2 B L D' F B2
R' F2 B L D' B2 F
R' F2 B L F D' B2
R' B L U R U' F
R2 B L D R F B2
R2 B L D R B2 F
R2 B L D B2 R F
R' B U R U' L F
R2 B D L R F B2
R2 B D L R B2 F
R2 B D L B2 R F
R2 B D R L F B2
R2 B D R L B2 F
R' B F D' L F B'
R' B F D' L B' F
R' B F2 L D' F B2
R' B F2 L D' B2 F
R' B F2 L F D' B2
U' B' U B L R' F
U' B' U B L F R'
U' B' U B R' L F
U' B' U' B R' F' L'
R2 B' D B2 L R F
R2 B' D B2 R L F
L' B2 U L B R' U2
L2 B2 U L B' U2 L
U' B2 U' B2 R' F' L'
