F L' B2 U L2 U
F L' B2 U2 D' B2
F L' B2 D F2 U2
F L' B2 D' U2 B2
D' U L R2 B' U
D' U L R2 B' U
D' U L B' R2 U
D' U R2 L B' U
D' U R2 L B' U
U D' L R2 B' U
U D' L B' R2 U
U D' R2 L B' U
B2 U' R' F' U' R
B2 U' F' R' U' R2
B2 F L' U' R' U'
B2 F' U' R' U' R2
B2 F' U2 R D B2
F B2 L' U' R' U'
F' B2 U' R' U' R2
F' B2 U2 R D B2
F2 B2 U' R' F' U'
B2 F2 U' R' F' U'
D' L R2 D' F2 B' U
D' L R2 D' B' F2 U
D' L R2 D2 B' U L2
D' L R2 B' U D2 L2
D' L R2 B' U' R2 U2
D' L R2 B' D' F2 U
D' L R2 B' D2 U L2
D' L U R2 B' U B
U L U F D2 F2 R
U L U F' R D2 F2
U L U F' D2 R F2
B2 L U' R' F' U' R
B2 L U' F' R' U' R2
U L D2 B U R' F2
U L D2 B U F2 R'
B2 L F L' U' R' U'
B2 L F' U' R' U' R2
B2 L F' U' R' U' R2
B2 L F' U2 R D B2
B2 L F2 U' R' F' U'
U L B R2 U F' R
U L B U R2 F' R
D' L B' R2 U D2 L2
D' L B' R2 U' R2 U2
D' L B' R2 D' F2 U
D' L B' R2 D2 U L2
F L B2 L2 U L2 U
F L B2 L2 U2 D' B2
F L B2 L2 D F2 U2
F L B2 L2 D' U2 B2
D' L' U L2 R2 B' U
D' L' U L2 B' R2 U
D' L' U R2 L2 B' U
F L' U L2 U D2 F2
F L' U L2 U' B2 U2
F L' U L2 D' R2 U
F L' U L2 D2 U F2
F L' U D' R2 U B2
B2 L' U' R' F' U' R
F L' U' D2 R2 U' F2
B2 L' U' F' R' U' R2
F L' U2 D' B2 D' F2
F L' U2 D2 F2 D B2
F L' D F2 U' L2 U'
F L' D F2 U2 D F2
F L' D F2 D U2 F2
F L' D F2 D' B2 U2
F L' D' U R2 U B2
F L' D' U2 B2 D' F2
F L' D2 U' R2 U' F2
F L' D2 U2 F2 D B2
B2 L' F L' U' R' U'
F L' F B2 U L2 U
F L' F B2 U2 D' B2
F L' F B2 D F2 U2
F L' F B2 D' U2 B2
B2 L' F' U' R' U' R2
B2 L' F' U2 R D B2
F L' F' B2 U L2 U
F L' F' B2 U2 D' B2
F L' F' B2 D F2 U2
F L' F' B2 D' U2 B2
B2 L' F2 U' R' F' U'
F L' F2 B2 U L2 U
F L' F2 B2 U2 D' B2
F L' F2 B2 D F2 U2
F L' F2 B2 D' U2 B2
F L' B D F2 B U2
F L' B D B F2 U2
F L' B D' B U2 B
F L' B' U L2 U F
F L' B' D F2 B' U2
F L' B' D B' F2 U2
F L' B' D' B' U2 B'
F' L' B2 U L2 U R
F' L' B2 U2 R D' B2
F' L' B2 U2 D' R B2
F' L' B2 U2 D' B2 R
F' L' B2 D F2 L' U2
F' L' B2 D' U2 R B2
F' L' B2 D' U2 B2 R
F L' B2 U L2 U D
F L' B2 U L2 U D'
F L' B2 U L2 U D2
F L' B2 U L2 D U
F L' B2 U L2 D' U
F L' B2 U L2 D2 U
F L' B2 U' D2 R2 U'
F L' B2 U2 D' B2 D
F L' B2 U2 D' B2 D'
F L' B2 U2 D' B2 D2
F L' B2 U2 B D' B2
F L' B2 U2 B' D' B2
F L' B2 U2 B2 D' B2
F L' B2 D F2 U2 D
F L' B2 D F2 U2 D'
F L' B2 D F2 U2 D2
F L' B2 D F2 D U2
F L' B2 D F2 D' U2
F L' B2 D F2 D2 U2
F L' B2 D' U2 B2 D
F L' B2 D' U2 B2 D'
F L' B2 D' U2 B2 D2
F L' B2 D' F U2 B2
F L' B2 D' F' U2 B2
F L' B2 D' F2 U2 B2
F L' B2 D2 U' R2 U'
F L' B2 F U L2 U
F L' B2 F U2 D' B2
F L' B2 F D F2 U2
F L' B2 F D' U2 B2
F L' B2 F' U L2 U
F L' B2 F' U2 D' B2
F L' B2 F' D F2 U2
F L' B2 F' D' U2 B2
F L' B2 F2 U L2 U
F L' B2 F2 U2 D' B2
F L' B2 F2 D F2 U2
F L' B2 F2 D' U2 B2
B2 L2 U' R' F' U' R
B2 L2 U' F' R' U' R2
B2 L2 F L' U' R' U'
B2 L2 F' U' R' U' R2
B2 L2 F' U2 R D B2
B2 L2 F2 U' R' F' U'
F' L2 B2 U L' U R
F2 L2 B2 U L' B' U
F L2 B2 U L' U R'
U R D' L R2 B' U
U R D' L B' R2 U
U R D' R2 L B' U
U R' D' L R2 B' U
U R' D' L B' R2 U
U R' D' R2 L B' U
D' R2 L D' F2 B' U
D' R2 L D' B' F2 U
D' R2 L D2 B' U L2
D' R2 L B' U D2 L2
D' R2 L B' U' R2 U2
D' R2 L B' D' F2 U
D' R2 L B' D2 U L2
U R2 D' L R2 B' U
U R2 D' L B' R2 U
U R2 D' R2 L B' U
D' U L R B' R U
D' U L R2 D B' U
D' U L R2 D' B' U
D' U L R2 D2 B' U
D' U L R2 B' U D
D' U L R2 B' U D'
D' U L R2 B' U D2
D' U L R2 B' D U
D' U L R2 B' D' U
D' U L R2 B' D2 U
F' U L U R D2 F2
F' U L U D2 R F2
F' U L U' B2 U2 R
D' U L D' B' U F2
F' U L D' R2 U R'
F' U L D2 U R F2
D' U L B R2 B2 U
D2 U L B U R' F2
D2 U L B U F2 R'
D' U L B' R2 U D
D' U L B' R2 U D'
D' U L B' R2 U D2
D' U L B' R2 D U
D' U L B' R2 D' U
D' U L B' R2 D2 U
D' U L B' U D' F2
D' U L B' D' U F2
F U L U D2 R2 F2
F U L U D2 F2 R2
F U L U' L2 B2 U2
F U L U' B2 L2 U2
F U L D' R2 B2 U
F U L D' B2 R2 U
F U L D2 U R2 F2
F U L D2 U F2 R2
D U L B2 R' B U
F2 U L' B' L2 U F
U D L B2 R' B U
U' D L2 F2 R F' U'
D' U R L B' R U
D' U R2 L D B' U
D' U R2 L D' B' U
D' U R2 L D2 B' U
D' U R2 L B' U D
D' U R2 L B' U D'
D' U R2 L B' U D2
D' U R2 L B' D U
D' U R2 L B' D' U
D' U R2 L B' D2 U
F' U D' L R2 U R'
F' U D' R2 L U R'
F' U D2 L U R F2
B2 U D' B2 L B' U
R2 D' L R2 F2 B' U
R2 D' L R2 B' F2 U
R2 D' L F2 R2 B' U
R2 D' L F2 B' R2 U
R2 D' L B' R2 F2 U
R2 D' L B' F2 R2 U
U2 D' L R2 B' U L'
D' U' L B' R2 F' U
R2 D' R2 L F2 B' U
U' D' L B' R2 F' U
R2 D' R2 L B' F2 U
U D' L R B' R U
U2 D' L B' R2 U L'
R2 D' R2 F2 L B' U
U D' L R2 D B' U
U D' L R2 D' B' U
U D' L R2 D2 B' U
U D' L R2 B' U D
U D' L R2 B' U D'
U D' L R2 B' U D2
U D' L R2 B' D U
U D' L R2 B' D' U
U D' L R2 B' D2 U
U D' L D' B' U F2
U D' L B R2 B2 U
U D' L B' R2 U D
U D' L B' R2 U D'
U D' L B' R2 U D2
U D' L B' R2 D U
U D' L B' R2 D' U
U D' L B' R2 D2 U
U D' L B' U D' F2
U D' L B' D' U F2
B2 U B2 D' L B' U
D U' L2 F2 R F' U'
U D' R L B' R U
U2 D' R2 L B' U L'
R2 D' F2 L R2 B' U
R2 D' F2 L B' R2 U
U D' R2 L D B' U
U D' R2 L D' B' U
U D' R2 L D2 B' U
U D' R2 L B' U D
U D' R2 L B' U D'
U D' R2 L B' U D2
U D' R2 L B' D U
U D' R2 L B' D' U
U D' R2 L B' D2 U
B2 U' R F' R2 U' R'
