R' L' D F' B2 U'
L' R' D F' B2 U'
L' R' D B2 F' U'
R' L' D B2 F' U'
L' R' D2 F' U' L2
R' L' D2 F' U' L2
L' R' F' U R2 U2
L' R' F' U' D2 L2
R' L' F' U R2 U2
L' R' F' D B2 U'
R' L' F' U' D2 L2
L' R' F' D2 U' L2
R' L' F' D B2 U'
R' L' F' D2 U' L2
R U' L' R2 F' U'
R U' R2 L' F' U'
R' D L' F' B2 U'
R' D L' B2 F' U'
R' D B2 L' F' U'
L' F' R' F' U' L'
L2 R U' L R2 F' U'
L' R U' R2 F' U' F
L R U' L2 R2 F' U'
L2 R U' R2 L F' U'
R L U' L2 R2 F' U'
L R U' R2 L2 F' U'
L2 R U' R2 F' L U'
L R U' R2 F' L2 U'
R L U' R2 L2 F' U'
R L U' R2 F' L2 U'
R' L D F' B2 U' F'
R' L D B2 F' U' F'
R' L F' L2 U R2 U2
R' L F' L2 U' D2 L2
R' L F' L2 D B2 U'
R' L F' L2 D2 U' L2
R' L F' D B2 U' F2
L' R' U R2 U B U
R' L' U R2 U B U
R L' U' R2 F' U' F
L2 R' D L F' B2 U'
L2 R' D L B2 F' U'
R' L' D F' U' D L2
D2 L' R' D F' B2 U'
R' L' D F' D U' L2
D2 L' R' D B2 F' U'
L' R' D F' U' D L2
R' L' D F' B2 U' D
R' L' D F' B2 U' D'
R' L' D F' B2 U' D2
R' L' D F' B2 D U'
R' L' D F' B2 D' U'
R' L' D F' B2 D2 U'
L' R' D F' D U' L2
D' L' R' D F' B2 U'
D' L' R' D B2 F' U'
L' R' D F' B2 U' D
L' R' D F' B2 U' D'
L' R' D F' B2 U' D2
L' R' D F' B2 D U'
L' R' D F' B2 D' U'
L' R' D F' B2 D2 U'
D2 L' R' D2 F' U' L2
D' L' R' D2 F' U' L2
L2 R' D F' L B2 U'
D L' R' D F' B2 U'
D2 L' R' F' U R2 U2
D L' R' D B2 F' U'
D2 L' R' F' U' D2 L2
L R' D F' B2 U' F'
D2 L' R' F' D B2 U'
D2 L' R' F' D2 U' L2
R' L' D B2 D F' U'
R' L' D B2 D' F' U'
D' L' R' F' U R2 U2
R' L' D B2 D2 F' U'
D' L' R' F' U' D2 L2
R' L' D B2 F' U' D
R' L' D B2 F' U' D'
D' L' R' F' D B2 U'
R' L' D B2 F' U' D2
R' L' D B2 F' D U'
R' L' D B2 F' D' U'
R' L' D B2 F' D2 U'
D' L' R' F' D2 U' L2
L' R' D B2 D F' U'
L' R' D B2 D' F' U'
L' R' D B2 D2 F' U'
L' R' D B2 F' U' D
L' R' D B2 F' U' D'
L' R' D B2 F' U' D2
L' R' D B2 F' D U'
L' R' D B2 F' D' U'
L' R' D B2 F' D2 U'
D L' R' D2 F' U' L2
D L' R' F' U R2 U2
D L' R' F' U' D2 L2
D L' R' F' D B2 U'
D L' R' F' D2 U' L2
L R' D B2 F' U' F'
R' L' D' F' U2 F' U
L' R' D' F' U2 F' U
L2 R' D2 L F' U' L
R' L' D2 F' U' L2 D
R' L' D2 F' U' L2 D'
R' L' D2 F' U' L2 D2
R' L' D2 F' D' B2 U'
R' L' D2 F' B U' L2
R' L' D2 F' B' U' L2
R' L' D2 F' B2 U' L2
L' R' D2 F' U' L2 D
L' R' D2 F' U' L2 D'
L' R' D2 F' U' L2 D2
L' R' D2 F' D' B2 U'
L' R' D2 F' B U' L2
L' R' D2 F' B' U' L2
L' R' D2 F' B2 U' L2
R' L' D2 B F' U' L2
L' R' D2 B F' U' L2
R' L' D2 B' F' U' L2
L2 R' D2 F' L U' L
L' R' D2 B' F' U' L2
R' L' D2 B2 F' U' L2
L' R' D2 B2 F' U' L2
R' L' F D B2 U' R2
L' R' F D B2 U' R2
L2 R' F' L U R2 U2
L2 R' F' L U' D2 L2
L2 R' F' L D B2 U'
L2 R' F' L D2 U' L2
R' L' F' U R2 U2 D
R' L' F' U R2 U2 D'
R' L' F' U R2 U2 D2
R' L' F' U R2 D U2
R' L' F' U R2 D' U2
R' L' F' U R2 D2 U2
L R' F' L2 U R2 U2
R' L' F' U' L D2 L2
R' L' F' U' L' D2 L2
L R' F' L2 U' D2 L2
R' L' F' U' L2 D2 L2
L R' F' L2 D B2 U'
L' R' F' U R2 U2 D
L' R' F' U R2 U2 D'
L' R' F' U R2 U2 D2
L' R' F' U R2 D U2
L' R' F' U R2 D' U2
L' R' F' U R2 D2 U2
L R' F' L2 D2 U' L2
R' L' F' U' D2 L2 D
R' L' F' U' D2 L2 D'
R' L' F' U' D2 L2 D2
L' R' F' U' L D2 L2
L' R' F' U' L' D2 L2
L' R' F' U' L2 D2 L2
L' R' F' U' D2 L2 D
L' R' F' U' D2 L2 D'
L' R' F' U' D2 L2 D2
R' L' F' U2 D' F2 U
L' R' F' U2 D' F2 U
R' L' F' D B2 U' D
R' L' F' D B2 U' D'
R' L' F' D B2 U' D2
R' L' F' D B2 D U'
R' L' F' D B2 D' U'
R' L' F' D B2 D2 U'
R' L' F' D' U2 F2 U
L' R' F' D B2 U' D
L' R' F' D B2 U' D'
L' R' F' D B2 U' D2
L' R' F' D B2 D U'
L' R' F' D B2 D' U'
L' R' F' D B2 D2 U'
L' R' F' D' U2 F2 U
R' L' F' D2 U' L2 D
R' L' F' D2 U' L2 D'
R' L' F' D2 U' L2 D2
R' L' F' D2 B U' L2
R' L' F' D2 B' U' L2
R' L' F' D2 B2 U' L2
L' R' F' D2 U' L2 D
L' R' F' D2 U' L2 D'
L' R' F' D2 U' L2 D2
R' L' F' B U R2 U2
R' L' F' B U' D2 L2
L' R' F' D2 B U' L2
L' R' F' D2 B' U' L2
R' L' F' B D B2 U'
L' R' F' D2 B2 U' L2
R' L' F' B D2 U' L2
L' R' F' B U R2 U2
R' L' F' B' U R2 U2
L' R' F' B U' D2 L2
R' L' F' B' U' D2 L2
L' R' F' B D B2 U'
R' L' F' B' D B2 U'
L2 R' F' D L B2 U'
