L2 R U F L' B
L2 R U F B L'
L2 R U B F L'
R L2 U F L' B
R L2 U F B L'
R L2 U B F L'
R U L2 F L' B
R U L2 F B L'
R U L2 B F L'
R' U' F' R B' U2
R' U' F' B' R U2
R' U' B' F' R U2
L' R U L' F L' B
L' R U L' F B L'
L' R U L' B F L'
L' R U F L' F B
L' R U F L' B F
L' R U F B L' F
L' R U B L' F L'
L2 R U F L B L2
L2 R U F L' D B
L2 R U F L' D' B
L2 R U F L' D2 B
L2 R U F L' B D
L2 R U F L' B D'
L2 R U F L' B D2
L2 R U F D L' B
L2 R U F D B L'
L2 R U F D' L' B
L' R U B F L' F
L2 R U F D' B L'
L2 R U F D2 L' B
L2 R U F D2 B L'
L2 R U F B L' D
L2 R U F B L' D'
L2 R U F B L' D2
L2 R U F B D L'
L2 R U F B D' L'
L2 R U F B D2 L'
L2 R U F B' L' B2
L2 R U B F L' D
L2 R U B F L' D'
L2 R U B F L' D2
L2 R U B F D L'
L2 R U B F D' L'
L2 R U B F D2 L'
L2 R U B' F L' B2
L' R F U L' F B
L' R F U L' B F
L' R F U B L' F
L2 R F' U F2 L' B
L2 R F' U F2 B L'
L2 R F' U B F2 L'
R L' U L' F L' B
R L' U L' F B L'
R L' U L' B F L'
L2 R' U F L' D2 B2
L2 R' U F D2 L' B2
L2 R' U F D2 B2 L'
R L' U F L' F B
R L' U F L' B F
R L' U F B L' F
R L' U B L' F L'
R L' U B F L' F
L2 R' U' F' R U2 F2
L2 R' U' F' U2 F2 L'
R L' F U L' F B
R L' F U L' B F
R L' F U B L' F
U2 L' U' F B' L' F
U2 L' U' B' L' F L'
U2 L' U' B' F L' F
R' L2 U F L' D2 B2
R' L2 U F D2 L' B2
R' L2 U F D2 B2 L'
R L2 U F L B L2
R L2 U F L' D B
R L2 U F L' D' B
R L2 U F L' D2 B
R L2 U F L' B D
R L2 U F L' B D'
R L2 U F L' B D2
R L2 U F D L' B
R L2 U F D B L'
R L2 U F D' L' B
R L2 U F D' B L'
R L2 U F D2 L' B
R L2 U F D2 B L'
R L2 U F B L' D
R L2 U F B L' D'
R L2 U F B L' D2
R L2 U F B D L'
R L2 U F B D' L'
R L2 U F B D2 L'
R L2 U F B' L' B2
R L2 U B F L' D
R L2 U B F L' D'
R L2 U B F L' D2
R L2 U B F D L'
R L2 U B F D' L'
R L2 U B F D2 L'
R L2 U B' F L' B2
R' L2 U' F' R U2 F2
R' L2 U' F' U2 F2 L'
D' L2 R U F B L
D' L2 R U B F L
F L2 R U F L B
D L2 R F' U F2 B
D L2 R F' U B F2
R L2 F' U F2 L' B
R L2 F' U F2 B L'
R L2 F' U B F2 L'
U2 L2 U' F L B' L2
R U L B L F L'
R U L' F L' F B
R U L' F L' B F
R U L' F B L' F
U L2 F L' U R U'
R U L' B L' F L'
R' U L2 F L' D2 B2
R' U L2 F D2 L' B2
R U L' B F L' F
R' U L2 F D2 B2 L'
U L2 F U R U' L'
R U L2 F L B L2
R U L2 F L' D B
R U L2 F L' D' B
R U L2 F L' D2 B
R U L2 F L' B D
R U L2 F L' B D'
R U L2 F L' B D2
R U L2 F D L' B
R U L2 F D B L'
R U L2 F D' L' B
R U L2 F D' B L'
R U L2 F D2 L' B
R U L2 F D2 B L'
R U L2 F B L' D
R U L2 F B L' D'
R U L2 F B L' D2
R U L2 F B D L'
R U L2 F B D' L'
R U L2 F B D2 L'
R U L2 F B' L' B2
R U L2 B F L' D
R U L2 B F L' D'
R U L2 B F L' D2
R U L2 B F D L'
R U L2 B F D' L'
R U L2 B F D2 L'
R U L2 B' F L' B2
R2 U D2 L B' L F
L2 U F L' U R U'
D' R L2 U F B L
D' R L2 U B F L
L2 U F U R U' L'
R U F L2 F L B
F R L2 U F L B
D R L2 F' U F2 B
D R L2 F' U B F2
R U F B L' D2 F2
R U F B D2 L' F2
R' U F' B' R U2 R'
F R U L2 F L B
R U F' B D2 F2 L'
F R U B L' D2 F2
F R U B D2 L' F2
D2 R U' B' U2 L B2
F R U' B' U2 L' B2
F R U' B' U2 B2 L'
R U B F L' D2 F2
R U B F D2 L' F2
R U B F' D2 F2 L'
R' U B' F' R U2 R'
D R F' L2 U F B
D R F' L2 U B F
D R F' U B D2 F2
D R F' U' B' U2 B2
R2 U' R F' R B' U2
R2 U' R F' B' R U2
R2 U' R B' F' R U2
F' R B' U B U B
R U' R2 F' R B' U2
R U' R2 F' B' R U2
R U' R2 B' F' R U2
R' U' D2 F' B' U2 L
R' U' D2 B' F' U2 L
R2 U' D2 B' U2 L B'
R U' D2 B' U2 L B2
R' U' F' R D B' U2
R' U' F' R D' B' U2
R' U' F' R D2 B' U2
R' U' F' R B' U2 D
R' U' F' R B' U2 D'
R' U' F' R B' U2 D2
R' U' F' R B' D U2
R' U' F' R B' D' U2
R' U' F' R B' D2 U2
R' U' F' R' B' R2 U2
R' U' F' D R B' U2
R' U' F' D B' R U2
R' U' F' D' R B' U2
R' U' F' D' B' R U2
R' U' F' D2 R B' U2
R' U' F' D2 B' R U2
R' U' F' B R B2 U2
R' U' F' B' R U2 D
R' U' F' B' R U2 D'
R' U' F' B' R U2 D2
R' U' F' B' R D U2
R' U' F' B' R D' U2
R' U' F' B' R D2 U2
R' U' F' B' D R U2
R' U' F' B' D' R U2
R' U' F' B' D2 R U2
R2 U' F' R F' B' U2
R2 U' F' R B' F' U2
R U' F B' U2 L' B2
R U' F B' U2 B2 L'
R2 U' F' B' R F' U2
R U' F' B' R U2 B2
F' R' U' R2 B' U2 B2
D2 R' U' F' B' U2 L
F' R' U' F' R2 B' U2
F' R' U' F' B' R2 U2
D2 R' U' B' F' U2 L
F' R' U' B' R2 U2 B
F' R' U' B' F' R2 U2
R' U' B F' R B2 U2
R' U' B' F' R U2 D
R' U' B' F' R U2 D'
R' U' B' F' R U2 D2
R' U' B' F' R D U2
R' U' B' F' R D' U2
R' U' B' F' R D2 U2
R' U' B' F' D R U2
R' U' B' F' D' R U2
R' U' B' F' D2 R U2
R2 U' B' R F' R U2
