B2 L' R' U' F
B2 L' R' U' F
B2 R' L' U' F
B2 L R' U B' U2
U2 L U D L2 F
U2 L D U L2 F
B2 L' R' U' D F
B2 L' R' U' D' F
B2 L' R' U' D' F
B2 L' R' U' D2 F
B2 L' R' U' F D
B2 L' R' U' F D'
B2 L' R' U' F D2
B2 L' R' D U' F
B2 L' R' D' U' F
B2 L' R' D2 U' F
B2 L' D R' U' F
U' L' D F L2 B'
B2 L' D' R' U' F
B2 L' D2 R' U' F
B L' B R' U' F
L' U' D F L2 B'
B2 R' L U B' U2
B2 R' L' U' D F
B2 R' L' U' D' F
B2 R' L' U' D2 F
B2 R' L' U' F D
B2 R' L' U' F D'
B2 R' L' U' F D2
B2 R' L' D U' F
B2 R' L' D' U' F
B2 R' L' D2 U' F
B2 R' U' L' F L
B2 R2 D2 R U' F'
L' D U' F L2 B'
B' D' B' L R' U'
B' D' B' R' L U'
B2 D2 R' U B U2
R' B2 L' R' U' F
R2 B2 L' R' U' F
R' B2 R' L' U' F
R2 B2 R' L' U' F
L' B2 U' D' F B2
L' B2 U' D' B2 F
R B2 L' R' U' F
L' B2 U' F D' B2
L B2 U B U2 B'
L' B2 D' U' F B2
L' B2 D' U' B2 F
R B2 R' L' U' F
L' B2 D2 R2 U' F
U2 L R U D L2 F
U2 L R D U L2 F
U2 L R' U D L2 F
B2 L R' U D B' U2
B2 L R' U D' B' U2
B2 L R' U D2 B' U2
B2 L R' U B' U2 D
B2 L R' U B' U2 D'
B2 L R' U B' U2 D2
B2 L R' U B' D U2
B2 L R' U B' D' U2
B2 L R' U B' D2 U2
B2 L R' U' L2 F L2
U2 L R' D U L2 F
B2 L R' D L2 U' F
B2 L R' D U B' U2
B2 L R' D' L2 U' F
B2 L R' D' U B' U2
B2 L R' D2 L2 U' F
B2 L R' D2 U B' U2
L' R U' D F L2 B'
U2 L R2 U D L2 F
U2 L R2 D U L2 F
U2 L U L2 D F L2
U2 L U L2 F D L2
U2 L U D L2 D F
U2 L U D L2 D' F
U2 L U D L2 D2 F
U2 L U D L2 F D
U2 L U D L2 F D'
U2 L U D L2 F D2
U2 L U D F L2 F
U2 L U D F' L2 F
U2 L U D F2 L2 F
F2 L U D L2 R2 F
F2 L U D L2 F R2
F2 L U D R2 L2 F
U2 L U F D L2 F
U2 L U F' D L2 F
U2 L U F2 D L2 F
L' R D U' F L2 B'
B' L U B' R' F' U2
U2 L U' D B' U2 L2
U2 L U' D' R2 B' U2
U2 L U' D' B' R2 U2
U2 L U' B' U' B' U'
U2 L U2 L2 B2 U' F
U2 L U2 B2 U B U2
B2 L D L2 R' U' F
U' L D L2 D' F B2
U' L D L2 D' B2 F
U' L D L2 F D' B2
U2 L D R U L2 F
U2 L D R' U L2 F
B2 L D R' L2 U' F
B2 L D R' U B' U2
U2 L D R2 U L2 F
U2 L D U L2 D F
U2 L D U L2 D' F
U2 L D U L2 D2 F
U2 L D U L2 F D
U2 L D U L2 F D'
U2 L D U L2 F D2
U2 L D U F L2 F
F2 L D U L2 R2 F
F2 L D U L2 F R2
U2 L D U F' L2 F
U2 L D U F2 L2 F
F2 L D U R2 L2 F
U2 L D U' B' U2 L2
U2 L D F U L2 F
U2 L D F' U L2 F
U2 L D F2 U L2 F
B2 L D' L2 R' U' F
B2 L D' R' L2 U' F
B2 L D' R' U B' U2
U2 L D' U' R2 B' U2
U2 L D' U' B' R2 U2
B2 L D2 L2 R' U' F
B2 L D2 R' L2 U' F
B2 L D2 R' U B' U2
U2 L D2 F2 U' B' U2
U2 L F U D L2 F
U2 L F D U L2 F
U2 L F' U D L2 F
U2 L F' D U L2 F
U2 L F2 U D L2 F
U2 L F2 D U L2 F
R' L B2 U B U2 B'
L' R B2 U' D' F B2
L' R B2 U' D' B2 F
L' R B2 U' F D' B2
L R B2 U B U2 B'
R2 L B2 U B U2 B'
L' R B2 D' U' F B2
L' R B2 D' U' B2 F
R L B2 U B U2 B'
L' R B2 D2 R2 U' F
B L B R' U B2 U2
B L B R' U' D2 F2
B L B R' D L2 U'
B L B R' D2 U' F2
B L B D L2 R' U'
B L B D R' L2 U'
B L B D2 R' U' F2
R' L' U' D F L2 B'
L' R' U' D F L2 B'
R2 L' U' D F L2 B'
R L' U' D F L2 B'
B2 L' R U' D F B2
B2 L' R U' D B2 F
B2 L' R U' F D B2
B2 L' R D U' F B2
B2 L' R D U' B2 F
R' L' D U' F L2 B'
L' R' D U' F L2 B'
B2 L' R' U B U2 F
B2 L' R' U B' U2 F
R2 L' D U' F L2 B'
B2 L' R' U B2 U2 F
B2 L' R' U' R F R'
B2 L' R' U' R2 F R2
B2 L' R' U' D F D
B2 L' R' U' D F D'
B2 L' R' U' D F D2
B2 L' R' U' D' F D
B2 L' R' U' D' F D'
B2 L' R' U' D' F D2
B2 L' R' U' D2 F D
B2 L' R' U' D2 F D'
B2 L' R' U' D2 F D2
B2 L' R' U' F2 D F'
B2 L' R' U' F2 D' F'
B2 L' R' U' F2 D2 F'
B2 L' R' U2 R U F
B2 L' R' U2 R' U F
B2 L' R' U2 R2 U F
R L' D U' F L2 B'
B2 L' R' D U' F D
B2 L' R' D U' F D'
B2 L' R' D U' F D2
B2 L' R' D' U' F D
B2 L' R' D' U' F D'
B2 L' R' D' U' F D2
B2 L' R' D2 U' F D
B2 L' R' D2 U' F D'
B2 L' R' D2 U' F D2
B2 L' R2 D R U' F
B2 L' R2 D' R U' F
B2 L' R2 D2 R U' F
U2 L' U D F L2 B'
B' L' U' D F L' B'
D L' U' D' L' F B2
D L' U' D' L' B2 F
D L' U' D' B2 L' F
B2 L' U' F U R' U'
B2 L' D R' U' D F
B2 L' D R' U' D' F
B2 L' D R' U' D2 F
B2 L' D R' U' F D
B2 L' D R' U' F D'
B2 L' D R' U' F D2
B2 L' D R' D U' F
B2 L' D R' D' U' F
B2 L' D R' D2 U' F
F2 L' D R2 F L2 B'
B' L' D U' F L' B'
U2 L' D U F L2 B'
U' L' D F L2 D B'
U' L' D F L2 D' B'
U' L' D F L2 D2 B'
U' L' D F L2 B' D
U' L' D F L2 B' D'
U' L' D F L2 B' D2
F2 L' D F L2 R2 B'
F2 L' D F L2 B' R2
F2 L' D F R2 L2 B'
U' L' D F B L2 B'
U' L' D F B' L2 B'
U' L' D F B2 L2 B'
U' L' D B F L2 B'
U' L' D B' F L2 B'
U' L' D B2 F L2 B'
B2 L' D' R' U' D F
B2 L' D' R' U' D' F
B2 L' D' R' U' D2 F
B2 L' D' R' U' F D
B2 L' D' R' U' F D'
B2 L' D' R' U' F D2
B2 L' D' R' D U' F
B2 L' D' R' D' U' F
B2 L' D' R' D2 U' F
D L' D' U' L' F B2
D L' D' U' L' B2 F
U' L' D' F B2 D2 L2
D L' D' U' B2 L' F
U' L' D' B2 D2 F L2
U' L' D' B2 F D2 L2
B2 L' D2 R' U' D F
B2 L' D2 R' U' D' F
B2 L' D2 R' U' D2 F
B2 L' D2 R' U' F D
B2 L' D2 R' U' F D'
B2 L' D2 R' U' F D2
B2 L' D2 R' D U' F
B2 L' D2 R' D' U' F
B2 L' D2 R' D2 U' F
R' L' B2 U' D' F B2
R' L' B2 U' D' B2 F
R' L' B2 U' F D' B2
L' R' B2 U' D' F B2
L' R' B2 U' D' B2 F
L' R' B2 U' F D' B2
R' L' B2 D' U' F B2
R' L' B2 D' U' B2 F
L' R' B2 D' U' F B2
L' R' B2 D' U' B2 F
R' L' B2 D2 R2 U' F
L' R' B2 D2 R2 U' F
L R' B2 U B U2 B'
R2 L' B2 U' D' F B2
R2 L' B2 U' D' B2 F
R2 L' B2 U' F D' B2
U' L' F D L2 D2 B2
U' L' F D' B2 D2 L2
R L' B2 U' D' F B2
R L' B2 U' D' B2 F
R L' B2 U' F D' B2
R2 L' B2 D' U' F B2
R2 L' B2 D' U' B2 F
R2 L' B2 D2 R2 U' F
R L' B2 D' U' F B2
R L' B2 D' U' B2 F
R L' B2 D2 R2 U' F
B2 L' F' R' F U' F
L' R2 U' D F L2 B'
B L' B R' U' D F
B L' B R' U' D' F
B L' B R' U' D2 F
B L' B R' U' F D
B L' B R' U' F D'
B L' B R' U' F D2
B L' B R' D U' F
B L' B R' D' U' F
B L' B R' D2 U' F
B L' B D R' U' F
B L' B D' R' U' F
B L' B D2 R' U' F
L' R2 D U' F L2 B'
B2 L2 R' U2 R' U F'
B2 L2 R' D L U' F
B2 L2 R' D' L U' F
B2 L2 R' D2 L U' F
B2 L2 D L R' U' F
B2 L2 D R' L U' F
L' R2 B2 U' D' F B2
L' R2 B2 U' D' B2 F
L' R2 B2 U' F D' B2
L' R2 B2 D' U' F B2
L' R2 B2 D' U' B2 F
L' R2 B2 D2 R2 U' F
B2 L2 D' L R' U' F
L R2 B2 U B U2 B'
B2 L2 D' R' L U' F
B2 L2 D2 L R' U' F
B2 L2 D2 R' L U' F
B L2 B L R' U' F
B L2 B R' L U' F
L' U D F2 U2 L2 F'
L' U D F2 U2 F' L2
L U D L2 D2 R2 F
L U D L2 D2 F R2
L U D L2 F D2 R2
L' U D' R2 U2 F B2
L' U D' R2 U2 B2 F
L U D B' U2 L2 B
L U D B' U2 B L2
U2 R L U D L2 F
L U D' R2 B' U2 B
U2 R L D U L2 F
L U D' B' R2 F' U2
B2 R L' U' D F B2
B2 R L' U' D B2 F
B2 R L' U' F D B2
B2 R L' D U' F B2
B2 R L' D U' B2 F
D2 R U2 L F2 U F
L U B' U' B' U' B2
L U B' U2 B D L2
B' R D' B' L R' U'
B' R D' B' R' L U'
R' U' L' D F L2 B'
R2 U' L' D F L2 B'
R U' L' D F L2 B'
B' R B' L' R' U' F
B' R B' R' L' U' F
L' U' D F L2 D B'
L' U' D F L2 D' B'
L' U' D F L2 D2 B'
L' U' D F L2 B' D
L' U' D F L2 B' D'
L' U' D F L2 B' D2
L' U' D F B L2 B'
L' U' D F B' L2 B'
L' U' D F B2 L2 B'
L' U' D B F L2 B'
L' U' D B' F L2 B'
L' U' D B2 F L2 B'
L U' D F' L2 F B'
L U' D F' L2 B' F
L' U' D' F B2 D2 L2
L' U' D' B2 D2 F L2
L' U' D' B2 F D2 L2
B2 R' L U D B' U2
B2 R' L U D' B' U2
B2 R' L U D2 B' U2
B2 R' L U B' U2 D
B2 R' L U B' U2 D'
B2 R' L U B' U2 D2
B2 R' L U B' D U2
B2 R' L U B' D' U2
B2 R' L U B' D2 U2
B2 R' L U' L2 F L2
U2 R' L U D L2 F
B2 R' L D L2 U' F
L U' D' R2 B' U2 R2
B2 R' L D U B' U2
B2 R' L D' L2 U' F
B2 R' L D' U B' U2
B2 R' L D2 L2 U' F
U2 R' L D U L2 F
B2 R' L D2 U B' U2
L U' D' B' R2 U2 R2
B2 R' L' U B U2 F
B2 R' L' U B' U2 F
B2 R' L' U B2 U2 F
B2 R' L' U' R F R'
B2 R' L' U' R2 F R2
B2 R' L' U' D F D
B2 R' L' U' D F D'
B2 R' L' U' D F D2
B2 R' L' U' D' F D
B2 R' L' U' D' F D'
B2 R' L' U' D' F D2
B2 R' L' U' D2 F D
B2 R' L' U' D2 F D'
B2 R' L' U' D2 F D2
B2 R' L' U' F2 D F'
B2 R' L' U' F2 D' F'
B2 R' L' U' F2 D2 F'
B2 R' L' U2 R U F
B2 R' L' U2 R' U F
B2 R' L' U2 R2 U F
B2 R' L' D U' F D
B2 R' L' D U' F D'
B2 R' L' D U' F D2
B2 R' L' D' U' F D
B2 R' L' D' U' F D'
B2 R' L' D' U' F D2
B2 R' L' D2 U' F D
B2 R' L' D2 U' F D'
B2 R' L' D2 U' F D2
L' U' F D L2 D2 B2
L' U' F D' B2 D2 L2
B2 R' L2 U2 R' U F'
B2 R' L2 D L U' F
B2 R' L2 D' L U' F
B2 R' L2 D2 L U' F
B2 R' U L B' L' U2
L U' F' D L2 F B'
L U' F' D L2 B' F
B2 R' U' L' D F L
B2 R' U' L' D' F L
B2 R' U' L' D2 F L
B2 R' U' L' F L D
B2 R' U' L' F L D'
B2 R' U' L' F L D2
B2 R' U' L' F D L
B2 R' U' L' F D' L
B2 R' U' L' F D2 L
B2 R' U' L' F' L F2
B2 R' U' L' F2 L F'
B2 R' U' R' D2 R F'
B2 R' U' D2 R F' R'
B2 R' U' F L' F L
B2 R' U' F' L' F L
B2 R' U' F2 L' F L
B2 R' U2 D2 R U F'
B2 R' D F L' F' U'
R' U2 L U D L2 F
R' U2 L D U L2 F
B' R' D' B' L R' U'
B' R' D' B' R' L U'
B2 R' D' B' L B U'
R2 U2 L U D L2 F
R2 U2 L D U L2 F
R U2 L U D L2 F
B2 R' D2 U' R F' R'
B2 R' D2 U2 R U F'
R U2 L D U L2 F
B2 R' F L' F' U' F2
L' U2 L2 U D L2 F
L' U2 L2 D U L2 F
B2 R' F' L' U' F R
B2 R' F' D F L' U'
B2 R' F2 L' F2 U' F'
B2 R' B D' B' L U'
B' R' B' L' R' U' F
B' R' B' R' L' U' F
B2 R' B' L' B U' F
D' R' B2 R' U' L F
B2 R' B2 L' B2 U' F
U2 R2 L U D L2 F
U2 R2 L D U L2 F
B2 R2 L' D R U' F
B2 R2 L' D' R U' F
B2 R2 L' D2 R U' F
D2 R2 U2 L F2 U F'
D2 R2 U2 F2 L U F
B' R2 D' B' L R' U'
B' R2 D' B' R' L U'
L U2 B2 U' D' R2 F'
B2 R2 D2 L R U' F'
B2 R2 D2 L' R U' F'
L U2 B2 D' U' R2 F'
B2 R2 D2 L2 R U' F'
B2 R2 D2 R L U' F'
B2 R2 D2 R L' U' F'
B2 R2 D2 R L2 U' F'
B2 R2 D2 R U' D F'
B2 R2 D2 R U' D' F'
B2 R2 D2 R U' D2 F'
B2 R2 D2 R U' F' D
B2 R2 D2 R U' F' D'
B2 R2 D2 R U' F' D2
B2 R2 D2 R D U' F'
B2 R2 D2 R D' U' F'
B2 R2 D2 R D2 U' F'
D2 R2 D2 B2 R' U' F'
L' D R U' F L2 B'
L' D R' U' F L2 B'
L' D R2 U' F L2 B'
B' R2 B' L' R' U' F
B' R2 B' R' L' U' F
L' D U F2 U2 L2 F'
L' D U F2 U2 F' L2
L' D U' F L2 D B'
L' D U' F L2 D' B'
L' D U' F L2 D2 B'
L' D U' F L2 B' D
L' D U' F L2 B' D'
L' D U' F L2 B' D2
L' D U' F B L2 B'
L' D U' F B' L2 B'
L' D U' F B2 L2 B'
L D U L2 D2 R2 F
L D U L2 D2 F R2
L D U L2 F D2 R2
L' D U' B F L2 B'
L' D U' B' F L2 B'
L' D U' B2 F L2 B'
L D U B' U2 L2 B
L D U B' U2 B L2
D2 U L F2 U R F'
L D U' F' L2 F B'
L D U' F' L2 B' F
U2 D L F' R U L
U2 D L F2 U L F
U' D L' D' L' F B2
U' D L' D' L' B2 F
U' D L' D' B2 L' F
L' D B U' F L2 B'
L' D B' U' F L2 B'
L' D B2 U' F L2 B'
U2 D F' L R U L
U2 D F' R L U L
U2 D F2 L U L F
L' D' R' U' F B2 L
L' D' R' U' B2 F L
L' D' U R2 U2 F B2
L' D' U R2 U2 B2 F
L' D' U' F B2 D2 L2
D U' L' D' L' F B2
D U' L' D' L' B2 F
D U' L' D' B2 L' F
L' D' U' B2 D2 F L2
L' D' U' B2 F D2 L2
L D' U R2 B' U2 B
L D' U B' R2 F' U2
L D' U' R2 B' U2 R2
B' U' L' D F B' L'
B' U' L' D B' F L'
