F' R U B R' U L'
F R F2 U B R' U
R U' B L R' F' U
R U' B R' L F' U
R U' B R' F' L U
D' R2 D B R' F' L'
R2 D F' L' F B R'
R2 D F' L' B R' F
R2 D F' L' B F R'
R2 D F' B L' R' F
R2 D F' B L' F R'
R2 D F' B R' L' F
R2 D B R' F' L' F
R2 D B F' L' R' F
R2 D B F' L' F R'
R2 D B F' R' L' F
R' D' F' R U' L' F'
R2 D' F' L' B R F'
R2 D' F' B L' R F'
R2 D' F' B R L' F'
R2 D' B R F' L' R
R2 D' B R F' R L'
R2 D' B F' L' R F'
R2 D' B F' R L' F'
F' U' B' L U' L2 R'
F' U' B' L U' R' L2
U F' L' U' B' L U'
R2 F' D L' F B R'
R2 F' D L' B R' F
R2 F' D L' B F R'
R2 F' D B L' R' F
R2 F' D B L' F R'
R2 F' D B R' L' F
R2 B U' R' F' B U
R2 B U' R' B F' U
