U' R' F2 U' F'
R' F2 U' L' F'
R' L F2 U' L' F
L R' F2 U' L' F
U2 R D R2 F B2
U2 R D R2 B2 F
U2 R D F R2 B2
U2 R D F B2 R2
U2 R D B2 R2 F
U2 R D B2 F R2
F2 R' U R U2 F'
U' R' U' D R2 F
U' R' U' D F R2
U' R' D U' R2 F
U' R' D U' F R2
U' R' F2 L U' F'
U' R' F2 L' U' F'
U' R' F2 L2 U' F'
U' R' F2 U' D F'
U' R' F2 U' D' F'
U' R' F2 U' D2 F'
U' R' F2 U' F' D
U' R' F2 U' F' D'
U' R' F2 U' F' D2
U' R' F2 D U' F'
U' R' F2 D' U' F'
U' R' F2 D2 U' F'
R D F B2 L R2
R D F B2 R2 L
U' D R' U' R' F
U' D R' U' F R'
R D B2 R2 F L
R D B2 F L R2
R D B2 F R2 L
D U' R' U' R' F
D U' R' U' F R'
F2 U' R' U' R F'
U' F R' F U' F'
U2 F U R' F U'
U2 F U F R' U'
R' F2 L U' L2 F'
R' F2 L U' F' L2
R' F2 L2 U' L F'
R' F2 L2 U' F' L
R' F2 U' L F' L2
R' F2 U' L' D F'
R' F2 U' L' D' F'
R' F2 U' L' D2 F'
R' F2 U' L' F' D
R' F2 U' L' F' D'
R' F2 U' L' F' D2
R' F2 U' L2 F' L
R' F2 U' D L' F'
R' F2 U' D' L' F'
R' F2 U' D2 L' F'
R' F2 D U' L' F'
R' F2 D' U' L' F'
R' F2 D2 U' L' F'
R' F2 B U' L' F'
R' F2 B' U' L' F'
R' F2 B2 U' L' F'
R' B F2 U' L' F'
R' B' F2 U' L' F'
R' B2 F2 U' L' F'
F2 L R' U R U2 F'
U' L R' F2 L' U' F
L' R D B2 L R2 F
L' R D B2 L F R2
L' R D B2 R2 L F
F2 L U' R' U' R F'
L2 R D B2 L R2 F'
L2 R D B2 R2 L F'
L2 R D B2 R2 F' L
R' L F2 L U' L2 F
R' L F2 U' L' D F
R' L F2 U' L' D' F
R' L F2 U' L' D2 F
R' L F2 U' L' F D
R' L F2 U' L' F D'
R' L F2 U' L' F D2
R' L F2 B U' L' F
R' L F2 B' U' L' F
R' L F2 B2 U' L' F
R' L B F2 U' L' F
U' L F2 L' R' U' F
R' L B' F2 U' L' F
U' L F2 R' L' U' F
R' L B2 F2 U' L' F
F2 L' R' U R U2 F'
U' L' R' F2 L U' F
R L' D B2 L R2 F
R L' D B2 L F R2
R L' D B2 R2 L F
F2 L' U' R' U' R F'
D L' U' R' U' R' F'
U L' U2 R' F2 U' F
R' L' F2 L U' F L2
L' R' F2 L U' F L2
L R' F2 L U' L2 F
U L' U2 F2 R' U' F'
L2 R' F2 L2 U' F L
L2 R' F2 U B' U2 L'
L2 R' F2 U' L2 F L
L R' F2 U' L' D F
L R' F2 U' L' D' F
L R' F2 U' L' D2 F
L R' F2 U' L' F D
L R' F2 U' L' F D'
L R' F2 U' L' F D2
L R' F2 B U' L' F
L R' F2 B' U' L' F
L R' F2 B2 U' L' F
L R' B F2 U' L' F
L R' B' F2 U' L' F
U L' D2 B2 L U F
L R' B2 F2 U' L' F
U' L' F2 L R' U' F
U' L' F2 R' L U' F
R L2 D B2 L R2 F'
R L2 D B2 R2 L F'
R L2 D B2 R2 F' L
F2 L2 R' U R U2 F'
U' L2 R' F2 L2 U' F
U' L2 R' F2 U B' U2
U2 L2 R' F2 U' L2 F
R' L2 F2 L2 U' F L
R' L2 F2 U B' U2 L'
R' L2 F2 U' L2 F L
D' L2 U' L2 R' U' F
D' L2 U' R' L2 U' F
D' L2 U' R' U B' U2
F2 L2 U' R' U' R F'
R' U R U' F2 U' F'
R' U R U2 D R2 F
R' U R U2 D F R2
R' U R D U2 R2 F
R' U R D U2 F R2
R' U R D' L2 B' U2
U' L2 F2 L2 R' U' F
U' L2 F2 R' L2 U' F
U' L2 F2 R' U B' U2
U2 L2 F2 R' U' L2 F
R2 U R F2 U' L' F'
D2 L2 B' U B' L U
R' U D R U2 R F
B2 L2 B' U' F2 R U'
B L2 B' U' R' F2 U'
R U R2 F2 U' L' F'
B L2 B' U' F2 R' U'
R' U D' L2 R B' U2
R' U D' L2 B' R U2
R' U D' R L2 B' U2
R U D F B2 L R2
R U D F B2 R2 L
R U D B2 R2 F L
R U D B2 F L R2
R U D B2 F R2 L
U2 R U R2 F2 U' F'
U R U D R2 F B2
U R U D R2 B2 F
U R U D F R2 B2
U R U D F B2 R2
U R U D B2 R2 F
U R U D B2 F R2
U' R U' D R2 F B2
U' R U' D R2 B2 F
U' R U' D F R2 B2
U' R U' D F B2 R2
U' R U' D B2 R2 F
U' R U' D B2 F R2
U R U2 R2 F2 U' F'
U' R D U' R2 F B2
U' R D U' R2 B2 F
U' R D U' F R2 B2
U' R D U' F B2 R2
U2 R D R B2 R F
U' R D U' B2 R2 F
U' R D U' B2 F R2
U2 R D R' F R' B2
U2 R D R2 F B2 D
U2 R D R2 F B2 D'
U2 R D R2 F B2 D2
U2 R D R2 B2 D F
U2 R D R2 B2 D' F
U2 R D R2 B2 D2 F
U2 R D R2 B2 F D
U2 R D R2 B2 F D'
U2 R D R2 B2 F D2
U2 R D F R B2 R
U2 R D F R2 B2 D
U2 R D F R2 B2 D'
U2 R D F R2 B2 D2
U2 R D F B' R2 B'
U2 R D F B2 R2 D
U2 R D F B2 R2 D'
U2 R D F B2 R2 D2
U2 R D F' R2 F2 B2
U2 R D F' R2 B2 F2
U2 R D F' B2 R2 F2
U2 R D B' R2 F B'
U2 R D B' R2 B' F
U2 R D B' F R2 B'
U R D U R2 F B2
U R D U R2 B2 F
