L2 F L' U' R B'
L2 F L' U' B' R
F2 L U' R' F' R B'
F L U' R D F2 B'
F L U' R D B' F2
F2 L U' R' F' B' R
F2 L U' R' B' F' R
F L U' R B' D F2
F L U' D R F2 B'
F L U' D R B' F2
F L U' D B' R F2
F2 L U' B' R' F' R
F L U' B' R D F2
F L U' B' D R F2
L2 R F L' U' R B'
L2 R F L' U' B' R
F L D U' R F2 B'
F L D U' R B' F2
F L D U' B' R F2
F L' R' U F U2 R2
F L' R' F2 U' R2 B
F L' R2 U F U2 R'
F L' U L' U2 R B
F L' U L2 U2 R B'
F L' U L2 U2 B' R
F2 L' U F L' B' U2
F L' U F2 L' F' U2
L2 R' F L' U' R B'
L2 R' F L' U' B' R
F L' U' L2 R B' L2
F L' U' L2 B' L2 R
F L' U' L2 B' R L2
F L' U' R L2 B' L2
F L' U' R U2 F U2
F L' U2 L2 U R B'
F L' U2 L2 U B' R
F L' F2 U L' F' U2
R' L2 F L' U' R B'
R' L2 F L' U' B' R
L2 R2 F L' U' R B'
L2 R2 F L' U' B' R
R2 L2 F L' U' R B'
R2 L2 F L' U' B' R
R L2 F L' U' R B'
R L2 F L' U' B' R
F2 L2 F' L' U' R B'
F2 L2 F' L' U' B' R
F' R U L' F U2 F'
F' R U' L' F U2 L
F R' L' U F U2 R2
F R' L' F2 U' R2 B
F R2 L' U F U2 R'
F R2 D2 L' U' R' B
F2 U L' F B' L' U2
F2 U L' B' F L' U2
L D F U' R F' B'
L D F U' R B' F'
L D F U' B' R F'
F2 U F L' F B' U2
F2 U F L' B' F U2
F2 U' D2 R' F' B R'
F2 U' D2 R' B F' R'
F2 U' D2 B R' F' B
F2 U' D2 B R' B F'
F' U2 R U' L' F U2
L2 F L' R' U' R2 B'
L2 F L' R' U' B' R2
L2 F L' R2 U' R' B'
L2 F L' U' R D B'
L2 F L' U' R D' B'
L2 F L' U' R D2 B'
L2 F L' U' R B' D
L2 F L' U' R B' D'
L2 F L' U' R B' D2
L2 F L' U' R' B' R2
L2 F L' U' D R B'
L2 F L' U' D B' R
L2 F L' U' D' R B'
L2 F L' U' D' B' R
L2 F L' U' D2 R B'
L2 F L' U' D2 B' R
L2 F L' U' B R B2
L2 F L' U' B' R D
L2 F L' U' B' R D'
L2 F L' U' B' R D2
L2 F L' U' B' D R
L2 F L' U' B' D' R
L2 F L' U' B' D2 R
L2 F L' D U' R B'
L2 F L' D U' B' R
L2 F L' D' U' R B'
L2 F L' D' U' B' R
L2 F L' D2 U' R B'
L2 F L' D2 U' B' R
L2 F R' L' U' R2 B'
L2 F R' L' U' B' R2
L2 F R2 L' U' R' B'
L' F U' L' U' L R
L' F U' L' U' R L
D F U2 L' U R F'
L2 F D L' U' R B'
L2 F D L' U' B' R
L2 F D' L' U' R B'
L2 F D' L' U' B' R
F2 D R F' L' R U'
F2 D R F' R L' U'
L2 F D2 L' U' R B'
L2 F D2 L' U' B' R
F2 D F' L' R F' U'
F2 D F' R L' F' U'
F' D F2 L' U' R B
D F' R U L' U2 F'
D F' R U' F2 R F
D F' R F2 U' R F
D F2 R U' F' R B
D F2 U' R F' B R
D F2 U' R B F' R
D F2 U' F' R F' B
D F2 U' F' R B F'
L F2 U' R' F' R B'
L F2 U' R' F' B' R
L F2 U' R' B' F' R
L F2 U' B' R' F' R
F D2 L' R' U' B R2
F D2 L' U' R' B R2
F2 D2 R' U' B R' F'
F D2 R' L' U' B R2
F2 D2 U' R' F' B R'
F2 D2 U' R' B F' R'
F2 D2 U' B R' F' B
F2 D2 U' B R' B F'
