L' F' U' B' L U'
L' R U' B' L R' U'
L' R U' B' R' L U'
R2 L' U' B' L U' B2
R L' U' B' L R' U'
R L' U' B' R' L U'
U' L' D F' U2 L' F
B' L' F' U' B' L2 U'
U' L' F' U2 D L' F
U' L' F' D U2 L' F
D L' F' U' B' U' F2
L' R2 U' B' L U' B2
F2 L2 D' R F' B' L
F2 L2 D' R B' L F'
F2 L2 D' R B' F' L
F2 L2 D' B' L R F'
F2 L2 D' B' R L F'
F2 L2 D' B' R F' L
L' U' R2 B' L U' B2
L' U' B' L R2 U' B
L' U' B' L U F' U2
L' U' B' R2 L U' B
L2 D L F' R B' U2
L2 D L F' B' R U2
L2 D L B' F' R U2
U' D L' F' U2 L' F2
L2 D F' L R B' U2
L2 D F' L B' R U2
L2 D F' R L B' U2
D U' L' F' U2 L' F2
B2 U' L' F' B' U2 L'
B2 U' L' B' F' U2 L'
L2 F' L U' B' L U'
L' F' R U' B' L U'
L' F' R' U' B' L U'
L' F' R2 U' B' L U'
L' F' U' B' L U' D
L' F' U' B' L U' D'
L' F' U' B' L U' D2
L' F' U' B' L D U'
L' F' U' B' L D' U'
L' F' U' B' L D2 U'
L' F' U' B' D L U'
L' F' U' B' D' L U'
L' F' U' B' D2 L U'
L' F' B U' B2 L U'
L' F' B' U' L U' L'
L' B F' U' B2 L U'
L' B' L U L' F' U2
L' B' F' U' L U' L'
