R2 L' F' L' U F R
L' R2 F' L' U F R
D2 L2 B U' F R B
F L2 B R F' U' F2
B' U' R F' B2 U' B'
B' U' R B2 F' U' B'
B' U' B2 R F' U' B
L2 F U B R F' U'
B D L2 U' R B R'
L2 F B R F' U' F
B D2 L' F R U' F
D B U B2 L F U2
D B U' R B R2 F'
B F R D L2 F' U'
B F R D F' L2 U'
B F R D2 F' U' F'
B F R F' U B2 U2
B F R F' U' D2 F2
B F R F' D L2 U'
B F R F' D2 U' F2
F B R D L2 F' U'
F B R D F' L2 U'
F B R D2 F' U' F'
F B R F' U B2 U2
F B R F' U' D2 F2
F B R F' D L2 U'
L2 B F R F' U' F
F B R F' D2 U' F2
B' F U' R F' B2 U'
B' F U' R B2 F' U'
B' F U' B2 R F' U'
F B' U' R F' B2 U'
F B' U' R B2 F' U'
F B' U' B2 R F' U'
