F L R' B' L U
F R' L B' L U
D2 R' F L' B U
D' R' F U B R'
D2 R' F B L' U
D2 R' B F L' U
F R' B' L B' U
R' F L B' L U
D2 F L' R' B U
D2 F R' L' B U
D' F R' U B R'
D2 F R' B L' U
R' F B' L B' U
F D' R' U B R'
R' B' F L B' U
F L R B' L R2 U
F L R B' R2 L U
F' L R' F2 B' L U
F' L R' B' L F2 U
F' L R' B' F2 L U
F L R' B' L U D
F L R' B' L U D'
F L R' B' L U D2
F L R' B' L D U
F L R' B' L D' U
F L R' B' L D2 U
F L R' B' D L U
F L R' B' D' L U
F L R' B' D2 L U
F L R2 B' L R U
F L R2 B' R L U
F L D' R' B' U B2
R' L B' L U2 B' U'
F2 L F' R' B' L U
R' L B' L' F L2 U
F' L F2 R' B' L U
B' L B' U2 L B' U'
D' L' R' U B L R'
D' L' R' U B R' L
L R' B' L U2 B' U'
L R' B' L' F L2 U
F R L B' L R2 U
F R L B' R2 L U
F R B' L R2 B' U
F R B' L B' R2 U
F R B' R2 L B' U
F' R' L F2 B' L U
F' R' L B' L F2 U
D' R' L' U B L R'
D' R' L' U B R' L
F' R' L B' F2 L U
F R' L B' L U D
F R' L B' L U D'
F R' L B' L U D2
F R' L B' L D U
F R' L B' L D' U
F R' L B' L D2 U
F R' L B' D L U
F R' L B' D' L U
F R' L B' D2 L U
F R' U D' R' B R'
F R' U D' B R' B
F R' D' U R' B R'
F R' D' U B R' B
F R' D' B U R' B
D' R' F L U B R'
D2 R' F L B L2 U
D' R' F L' U B R'
D2 R' F L' D B U
D2 R' F L' D' B U
D2 R' F L' D2 B U
D2 R' F L' B U D
D2 R' F L' B U D'
D2 R' F L' B U D2
D2 R' F L' B D U
D2 R' F L' B D' U
D2 R' F L' B D2 U
D' R' F L2 U B R'
U' R' F L B' L U
D' R' F U B R' D
D' R' F U B R' D'
D' R' F U B R' D2
D' R' F U B D R'
D' R' F U B D' R'
D' R' F U B D2 R'
U2 R' F L B' L U
D2 R' F D L' B U
D2 R' F D B L' U
D2 R' F D' L' B U
D2 R' F D' B L' U
D2 R' F D2 L' B U
D2 R' F D2 B L' U
D2 R' F B L' U D
D2 R' F B L' U D'
D2 R' F B L' U D2
D2 R' F B L' D U
D2 R' F B L' D' U
D2 R' F B L' D2 U
D2 R' F B D L' U
D2 R' F B D' L' U
D2 R' F B D2 L' U
D2 R' F B' L' B2 U
D' R' F B' U B2 R'
U' R' F B' L B' U
U R' F L B' L U
D R' F U' L' F U2
U2 R' F B' L B' U
U R' F B' L B' U
F' R' F2 L B' L U
F' R' F2 B' L B' U
D2 R' B F L' U D
D2 R' B F L' U D'
D2 R' B F L' U D2
D2 R' B F L' D U
D2 R' B F L' D' U
D2 R' B F L' D2 U
D2 R' B F D L' U
D2 R' B F D' L' U
D2 R' B F D2 L' U
F' R' B' L F2 B' U
F' R' B' L B' F2 U
D2 R' B' F L' B2 U
D' R' B' F U B2 R'
U' R' B' F L B' U
F' R' B' F2 L B' U
F R' B' L D B' U
F R' B' L D' B' U
F R' B' L D2 B' U
F R' B' L B' U D
F R' B' L B' U D'
F R' B' L B' U D2
F R' B' L B' D U
F R' B' L B' D' U
F R' B' L B' D2 U
U2 R' B' F L B' U
U R' B' F L B' U
F R2 L B' L R U
F R2 L B' R L U
F R2 B' L R B' U
F R2 B' L B' R U
F R2 B' R L B' U
R' D F U' L' F U2
D' U R' F U B R'
D2 U R' F L' B U
D2 U R' F B L' U
D2 U R' B F L' U
D2 U F L' R' B U
D' U F R' U B R'
D2 U F R' L' B U
D2 U F R' B L' U
L D' R' B' U L B2
R' D' F U R' B R'
R' D' F U B R' B
R' D' F B U R' B
U' D' R' F U B R'
D' U' R' F U B R'
D2 U' R' F L' B U
D2 U' R' F B L' U
D2 U' R' B F L' U
U2 D' R' F U B R'
U D' R' F U B R'
D2 U' F L' R' B U
U' D' F R' U B R'
D' U' F R' U B R'
D2 U' F R' L' B U
D2 U' F R' B L' U
U2 D' F R' U B R'
R' D' B F U R' B
U D' F R' U B R'
U' D2 R' F L' B U
D' U2 R' F U B R'
U' D2 R' F B L' U
D2 U2 R' F L' B U
D2 U2 R' F B L' U
U' D2 R' B F L' U
D2 U2 R' B F L' U
U2 D2 R' F L' B U
U2 D2 R' F B L' U
U2 D2 R' B F L' U
