U' L R F B' U2
U L R B' U2 B2
U' L R B' F U2
L R B' U' R' U'
R L B' U' R' U'
U' L B' R F U2
U L B' R U2 B
U' R L F B' U2
U' R L F B' U2
U' R L B' F U2
U R L B' U2 B2
L B' R U' R2 U'
L B' R U2 D B2
L B' R D U2 B2
L B' R D' F2 U2
U' L R D F B' U2
U' L R D B' F U2
U' L R D' F B' U2
U' L R D' B' F U2
U' L R D2 F B' U2
U' L R D2 B' F U2
U L R U2 B D2 F2
U' L R F D B' U2
U' L R F D' B' U2
U' L R F D2 B' U2
U' L R F B' U2 D
U' L R F B' U2 D'
U' L R F B' U2 D2
U' L R F B' D U2
U' L R F B' D' U2
U' L R F B' D2 U2
U L R D B' U2 B2
U L R D' B' U2 B2
U L R D2 B' U2 B2
U L R F B' U2 B2
U' L R B' D F U2
U' L R B' D' F U2
U' L R B' D2 F U2
U' L R B' F U2 D
U' L R B' F U2 D'
U' L R B' F U2 D2
U' L R B' F D U2
U' L R B' F D' U2
U' L R B' F D2 U2
U L R F' B' U2 B2
U L R F2 B' U2 B2
U L R B' U2 B2 D
U L R B' U2 B2 D'
U L R B' U2 B2 D2
U L R B' D2 F2 U2
U L R B' F U2 B2
U L R B' F' U2 B2
U L R B' F2 U2 B2
U' L R' F R2 B' U2
U' L R' F B' R2 U2
U' L R' B' R2 F U2
U L R' F' R2 B' U2
U' L R' B' F R2 U2
U L R' F' B' R2 U2
U L R' B' R2 U2 B
U L R' B' F' R2 U2
U' L R2 F R' B' U2
B L U' R B' L U2
L R D B' U' R' U'
R L D B' U' R' U'
B L U' B' L R U2
B L U' B' R L U2
L R D' B' U' R' U'
R L D' B' U' R' U'
U' L D R F B' U2
U' L D R B' F U2
L R D2 B' U' R' U'
U L D R B' U2 B2
R L D2 B' U' R' U'
U' L D B' R F U2
U L D B' R U2 B
U' L D' R F B' U2
U' L D' R B' F U2
L R F B' U' R' U'
U L D' R B' U2 B2
R L F B' U' R' U'
U' L D' B' R F U2
U L D' B' R U2 B
U' L D2 R F B' U2
U' L D2 R B' F U2
L R F' B' U' R' U'
U L D2 R B' U2 B2
R L F' B' U' R' U'
U' L D2 B' R F U2
U L D2 B' R U2 B
L R F2 B' U' R' U'
R L F2 B' U' R' U'
U' L F U2 L2 F L'
U' L F D2 B' U2 L
R' L B' R2 U' R U'
L R B' U' R' U' D
L R B' U' R' U' D'
L R B' U' R' U' D2
L R B' U' R' D U'
L R B' U' R' D' U'
L R B' U' R' D2 U'
L R B' U' D R' U'
L R B' U' D' R' U'
L R B' U' D2 R' U'
R L B' U' R' U' D
R L B' U' R' U' D'
R L B' U' R' U' D2
R L B' U' R' D U'
R L B' U' R' D' U'
R L B' U' R' D2 U'
R L B' U' D R' U'
R L B' U' D' R' U'
R L B' U' D2 R' U'
L R B' D U' R' U'
L R B' D' U' R' U'
R L B' D U' R' U'
L R B' D2 U' R' U'
R L B' D' U' R' U'
L R B' F U' R' U'
R L B' D2 U' R' U'
L R B' F' U' R' U'
R L B' F U' R' U'
L R B' F2 U' R' U'
R L B' F' U' R' U'
R L B' F2 U' R' U'
U L F2 B' U2 L' B'
U' L B R F B2 U2
U' L B R B2 F U2
U L B R B2 U2 B'
U' L B' R D F U2
U' L B' R D' F U2
U' L B' R D2 F U2
U' L B' R F U2 D
U' L B' R F U2 D'
U' L B' R F U2 D2
U' L B' R F D U2
U' L B' R F D' U2
U' L B' R F D2 U2
U' L B' R' F R2 U2
U' L B' R2 F R' U2
U L B' R U2 D B
U L B' R U2 D' B
U L B' R U2 D2 B
U L B' R U2 B D
U L B' R U2 B D'
U L B' R U2 B D2
F2 L B' U' R' U' L2
U L B' R D U2 B
U L B' R D' U2 B
U L B' R D2 U2 B
U L B' R F U2 B
U L B' R F' U2 B
U L B' R F2 U2 B
U L B' R' F' R2 U2
U' L B' D R F U2
U' L B' D' R F U2
U' L B' D2 R F U2
U L B' D R U2 B
U L B' D' R U2 B
U L B' D2 R U2 B
U L B' F2 U2 L' B'
L R' B' R2 U' R U'
U' L' F D2 R2 B' L
U' L' F D2 B' L R2
U' L' F D2 B' R2 L
R2 U L R' F' B' U2
R2 U L R' B' F' U2
L' U L2 R B' U2 B2
L' U L2 B' R U2 B
L' U R L2 B' U2 B2
R2 U R' L F' B' U2
R2 U R' L B' F' U2
R2 U R' F' L B' U2
U' R L D F B' U2
U' R L D B' F U2
U' R L D' F B' U2
U' R L D' B' F U2
U' R L D2 F B' U2
U' R L D2 B' F U2
U' R L F D B' U2
U' R L F D' B' U2
U' R L F D2 B' U2
U' R L F B' U2 D
U' R L F B' U2 D'
U' R L F B' U2 D2
U' R L F B' D U2
U' R L F B' D' U2
U' R L F B' D2 U2
U' R L B' D F U2
U' R L B' D' F U2
U' R L B' D2 F U2
U' R L B' F U2 D
U' R L B' F U2 D'
U' R L B' F U2 D2
U' R L B' F D U2
U' R L B' F D' U2
U' R L B' F D2 U2
U R L U2 B D2 F2
U R L D B' U2 B2
U R L D' B' U2 B2
U R L D2 B' U2 B2
U R L F B' U2 B2
U R L F' B' U2 B2
U R L F2 B' U2 B2
U R L B' U2 B2 D
U R L B' U2 B2 D'
U R L B' U2 B2 D2
U R L B' D2 F2 U2
U R L B' F U2 B2
U R L B' F' U2 B2
U R L B' F2 U2 B2
R' U' L R2 F B' U2
R' U' L R2 B' F U2
R' U' L F R2 B' U2
R' U' L F B' R2 U2
R2 U' L R' F B' U2
R2 U' L R' B' F U2
R' U' L B' R2 F U2
R' U' L B' F R2 U2
R2 U' L F R' B' U2
U' R F L F B' U2
U' R F L B' F U2
U R F L B' U2 B2
U' R F' L F B' U2
U' R F' L B' F U2
U R F' L B' U2 B2
U' R F2 L F B' U2
U' R F2 L B' F U2
U R F2 L B' U2 B2
R2 U' R' L F B' U2
R2 U' R' L B' F U2
R' U' R2 L F B' U2
R' U' R2 L B' F U2
U' R' L F R2 B' U2
U' R' L F B' R2 U2
U' R' L B' R2 F U2
U' R' L B' F R2 U2
U R' L F' R2 B' U2
U R' L F' B' R2 U2
U R' L B' R2 U2 B
U R' L B' F' R2 U2
U R' F' L R2 B' U2
U R' F' L B' R2 U2
U R' F' R2 L B' U2
U' R2 L F R' B' U2
L D R B' U' R' U'
D2 U L R U2 F' B
D2 U L R U2 B F'
D2 U R L U2 F' B
D2 U R L U2 B F'
L' D F2 U' L' F' B'
L' D F2 U' L' B' F'
L D B' R U' R2 U'
L D B' R U2 D B2
L D B' R D U2 B2
L D B' R D' F2 U2
D2 U' L R F U2 F2
L D' R B' U' R' U'
D2 U' R L F U2 F2
F2 U' L U2 L2 F B'
F2 U' L U2 L2 B' F
F2 U' L F U2 L2 F
F2 U' L F B' U2 L2
F2 U' L B' U2 L2 B'
F2 U' L B' F U2 L2
F2 U' L' D2 R2 F B'
F2 U' L' D2 R2 B' F
F2 U' L' D2 F R2 B'
F2 U' L' D2 F B' R2
F2 U' L' D2 B' R2 F
F2 U' L' D2 B' F R2
F2 U' L' F D2 R2 B'
F2 U' L' F D2 B' R2
F2 U' L' F B' D2 R2
F U' L F B' U2 L'
F2 U' L' B' D2 R2 F
F2 U' L' B' D2 F R2
F2 U' L' B' F D2 R2
F U' L B' F U2 L'
L D' B' R U' R2 U'
L D' B' R U2 D B2
L D' B' R D U2 B2
L D' B' R D' F2 U2
U' D2 L R F U2 F2
U D2 L R U2 F' B
U D2 L R U2 B F'
U' D2 R L F U2 F2
L D2 R B' U' R' U'
F2 U' B' L' F B' R'
F2 U' B' L' B' R' F
F2 U' B' L' B' F R'
F2 U' B2 L' R' F B'
F2 U' B2 L' R' B' F
U D2 R L U2 F' B
U D2 R L U2 B F'
F2 U' B2 L' F R' B'
F2 U' B2 R' L' F B'
F2 U' B2 R' L' B' F
L D2 B' R U' R2 U'
L D2 B' R U2 D B2
L D2 B' R D U2 B2
L D2 B' R D' F2 U2
U' F L F B' U2 L'
U' F L B' F U2 L'
R F L B' U' R' U'
U' F' L F R B' U2
U' F' L F B' R U2
U' F' L B' F R U2
R F' L B' U' R' U'
U' F2 L U2 L2 F B'
U' F2 L U2 L2 B' F
U' F2 L F U2 L2 F
U' F2 L F B' U2 L2
U' F2 L B' U2 L2 B'
U' F2 L B' F U2 L2
U' F2 L' D2 R2 F B'
U' F2 L' D2 R2 B' F
U' F2 L' D2 F R2 B'
U' F2 L' D2 F B' R2
U' F2 L' D2 B' R2 F
U' F2 L' D2 B' F R2
U' F2 L' F D2 R2 B'
U' F2 L' F D2 B' R2
U' F2 L' F B' D2 R2
U' F2 L' B' D2 R2 F
U' F2 L' B' D2 F R2
U' F2 L' B' F D2 R2
R F2 L B' U' R' U'
U' F2 B' L' F B' R'
U' F2 B' L' B' R' F
U' F2 B' L' B' F R'
U' F2 B2 L' R' F B'
U' F2 B2 L' R' B' F
U' F2 B2 L' F R' B'
U' F2 B2 R' L' F B'
U' F2 B2 R' L' B' F
L F2 B' U' R' U' L'
L B R B2 U' R' U'
L B' R U D2 L2 U
L B' R U' R2 U' D
L B' R U' R2 U' D'
L B' R U' R2 U' D2
L B' R U' R2 D U'
L B' R U' R2 D' U'
L B' R U' R2 D2 U'
L B' R U2 D B2 D
L B' R U2 D B2 D'
L B' R U2 D B2 D2
L B' R U2 B D B2
L B' R U2 B' D B2
L B' R U2 B2 D B2
L B' R D U2 B2 D
L B' R D U2 B2 D'
L B' R D U2 B2 D2
L B' R D F U2 B2
L B' R D F' U2 B2
L B' R D F2 U2 B2
L B' R D' F2 U2 D
L B' R D' F2 U2 D'
L B' R D' F2 U2 D2
L B' R D' F2 D U2
L B' R D' F2 D' U2
L B' R D' F2 D2 U2
L B' R D2 U L2 U
L B' R F U' R2 U'
L B' R F U2 D B2
L B' R F D U2 B2
L B' R F D' F2 U2
L B' R F' U' R2 U'
L B' R F' U2 D B2
L B' R F' D U2 B2
L B' R F' D' F2 U2
L B' R F2 U' R2 U'
L B' R F2 U2 D B2
L B' R F2 D U2 B2
L B' R F2 D' F2 U2
L B' U' R' U R2 U2
L B' U' R' U' D2 L2
L B' U' R' D B2 U'
L B' U' R' D2 U' L2
L B' D R U' R2 U'
L B' D R U2 D B2
L B' D R D U2 B2
L B' D R D' F2 U2
L B' D' R U' R2 U'
L B' D' R U2 D B2
L B' D' R D U2 B2
L B' D' R D' F2 U2
U' B' F2 L' F B' R'
U' B' F2 L' B' R' F
U' B' F2 L' B' F R'
L B' D2 R U' R2 U'
L B' D2 R U2 D B2
L B' D2 R D U2 B2
L B' D2 R D' F2 U2
L B' F2 U' R' U' L'
B2 F2 L' D' R' F B
B2 F2 L' D' R' B F
B2 F2 L' D' F R' B
F2 B2 L' D' R' F B
F2 B2 L' D' R' B F
B2 F2 L' F D' R' B
F2 B2 L' D' F R' B
F2 B2 L' F D' R' B
L B2 D' B R F' U2
U' B2 F2 L' R' F B'
U' B2 F2 L' R' B' F
U' B2 F2 L' F R' B'
U' B2 F2 R' L' F B'
U' B2 F2 R' L' B' F
