B R F L B' U
R F B L B' U
R B F L B' U
B L R D' B' U L
L' R U2 F R B U'
B L D' R B' U L
B L D' B' R U L
B L D2 R F' B' U
B L D2 R B' F' U
B L D2 B' R F' U
B L B' D2 R F' U
R L' U2 F R B U'
F L' U2 F L' R U'
F L' U2 F R L' U'
B R L D' B' U L
U R D' F U B R'
B2 R F L B' L U
D' R F U R B R'
B R F L D B' U
B R F L D' B' U
B R F L D2 B' U
B R F L B' U D
B R F L B' U D'
B R F L B' U D2
B R F L B' D U
B R F L B' D' U
B R F L B' D2 U
D' R F B L U R'
U R F L B' U B2
D R F U' L' U2 B'
B2 R F B' L B' U
U R F U D' B R'
U R F D' U B R'
B R F' L F2 B' U
B R F' L B' F2 U
B R F2 L F' B' U
B R F2 L B' F' U
D' R B F L U R'
B2 R B' F L B' U
B R' F L R2 B' U
B R' F L B' R2 U
D2 R' F B L R2 U
D2 R' F B R2 L U
B R' F R2 L B' U
D2 R' B R2 F L U
D2 R' B F L R2 U
D2 R' B F R2 L U
B R2 F L R' B' U
B R2 F R' L B' U
R D F U' L' U2 B'
D' U R F U B R'
B U R F L B' U
F U D R F' B R
F U D R B F' R
F U D F' R F' B
F U D F' R B F'
U D' R F U B R'
R D' F U R B R'
R D' F B L U R'
B U' R F L B' U
R D' B F L U R'
R2 D2 R' F B L U
R2 D2 R' B F L U
R2 D2 F R' B L U
F U2 L' F L' R U'
F U2 L' F R L' U'
B U2 R F L B' U
R F L B L B2 U
R F L B' U2 R' U'
F U2 F L' R F U'
R F L' U2 F R U'
F U2 F R L' F U'
R' F R2 B L B' U
R2 F R' B L B' U
R F U R D' B R'
R F U D' R B R'
R' F B L R2 B' U
R' F B L B' R2 U
R' F B R2 L B' U
F D R U F' R B
R2 F D2 R' B L U
R F D' U R B R'
R F D' B L U R'
R2 F B L B' R' U
R F B L D B' U
R F B L D' B' U
R F B L D2 B' U
R F B L B' U D
R F B L B' U D'
R F B L B' U D2
R F B L B' D U
R F B L B' D' U
R F B L B' D2 U
F D U R F' B R
F D U R B F' R
F D U F' R F' B
F D U F' R B F'
R F B2 L B' L U
R F' B L F2 B' U
R F' B L B' F2 U
L' F2 L' F' B' R' U'
L' F2 L' B' F' R' U'
R F2 D F' U R B
F D2 R' B L R' U
F D2 R' B R' L U
R F2 B L F' B' U
R F2 B L B' F' U
R B L D' B' U L
D' B R F L U R2
R' B R2 F L B' U
F D2 B L R' B U
F D2 B R' L B U
R' B F L R2 B' U
R' B F L B' R2 U
R' B F R2 L B' U
R2 B F L B' R' U
R B F L D B' U
R B F L D' B' U
R B F L D2 B' U
R B F L B' U D
R B F L B' U D'
R B F L B' U D2
R B F L B' D U
R B F L B' D' U
R B F L B' D2 U
R B F' L F2 B' U
R B F' L B' F2 U
R B F2 L F' B' U
R B F2 L B' F' U
R B2 F L B' L U
