L2 R2 U' F L2 U'
R2 L2 U' F L2 U'
R2 U B' R2 U F'
R2 U B' U' B U2
R2 U' L2 F U' F'
B2 R2 U' F' U' F
U R2 U B' U B
U2 D' F2 B' U B
U2 D' B' F2 U B
D' U2 F2 B' U B
U2 D2 B' U L2 B
U2 D2 B' U B L2
D2 U2 B' U L2 B
D2 U2 B' U B L2
D' U2 B' F2 U B
F2 D B2 R2 F' U'
U2 B' U D2 L2 B
U2 B' U D2 B L2
U2 B' U B D2 L2
U2 B' U' R2 F' U2
U B' U' R2 U2 F'
U B' U' B R2 U2
U2 B' D' F2 U B
U2 B' D2 U L2 B
U2 B' D2 U B L2
D B2 U2 B U B'
R2 L U' L' F U' R
B2 L R2 U' L' F' U'
R2 L' U' L U2 B' U
R2 L' U' L' F L2 U'
B2 L' R2 U' L F' U'
B2 L' R2 U' F' L U'
B L' R2 U B2 R' U
U L' R2 U L B' U
L' R2 U' L U2 B' U
L' R2 U' L' F L2 U'
L R2 U' L' F U' R
L2 R2 U' L2 U2 B' U
R2 L2 U' L2 U2 B' U
L2 R2 U' D F U' F
R2 L2 U' D F U' F
L2 R2 U' F L2 U' D
L2 R2 U' F L2 U' D'
L2 R2 U' F L2 U' D2
L2 R2 U' F L2 D U'
L2 R2 U' F L2 D' U'
L2 R2 U' F L2 D2 U'
R2 L2 U' F L2 U' D
R2 L2 U' F L2 U' D'
R2 L2 U' F L2 U' D2
R2 L2 U' F L2 D U'
R2 L2 U' F L2 D' U'
R2 L2 U' F L2 D2 U'
L2 R2 U' F U' D F2
L2 R2 U' F D U' F2
R2 L2 U' F U' D F2
R2 L2 U' F D U' F2
L2 R2 U' F' L2 F2 U'
R2 L2 U' F' L2 F2 U'
L2 R2 U' F2 L2 F' U'
R2 L2 U' F2 L2 F' U'
L2 R2 U2 F' D R2 F2
L2 R2 U2 F' D F2 R2
R2 L2 U2 F' D R2 F2
R2 L2 U2 F' D F2 R2
L2 R2 D U' F U' F
R2 L2 D U' F U' F
L2 R2 D' B2 U' F U'
R2 L2 D' B2 U' F U'
B2 L2 R2 U' L2 F' U'
B2 L2 R2 U' F' L2 U'
B L2 R2 D L2 U2 F2
U L2 R2 U L2 B' U
B L2 R2 D' B2 U2 R2
D' L2 U' F L2 B' U'
D L2 U' F L2 B2 U'
D L2 U' F B2 L2 U'
L2 R2 B U' F L2 U'
D L2 U' B2 F L2 U'
R2 L2 B U' F L2 U'
L2 R2 B' U' F L2 U'
R2 L2 B' U' F L2 U'
U' L2 D F B2 U' F'
U' L2 D B2 F U' F'
L2 R2 B2 U' F L2 U'
R2 L2 B2 U' F L2 U'
U' L2 D2 F U' L2 F'
U' L2 D2 F U' F' L2
U' L2 F U R2 B U2
U' L2 F U' D2 L2 F'
U' L2 F U' D2 F' L2
U' L2 F U' F' D2 L2
U' L2 F D B2 U' F'
U' L2 F D2 U' L2 F'
U' L2 F D2 U' F' L2
D2 L2 F' D F2 R2 B
R U R U B' U B
R' U R' U B' U B
R2 U R B' R2 U F'
R2 U R B' U' B U2
R2 U R' B' R2 U F'
R2 U R' B' U' B U2
R2 U R2 B' R2 U F'
R2 U R2 B' U' B U2
R2 U D B' R2 U F'
R2 U D B' U' B U2
R2 U D' B' R2 U F'
R2 U D' B' U' B U2
R2 U D2 B' R2 U F'
R2 U D2 B' U' B U2
D' R U2 F2 B' U B
D2 R U2 B' U L2 B
D2 R U2 B' U B L2
D' R U2 B' F2 U B
R' U B' U' B R' U2
R2 U B' R2 U D F'
R2 U B' R2 U D' F'
R2 U B' R2 U D2 F'
R2 U B' R2 U F' D
R2 U B' R2 U F' D'
R2 U B' R2 U F' D2
R2 U B' R2 D U F'
R2 U B' R2 D' U F'
