F2 L' F' U R U L
L2 R2 U' R' F' B' L2
L2 R2 U' R' B' L2 F'
L2 R2 U' R' B' F' L2
R2 L2 U' R' F' B' L2
R2 L2 U' R' B' L2 F'
R2 L2 U' R' B' F' L2
U' L2 R' U F' R2 B'
U' L2 R' U F' B' R2
U' L2 R' U B' F' R2
U L2 U' D2 R F' B'
U L2 U' D2 R B' F'
U L2 U' D2 B' R F'
U L2 U' B' D2 R F'
L U L R F B' L2
L U L R B' F L2
L U L B' R F L2
U L2 D2 U' R F' B'
U L2 D2 U' R B' F'
U L2 D2 U' B' R F'
L U R L F B' L2
L U R L B' F L2
L2 U R B' L F L
L2 U B' L R F L
L2 U B' L2 D2 R F'
L2 U B' R L F L
F2 R D F2 R F' B
F2 R D F2 R B F'
R U' L2 R' U F' B'
R U' L2 R' U B' F'
R U' R U' F B U2
R U' R U' B F U2
L2 U' R B' L2 D2 F2
L2 U' R B2 L2 F B
L2 U' R B2 L2 B F
R U' R' L2 U F' B'
R U' R' L2 U B' F'
L2 U' R' F' R2 B' L2
L2 U' R' F' B' L2 R2
L2 U' R' F' B' R2 L2
R U' R' U F' D2 B2
R U' R' U' F U2 F2
L2 U' R' B' L2 F' R2
L2 U' R' B' F' L2 R2
L2 U' R' B' F' R2 L2
U' R' L2 U F' R2 B'
U' R' L2 U F' B' R2
U' R' L2 U B' F' R2
U' R' U F' R2 D2 B2
U' R' U F2 R2 F B
U' R' U F2 R2 B F
U' R' U' F U2 R2 F2
U' R' U' F U2 F2 R2
L2 U' B R B2 L2 F
L2 U' B' L2 R' F' R2
L2 U' B' R' L2 F' R2
L2 U' B' R' F' L2 R2
L2 U' B' R' F' R2 L2
R U2 F U R' U F'
R U2 F U' L U' F
R U2 F B U' L U'
R U2 F B' U R' U
L2 U2 B' L2 R D' F2
L2 U2 B' R L2 D' F2
R U2 B F U' L U'
F2 R2 D F2 B R F'
F2 R2 D B F2 R F'
R U2 B' F U R' U
F2 R2 B D F2 R F'
F' U L F L2 U' B'
F2 U2 L' F' U R U
F2 U2 D' L' F' U2 F2
F' U2 F2 U R B U
R2 F R' D' F2 D2 B2
U2 F U R' U F' R
R F U' R U2 R' U'
R2 F U2 R' D' F2 L'
F2 D R F2 R F B
F2 D R F2 R B F
F2 D F2 R F' D2 B2
R F' U L' U F2 U2
R F' U L' U' D2 B2
R F' U L' D R2 U'
R F' U L' D2 U' B2
R F' U D L' R2 U'
R F' U D R2 L' U'
R F' U D2 L' U' B2
F2 D' L' F' U2 L F2
F2 D' L' F' U2 F2 L
R F' U2 F2 U R U
R F' D U L' R2 U'
R F' D U R2 L' U'
R F' D2 U L' U' B2
R F' D2 B2 U L' U'
F2 D' U2 L' F' U2 F2
R' F2 R D R F' B
R' F2 R D R B F'
R2 F2 R2 D B R F'
R2 F2 R2 B D R F'
R F2 U2 F' U R U
L2 B U' R B2 L2 F
