U2 L B U L2
U2 L D F2 B U
U2 L D B F2 U
U2 L F B U L2
U2 L F' B U L2
U2 L F2 B U L2
U2 L B U L2 D
U2 L B U L2 D'
U2 L B U L2 D2
U L B U L2 F
U2 L B D F2 U
U2 L B F U L2
U2 L B F' U L2
U2 L B F2 U L2
U' L' U' L2 B U
U' L' U' B L2 U
U2 L' B L2 U L2
U' L' B' D' R2 B2
U' L' B' D' B2 R2
B2 R' U2 B' U L'
U2 D L B U L2
L D F2 B R U
L D B F2 R U
U2 D' L B U L2
B' U' L' D' R2 B'
B' U' L' D' B' R2
B' U' D' L' R2 B'
B' U' D' L' B' R2
B' U' D' R2 L' B'
U2 D2 L B U L2
D2 U2 L B U L2
D' U2 L B U L2
D U2 L B U L2
F U2 L B U L
B' U2 B2 U L' B'
B' D' U' L' R2 B'
B' D' U' L' B' R2
B' D' U' R2 L' B'
L F2 B R U L2
L B U2 L' U' L'
L B D F2 R U
L B F2 R U L2
R' B' U' L' B' R'
U2 L U L2 U' B U
U L U B U B' L2
R' L D F2 R B U
D2 L D F2 B R U
D' L D F2 B R U
U' L D F2 B U F2
D2 L D B F2 R U
U2 L D F2 D B U
D' L D B F2 R U
U2 L D F2 D' B U
U2 L D F2 D2 B U
U2 L D F2 B U D
U2 L D F2 B U D'
U2 L D F2 B U D2
U2 L D F2 B D U
U2 L D F2 B D' U
U2 L D F2 B D2 U
U2 L D B U D' L2
D L D F2 B R U
U' L D B F2 U F2
U2 L D B D' U L2
U2 L D B F2 U D
U2 L D B F2 U D'
U2 L D B F2 U D2
U2 L D B F2 D U
U2 L D B F2 D' U
U2 L D B F2 D2 U
D L D B F2 R U
U2 L D' B U2 B U'
R' L F2 R B U L2
U2 L D2 B U D2 L2
U2 L D2 B U' R2 U2
U2 L D2 B D' F2 U
U2 L D2 B D2 U L2
U2 L F D F2 B U
U2 L F D B F2 U
U2 L F B U L2 D
U2 L F B U L2 D'
U2 L F B U L2 D2
U2 L F B D F2 U
U' L F B U L2 F'
U' L F B U F' L2
U L F B U L2 F
U2 L F' D F2 B U
U2 L F' D B F2 U
U2 L F' B U L2 D
U2 L F' B U L2 D'
U2 L F' B U L2 D2
U' L F' B U F L2
U2 L F' B D F2 U
U L F' B U L2 F
U2 L F2 D F2 B U
U2 L F2 D B F2 U
D2 L F2 B R U L2
D' L F2 B R U L2
F2 L F2 B R U L'
U' L F2 B U L2 F2
U' L F2 B U F2 L2
U2 L F2 B U L2 D
U2 L F2 B U L2 D'
U2 L F2 B U L2 D2
D L F2 B R U L2
U2 L F2 B D F2 U
U L F2 B U L2 F
U' L B U L2 D F2
D2 L B U2 L' U' L'
U2 L B U L D L
U2 L B U L D' L
U2 L B U L D2 L
U2 L B U L' D L'
U2 L B U L' D' L'
U2 L B U L' D2 L'
D' L B U2 L' U' L'
U L B R U L2 F
U2 L B U F L2 F'
U2 L B U F2 L2 F2
U2 L B U B' L2 B
U2 L B U B2 L2 B2
U2 L B U' R U2 L2
U2 L B U' R' U2 L2
U2 L B U' R2 U2 L2
U L B R' U L2 F
D2 L B D F2 R U
U2 L B U' D2 R2 U2
D' L B D F2 R U
D L B U2 L' U' L'
U2 L B U2 D' B2 U'
U L B R2 U L2 F
U2 L B U2 B U' L2
U2 L B U2 B' U' L2
U2 L B U2 B2 U' L2
U L B U L2 D F
U L B U L2 D' F
U L B U L2 D2 F
U L B U L2 F D
U L B U L2 F D'
U L B U L2 F D2
U' L B D F2 U F2
U2 L B D F2 U D
U2 L B D F2 U D'
U2 L B D F2 U D2
U2 L B D F2 D U
U2 L B D F2 D' U
U2 L B D F2 D2 U
U L B U F L2 F
U L B U F' L2 F
D L B D F2 R U
U L B U F2 L2 F
U2 L B D' U2 B2 U'
U L B U' B' U2 L2
U2 L B D2 U' R2 U2
D2 L B F2 R U L2
D' L B F2 R U L2
U' L B F U L2 F'
U' L B F U F' L2
U2 L B F U L2 D
U2 L B F U L2 D'
U2 L B F U L2 D2
U2 L B F D F2 U
U' L B F' U F L2
U2 L B F' U L2 D
U2 L B F' U L2 D'
U2 L B F' U L2 D2
U2 L B F' D F2 U
F2 L B F2 R U L'
U' L B F2 U L2 F2
U' L B F2 U F2 L2
U2 L B F2 U L2 D
U2 L B F2 U L2 D'
