B' L F2 U' L' B' U'
D' L2 R' B R2 U L'
R U L B R' D2 B2
R U L B D2 R' B2
R U L B' D2 B2 R'
D2 R F' U L R B2
D2 R F' U L B2 R
D2 R F' U R L B2
D' R F2 L2 B' U L'
D' R' L2 B R2 U L'
F' R2 U L F B R'
F' R2 U L B R' F
F' R2 U L B F R'
F' R2 U' L B R' F'
F' U L R2 F B R'
F' U L R2 B R' F
F' U L R2 B F R'
F' U R2 L F B R'
F' U R2 L B R' F
F' U R2 L B F R'
R2 D' L2 R' B U L'
R2 D' R' L2 B U L'
F2 U' L' B U' L2 R'
F2 U' L' B U' R' L2
F2 U' D L' F U' L2
R D2 F' U L R B2
R D2 F' U L B2 R
R D2 F' U R L B2
F2 D U' L' F U' L2
R' F' R2 U L B R'
D2 F' U L R F B2
D2 F' U L R B2 F
D2 F' U L B2 R F
D2 F' U R L F B2
D2 F' U R L B2 F
R F' U L R2 B R'
R F' U R2 L B R'
B D' L2 R F' U R2
B D' R L2 F' U R2
B D' R F' L2 U R2
D F2 L' R2 F U' L2
D F2 L' F R2 U' L2
D F2 R2 L' F U' L2
L B R' D' F2 D' B2
L B R' D2 B2 D F2
L B D' R' D' F2 B2
L B D' R' D' B2 F2
L B D2 R' B2 D' F2
L B' D2 B2 R' D' F2
